,apache/groovy,jetbrains/kotlin,scala/scala
2015-10-22,4,41,1
2015-10-23,8,5,0
2015-10-24,5,13,0
2015-10-25,3,1,2
2015-10-26,1,70,2
2015-10-27,0,34,19
2015-10-28,4,53,2
2015-10-29,2,29,5
2015-10-30,1,58,1
2015-10-31,2,9,1
2015-11-01,8,0,0
2015-11-02,2,67,4
2015-11-03,3,40,0
2015-11-04,1,52,2
2015-11-05,0,50,3
2015-11-06,2,46,8
2015-11-07,1,0,1
2015-11-08,1,0,0
2015-11-09,1,43,0
2015-11-10,2,66,10
2015-11-11,0,47,9
2015-11-12,4,30,12
2015-11-13,0,27,11
2015-11-14,2,0,1
2015-11-15,3,0,0
2015-11-16,0,23,1
2015-11-17,2,32,2
2015-11-18,2,60,3
2015-11-19,3,42,2
2015-11-20,1,50,3
2015-11-21,0,4,0
2015-11-22,1,0,1
2015-11-23,0,32,11
2015-11-24,0,28,12
2015-11-25,3,31,6
2015-11-26,0,20,3
2015-11-27,0,56,13
2015-11-28,2,6,0
2015-11-29,0,4,0
2015-11-30,1,50,1
2015-12-01,2,44,0
2015-12-02,1,55,0
2015-12-03,0,10,0
2015-12-04,1,7,0
2015-12-05,1,1,2
2015-12-06,3,0,1
2015-12-07,0,13,0
2015-12-08,1,33,0
2015-12-09,1,54,0
2015-12-10,0,33,2
2015-12-11,4,32,3
2015-12-12,1,7,1
2015-12-13,1,6,6
2015-12-14,0,51,0
2015-12-15,0,50,7
2015-12-16,1,6,2
2015-12-17,1,53,1
2015-12-18,0,52,9
2015-12-19,0,18,0
2015-12-20,4,0,0
2015-12-21,2,20,0
2015-12-22,1,8,2
2015-12-23,2,27,0
2015-12-24,0,6,0
2015-12-25,1,38,0
2015-12-26,1,10,0
2015-12-27,0,0,0
2015-12-28,5,21,0
2015-12-29,2,37,0
2015-12-30,0,17,0
2015-12-31,2,1,1
2016-01-01,4,0,0
2016-01-02,0,0,0
2016-01-03,0,0,1
2016-01-04,2,0,3
2016-01-05,6,1,1
2016-01-06,5,0,0
2016-01-07,0,12,1
2016-01-08,1,4,0
2016-01-09,0,0,0
2016-01-10,0,0,0
2016-01-11,2,7,0
2016-01-12,1,44,2
2016-01-13,0,64,7
2016-01-14,1,56,4
2016-01-15,5,28,0
2016-01-16,2,2,1
2016-01-17,0,15,13
2016-01-18,0,23,3
2016-01-19,2,81,5
2016-01-20,2,18,4
2016-01-21,1,53,2
2016-01-22,0,111,0
2016-01-23,0,2,3
2016-01-24,2,3,3
2016-01-25,2,18,23
2016-01-26,3,37,4
2016-01-27,2,32,3
2016-01-28,2,53,3
2016-01-29,3,17,12
2016-01-30,1,3,1
2016-01-31,4,0,1
2016-02-01,0,46,10
2016-02-02,0,30,1
2016-02-03,4,30,14
2016-02-04,0,17,6
2016-02-05,8,15,2
2016-02-06,1,7,7
2016-02-07,0,1,1
2016-02-08,1,34,2
2016-02-09,1,20,5
2016-02-10,3,24,11
2016-02-11,3,23,6
2016-02-12,0,5,5
2016-02-13,1,10,4
2016-02-14,0,2,1
