,apache/airflow,PrefectHQ/prefect,orchest/orchest
2021-08-12,11,20.0,4
2021-08-13,14,24.0,29
2021-08-14,4,0.4999999999999969,0
2021-08-15,6,3.8599999999999985,0
2021-08-16,6,22.06575,1
2021-08-17,9,21.35644,12
2021-08-18,16,14.484074249999999,0
2021-08-19,26,4.5384717499999985,10
2021-08-20,12,23.4074490871875,2
2021-08-21,4,2.910035450875002,0
2021-08-22,2,-2.7061001454968725,0
2021-08-23,16,5.592014939262503,10
2021-08-24,13,10.416608478659379,15
2021-08-25,5,20.94102912249688,12
2021-08-26,3,10.790416635554688,14
2021-08-27,12,27.217564335926564,7
2021-08-28,3,0.7076077932546863,0
2021-08-29,0,32.45237693115469,0
2021-08-30,15,24.213145634196874,4
2021-08-31,14,1.7816595420890629,0
2021-09-01,15,23.545147963009377,0
2021-09-02,7,11.231197073407815,8
2021-09-03,18,16.84394818515313,41
2021-09-04,2,-5.374797619023436,0
2021-09-05,2,2.706008253292192,2
2021-09-06,6,6.137509128721879,11
2021-09-07,9,25.054746248237503,1
2021-09-08,10,22.406541712296875,1
2021-09-09,23,47.846264304025,10
2021-09-10,16,23.762446490228122,15
2021-09-11,13,40.48964379554531,1
2021-09-12,15,4.8705484542093735,3
2021-09-13,9,67.47194575565625,9
2021-09-14,8,58.28410648514375,14
2021-09-15,16,24.422845101489063,5
2021-09-16,13,28.375458376321877,16
2021-09-17,7,29.819676011701567,18
2021-09-18,17,14.90989470409532,12
2021-09-19,9,15.644309521600007,0
2021-09-20,9,68.44318779855625,3
2021-09-21,13,94.83981318884062,1
2021-09-22,16,85.58515029374686,0
2021-09-23,15,64.67499606539062,4
2021-09-24,13,128.24912596175938,16
2021-09-25,6,3.59271889992187,2
2021-09-26,6,0.14404453887032176,2
2021-09-27,9,51.466255547425014,7
2021-09-28,18,90.89332633939846,0
2021-09-29,19,110.90424107654532,5
2021-09-30,21,111.48394984124374,5
2021-10-01,8,169.95382130993437,0
2021-10-02,0,15.314783845632803,0
2021-10-03,6,20.048260839212507,0
2021-10-04,2,119.05020569589064,0
2021-10-05,25,132.62479940958752,0
2021-10-06,11,-13.619702525007803,2
2021-10-07,21,-5.1008761506578,2
2021-10-08,15,-4.899663162884352,5
2021-10-09,10,-12.11096609576716,0
2021-10-10,6,-8.401960334662478,0
2021-10-11,14,1.5428204062140773,9
2021-10-12,17,-2.918169010789052,11
2021-10-13,16,-0.8120272637453048,5
2021-10-14,14,10.56260436945313,5
2021-10-15,10,3.928660634817188,0
2021-10-16,3,-1.664275333746875,0
2021-10-17,3,-0.9192424653953122,2
2021-10-18,1,-0.5919426487499987,8
2021-10-19,11,6.537855628890626,1
2021-10-20,11,4.920983654967188,0
2021-10-21,11,-1.1836927703687499,1
2021-10-22,11,2.314353195689063,0
2021-10-23,5,6.217767538939063,0
2021-10-24,3,-1.1221853652156248,0
2021-10-25,6,1.4106654125000002,2
2021-10-26,9,-0.6181154487499996,8
2021-10-27,8,18.583471881390626,23
2021-10-28,10,9.774494866654686,13
2021-10-29,17,22.727866708534375,3
2021-10-30,9,-2.7200943127968777,0
2021-10-31,1,-2.078086273717187,0
2021-11-01,9,7.607352389748439,0
2021-11-02,5,13.092321636468753,5
2021-11-03,13,9.285896666178125,5
2021-11-04,7,47.20841063520312,14
2021-11-05,11,19.281635126879685,6
2021-11-06,0,-4.998076002071877,1
2021-11-07,11,-3.522698988914062,0
