,elastic/kibana,grafana/grafana,getsentry/sentry
2021-11-14,0,2,-8.292966604800002
2021-11-15,47,26,26.2038085632
2021-11-16,60,23,0.1718794240000019
2021-11-17,35,36,0.2321273856000019
2021-11-18,39,31,6.955371315200001
2021-11-19,40,36,1.6594130944000014
2021-11-20,1,2,-9.9003287552
2021-11-21,2,0,-5.252523315200001
2021-11-22,36,17,15.870530969599999
2021-11-23,49,25,21.152186368000002
2021-11-24,45,36,17.567682867200002
2021-11-25,25,16,-5.619901644799995
2021-11-26,6,20,-4.173729894399999
2021-11-27,2,0,-9.775605350400001
2021-11-28,1,0,-4.949542707200003
2021-11-29,40,31,17.749534003199997
2021-11-30,48,16,15.168077312000001
2021-12-01,49,25,15.151356108800002
2021-12-02,38,21,17.1601062912
2021-12-03,40,14,0.04974766080000137
2021-12-04,3,0,-16.5461676032
2021-12-05,0,0,-7.3841626112000025
2021-12-06,36,14,32.31861504
2021-12-07,59,10,-4.206720511999997
2021-12-08,47,10,0.3133693952000023
2021-12-09,40,10,24.8393797632
2021-12-10,10,4,1.3046236160000007
2021-12-11,0,0,-15.00882944
2021-12-12,0,0,-7.302527692800002
2021-12-13,40,18,4.6478284799999985
2021-12-14,37,27,38.267657215999996
2021-12-15,37,20,17.498203750400002
2021-12-16,34,18,21.874282188800006
2021-12-17,35,17,-10.055126630399997
2021-12-18,1,2,-17.6349421568
2021-12-19,0,1,-8.380825804800002
2021-12-20,31,23,6.660394803199996
2021-12-21,49,20,4.286318591999999
2021-12-22,36,11,1.3038297088000004
2021-12-23,25,9,4.887960576000001
2021-12-24,3,2,-9.744634675199999
2021-12-25,0,0,-4.117788160000001
2021-12-26,2,0,-2.236103065600001
2021-12-27,12,4,-1.430840320000001
2021-12-28,13,6,-0.09260902400000015
2021-12-29,4,1,2.7258369024
2021-12-30,5,4,-1.3102767103999993
2021-12-31,2,0,-1.2969596927999998
2022-01-01,2,0,-0.5967741952
2022-01-02,0,0,-0.2603520000000002
2022-01-03,4,8,17.8156288
2022-01-04,25,24,16.659824640000004
2022-01-05,28,19,14.128398848000002
2022-01-06,23,14,9.4762084352
2022-01-07,4,26,5.928851660800001
2022-01-08,0,0,-14.4943341568
2022-01-09,0,0,-6.269785600000002
2022-01-10,36,21,27.997061119999998
2022-01-11,37,18,9.296812544000002
2022-01-12,45,15,10.908152729600001
2022-01-13,29,19,8.527675084800002
2022-01-14,27,14,0.3465290751999994
2022-01-15,2,0,-13.671889715199999
2022-01-16,0,0,-7.099583692800003
2022-01-17,24,19,9.675758079999998
2022-01-18,44,15,10.244194816
2022-01-19,28,19,16.2577818624
2022-01-20,45,19,10.973917696
2022-01-21,3,22,6.9483679744000035
2022-01-22,0,1,-15.465653452799998
2022-01-23,3,1,-7.308895334400001
2022-01-24,28,17,12.6758572032
2022-01-25,45,17,29.124705792
2022-01-26,27,15,6.998037196800006
2022-01-27,41,21,24.687401164800004
2022-01-28,35,17,0.1253907456000043
2022-01-29,0,1,-19.747241881599997
2022-01-30,1,0,-8.756013875200003
2022-01-31,57,30,16.581833523199997
2022-02-01,65,22,13.277958656000001
2022-02-02,36,25,10.919135846400003
2022-02-03,33,33,5.399653580800003
2022-02-04,34,26,4.524290150400002
2022-02-05,2,1,-13.5577575424
2022-02-06,0,0,-7.519096320000002
2022-02-07,32,25,17.649300479999997
2022-02-08,34,39,13.078437376000002
2022-02-09,35,40,3.9480413184000014
2022-02-10,49,36,6.285389619200004
2022-02-11,41,33,4.078960230400002
2022-02-12,2,0,-13.164312678399998
2022-02-13,0,0,-5.783463116800002
2022-02-14,35,1,27.4430833664
2022-02-15,43,27,23.023169536
2022-02-16,48,25,7.072107110400005
2022-02-17,43,30,1.867338752000002
2022-02-18,2,28,0.6414507008000001
2022-02-19,0,2,-14.150077952000002
2022-02-20,0,0,-6.629202022400002
2022-02-21,14,17,4.757655039999998
2022-02-22,22,13,17.252930048
2022-02-23,37,20,36.8415532032
2022-02-24,34,25,1.857153945600004
2022-02-25,4,22,5.300682137600003
2022-02-26,0,1,-17.234376396800002
2022-02-27,1,0,-8.351085465600002
2022-02-28,30,17,21.942748159999997
2022-03-01,34,18,25.561841152
2022-03-02,24,27,20.952145100800003
2022-03-03,40,33,15.107021516800003
2022-03-04,32,23,11.225460736000002
2022-03-05,0,0,-23.087517593599998
2022-03-06,1,0,-12.325996032000003
2022-03-07,39,8,38.787132723199996
2022-03-08,41,11,6.467723776000003
2022-03-09,59,11,7.533820006400003
2022-03-10,46,12,1.9767275520000034
2022-03-11,3,11,9.5477241856
2022-03-12,0,1,-16.597545164799996
2022-03-13,0,0,-9.725064294400001
2022-03-14,37,17,30.4502557696
2022-03-15,61,18,25.640091648000002
2022-03-16,56,21,7.012257587200004
2022-03-17,38,19,11.637191168000001
2022-03-18,42,17,8.943406796800002
2022-03-19,2,1,-22.6105012224
2022-03-20,1,0,-9.895578726400004
2022-03-21,51,25,14.869020569599996
2022-03-22,36,19,10.161699328
2022-03-23,39,22,12.825344307200002
2022-03-24,64,18,11.288476876800004
2022-03-25,9,12,3.1817068544000016
2022-03-26,0,4,-15.5779121152
2022-03-27,3,0,-7.641464217600001
2022-03-28,59,0,26.51300864
2022-03-29,79,23,37.368429568
2022-03-30,58,26,32.581804851200005
2022-03-31,50,31,-6.130606182399994
2022-04-01,40,24,7.693420441600004
2022-04-02,3,2,-22.8562547712
2022-04-03,0,0,-11.124030361600004
2022-04-04,37,28,35.0707448832
2022-04-05,27,32,26.144885248
2022-04-06,32,35,0.8147372032000035
2022-04-07,44,19,29.085204889600003
2022-04-08,6,22,-2.902270463999997
2022-04-09,1,0,-23.4124857344
2022-04-10,1,0,-10.721247129600002
2022-04-11,41,15,20.2895967232
2022-04-12,39,33,17.293436416000002
2022-04-13,46,27,11.729514598400002
2022-04-14,52,23,8.859934105600004
2022-04-15,21,13,-3.748819251199997
2022-04-16,5,0,-14.7193680896
2022-04-17,2,0,-7.657970790400002
2022-04-18,28,4,23.33174528
2022-04-19,63,13,31.379984896000003
2022-04-20,39,41,18.566773350400005
2022-04-21,29,35,4.609234841600006
2022-04-22,5,22,1.131724902400002
2022-04-23,0,2,-19.484218368
2022-04-24,1,2,-8.906285977600003
2022-04-25,16,19,41.302982963199995
2022-04-26,33,22,12.016264704000001
2022-04-27,36,24,19.083847577600004
2022-04-28,29,38,12.630985011200003
2022-04-29,28,28,11.703758745600002
2022-04-30,1,0,-26.1922239488
2022-05-01,1,0,-11.237946163200004
2022-05-02,25,22,9.020487679999999
2022-05-03,36,26,33.531329536
2022-05-04,55,31,9.142732390400003
2022-05-05,27,36,21.702471168000002
2022-05-06,34,24,-3.9322766335999937
2022-05-07,0,0,-17.018277171199998
2022-05-08,1,1,-9.350381158400001
2022-05-09,27,6,33.62191104
2022-05-10,35,4,26.586359808
2022-05-11,48,8,15.018917171200002
2022-05-12,46,13,10.456030208000005
2022-05-13,2,8,-1.5225549823999955
2022-05-14,0,0,-7.3910551552
