,vercel/next.js,gatsbyjs/gatsby,gohugoio/hugo
2016-11-05,7,0.0,3
2016-11-06,6,0.0,4
2016-11-07,1,3.0,1
2016-11-08,0,-0.9000000000000001,0
2016-11-09,1,2.685,0
2016-11-10,0,-0.07850000000000001,0
2016-11-11,0,0.26451250000000015,0
2016-11-12,0,1.32733925,0
2016-11-13,1,2.0451699125,1
2016-11-14,4,2.64430492875,0
2016-11-15,0,-0.821355487796875,1
2016-11-16,3,-0.1294481734484374,2
2016-11-17,3,6.087203713453125,0
2016-11-18,2,2.363543294785937,2
2016-11-19,0,-2.5907607649984374,1
2016-11-20,0,-1.206714868014062,2
2016-11-21,2,3.2177353157375,1
2016-11-22,5,-1.755349493010938,52
2016-11-23,3,-0.8207349309468748,27
2016-11-24,1,-0.5165653587484375,1
2016-11-25,0,0.6198432006578122,0
2016-11-26,0,-0.593348476457813,0
2016-11-27,0,-0.26604051616406255,4
2016-11-28,3,6.864670905,1
2016-11-29,0,-2.203669367062501,3
2016-11-30,0,1.1809460970687504,3
2016-12-01,9,7.9602191375,1
2016-12-02,16,-3.21009477375,1
2016-12-03,4,-1.2879184667656243,3
2016-12-04,0,-0.7923744507328123,3
2016-12-05,3,-0.5536039162499999,0
2016-12-06,6,6.574819007640625,2
2016-12-07,0,-1.4425262026296881,0
2016-12-08,1,-0.23736889728124955,0
2016-12-09,6,9.00844272264375,1
2016-12-10,0,0.43211178090468705,2
2016-12-11,2,-2.5577042499999996,1
2016-12-12,1,0.7521512125000007,1
2016-12-13,1,-1.42532702875,0
2016-12-14,0,0.1787723463906249,1
2016-12-15,5,-0.9006075081453127,11
2016-12-16,7,0.5025186825015625,3
2016-12-17,12,-0.667120175889063,0
2016-12-18,2,-0.39106522439062535,0
2016-12-19,16,7.81853154956875,5
2016-12-20,30,-2.4951967960312507,1
2016-12-21,10,-0.9158443502156245,2
2016-12-22,20,-0.5151575792656248,5
2016-12-23,7,-0.3538406869828125,7
2016-12-24,9,-0.253638716765625,0
2016-12-25,2,-0.1998303132328125,4
2016-12-26,9,-0.15165819000000003,4
2016-12-27,8,9.872986265875,3
2016-12-28,9,-0.10866730586250073,10
2016-12-29,6,-0.9499999999999995,3
2016-12-30,6,-0.20999999999999952,0
2016-12-31,11,-0.9851249999999998,4
2017-01-01,9,-0.58219,5
2017-01-02,6,7.578368125,11
2017-01-03,5,6.270701924999999,5
2017-01-04,0,-3.80864010140625,4
2017-01-05,12,1.3532975811250005,6
2017-01-06,6,0.1676157697859375,6
2017-01-07,4,-1.5436846299984373,2
2017-01-08,5,-0.8558125632328122,1
2017-01-09,4,5.3993265475,0
2017-01-10,5,-2.2671149478750006,1
2017-01-11,2,5.989159155746875,3
2017-01-12,10,7.317315734654687,0
2017-01-13,3,2.938480302203125,0
2017-01-14,1,-3.8173251732296873,1
2017-01-15,5,-1.7779895014656242,2
2017-01-16,15,-1.1399103924999996,0
2017-01-17,4,0.16343366190624975,0
2017-01-18,2,2.0449482293531247,4
2017-01-19,3,4.531324207640624,0
2017-01-20,12,1.4389480234640617,1
2017-01-21,4,-2.2956336496875003,0
2017-01-22,5,-0.022291642629687303,1
2017-01-23,2,-0.8914166124999999,2
2017-01-24,2,14.46722863875,1
2017-01-25,2,0.10918528698437413,0
2017-01-26,7,-3.3832431560296867,1
2017-01-27,3,0.34094011470781305,1
2017-01-28,3,1.3317742910406247,0
2017-01-29,3,-1.82990717668125,1
