,electron/electron,AvaloniaUI/Avalonia,nwjs/nw.js
2014-01-05,0.0,0,0
2014-01-06,1.0,0,0
2014-01-07,13.8,0,0
2014-01-08,-0.8799999999999994,0,2
2014-01-09,5.431999999999999,0,2
2014-01-10,5.7344,0,0
2014-01-11,-2.7519360000000006,0,0
2014-01-12,-1.421132800000001,0,0
2014-01-13,5.02679808,0,1
2014-01-14,3.060228608,0,3
2014-01-15,4.9249596416,0,2
2014-01-16,1.4267362304000004,0,1
2014-01-17,-2.0626664448,0,0
2014-01-18,1.8203968512000002,0,0
2014-01-19,-1.3772076032,0,0
2014-01-20,-0.7568563200000005,0,0
2014-01-21,9.439894528,0,2
2014-01-22,-1.4477569023999992,0,0
2014-01-23,0.6926243839999999,0,0
2014-01-24,-0.1661227007999999,0,2
2014-01-25,-0.8446575616000002,0,0
2014-01-26,-0.5081231360000001,0,0
2014-01-27,4.6175679488,0,1
2014-01-28,-0.27436799999999995,0,1
2014-01-29,0.17280256000000027,0,0
2014-01-30,12.286636544,0,3
2014-01-31,15.0458285056,0,2
2014-02-01,0.11139358720000025,7,1
2014-02-02,-0.23774935040000145,9,0
2014-02-03,0.5686015999999992,4,0
2014-02-04,-1.1260620800000005,12,0
2014-02-05,-0.5708835840000004,6,0
2014-02-06,0.7328971775999995,1,0
2014-02-07,-1.3117425663999995,0,6
2014-02-08,-0.8852083711999987,0,3
2014-02-09,-0.5635894271999992,0,0
2014-02-10,0.7305451520000003,0,3
2014-02-11,-0.3689987071999997,0,1
2014-02-12,1.8104199168000001,0,0
2014-02-13,0.4912894976000002,0,2
2014-02-14,7.5651552256,0,1
2014-02-15,-1.8264747007999997,0,0
2014-02-16,-0.7756288000000007,0,0
2014-02-17,8.51440128,0,0
2014-02-18,-2.1495813119999996,0,1
2014-02-19,6.008960409599999,0,5
2014-02-20,5.958867456,0,4
2014-02-21,5.362859827199999,0,2
2014-02-22,-2.9333950464000003,0,0
2014-02-23,-1.5428140032000008,0,2
2014-02-24,12.016107519999998,0,0
2014-02-25,1.6544209920000004,0,0
2014-02-26,10.361570406399998,3,2
2014-02-27,0.9764418560000001,5,3
2014-02-28,-1.0546009088000003,0,3
2014-03-01,7.8611755008,0,0
2014-03-02,-2.3298092032,0,0
2014-03-03,11.08184064,0,3
2014-03-04,14.107871744,0,0
2014-03-05,-2.6313034751999993,0,0
2014-03-06,1.672161791999999,0,3
2014-03-07,-3.0385175552000003,0,0
2014-03-08,-1.7615861760000007,0,0
2014-03-09,-1.2517649408,0,0
2014-03-10,6.028545024,0,0
2014-03-11,-0.09315696639999915,0,0
2014-03-12,6.465995468800001,1,1
2014-03-13,9.5517549568,3,2
2014-03-14,2.5194533888,0,0
2014-03-15,9.147701247999999,0,0
2014-03-16,11.081126399999999,0,0
2014-03-17,-5.014832640000001,0,1
2014-03-18,-0.5820298240000015,0,0
2014-03-19,-2.1730362368000007,0,0
2014-03-20,2.5638341632,0,1
2014-03-21,-0.8981532671999994,0,2
2014-03-22,-1.3327111167999999,0,0
2014-03-23,-0.8244414463999994,0,0
2014-03-24,-0.5887054847999988,0,1
2014-03-25,3.6433623040000005,2,1
2014-03-26,3.0639733760000003,1,1
2014-03-27,1.7669256191999998,2,0
2014-03-28,4.813522432,9,0
2014-03-29,1.1693348864000002,0,0
2014-03-30,-1.4730133504000005,0,0
2014-03-31,-0.8126592000000006,3,0
2014-04-01,-0.5716300800000003,0,0
2014-04-02,3.559439872,0,1
