,jetbrains/kotlin,scala/scala,apache/groovy
2011-08-22,4.0,3,0
2011-08-23,3.5999999999999996,4,4
2011-08-24,0.4199999999999995,6,2
2011-08-25,-0.39400000000000035,5,0
2011-08-26,4.75835,4,0
2011-08-27,-0.6756169999999999,4,0
2011-08-28,-0.3627775499999997,1,5
2011-08-29,2.7443604150000005,4,7
2011-08-30,8.5008774504375,3,5
2011-08-31,14.80145389154375,3,2
2011-09-01,5.800526214340623,2,1
2011-09-02,11.097645166214061,2,10
2011-09-03,2.601845684921874,1,0
2011-09-04,3.129868949820313,0,6
2011-09-05,18.32959279875,5,4
2011-09-06,13.895813094703126,3,1
2011-09-07,4.550563135251562,8,6
2011-09-08,7.192565336426563,3,1
2011-09-09,15.240709991550002,3,2
2011-09-10,-0.46445493324062426,4,0
2011-09-11,-0.31002012929531064,0,2
2011-09-12,6.28097703474219,6,1
2011-09-13,8.964158040757816,4,9
2011-09-14,1.5799029330156262,3,3
2011-09-15,13.220144565264064,2,0
2011-09-16,1.4069199795562501,4,1
2011-09-17,-1.861044773390624,10,3
2011-09-18,2.8251979728062513,4,0
2011-09-19,5.8337306088609395,6,1
2011-09-20,2.527575832053126,4,6
2011-09-21,1.6922857640406257,6,5
2011-09-22,2.8881358762921883,5,11
2011-09-23,9.920400609621876,3,7
2011-09-24,4.222128659898438,1,0
2011-09-25,-0.50555878264375,2,0
2011-09-26,3.0169225741875003,8,3
2011-09-27,6.907811076246876,7,1
2011-09-28,4.507246391435938,16,3
2011-09-29,6.557179728309375,3,4
2011-09-30,2.338760706579688,7,2
2011-10-01,2.6206619566843754,1,1
2011-10-02,-0.27444800223906185,0,0
2011-10-03,4.134367186768751,4,0
2011-10-04,0.9150222504015633,7,0
2011-10-05,5.117382808231251,4,1
2011-10-06,-0.18362781838124964,3,2
2011-10-07,1.2296082956593757,4,2
2011-10-08,2.2990903801500004,0,0
2011-10-09,2.2765190790437506,5,0
2011-10-10,2.2656807705906252,4,1
2011-10-11,1.2646583648859377,5,4
2011-10-12,6.344423921289063,1,11
2011-10-13,18.902536945584373,3,0
2011-10-14,1.3960273917687487,2,8
2011-10-15,-0.6894778548171883,7,0
2011-10-16,-0.14514077036874973,4,0
2011-10-17,19.101426139595315,4,13
2011-10-18,4.353292023345313,5,12
2011-10-19,9.901141192610938,3,10
2011-10-20,5.5199228788187495,13,5
2011-10-21,13.723438224435938,7,0
2011-10-22,-1.9994785115312501,4,1
2011-10-23,4.273735080590626,2,0
2011-10-24,14.208323821948438,9,15
2011-10-25,1.206600863401564,2,51
2011-10-26,2.957093803171876,0,5
2011-10-27,16.25095475606094,2,9
