,minio/minio,ceph/ceph,seaweedfs/seaweedfs
2022-11-30,2.0,24.0,2
2022-12-01,3.6,29.0,1
2022-12-02,4.04,17.0,0
2022-12-03,-1.4160000000000001,17.0,0
2022-12-04,2.3407999999999993,35.0,0
2022-12-05,4.974527999999999,25.0,3
2022-12-06,5.2489984,16.0,2
2022-12-07,2.73275136,42.0,1
2022-12-08,2.8525736959999994,25.0,1
2022-12-09,-0.1813311488,46.0,0
2022-12-10,-0.6115183616000002,18.0,0
2022-12-11,-1.1824517120000004,5.0,3
2022-12-12,4.240594944,36.0,3
2022-12-13,5.412754636800001,30.0,1
2022-12-14,1.7530203136000004,33.0,0
2022-12-15,2.0897487872,28.0,0
2022-12-16,-0.812567552,30.0,0
2022-12-17,-1.1829288960000004,1.0,1
2022-12-18,2.2733775871999997,6.0,1
2022-12-19,2.8753514496,19.0,4
2022-12-20,0.5521152,21.0,1
2022-12-21,-0.20201881599999982,15.0,7
2022-12-22,5.1142280192000005,23.0,0
2022-12-23,3.2886370304000003,7.0,1
2022-12-24,0.17710448639999976,4.0,0
2022-12-25,-1.3176367104000004,15.0,0
2022-12-26,0.22113638399999969,5.0,1
2022-12-27,0.2335428608000002,5.0,0
2022-12-28,-0.6930323455999999,2.0,1
2022-12-29,2.5778972672,4.0,1
2022-12-30,1.0941131776000004,2.0,0
2022-12-31,0.12025589760000033,2.0,0
2023-01-01,0.358913024,2.0,3
2023-01-02,1.4609057792,4.0,0
2023-01-03,2.296877568,11.0,5
2023-01-04,4.0191845376,10.0,3
2023-01-05,0.5007568895999999,12.0,3
2023-01-06,1.8658186239999996,13.0,2
2023-01-07,-1.2554109952,4.0,0
2023-01-08,0.3222812671999997,5.0,0
2023-01-09,-0.6608769024000001,23.0,4
2023-01-10,1.5739590656,14.0,10
2023-01-11,0.2817989632000002,29.0,1
2023-01-12,6.4019135488000005,32.0,0
2023-01-13,2.2565616640000004,31.0,2
2023-01-14,-1.5637306368000001,0.0,2
2023-01-15,-0.7950067712000004,4.0,0
2023-01-16,3.492018688,10.0,7
2023-01-17,-0.17990359039999992,16.0,4
2023-01-18,1.1891522559999999,7.0,0
2023-01-19,3.0884713471999996,20.0,0
2023-01-20,2.6767097856000004,13.0,1
2023-01-21,2.5034196992,4.0,0
2023-01-22,-1.5363286016000002,10.0,0
2023-01-23,3.2143923199999995,23.0,1
2023-01-24,2.656120832,17.0,0
2023-01-25,4.4636222464,32.0,0
2023-01-26,2.9951891456,16.0,0
2023-01-27,1.9616883712000002,8.0,0
2023-01-28,-1.8996791296000002,8.0,1
2023-01-29,-1.0528874496000002,7.0,1
2023-01-30,1.2874845183999999,15.0,3
2023-01-31,3.090089472,10.0,1
2023-02-01,0.6267234304000002,15.0,5
2023-02-02,1.8814475264000001,15.0,1
2023-02-03,0.7663384576000003,3.0,0
2023-02-04,-0.041369599999999895,0.0,0
2023-02-05,0.2359209983999998,2.0,0
2023-02-06,6.356559359999999,5.0,3
2023-02-07,3.1908520960000004,21.0,6
2023-02-08,6.1296986112,50.0,0
2023-02-09,3.4345734144,15.0,2
2023-02-10,4.5368799232,8.0,7
2023-02-11,-1.7142909952000003,1.0,0
2023-02-12,-1.6437347328000007,8.0,0
2023-02-13,5.930623897599999,25.0,0
2023-02-14,1.8023366656000004,43.0,0
2023-02-15,0.010437427200000071,22.0,1
2023-02-16,3.496453632,26.0,0
2023-02-17,5.087803084800001,20.0,3
2023-02-18,-0.40160880639999963,9.0,4
2023-02-19,-1.6140187648000004,7.0,2
2023-02-20,2.0722564095999996,31.0,2
2023-02-21,-0.2681584639999999,15.0,3
2023-02-22,11.0332142592,41.0,5
2023-02-23,-1.9813600255999995,33.0,0
2023-02-24,1.4349780991999994,12.0,0
2023-02-25,3.436877824,19.0,1
2023-02-26,-0.8940832767999998,6.0,0
2023-02-27,7.8198203392,33.0,0
2023-02-28,-0.551571456,84.0,3
2023-03-01,-0.6879532032000006,30.0,0
2023-03-02,0.7833849856000001,25.0,3
2023-03-03,1.7791199232000001,19.0,0
2023-03-04,0.7342811135999998,2.0,0
2023-03-05,-0.1308045311999999,4.0,0
2023-03-06,2.1333314559999996,22.0,0
2023-03-07,1.8758870016000004,53.0,1
2023-03-08,1.7694081024000003,33.0,4
2023-03-09,1.7968617472,19.0,1
2023-03-10,0.7567814656,27.0,0
2023-03-11,-0.0837920768,8.0,0
2023-03-12,0.17419540479999995,13.0,0
2023-03-13,2.2951990272,32.0,2
2023-03-14,-0.0395070463999998,22.0,1
2023-03-15,4.2346902528,32.0,4
2023-03-16,1.5446550528000003,12.0,2
2023-03-17,1.6908105728,10.0,1
2023-03-18,-0.29374699520000025,0.0,0
2023-03-19,-0.8950755328000003,4.0,0
2023-03-20,6.449453977599999,3.0,7
2023-03-21,3.1998887936000004,17.0,1
2023-03-22,2.1320762367999997,18.0,1
2023-03-23,2.2419895295999996,16.0,0
2023-03-24,1.228081152,18.0,0
2023-03-25,-0.5562499072000002,3.0,1
2023-03-26,-0.08887736320000039,2.0,4
2023-03-27,1.1063556095999996,20.0,0
2023-03-28,0.001993216000000242,12.0,0
2023-03-29,2.1731459072000003,40.0,1
2023-03-30,3.9159731200000003,44.0,0
2023-03-31,4.4406267904000005,27.0,1
2023-04-01,-1.9590680576,1.0,0
2023-04-02,-0.9559160832000005,2.0,0
2023-04-03,0.3862526975999998,17.0,2
2023-04-04,6.3512621056,19.0,1
2023-04-05,1.1745334272,22.0,1
2023-04-06,6.5291611136,21.0,0
2023-04-07,8.5794930688,7.0,0
2023-04-08,-3.3934090239999994,4.0,0
2023-04-09,-0.6387969024000011,9.0,0
2023-04-10,-0.23333632000000049,21.0,2
2023-04-11,0.9519508479999996,24.0,1
2023-04-12,4.8637101056,25.0,6
2023-04-13,3.0678208512000005,6.0,0
2023-04-14,1.0261603328000002,14.0,1
2023-04-15,2.3408155648000006,4.0,0
2023-04-16,-1.7071903744,7.0,1
2023-04-17,3.1426119679999998,16.0,1
2023-04-18,0.5962366976,15.0,5
2023-04-19,0.8240429055999998,9.0,0
2023-04-20,-0.11132897279999998,31.0,1
2023-04-21,3.1303499776000003,3.0,2
2023-04-22,-1.3185607679999998,3.0,1
2023-04-23,-0.6629460992,3.0,1
2023-04-24,1.5648861184,9.0,3
2023-04-25,2.307802112,18.0,1
2023-04-26,5.0049209344,17.0,0
2023-04-27,5.3116439552,26.0,1
2023-04-28,3.8017667071999997,8.0,0
2023-04-29,-1.2698921984,3.0,1
2023-04-30,-0.3849430016000006,3.0,0
2023-05-01,-0.051555840000000464,26.0,1
2023-05-02,4.089519616,24.0,0
2023-05-03,7.3725202432,19.0,0
2023-05-04,2.3280698368,26.0,1
2023-05-05,-1.3166552064,15.0,0
2023-05-06,3.5634967552,11.0,0
2023-05-07,-0.8766393344000001,5.0,3
2023-05-08,2.8082482175999997,54.0,1
2023-05-09,3.4233701375999996,35.0,0
2023-05-10,0.09957160959999989,31.0,4
2023-05-11,3.54982144,19.0,1
2023-05-12,3.1368305664000005,8.0,0
2023-05-13,-0.9479408640000002,1.0,0
2023-05-14,-1.2179298304000004,1.0,0
2023-05-15,2.214342656,26.0,0
2023-05-16,7.8608086016000005,13.0,3
2023-05-17,2.5409065984000003,20.0,0
2023-05-18,1.8325642239999995,34.0,0
2023-05-19,2.0652603392,36.0,2
2023-05-20,-1.890220032,5.0,0
2023-05-21,-0.04784486400000043,7.0,2
2023-05-22,3.0988112895999995,46.0,2
2023-05-23,1.585808384,23.0,0
2023-05-24,-0.4033902591999996,18.0,1
2023-05-25,6.0008152064,32.0,0
2023-05-26,7.02845952,21.0,0
2023-05-27,-0.7388010495999997,2.0,0
2023-05-28,-0.7147273216000007,4.0,0
2023-05-29,-0.19611699200000055,8.0,2
2023-05-30,3.0016188416,22.0,2
2023-05-31,4.5220071424,18.0,1
2023-06-01,0.9931859967999999,13.0,0
2023-06-02,2.3624825855999996,5.0,0
2023-06-03,0.2410068992000005,9.0,2
2023-06-04,0.6539009024,1.0,1
2023-06-05,0.8560156671999999,28.0,5
2023-06-06,1.9158552575999996,25.0,4
2023-06-07,3.7417890816,20.0,1
2023-06-08,0.2770289664000003,11.0,0
2023-06-09,-0.2888157184,10.0,1
2023-06-10,0.07845806079999995,3.0,0
2023-06-11,2.2260281344,7.0,1
2023-06-12,4.9282660352,9.0,2
2023-06-13,2.2206897152,21.0,2
2023-06-14,0.3232709631999997,16.0,3
2023-06-15,6.7020351488,48.0,0
2023-06-16,0.6413143040000002,20.0,1
2023-06-17,0.25884446719999943,4.0,2
2023-06-18,1.6064459775999995,4.0,2
2023-06-19,1.5372199936,21.0,0
2023-06-20,3.5266131968,33.0,8
2023-06-21,4.1425412096,13.0,0
2023-06-22,0.8287750143999997,27.0,0
2023-06-23,5.2709138432,11.0,0
2023-06-24,-1.4106657791999995,5.0,1
2023-06-25,0.5884699647999996,45.0,7
2023-06-26,0.7089580031999998,17.0,9
2023-06-27,2.7924144128,17.0,0
2023-06-28,0.4594546688000003,29.0,0
2023-06-29,0.7488092160000002,16.0,0
2023-06-30,1.8728329216000001,8.0,0
2023-07-01,-1.2373783551999997,4.0,0
2023-07-02,-0.6817282048000002,8.0,0
2023-07-03,2.5809145856,24.0,1
2023-07-04,0.08584939520000023,30.0,2
2023-07-05,1.3261914112,8.0,1
2023-07-06,6.202207334400001,34.0,3
2023-07-07,5.1867057152000005,26.0,1
2023-07-08,5.7656901632,1.0,1
2023-07-09,-1.6874304512000005,4.0,0
2023-07-10,3.4665190399999988,16.0,1
2023-07-11,6.021100543999999,25.0,4
2023-07-12,0.27579719680000014,11.0,1
2023-07-13,5.979378585599999,26.0,1
2023-07-14,1.1748938752000004,25.0,0
2023-07-15,0.6756780031999998,1.0,0
2023-07-16,-1.9305458688,8.0,1
2023-07-17,1.8603854847999997,24.0,3
2023-07-18,2.6362039296,16.0,0
