,androidx/androidx,koush/ion,koush/androidasync
2013-08-01,6.0,0,4
2013-08-02,4.3999999999999995,5,0
2013-08-03,7.2299999999999995,0,0
2013-08-04,-1.196000000000001,1,0
2013-08-05,13.373525,0,0
2013-08-06,7.171987,0,1
2013-08-07,4.145144175,0,0
2013-08-08,10.33469376,0,2
2013-08-09,11.76605054065625,0,0
2013-08-10,-2.7095812502937497,0,0
2013-08-11,-1.5438346918046864,0,0
2013-08-12,4.915388819712502,1,1
2013-08-13,2.604552276531252,1,0
2013-08-14,11.676160419856252,0,0
2013-08-15,14.898607919082812,0,0
2013-08-16,2.1565003810968744,0,0
2013-08-17,-1.0495931126500002,0,4
2013-08-18,-1.339135510503124,0,2
2013-08-19,2.132509522500002,0,1
2013-08-20,11.021311924406252,0,0
2013-08-21,1.1071151189718755,0,2
2013-08-22,8.645996871903126,0,1
2013-08-23,15.120535602017188,0,1
2013-08-24,-2.7335160044390627,0,4
2013-08-25,-1.3964371131953122,0,0
2013-08-26,5.060900658714064,0,2
2013-08-27,0.686254668453127,1,0
2013-08-28,6.951097722454689,0,0
2013-08-29,4.474817655521875,0,0
2013-08-30,5.549552475985938,3,4
2013-08-31,-0.5826753466249999,3,1
2013-09-01,-1.0052860681109366,1,4
2013-09-02,0.409704797500001,0,0
2013-09-03,-0.5547313705937488,0,0
2013-09-04,-0.4157311362468739,5,2
2013-09-05,6.703342775803126,2,2
2013-09-06,0.06391891536875005,1,0
2013-09-07,-0.559581752575,0,0
2013-09-08,-0.32602229326718746,0,0
2013-09-09,4.807369951214063,0,0
2013-09-10,2.356951936984375,2,0
2013-09-11,9.358350309964063,6,4
2013-09-12,2.6316821137499993,2,2
2013-09-13,5.8831156126406245,1,0
2013-09-14,2.624068469232812,4,3
2013-09-15,5.841815834964063,1,1
2013-09-16,4.58172798125,1,7
2013-09-17,3.5491527211718754,5,0
2013-09-18,12.600748535773437,0,0
2013-09-19,10.737506939735937,0,0
2013-09-20,2.4381420488281247,0,0
2013-09-21,5.078904526246875,0,0
2013-09-22,-0.9190519185640615,2,3
2013-09-23,2.715307158746877,0,0
2013-09-24,17.68673124790469,0,0
2013-09-25,11.24162615970625,0,0
2013-09-26,4.111541491351562,0,4
2013-09-27,-0.3598413234562501,0,0
2013-09-28,1.3811009657046893,0,0
2013-09-29,-0.35770745003906046,2,0
2013-09-30,4.974914696732815,0,0
2013-10-01,2.673637241651564,0,0
2013-10-02,18.744439807559377,1,0
2013-10-03,17.182472770848438,6,2
2013-10-04,11.599672693387499,0,0
2013-10-05,-3.273722195032814,0,1
2013-10-06,-0.8582854153687489,1,0
2013-10-07,-1.417060098123435,0,0
2013-10-08,5.949303734370316,0,0
2013-10-09,5.455968207721877,0,0
2013-10-10,12.320071717043751,0,0
2013-10-11,-2.45636550478125,0,3
2013-10-12,-1.2988012584531243,0,0
2013-10-13,0.20646876571093842,0,1
2013-10-14,1.3962053494843767,5,9
2013-10-15,2.3511766862140635,2,0
2013-10-16,0.2525977601406255,1,1
2013-10-17,2.406255593639063,0,0
2013-10-18,0.31930990002968773,0,0
2013-10-19,-0.4884669480031245,0,0
2013-10-20,-0.23693047124999977,0,0
2013-10-21,4.822154006984375,1,1
2013-10-22,8.357008670182813,8,0
2013-10-23,-0.23719912786875064,0,0
2013-10-24,1.2712920281265623,0,0
2013-10-25,0.3469900121671876,1,0
2013-10-26,-0.5198111206234366,0,0
2013-10-27,-0.3419221650359368,2,3
2013-10-28,-0.2598683437499993,0,0
2013-10-29,0.7862571561718756,0,0
2013-10-30,2.718356448929688,0,0
2013-10-31,0.5344926091609375,0,0
2013-11-01,7.697870825182813,0,0
2013-11-02,-0.9775285180875006,0,0
2013-11-03,-0.47500310253593747,7,1
2013-11-04,2.6898252375,1,0
2013-11-05,11.46800351625,5,9
2013-11-06,-1.5199454142656257,4,4
2013-11-07,2.2210064121671875,0,2
2013-11-08,10.172498059376563,0,0
2013-11-09,-1.6162456066609372,0,1
2013-11-10,0.11942214221250047,0,0
2013-11-11,5.333287261250001,0,1
2013-11-12,8.917532955953126,0,1
2013-11-13,5.3447133987046875,4,7
2013-11-14,2.3794880433187497,0,0
2013-11-15,-0.2908273477968748,0,0
2013-11-16,-0.9264355132796864,0,0
2013-11-17,-0.647258149145311,6,2
2013-11-18,6.5682821344843765,2,0
2013-11-19,1.945990719370313,3,0
2013-11-20,4.092503080878125,6,0
2013-11-21,2.95699648603125,0,4
2013-11-22,3.036703583935938,1,3
2013-11-23,-0.9404684731593749,0,0
2013-11-24,-0.5461956900359369,0,0
2013-11-25,-0.3943756612499992,0,2
2013-11-26,9.686813657640625,0,0
2013-11-27,-1.2600804380484376,0,0
2013-11-28,-0.6200609576859374,1,1
2013-11-29,-0.40964229974218735,0,0
2013-11-30,-0.27849366220624905,0,0
2013-12-01,-0.19476291014374938,0,0
2013-12-02,0.8683798750000004,1,2
2013-12-03,-0.21093696249999977,0,0
