,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-03-12,4,16.0,5
2014-03-13,27,16.6,6
2014-03-14,17,21.880000000000003,7
2014-03-15,36,-11.983999999999996,8
2014-03-16,31,-5.0976,0
2014-03-17,37,27.651967999999997,0
2014-03-18,10,-8.3091072,4
2014-03-19,43,14.629501439999999,1
2014-03-20,44,9.630640128000003,2
2014-03-21,24,1.2709476352000006,0
2014-03-22,18,-6.492454502399999,0
2014-03-23,49,-4.925031014400002,0
2014-03-24,32,31.855359999999997,5
2014-03-25,52,25.209337753600003,0
2014-03-26,35,5.2480208896000065,0
2014-03-27,20,2.6145458176000034,1
2014-03-28,14,-7.860542771199999,1
2014-03-29,19,-10.9538255872,2
2014-03-30,22,-6.491630489600003,2
2014-03-31,10,15.900367974399998,3
2014-04-01,8,16.0512416768,1
2014-04-02,12,21.547913113600003,5
2014-04-03,4,1.2832171008000053,0
2014-04-04,11,0.5487636480000049,1
2014-04-05,8,-9.7193649152,0
2014-04-06,16,5.276855091199998,0
2014-04-07,9,31.4835206144,3
2014-04-08,5,10.0442586112,4
2014-04-09,8,5.597507891200003,3
2014-04-10,21,-4.830285926399998,5
2014-04-11,22,3.2650745856000007,4
2014-04-12,25,-11.2976820224,0
2014-04-13,12,4.070548377599998,0
2014-04-14,16,18.472739328,0
2014-04-15,16,0.9463415808000022,1
2014-04-16,11,-6.454894489599999,0
2014-04-17,2,2.271302758400001,6
2014-04-18,6,1.1753304064000005,3
2014-04-19,4,-7.109301248000001,0
2014-04-20,4,-3.2436342784,0
2014-04-21,8,1.0477229055999997,2
2014-04-22,14,14.4195482624,1
2014-04-23,26,16.917695385600002,2
2014-04-24,4,3.3570811904000024,2
2014-04-25,3,-0.7313207296000002,2
2014-04-26,9,-7.306278604799999,4
2014-04-27,11,-1.0820966400000005,5
2014-04-28,0,8.455274291199999,8
2014-04-29,3,4.2240817152000005,13
2014-04-30,6,0.7793235968000012,4
2014-05-01,23,0.7123859456000012,1
2014-05-02,9,9.4529902592,2
2014-05-03,4,-5.337451417599999,1
2014-05-04,0,-5.3089189888,2
2014-05-05,13,17.2930371584,7
2014-05-06,6,6.163451596800002,2
2014-05-07,11,4.857082777600002,5
2014-05-08,8,27.8758370304,0
2014-05-09,9,-15.478210867199998,0
2014-05-10,1,-7.802998886400001,15
2014-05-11,21,-2.1398893568000013,2
2014-05-12,11,8.607904972799998,2
2014-05-13,8,20.1299328,1
2014-05-14,10,5.239977472000003,0
2014-05-15,8,1.4312077312000024,0
2014-05-16,9,-1.6869908479999989,2
2014-05-17,0,-8.2683889664,0
2014-05-18,3,-0.6506376192000012,11
2014-05-19,5,13.4769078272,0
2014-05-20,0,4.181661593600001,1
2014-05-21,2,-5.659715174399999,0
2014-05-22,1,23.2049949696,0
2014-05-23,0,15.465424384000002,0
2014-05-24,6,-7.311288831999995,0
2014-05-25,0,-10.67168512,1
2014-05-26,9,28.8282161152,0
2014-05-27,0,8.970355916799999,0
2014-05-28,4,12.0234781696,1
2014-05-29,1,19.3430407168,0
2014-05-30,5,-9.029857075199999,1
2014-05-31,1,-9.1254915072,5
2014-06-01,5,-8.813402624000002,5
2014-06-02,1,12.184968191999998,6
2014-06-03,4,40.916562432,0
2014-06-04,1,3.072538316800003,1
2014-06-05,1,4.994854195200002,4
2014-06-06,3,1.6712173567999997,3
2014-06-07,1,-6.910032486400002,3
2014-06-08,4,-8.6497206272,0
2014-06-09,0,-3.3109091328000027,4
2014-06-10,1,34.840845107199996,2
2014-06-11,2,6.7347547136000045,0
2014-06-12,6,-1.4652015615999971,0
2014-06-13,1,9.6991351808,0
2014-06-14,0,12.9029747712,5
2014-06-15,0,-14.486514892799999,6
2014-06-16,0,1.679673855999999,2
2014-06-17,1,6.284199321600001,0
2014-06-18,0,6.539795660799999,0
2014-06-19,1,-0.6563529727999988,2
2014-06-20,2,2.7285684224000004,2
2014-06-21,3,-6.9929767936000005,0
2014-06-22,5,-1.8287808511999994,2
2014-06-23,6,21.1684072448,1
2014-06-24,6,32.1026039808,1
2014-06-25,10,2.1203244032000015,1
2014-06-26,1,16.683202355200002,1
2014-06-27,3,-16.8013502464,0
2014-06-28,12,-10.948318617600002,3
2014-06-29,4,-6.110208614400002,6
2014-06-30,2,17.865204121599998,5
2014-07-01,0,4.097683660800001,0
2014-07-02,1,10.532504883200001,0
2014-07-03,0,7.1594045440000045,0
2014-07-04,9,7.078543360000001,0
2014-07-05,5,-9.176258048,4
2014-07-06,3,-7.827613184000002,9
2014-07-07,2,4.751892479999999,0
2014-07-08,0,2.4448629759999996,2
2014-07-09,0,10.0725776384,0
2014-07-10,0,9.988034867200001,0
2014-07-11,0,4.909172838400002,0
2014-07-12,4,-11.6108520448,2
2014-07-13,0,-1.8479766528000008,10
2014-07-14,0,5.934821375999999,1
2014-07-15,1,9.641649152,0
2014-07-16,1,8.675667660800002,2
2014-07-17,0,5.984583884800001,0
2014-07-18,2,-7.322838425599999,0
2014-07-19,0,-4.339619840000001,0
2014-07-20,1,-2.098344345600001,1
2014-07-21,1,8.861080064,0
2014-07-22,18,2.2591978496000005,2
2014-07-23,4,14.53747456,3
2014-07-24,26,-3.272829644799998,0
2014-07-25,24,4.537473433600001,2
2014-07-26,15,-4.198683033599998,3
2014-07-27,3,0.9110284287999999,4
2014-07-28,4,9.9071847424,6
2014-07-29,0,13.4301569024,6
2014-07-30,1,8.630709350400004,1
2014-07-31,1,12.774615756800001,2
2014-08-01,5,-6.8340185088,1
2014-08-02,1,-7.9239952384,1
2014-08-03,0,1.2545839103999983,7
2014-08-04,4,5.7505323008,4
2014-08-05,1,-6.111656140799999,2
2014-08-06,2,9.451009024000001,0
2014-08-07,7,-1.2432367615999986,1
2014-08-08,2,-6.1909352448,0
2014-08-09,3,3.1547389952,2
2014-08-10,3,-1.0399511552000007,1
2014-08-11,1,24.9714125824,4
2014-08-12,0,-5.783345561599997,2
2014-08-13,1,24.7965804544,7
2014-08-14,10,-11.102882201599996,5
2014-08-15,2,11.034300620799998,1
2014-08-16,2,-8.646556057599998,1
2014-08-17,0,-1.1298795520000002,2
2014-08-18,0,8.4601618432,0
2014-08-19,0,3.341669273600001,0
2014-08-20,1,10.338999705600001,1
2014-08-21,0,10.663420518400002,1
2014-08-22,0,3.5165901824000017,2
2014-08-23,5,9.903595008,1
2014-08-24,3,-9.099793715199997,4
2014-08-25,7,7.140792729599999,1
2014-08-26,4,13.692937728,0
2014-08-27,2,11.640342220800001,0
2014-08-28,2,5.656992870400003,0
2014-08-29,8,14.376159436800002,0
2014-08-30,10,-12.809854873599996,0
2014-08-31,29,-5.1957431296,4
2014-09-01,4,27.4820347904,1
2014-09-02,16,6.779792896000004,2
2014-09-03,9,-0.2066943999999964,0
2014-09-04,5,6.778035404800001,2
2014-09-05,8,-0.0008337408000009816,0
2014-09-06,0,-4.657590169599999,0
2014-09-07,5,-6.170443776000001,0
2014-09-08,5,42.127598899199995,0
2014-09-09,7,3.2309288960000053,1
2014-09-10,3,3.244564992000001,1
2014-09-11,0,7.335753216000004,0
2014-09-12,4,12.014241382400002,1
2014-09-13,4,-17.1192470528,1
2014-09-14,3,2.0194846719999973,3
2014-09-15,3,4.219973529600001,4
2014-09-16,12,-2.7219416063999997,0
2014-09-17,10,3.5005628416000008,0
2014-09-18,3,5.0534920192,0
2014-09-19,1,15.3121588224,4
2014-09-20,3,-6.236135731199997,2
2014-09-21,5,-0.7598349312000003,0
2014-09-22,9,28.664973414400002,9
2014-09-23,15,5.893189427200003,8
2014-09-24,3,10.6440485888,4
2014-09-25,6,17.328062361600004,3
2014-09-26,9,4.478056550400002,0
2014-09-27,4,-13.2934090752,3
2014-09-28,18,-5.016887296,4
2014-09-29,10,29.515208089599998,6
2014-09-30,3,25.857189273600003,2
2014-10-01,5,5.5034601472000055,0
2014-10-02,0,18.862315212800006,0
2014-10-03,3,6.164074086399999,2
2014-10-04,9,-19.42976256,2
2014-10-05,6,-3.7635033088000043,15
2014-10-06,4,20.0602243072,4
2014-10-07,1,11.336641843199999,1
2014-10-08,5,3.7717789696000033,0
2014-10-09,4,-5.311207116799999,1
2014-10-10,6,6.673706598399999,0
2014-10-11,7,-13.608694681600001,2
2014-10-12,5,4.095728025599998,3
2014-10-13,10,17.481576448,0
2014-10-14,6,14.3073799168,0
2014-10-15,4,12.344530739200003,0
2014-10-16,0,-6.0773150719999975,2
2014-10-17,0,2.0383735808,0
2014-10-18,2,4.794391961600001,4
2014-10-19,6,-7.618846208000001,2
2014-10-20,2,19.2375616512,0
2014-10-21,1,38.7421535232,0
2014-10-22,2,-7.938386124799994,0
2014-10-23,0,3.6657328128000017,0
2014-10-24,3,1.8241382400000035,0
2014-10-25,1,-12.3959312384,0
2014-10-26,0,-7.498886656,0
