,grafana/grafana,getsentry/sentry,elastic/kibana
2021-06-22,10,33.0,60
2021-06-23,15,20.800000000000004,62
2021-06-24,13,7.440000000000005,69
2021-06-25,6,-2.1919999999999984,10
2021-06-26,1,-12.148800000000001,1
2021-06-27,2,-5.6828160000000025,1
2021-06-28,13,17.2878464,59
2021-06-29,12,19.881822720000002,81
2021-06-30,12,30.961854464000005,86
2021-07-01,17,4.017617817600005,48
2021-07-02,13,-1.6888179711999953,3
2021-07-03,0,-17.122725887999998,1
2021-07-04,1,-7.906713395200002,0
2021-07-05,14,7.936663039999997,17
2021-07-06,13,29.079449088,46
2021-07-07,24,14.331688755200005,42
2021-07-08,15,6.873402163200005,51
2021-07-09,14,15.3108059136,41
2021-07-10,2,-20.193234943999997,4
2021-07-11,2,-9.899060736000003,0
2021-07-12,19,36.22541312,33
2021-07-13,20,13.101489663999999,43
2021-07-14,19,24.2186182656,39
2021-07-15,17,10.452384153600004,36
2021-07-16,18,-4.191593267199998,35
2021-07-17,2,-19.901923430399997,1
2021-07-18,0,-9.446669312000001,2
2021-07-19,17,28.0554993664,31
2021-07-20,16,17.029177856,38
2021-07-21,27,18.4905918464,34
2021-07-22,23,15.288428236800005,43
2021-07-23,11,4.9768154112000005,4
2021-07-24,1,-22.0541236224,0
2021-07-25,0,-10.454628249600002,2
2021-07-26,18,8.605608959999998,41
2021-07-27,10,17.371528192,38
2021-07-28,5,11.410950348800004,48
2021-07-29,22,14.949202432000003,41
2021-07-30,13,2.3133946880000025,33
2021-07-31,0,-17.566203903999998,1
2021-08-01,0,-7.631802572800002,0
2021-08-02,9,13.385217843199998,40
2021-08-03,13,13.47010304,46
2021-08-04,26,8.662610432000001,26
2021-08-05,15,9.850909593600003,29
2021-08-06,10,16.6741902336,5
2021-08-07,0,-17.9804565504,1
2021-08-08,0,-8.743343206400002,0
2021-08-09,15,-0.9626828800000018,32
2021-08-10,16,-4.091449856000002,56
2021-08-11,11,-1.5423227904000005,46
2021-08-12,12,-2.1086907392,45
2021-08-13,18,-2.1958052863999997,47
2021-08-14,2,-0.2662415359999999,9
2021-08-15,2,1.8783446016,4
2021-08-16,11,-1.5435457535999997,61
2021-08-17,20,14.421128192,78
2021-08-18,23,10.640347340800002,44
2021-08-19,20,6.183767859200001,44
2021-08-20,11,-0.15357122559999858,36
2021-08-21,0,-7.2120583168,2
2021-08-22,0,-3.266747392000001,4
2021-08-23,21,13.888102707199998,48
2021-08-24,19,9.071992729600002,47
2021-08-25,15,13.1263488,47
2021-08-26,15,18.804153344000003,55
2021-08-27,23,2.0761606144000027,15
2021-08-28,1,-14.82680576,0
2021-08-29,2,-6.396578611200002,0
2021-08-30,9,22.01560064,38
2021-08-31,16,28.726591488,44
2021-09-01,25,7.861197107200002,47
2021-09-02,17,3.682728038400004,26
2021-09-03,5,-16.1163515904,46
2021-09-04,0,-8.838607257600003,0
2021-09-05,0,-5.134990336000003,1
2021-09-06,12,-3.4670489600000014,19
2021-09-07,20,25.343443968,41
2021-09-08,19,3.6685704192000035,53
2021-09-09,23,11.360986214400002,43
2021-09-10,21,2.1835770880000034,26
2021-09-11,0,-11.750267187199999,0
2021-09-12,1,-4.963452313600001,1
2021-09-13,26,27.8670464,41
2021-09-14,18,10.340753920000001,41
2021-09-15,25,13.535954944000002,46
2021-09-16,17,2.010070425600002,31
2021-09-17,22,2.770320998400001,6
2021-09-18,0,-13.9613609984,3
