,golang/go,llvm/llvm-project,gcc-mirror/gcc
2008-04-03,4,52.0,19
2008-04-04,0,6.200000000000003,21
2008-04-05,0,-11.04,9
2008-04-06,0,32.032,14
2008-04-07,0,28.9888,20
2008-04-08,0,-2.984703999999997,103
2008-04-09,0,7.123609600000002,16
2008-04-10,0,11.13941248,14
2008-04-11,0,6.510086656000002,10
2008-04-12,0,-4.8960229376000015,5
2008-04-13,0,2.4205625343999984,9
2008-04-14,0,34.1433628672,24
2008-04-15,1,5.082392371200001,19
2008-04-16,0,39.74019328,14
2008-04-17,0,-4.057688575999997,17
2008-04-18,3,20.992460185600002,21
2008-04-19,0,-8.604056985599996,8
2008-04-20,0,8.215189708799997,10
2008-04-21,0,15.3380312064,16
2008-04-22,0,1.1759121408000013,20
2008-04-23,0,38.690919424,16
2008-04-24,0,-12.716892262399995,24
2008-04-25,0,13.303082700800005,15
2008-04-26,0,-22.132325273599996,11
2008-04-27,0,-0.35780106240000187,3
2008-04-28,2,17.014569881599996,13
2008-04-29,1,16.0299942912,16
2008-04-30,0,9.702759628800003,22
2008-05-01,1,14.849228185600005,11
2008-05-02,5,2.568993382400002,7
2008-05-03,0,-15.869682790399999,13
2008-05-04,0,10.550612070399998,12
2008-05-05,0,17.771290316800002,11
2008-05-06,1,72.6097366016,28
2008-05-07,0,-15.936594943999992,17
2008-05-08,2,-0.5695953919999965,21
2008-05-09,4,14.635132518400003,13
2008-05-10,0,-8.216995225600002,17
2008-05-11,0,-16.688802713599998,9
2008-05-12,0,36.821417472,20
2008-05-13,0,7.583887974400003,11
2008-05-14,0,25.463565209600002,25
2008-05-15,2,-4.900728422399997,43
2008-05-16,1,12.37628672,27
2008-05-17,0,-14.5394473984,13
2008-05-18,0,-7.906799923200005,14
2008-05-19,0,21.229632204799998,15
2008-05-20,0,33.9466203136,77
2008-05-21,0,-3.5974969343999987,26
2008-05-22,0,9.127010508800002,17
2008-05-23,0,35.640578048,32
2008-05-24,0,-12.954913996800002,12
2008-05-25,0,-11.075964927999998,13
2008-05-26,0,-4.219331072000003,60
2008-05-27,0,28.0334352384,68
2008-05-28,1,-1.8115035135999982,38
2008-05-29,0,26.1712562176,20
