,golang/go,llvm/llvm-project,gcc-mirror/gcc
2012-04-03,10,65,14
2012-04-04,5,76,10
2012-04-05,15,65,14
2012-04-06,2,75,13
2012-04-07,2,33,8
2012-04-08,0,25,5
2012-04-09,8,45,6
2012-04-10,16,82,18
2012-04-11,8,75,44
2012-04-12,6,52,14
2012-04-13,3,68,24
2012-04-14,2,25,11
2012-04-15,1,24,7
2012-04-16,4,86,21
2012-04-17,7,52,24
2012-04-18,5,63,17
2012-04-19,7,66,14
2012-04-20,8,62,28
2012-04-21,4,30,7
2012-04-22,1,23,14
2012-04-23,9,60,21
2012-04-24,9,67,33
2012-04-25,18,72,33
2012-04-26,13,62,25
2012-04-27,10,56,17
2012-04-28,0,17,6
2012-04-29,1,15,10
2012-04-30,7,41,38
2012-05-01,7,90,12
2012-05-02,10,60,17
2012-05-03,7,78,40
2012-05-04,15,74,26
2012-05-05,0,20,7
2012-05-06,0,19,14
2012-05-07,7,67,24
2012-05-08,2,75,16
2012-05-09,4,63,28
2012-05-10,4,59,22
2012-05-11,2,68,19
2012-05-12,0,40,7
2012-05-13,1,20,9
2012-05-14,7,39,20
2012-05-15,14,75,52
2012-05-16,6,79,22
2012-05-17,8,49,14
2012-05-18,5,44,13
2012-05-19,1,45,5
2012-05-20,3,33,8
2012-05-21,5,41,32
2012-05-22,28,53,19
2012-05-23,10,44,14
2012-05-24,22,71,22
2012-05-25,6,50,20
2012-05-26,1,17,8
2012-05-27,1,27,3
2012-05-28,7,42,7
2012-05-29,23,50,33
2012-05-30,28,60,18
2012-05-31,8,53,30
2012-06-01,5,67,19
2012-06-02,9,31,4
2012-06-03,7,16,6
2012-06-04,22,53,25
2012-06-05,8,60,20
2012-06-06,13,71,15
2012-06-07,15,49,11
2012-06-08,9,61,6
2012-06-09,0,28,7
2012-06-10,1,12,1
2012-06-11,3,38,20
2012-06-12,2,29,45
2012-06-13,16,42,31
2012-06-14,5,50,30
2012-06-15,3,87,25
2012-06-16,0,33,3
2012-06-17,0,40,14
2012-06-18,2,34,26
2012-06-19,7,72,21
2012-06-20,1,103,24
2012-06-21,1,69,9
2012-06-22,3,93,20
2012-06-23,1,28,4
2012-06-24,10,23,5
2012-06-25,20,47,27
2012-06-26,5,52,23
2012-06-27,7,63,18
2012-06-28,4,77,17
2012-06-29,2,75,18
2012-06-30,6,16,3
2012-07-01,2,9,4
2012-07-02,6,97,16
2012-07-03,8,50,25
2012-07-04,1,31,13
2012-07-05,2,40,17
2012-07-06,1,80,19
2012-07-07,0,25,5
2012-07-08,4,12,8
2012-07-09,1,42,25
2012-07-10,3,49,16
2012-07-11,4,59,8
2012-07-12,7,51,14
2012-07-13,6,57,17
2012-07-14,2,12,6
2012-07-15,1,20,4
2012-07-16,4,84,46
2012-07-17,1,72,20
2012-07-18,1,59,24
2012-07-19,3,56,25
2012-07-20,2,50,22
2012-07-21,2,18,12
2012-07-22,2,6,9
2012-07-23,4,33,26
2012-07-24,2,45,21
2012-07-25,4,55,24
2012-07-26,4,60,19
2012-07-27,8,51,14
2012-07-28,2,16,3
2012-07-29,6,9,2
2012-07-30,22,69,17
2012-07-31,5,76,23
2012-08-01,7,47,17
2012-08-02,3,66,26
2012-08-03,13,57,15
2012-08-04,3,19,8
2012-08-05,7,10,3
2012-08-06,5,38,28
2012-08-07,12,76,13
2012-08-08,10,80,15
2012-08-09,10,77,16
2012-08-10,2,68,21
2012-08-11,0,15,9
2012-08-12,1,9,8
2012-08-13,4,63,16
2012-08-14,2,67,19
2012-08-15,11,80,17
2012-08-16,3,60,26
2012-08-17,7,66,24
2012-08-18,2,30,7
2012-08-19,0,7,11
2012-08-20,10,47,23
2012-08-21,4,80,13
2012-08-22,6,79,17
2012-08-23,9,67,18
2012-08-24,13,114,14
2012-08-25,1,14,13
2012-08-26,2,4,23
2012-08-27,3,59,23
2012-08-28,4,94,9
2012-08-29,5,70,17
2012-08-30,5,78,7
2012-08-31,17,76,15
2012-09-01,10,35,5
2012-09-02,2,17,12
2012-09-03,2,28,16
2012-09-04,8,48,29
2012-09-05,3,93,23
2012-09-06,8,81,16
2012-09-07,12,73,17
2012-09-08,3,36,6
2012-09-09,2,10,11
2012-09-10,11,86,18
2012-09-11,11,81,24
2012-09-12,10,85,17
2012-09-13,12,92,20
2012-09-14,9,87,38
2012-09-15,0,32,12
2012-09-16,3,22,12
2012-09-17,14,65,27
2012-09-18,22,97,27
2012-09-19,10,76,37
2012-09-20,9,53,24
2012-09-21,10,87,15
2012-09-22,6,36,12
2012-09-23,7,7,7
2012-09-24,31,48,19
2012-09-25,8,59,24
2012-09-26,19,80,21
2012-09-27,9,64,17
2012-09-28,8,54,20
2012-09-29,2,34,16
2012-09-30,3,15,14
2012-10-01,9,50,48
2012-10-02,4,85,45
2012-10-03,9,99,18
2012-10-04,8,86,35
2012-10-05,8,69,25
2012-10-06,12,18,21
2012-10-07,34,17,11
