,ant-design/ant-design,twbs/bootstrap,mui/material-ui
2015-08-07,16,0,5
2015-08-08,3,8,2
2015-08-09,5,1,2
2015-08-10,15,44,5
2015-08-11,8,13,2
2015-08-12,19,0,5
2015-08-13,3,32,15
2015-08-14,14,9,13
2015-08-15,4,5,4
2015-08-16,3,0,0
2015-08-17,31,14,7
2015-08-18,51,37,11
2015-08-19,43,72,7
2015-08-20,41,44,3
2015-08-21,28,43,15
2015-08-22,16,7,0
2015-08-23,11,45,0
2015-08-24,36,25,13
2015-08-25,30,27,1
2015-08-26,12,25,1
2015-08-27,25,15,1
2015-08-28,10,2,0
2015-08-29,1,10,2
2015-08-30,0,2,7
2015-08-31,27,3,0
2015-09-01,39,6,3
2015-09-02,2,36,3
2015-09-03,0,9,1
2015-09-04,0,0,0
2015-09-05,0,14,1
2015-09-06,0,17,1
2015-09-07,21,3,2
2015-09-08,20,9,3
2015-09-09,14,4,0
2015-09-10,14,10,9
2015-09-11,30,3,0
2015-09-12,4,2,1
2015-09-13,8,1,0
2015-09-14,13,1,1
2015-09-15,18,2,5
2015-09-16,27,6,4
2015-09-17,18,1,1
2015-09-18,7,0,0
2015-09-19,2,3,1
2015-09-20,1,3,2
2015-09-21,2,1,2
2015-09-22,7,5,11
2015-09-23,20,4,15
2015-09-24,8,7,24
2015-09-25,4,9,7
2015-09-26,0,2,3
2015-09-27,0,6,0
2015-09-28,0,6,10
2015-09-29,0,5,19
2015-09-30,0,0,11
2015-10-01,0,10,2
2015-10-02,17,2,7
2015-10-03,0,0,0
2015-10-04,0,3,0
2015-10-05,1,0,11
2015-10-06,3,2,14
2015-10-07,0,7,21
2015-10-08,1,4,2
2015-10-09,14,3,4
2015-10-10,2,3,4
2015-10-11,3,5,1
2015-10-12,4,5,0
2015-10-13,3,11,3
2015-10-14,13,2,21
2015-10-15,9,3,7
2015-10-16,3,5,3
2015-10-17,0,4,1
2015-10-18,0,0,2
2015-10-19,32,4,25
2015-10-20,8,3,21
2015-10-21,18,2,25
2015-10-22,23,1,6
2015-10-23,20,10,16
2015-10-24,2,14,0
2015-10-25,3,4,0
2015-10-26,20,7,5
2015-10-27,27,14,6
2015-10-28,22,7,4
2015-10-29,22,9,4
2015-10-30,22,8,4
2015-10-31,23,3,8
2015-11-01,4,0,6
2015-11-02,15,5,1
2015-11-03,32,9,12
2015-11-04,35,2,6
2015-11-05,24,1,7
2015-11-06,11,1,4
2015-11-07,0,0,3
2015-11-08,4,0,5
2015-11-09,5,0,15
2015-11-10,12,0,16
2015-11-11,16,7,5
2015-11-12,13,6,20
2015-11-13,48,44,5
2015-11-14,19,1,3
2015-11-15,6,45,2
2015-11-16,23,11,4
2015-11-17,6,0,5
2015-11-18,24,0,5
2015-11-19,43,9,13
2015-11-20,47,0,0
2015-11-21,3,0,6
2015-11-22,0,0,7
2015-11-23,17,4,4
2015-11-24,14,3,11
2015-11-25,21,1,5
2015-11-26,23,5,14
2015-11-27,15,1,10
