,apple/swift,rust-lang/rust,JetBrains/kotlin
2023-05-19,38,39,60
2023-05-20,12,62,0
2023-05-21,0,44,0
2023-05-22,31,64,17
2023-05-23,52,75,34
2023-05-24,38,75,20
2023-05-25,49,105,32
2023-05-26,44,119,32
2023-05-27,12,46,9
2023-05-28,8,51,0
2023-05-29,16,66,5
2023-05-30,30,72,23
2023-05-31,43,80,36
2023-06-01,49,100,27
2023-06-02,44,105,23
2023-06-03,24,61,0
2023-06-04,3,53,0
2023-06-05,55,116,15
2023-06-06,80,67,34
2023-06-07,108,73,31
2023-06-08,53,76,40
2023-06-09,46,66,21
2023-06-10,35,72,12
2023-06-11,5,62,0
2023-06-12,56,108,14
2023-06-13,56,84,25
2023-06-14,67,102,55
2023-06-15,61,78,22
2023-06-16,60,81,47
2023-06-17,19,73,5
2023-06-18,3,58,0
2023-06-19,17,125,30
2023-06-20,39,107,43
2023-06-21,67,111,36
2023-06-22,56,85,81
2023-06-23,54,77,36
2023-06-24,11,55,0
2023-06-25,0,61,8
2023-06-26,28,62,49
2023-06-27,33,113,24
2023-06-28,55,101,21
2023-06-29,62,93,13
2023-06-30,54,99,44
2023-07-01,14,61,9
2023-07-02,3,72,0
2023-07-03,24,112,39
2023-07-04,62,67,48
2023-07-05,50,100,64
2023-07-06,57,69,42
2023-07-07,70,89,28
2023-07-08,10,83,1
2023-07-09,6,41,0
2023-07-10,23,103,47
2023-07-11,49,53,26
2023-07-12,58,81,29
2023-07-13,38,84,32
2023-07-14,44,92,39
2023-07-15,4,33,0
2023-07-16,2,74,0
2023-07-17,46,76,56
2023-07-18,60,84,43
2023-07-19,99,80,49
2023-07-20,42,96,45
2023-07-21,57,103,65
2023-07-22,35,94,1
2023-07-23,8,38,0
2023-07-24,39,100,51
2023-07-25,66,94,37
2023-07-26,66,83,51
2023-07-27,67,90,82
2023-07-28,76,78,65
2023-07-29,9,73,3
2023-07-30,1,103,0
2023-07-31,29,131,68
2023-08-01,68,87,44
2023-08-02,79,109,41
