,kubernetes/kubernetes,hashicorp/nomad,docker-archive/classicswarm
2015-08-01,13,0,2.0
2015-08-02,3,0,-0.3999999999999999
2015-08-03,45,0,-0.16000000000000014
2015-08-04,51,5,6.904
2015-08-05,66,22,4.5328
2015-08-06,73,9,1.1889279999999998
2015-08-07,81,8,3.5431423999999994
2015-08-08,12,0,3.20294656
2015-08-09,5,0,-1.9531274240000003
2015-08-10,87,0,2.938043699199999
2015-08-11,63,6,4.4743321599999994
2015-08-12,87,5,-0.07924070400000005
2015-08-13,65,22,-0.5262158848
2015-08-14,51,23,-0.0871568384000001
2015-08-15,11,19,3.1262757888
2015-08-16,1,20,-0.3644165119999996
2015-08-17,72,4,-0.9052984320000002
2015-08-18,78,0,-0.5311047680000001
2015-08-19,70,0,0.6015780864000004
2015-08-20,65,12,2.5233089536000004
2015-08-21,72,1,-0.8435043327999998
2015-08-22,14,0,-0.40299274240000016
2015-08-23,3,27,-0.26454691839999983
2015-08-24,63,4,-0.19060111359999984
2015-08-25,56,7,-0.10950615040000002
2015-08-26,56,10,1.92178688
2015-08-27,40,20,3.534832128
2015-08-28,56,7,-0.0156324863999997
2015-08-29,21,7,2.3465919487999995
2015-08-30,3,6,-0.9392
2015-08-31,38,13,2.526528
2015-09-01,70,9,10.0793984
2015-09-02,65,1,0.3180953600000005
2015-09-03,61,6,5.1824808959999995
2015-09-04,68,6,-1.4295026687999997
2015-09-05,8,0,-0.46525327360000057
2015-09-06,7,29,-1.1146148864000003
2015-09-07,19,37,0.24728698879999977
2015-09-08,49,16,1.249004544
2015-09-09,59,15,2.0714093568000007
2015-09-10,77,20,1.8472221696000004
2015-09-11,72,22,0.8549224448000003
2015-09-12,34,22,-0.9953358847999999
2015-09-13,13,22,-0.5031578624000002
2015-09-14,44,44,0.6563383295999998
2015-09-15,66,42,0.546664448
2015-09-16,73,10,1.5156166656
2015-09-17,93,7,2.3122604032000003
2015-09-18,64,5,6.0439753728
2015-09-19,32,17,0.13868052480000026
2015-09-20,6,33,-1.2421035008000005
2015-09-21,64,31,-0.6852275200000004
2015-09-22,69,83,1.5200199679999997
2015-09-23,68,89,4.2320510976
2015-09-24,64,53,1.5539014656
2015-09-25,85,53,1.6765535232
2015-09-26,33,33,-1.3191754751999998
2015-09-27,2,23,-0.7191328768
2015-09-28,35,48,-0.43827630080000013
2015-09-29,52,26,6.68659456
2015-09-30,98,7,3.348696576
2015-10-01,72,11,1.2310561792
2015-10-02,94,21,3.507709952
2015-10-03,17,16,-1.7957711872
2015-10-04,6,5,-0.9281600512000006
2015-10-05,88,10,1.3885183999999997
2015-10-06,66,31,1.13476096
2015-10-07,79,15,4.065686016
2015-10-08,81,21,5.431851827200001
2015-10-09,91,14,19.846656512
2015-10-10,47,21,-3.427618611199999
2015-10-11,3,34,-1.8182763520000016
2015-10-12,95,23,2.1464089599999987
2015-10-13,74,11,5.941275136
2015-10-14,61,3,6.1216586752
2015-10-15,77,9,2.6185300992
2015-10-16,75,22,-0.04024217600000046
2015-10-17,25,9,0.658958643200001
