,golang/go,rust-lang/rust,nim-lang/Nim
2014-07-16,11,28,2
2014-07-17,10,27,2
2014-07-18,12,36,6
2014-07-19,6,20,10
2014-07-20,6,17,1
2014-07-21,8,58,0
2014-07-22,7,31,13
2014-07-23,9,29,8
2014-07-24,4,48,6
2014-07-25,5,43,0
2014-07-26,5,23,12
2014-07-27,0,23,5
2014-07-28,4,23,7
2014-07-29,12,48,6
2014-07-30,11,21,4
2014-07-31,12,41,3
2014-08-01,5,29,8
2014-08-02,1,27,7
2014-08-03,1,18,2
2014-08-04,2,23,0
2014-08-05,16,23,14
2014-08-06,47,41,5
2014-08-07,42,24,7
2014-08-08,13,28,9
2014-08-09,0,28,6
2014-08-10,0,13,11
2014-08-11,10,15,5
2014-08-12,37,41,10
2014-08-13,38,50,9
2014-08-14,18,25,14
2014-08-15,12,21,8
2014-08-16,4,14,4
2014-08-17,0,24,5
2014-08-18,9,30,0
2014-08-19,23,34,14
2014-08-20,5,22,4
2014-08-21,19,36,3
2014-08-22,10,18,5
2014-08-23,4,25,1
2014-08-24,12,23,0
2014-08-25,35,16,0
2014-08-26,11,15,0
2014-08-27,9,23,11
2014-08-28,33,21,21
2014-08-29,25,30,6
2014-08-30,16,23,18
2014-08-31,1,35,22
2014-09-01,15,11,1
2014-09-02,17,21,2
2014-09-03,14,18,4
2014-09-04,23,24,4
2014-09-05,18,31,9
2014-09-06,8,19,6
2014-09-07,10,25,2
2014-09-08,28,24,4
2014-09-09,17,45,15
2014-09-10,4,25,11
2014-09-11,11,19,8
2014-09-12,17,26,2
2014-09-13,0,15,6
2014-09-14,3,35,8
2014-09-15,12,36,0
2014-09-16,23,22,5
2014-09-17,13,61,7
2014-09-18,14,30,18
2014-09-19,22,21,5
2014-09-20,0,18,0
2014-09-21,1,12,7
2014-09-22,7,43,2
2014-09-23,5,19,2
2014-09-24,21,34,1
2014-09-25,16,31,1
2014-09-26,21,21,3
2014-09-27,1,16,3
2014-09-28,1,9,3
2014-09-29,14,47,0
2014-09-30,22,37,0
2014-10-01,12,40,4
2014-10-02,9,67,10
2014-10-03,9,43,0
