,metabase/metabase,apache/superset,getredash/redash
2019-12-22,-1.11243776,1,0
2019-12-23,-0.7602087936,0,0
2019-12-24,-0.4986071040000001,0,5
2019-12-25,-0.4036594687999998,0,7
2019-12-26,0.6840228864000004,0,3
2019-12-27,0.5736897536000007,0,0
2019-12-28,-0.41044858879999957,0,0
2019-12-29,-0.1654080512,0,0
2019-12-30,-0.08160000000000005,0,5
2019-12-31,-0.05913600000000002,3,1
2020-01-01,-0.04596480000000003,0,1
2020-01-02,-0.03735552000000002,1,0
2020-01-03,1.9686855680000002,3,0
2020-01-04,-0.4268570623999998,1,0
2020-01-05,-0.1724693504000001,0,0
2020-01-06,5.904,2,2
2020-01-07,2.7328,1,0
2020-01-08,3.6689279999999997,2,2
2020-01-09,1.3511423999999996,0,1
2020-01-10,11.57254656,5,1
2020-01-11,0.6036085760000001,0,0
2020-01-12,-2.401655500800001,0,3
2020-01-13,12.64424448,4,3
2020-01-14,9.238414848000001,2,3
2020-01-15,-3.4646549504,6,0
2020-01-16,5.547685478399999,4,2
2020-01-17,2.818327552,1,0
2020-01-18,0.02554081280000009,0,0
2020-01-19,-2.3352236032,0,0
2020-01-20,-1.3747618816000007,0,4
2020-01-21,7.008207872,2,4
2020-01-22,9.604015718400001,4,2
2020-01-23,5.448916172800001,6,7
2020-01-24,3.5655822336,6,0
2020-01-25,-0.20166123520000045,3,0
2020-01-26,-2.317467238400001,2,1
2020-01-27,1.6143295487999993,2,0
2020-01-28,0.41041663999999956,4,1
2020-01-29,-1.4216335359999999,7,1
2020-01-30,0.05164257280000062,4,0
2020-01-31,7.144304947200001,3,0
2020-02-01,-2.0875262975999993,1,0
2020-02-02,-0.9308069888000002,3,0
2020-02-03,2.4533541887999997,5,1
2020-02-04,5.028647424,4,0
2020-02-05,3.2690997248,6,0
2020-02-06,1.1707041791999997,2,1
2020-02-07,-1.5386014720000005,4,0
2020-02-08,-0.8857790463999999,2,0
2020-02-09,-0.6262572032,0,11
2020-02-10,1.5981670399999999,1,4
2020-02-11,-0.7234754559999999,1,2
2020-02-12,-0.42965432319999974,2,0
2020-02-13,4.7064651776,0,1
2020-02-14,2.8272901120000005,6,0
2020-02-15,4.7115199487999995,0,0
2020-02-16,-1.8008576000000003,0,1
2020-02-17,0.12614655999999935,4,0
2020-02-18,1.221144576,3,3
2020-02-19,0.08917329919999994,5,1
2020-02-20,2.2724351999999994,4,2
2020-02-21,6.92818176,0,0
2020-02-22,-2.2021939199999996,1,0
2020-02-23,-1.0253044736000003,1,2
2020-02-24,0.35706357759999996,9,3
2020-02-25,4.385922048,2,1
2020-02-26,3.5962541056,5,4
2020-02-27,0.29846302719999995,2,2
2020-02-28,-1.2646462464000003,0,0
2020-02-29,-0.7460457471999998,0,0
2020-03-01,-0.5118636031999999,0,6
2020-03-02,5.68604928,3,0
2020-03-03,1.5477626880000002,4,3
2020-03-04,5.7101008896,2,3
2020-03-05,-1.0961387519999999,6,0
2020-03-06,2.803277824,4,1
2020-03-07,0.5050452991999999,3,0
2020-03-08,-1.2023808000000005,3,1
2020-03-09,11.27280128,3,0
2020-03-10,5.063955968,5,2
2020-03-11,3.0137609215999994,5,1
2020-03-12,3.2961640448,2,0
2020-03-13,1.3225623551999997,6,0
2020-03-14,-1.2471056384000008,1,0
2020-03-15,-1.5376864256000005,0,1
2020-03-16,3.9816942591999993,3,1
2020-03-17,0.2337448960000006,4,3
2020-03-18,6.5753889792,5,1
2020-03-19,-1.3948925951999995,3,0
2020-03-20,0.6467219455999997,3,0
2020-03-21,-1.2081736704,0,0
2020-03-22,-0.6942811136000001,1,0
2020-03-23,2.5281514495999997,2,0
2020-03-24,1.0380416000000003,11,4
2020-03-25,1.061963264,3,0
2020-03-26,0.09817528320000035,13,0
2020-03-27,4.2952040448,6,0
2020-03-28,-0.36105277439999983,1,0
2020-03-29,-0.8524971008000004,2,0
2020-03-30,0.5036902399999996,4,1
2020-03-31,3.440589824,0,1
2020-04-01,0.8382542848000001,2,0
2020-04-02,1.0336791551999998,5,1
2020-04-03,-0.9299888128000001,2,3
2020-04-04,-0.5172706304,3,0
2020-04-05,-0.36250726399999994,0,1
2020-04-06,-0.22938327040000006,4,2
2020-04-07,-0.17402419200000002,7,0
2020-04-08,5.8552687616000005,2,1
2020-04-09,1.6874937344000005,8,0
2020-04-10,0.8662858752,2,0
2020-04-11,-0.9529387008000003,3,0
2020-04-12,-0.5056000000000003,0,1
2020-04-13,1.649984,3,2
2020-04-14,1.3336192,8,13
2020-04-15,2.22608128,9,0
2020-04-16,0.9660359680000004,3,0
2020-04-17,-0.9550326783999998,6,0
2020-04-18,0.5115445247999999,1,0
2020-04-19,-0.5136683008,3,1
2020-04-20,3.7014809599999996,4,1
2020-04-21,1.9770127360000003,6,1
2020-04-22,-1.0989518848,6,0
2020-04-23,-0.5594912768000001,2,0
2020-04-24,0.6349877248000001,8,3
2020-04-25,-0.44480942079999997,0,3
2020-04-26,-0.25271091200000007,0,0
2020-04-27,0.8105373695999999,3,0
2020-04-28,3.6580689920000005,5,1
2020-04-29,0.0014234624000004636,8,2
2020-04-30,2.3741631487999997,9,2
2020-05-01,1.07747328,4,0
2020-05-02,1.1376762879999998,1,1
2020-05-03,-0.8726421504000001,1,3
2020-05-04,1.5190220799999996,2,2
2020-05-05,0.2576686079999999,7,1
2020-05-06,1.3734946816,11,1
2020-05-07,-0.7829748736,5,1
2020-05-08,1.5944564736,5,4
2020-05-09,-0.6807089151999999,0,0
2020-05-10,-0.3473077248,1,0
2020-05-11,3.7737070592,5,3
2020-05-12,5.046240256,2,5
2020-05-13,2.3557481472,6,0
2020-05-14,6.4458976256,4,1
2020-05-15,-1.4011921408,2,2
2020-05-16,-1.3645194240000007,0,0
2020-05-17,-0.8582699008000005,4,0
2020-05-18,-0.6092236800000004,5,0
2020-05-19,1.521285632,7,0
2020-05-20,2.2071230464000005,12,3
2020-05-21,0.9517904896000005,4,2
2020-05-22,0.08209418240000044,2,1
2020-05-23,-0.6853425151999999,1,0
2020-05-24,-0.3403413504000002,1,4
2020-05-25,0.7673343999999999,2,0
2020-05-26,28.62018816,5,3
2020-05-27,-4.025949183999999,5,1
2020-05-28,2.109615923199998,5,0
2020-05-29,4.331289804799999,0,1
2020-05-30,-1.9352624128000002,0,0
2020-05-31,-1.840642150400001,0,4
2020-06-01,-0.24443392000000075,2,0
2020-06-02,0.8429998079999996,4,1
2020-06-03,-0.2580624383999983,6,1
2020-06-04,0.9484422144000009,5,0
2020-06-05,1.1546068992000003,3,0
2020-06-06,-0.8807234559999995,0,0
2020-06-07,-0.46277396479999994,1,2
2020-06-08,2.7410103296,1,0
2020-06-09,-0.7869419519999998,3,4
2020-06-10,0.6098989055999999,10,0
2020-06-11,-0.45803745279999997,4,4
2020-06-12,3.7441017856,4,0
2020-06-13,-0.9783221247999997,0,0
2020-06-14,-0.43982510080000026,0,0
2020-06-15,4.73168384,1,3
2020-06-16,0.8020080640000002,7,0
2020-06-17,1.0435212287999998,11,1
2020-06-18,2.1038970879999996,4,4
2020-06-19,8.8958237696,2,0
2020-06-20,-2.588430848,0,0
2020-06-21,-1.2142934016000009,3,0
2020-06-22,1.2426367999999994,10,0
2020-06-23,1.0407424,3,3
2020-06-24,-0.001622016000000004,10,1
2020-06-25,2.2352177152,7,5
2020-06-26,-0.08056903679999983,8,0
2020-06-27,-0.7875571711999996,1,0
2020-06-28,-0.4742231039999999,0,1
2020-06-29,0.7509529599999999,8,3
2020-06-30,0.6067343360000002,2,3
2020-07-01,-0.4374632447999999,5,5
2020-07-02,4.7614646272,7,4
2020-07-03,-0.1541592063999997,2,2
2020-07-04,-0.7109317632000002,3,0
2020-07-05,0.6215658495999997,1,0
2020-07-06,6.54664448,5,0
2020-07-07,-0.6725944319999999,4,1
2020-07-08,8.037462937599999,6,2
2020-07-09,5.6328682495999995,9,1
2020-07-10,1.2823987199999998,9,0
2020-07-11,-1.1815152640000006,1,0
2020-07-12,-1.4043336704000007,1,2
2020-07-13,5.076072448,4,1
2020-07-14,0.09934274560000045,13,2
