,apache/cassandra,linkedin/venice,voldemort/voldemort
2014-10-10,6.0,2.0,0
2014-10-11,3.0,-0.6000000000000001,0
2014-10-12,0.0,-0.20999999999999985,0
2014-10-13,6.0,-0.11899999999999994,0
2014-10-14,27.0,0.919675,0
2014-10-15,9.0,-0.35944050000000005,0
2014-10-16,24.0,-0.15156172499999992,1
2014-10-17,15.0,0.9025854525,0
2014-10-18,0.0,-0.37191593353125013,0
2014-10-19,0.0,-0.16188707646562497,0
2014-10-20,12.0,2.9172191375,0
2014-10-21,6.0,0.040880226249999874,0
2014-10-22,8.0,-0.6605969667656248,0
2014-10-23,11.0,-0.32036427573281234,0
2014-10-24,14.0,0.80105522625,0
2014-10-25,2.0,-0.44519996676562507,0
2014-10-26,0.0,-0.21814625073281244,0
2014-10-27,3.0,-0.13965268374999998,0
2014-10-28,2.0,0.8932500759531249,0
2014-10-29,13.0,2.6136527935359375,0
2014-10-30,11.0,-1.0418642757328125,0
2014-10-31,7.0,3.6065427262500003,0
2014-11-01,0.0,-1.434539216765625,0
2014-11-02,0.0,-0.5837911632328122,0
2014-11-03,22.0,0.6495583875000002,0
2014-11-04,26.0,-0.5494498612500001,0
2014-11-05,27.0,0.703370461984375,5
2014-11-06,8.0,0.4861629864703123,1
2014-11-07,10.0,-0.5617418346984375,0
2014-11-08,1.0,-0.25772711706250007,0
2014-11-09,2.0,-0.17727701543125005,0
2014-11-10,0.0,-0.08884002375,0
2014-11-11,7.0,0.931122170734375,0
2014-11-12,8.0,1.6441784505171875,1
2014-11-13,13.0,0.26016600948437496,0
2014-11-14,12.0,-0.5989601299984375,0
2014-11-15,3.0,-0.2777459132328124,0
2014-11-16,0.0,-0.16954524999999995,0
2014-11-17,0.0,0.8771161375000001,0
2014-11-18,2.0,-0.39523924875000005,0
2014-11-19,12.0,-0.18207212676562498,0
2014-11-20,2.0,0.8762058794859374,0
2014-11-21,8.0,-0.3832060432312501,0
2014-11-22,0.0,-0.14830366323281244,1
2014-11-23,0.0,-0.08278086249999997,0
2014-11-24,16.0,-0.05911977375,0
2014-11-25,5.0,-0.04559696676562504,2
2014-11-26,8.0,-0.03686427573281252,1
2014-11-27,1.0,-0.018957273750000003,0
2014-11-28,3.0,-0.015876716765625045,0
2014-11-29,1.0,-0.013583413232812524,0
2014-11-30,2.0,0.0,0
2014-12-01,20.0,0.0,0
2014-12-02,8.0,2.0,0
2014-12-03,1.0,-0.6000000000000001,0
2014-12-04,3.0,0.7900000000000001,0
2014-12-05,4.0,-0.419,0
2014-12-06,7.0,-0.1853249999999999,0
2014-12-07,2.0,-0.11894049999999996,0
2014-12-08,5.0,-0.08672422499999999,0
2014-12-09,7.0,-0.06763479750000001,4
2014-12-10,5.0,-0.05503429603125008,0
2014-12-11,4.0,-0.04612410021562505,0
2014-12-12,26.0,-0.015876716765625045,0
2014-12-13,0.0,-0.013583413232812524,3
2014-12-14,0.0,0.0,0
2014-12-15,9.0,0.0,1
2014-12-16,14.0,0.0,0
2014-12-17,8.0,0.0,1
2014-12-18,8.0,0.0,4
2014-12-19,30.0,0.0,1
2014-12-20,0.0,0.0,0
2014-12-21,0.0,0.0,0
2014-12-22,4.0,0.0,0
2014-12-23,0.0,0.0,5
2014-12-24,3.0,0.0,0
2014-12-25,1.0,0.0,0
2014-12-26,0.0,0.0,0
2014-12-27,2.0,0.0,0
2014-12-28,4.0,0.0,0
2014-12-29,0.0,0.0,0
2014-12-30,1.0,0.0,1
2014-12-31,0.0,0.0,0
2015-01-01,0.0,0.0,0
2015-01-02,6.0,0.0,0
2015-01-03,0.0,0.0,1
2015-01-04,0.0,0.0,0
2015-01-05,5.0,0.0,0
2015-01-06,11.0,0.0,0
2015-01-07,22.0,0.0,6
2015-01-08,15.0,0.0,1
2015-01-09,16.0,0.0,2
2015-01-10,5.0,0.0,1
2015-01-11,0.0,0.0,0
2015-01-12,10.0,0.0,1
2015-01-13,6.0,0.0,0
2015-01-14,27.0,0.0,0
2015-01-15,6.0,0.0,0
2015-01-16,2.0,0.0,0
2015-01-17,6.0,0.0,1
2015-01-18,0.0,0.0,0
2015-01-19,7.0,0.0,0
2015-01-20,8.0,0.0,0
2015-01-21,13.0,1.0,1
2015-01-22,14.0,0.7,1
2015-01-23,7.0,0.595,1
2015-01-24,2.0,-0.4644999999999999,0
2015-01-25,1.0,-0.2046624999999999,0
2015-01-26,6.0,-0.12938274999999996,0
2015-01-27,6.0,-0.09316361249999999,0
2015-01-28,27.0,1.92804161375,1
2015-01-29,14.0,-0.6581148530156251,0
2015-01-30,9.0,0.7415825962515625,0
2015-01-31,1.0,1.5515398700015623,2
2015-02-01,3.0,-0.7989084132328126,0
2015-02-02,2.0,-0.3289404999999998,1
2015-02-03,1.0,-0.20572422499999993,2
2015-02-04,9.0,1.8520402025,0
2015-02-05,12.0,-0.7144747960312502,0
2015-02-06,7.0,-0.3026858252156249,0
2015-02-07,0.0,-0.172791264265625,0
2015-02-08,0.0,-0.1256618467640626,0
2015-02-09,5.0,-0.08660732646562504,0
2015-02-10,16.0,-0.04656172499999999,0
2015-02-11,20.0,-0.037914547500000007,0
2015-02-12,15.0,1.9682465664687498,0
2015-02-13,18.0,0.37283317353437484,0
2015-02-14,0.0,-0.5099999999999999,1
2015-02-15,2.0,-0.22399999999999987,0
2015-02-16,0.0,-0.13982499999999998,0
2015-02-17,7.0,-0.099603,3
2015-02-18,7.0,-0.07628197499999999,0
2015-02-19,21.0,0.9388045899999999,2
2015-02-20,4.0,-0.35071070728125014,0
2015-02-21,0.0,-0.14804354323125002,0
2015-02-22,0.0,-0.07308341323281249,0
2015-02-23,0.0,-0.0401625,0
2015-02-24,6.0,-0.029720249999999997,1
2015-02-25,5.0,3.9767191375,0
2015-02-26,7.0,-0.21895727375000007,1
2015-02-27,5.0,0.2641232832343752,2
2015-02-28,0.0,-0.6565834132328123,1
2015-03-01,0.0,-0.3251499999999999,0
2015-03-02,3.0,-0.21854349999999995,0
2015-03-03,24.0,0.8369938,0
2015-03-04,31.0,-0.42883020750000006,2
2015-03-05,19.0,-0.21074500331250012,0
2015-03-06,4.0,0.8513323565531249,1
2015-03-07,0.0,-0.36962262999843765,0
2015-03-08,0.0,-0.14830366323281244,0
2015-03-09,5.0,-0.08278086249999997,0
2015-03-10,21.0,-0.05911977375,0
2015-03-11,16.0,-0.04559696676562504,1
2015-03-12,4.0,-0.03686427573281252,0
2015-03-13,9.0,0.98104272625,0
2015-03-14,0.0,-0.31587671676562507,2
2015-03-15,1.0,-0.11858341323281245,0
2015-03-16,6.0,-0.05949999999999997,0
2015-03-17,17.0,1.9598375,3
2015-03-18,27.0,6.37027975,21
2015-03-19,6.0,-0.33328086250000055,0
2015-03-20,10.0,-1.4729572737499994,0
2015-03-21,2.0,-0.7227017167656247,0
2015-03-22,4.0,-0.4731614132328124,2
2015-03-23,9.0,0.6650715250000001,0
2015-03-24,22.0,-0.560321085,1
2015-03-25,13.0,0.68398392521875,0
2015-03-26,7.0,0.4642816086749997,1
2015-03-27,14.0,0.4280001738390623,1
2015-03-28,5.0,-0.521387076465625,0
2015-03-29,3.0,-0.22794336249999989,0
2015-03-30,11.0,-0.14834002374999997,3
2015-03-31,27.0,0.890959670734375,2
2015-04-01,29.0,-0.38554179948281253,0
2015-04-02,3.0,2.836885146984375,0
2015-04-03,24.0,-1.0079174037484377,0
2015-04-04,1.0,-0.3846226299984373,0
2015-04-05,0.0,-0.22180366323281242,0
2015-04-06,4.0,0.8562316375,2
2015-04-07,13.0,0.5918819762499999,2
2015-04-08,11.0,-0.490719304265625,2
2015-04-09,10.0,-0.23495523448281241,3
2015-04-10,4.0,-0.1472926502968751,1
2015-04-11,0.0,-0.11063298969843757,0
2015-04-12,0.0,-0.05300111249999999,0
2015-04-13,3.0,-0.04223813625,1
2015-04-14,17.0,1.965166009484375,0
2015-04-15,34.0,-0.6294601299984377,0
2015-04-16,0.0,-0.2235834132328124,6
2015-04-17,16.0,-0.11899999999999994,0
2015-04-18,1.0,-0.080325,0
2015-04-19,0.0,-0.05944049999999999,0
2015-04-20,3.0,-0.04656172499999999,2
