,filamentphp/filament,thedevdojo/wave,thedevdojo/voyager
2021-04-25,0.0,0,0
2021-04-26,0.0,0,0
2021-04-27,0.0,0,0
2021-04-28,3.0,0,0
2021-04-29,-0.9000000000000001,0,0
2021-04-30,-0.3149999999999998,1,0
2021-05-01,-0.1784999999999999,0,4
2021-05-02,-0.1204875,0,0
2021-05-03,0.91083925,0,2
2021-05-04,-0.36984258750000004,1,0
2021-05-05,-0.16187182124999994,3,0
2021-05-06,0.8928698497031249,1,0
2021-05-07,5.619087260301562,1,0
2021-05-08,-1.9347202500000003,0,0
2021-05-09,-0.7127808624999995,0,1
2021-05-10,-0.4161197737499998,2,0
2021-05-11,-0.286571966765625,0,0
2021-05-12,2.7848142242671874,4,0
2021-05-13,-1.0586424487500001,2,0
2021-05-14,0.5553796407343752,0,0
2021-05-15,-0.5873437138265627,0,0
2021-05-16,-0.30698797939687505,0,0
2021-05-17,-0.14866074999999995,0,0
2021-05-18,-0.11000508749999999,0,0
2021-05-19,-0.08659207125000001,0,0
2021-05-20,-0.07091101279687513,2,0
2021-05-21,-0.059707513448437576,0,1
2021-05-22,0.9841232832343749,0,1
2021-05-23,1.6864165867671874,0,0
2021-05-24,-0.7050000000000001,0,2
2021-05-25,-0.26949999999999985,0,0
2021-05-26,0.8408375000000001,0,0
2021-05-27,-0.41004525000000003,0,1
2021-05-28,-0.18772136249999993,4,0
2021-05-29,-0.12501899874999997,0,0
2021-05-30,-0.09395376426562504,0,0
2021-05-31,-0.07505709676406261,0,0
2021-06-01,-0.05044768896562504,0,0
2021-06-02,-0.018957273750000003,0,0
2021-06-03,18.984123283234375,0,0
2021-06-04,-5.713583413232813,0,0
2021-06-05,-1.9949999999999986,0,0
2021-06-06,-1.1304999999999994,0,0
2021-06-07,-0.7630874999999999,0,0
2021-06-08,-0.56468475,0,0
2021-06-09,-0.44233638749999993,0,0
2021-06-10,-0.36018820125000006,0,0
2021-06-11,-0.30165761854687584,2,0
2021-06-12,-0.25808485142343796,0,2
2021-06-13,0.0,0,0
2021-06-14,0.0,0,0
2021-06-15,0.0,0,0
2021-06-16,0.0,0,0
2021-06-17,0.0,0,0
2021-06-18,0.0,0,0
2021-06-19,0.0,0,0
2021-06-20,0.0,0,0
2021-06-21,0.0,0,0
2021-06-22,0.0,0,0
2021-06-23,0.0,0,1
2021-06-24,0.0,0,0
2021-06-25,0.0,0,0
2021-06-26,0.0,0,0
2021-06-27,0.0,0,0
2021-06-28,0.0,0,0
2021-06-29,0.0,0,0
2021-06-30,0.0,0,0
2021-07-01,0.0,0,0
2021-07-02,0.0,0,0
2021-07-03,0.0,0,0
2021-07-04,0.0,8,0
2021-07-05,1.0,1,0
2021-07-06,-0.30000000000000004,0,0
2021-07-07,-0.10499999999999993,0,0
2021-07-08,1.9405000000000001,0,1
2021-07-09,-0.6401625000000001,0,1
2021-07-10,-0.23972024999999986,0,0
2021-07-11,-0.14228086249999994,0,0
2021-07-12,-0.09928227375,0,0
2021-07-13,-0.07531721676562504,1,0
2021-07-14,-0.06014513823281251,0,1
2021-07-15,-0.037914547500000007,0,0
2021-07-16,-0.03175343353125009,1,0
2021-07-17,-0.027166826465625047,1,0
2021-07-18,0.0,0,0
2021-07-19,13.0,0,0
2021-07-20,-3.9000000000000004,0,0
2021-07-21,-1.364999999999999,0,0
2021-07-22,-0.7734999999999996,0,0
2021-07-23,-0.5221125,0,0
2021-07-24,1.61363675,0,0
2021-07-25,-0.9026512125,0,0
2021-07-26,-0.4564445587499999,0,0
2021-07-27,-0.32539731795312554,0,0
2021-07-28,-0.2569093720265628,0,0
2021-07-29,-0.05944049999999999,0,0
2021-07-30,-0.04656172499999999,0,1
2021-07-31,-0.037914547500000007,0,0
2021-08-01,-0.03175343353125009,0,0
2021-08-02,-0.027166826465625047,0,0
2021-08-03,0.0,2,0
2021-08-04,0.0,0,0
2021-08-05,3.0,0,0
2021-08-06,1.0999999999999999,0,0
2021-08-07,-0.9149999999999998,0,0
2021-08-08,-0.38849999999999973,0,0
2021-08-09,-0.23948749999999994,0,1
2021-08-10,-0.16948575,0,0
2021-08-11,-0.12928308749999998,0,0
2021-08-12,-0.10343354625000001,0,0
2021-08-13,-0.08554469779687514,0,0
2021-08-14,-0.07250367322968766,0,0
2021-08-15,6.972833173534375,0,0
2021-08-16,-1.1000000000000005,0,0
2021-08-17,-0.034999999999999476,0,0
2021-08-18,-0.8214999999999997,0,0
2021-08-19,1.5543625,0,0
2021-08-20,-0.90770425,0,0
2021-08-21,1.5571512125000002,0,0
2021-08-22,-0.90470202875,0,0
2021-08-23,-0.44370015360937515,0,0
2021-08-24,-0.30835838314531266,0,0
2021-08-25,2.8436531450015625,0,0
2021-08-26,-1.0109384607328127,0,0
2021-08-27,-0.3933151585312499,0,0
2021-08-28,-0.24358137396562496,0,3
2021-08-29,17.84775906646875,0,0
2021-08-30,-1.516327576465625,0,0
2021-08-31,-3.159842587499999,0,3
2021-09-01,1.4521281787500009,0,2
2021-09-02,12.091444849703125,0,0
2021-09-03,6.748635260301562,0,0
2021-09-04,-5.786436524999999,0,0
2021-09-05,8.3521581225,0,0
2021-09-06,-1.0270457467812513,0,0
2021-09-07,-3.630884392753125,0,0
2021-09-08,33.13171945081875,0,0
2021-09-09,5.227810167203124,0,0
2021-09-10,2.2469156905828136,0,0
2021-09-11,-2.2231588739468755,0,0
2021-09-12,-3.94184192004375,0,0
2021-09-13,-3.9174442294218745,0,0
2021-09-14,22.41805114987656,0,0
2021-09-15,-1.3302308966812504,0,0
2021-09-16,8.559024409453125,0,0
2021-09-17,1.0005633918359358,0,0
2021-09-18,-2.3368064936453123,0,0
2021-09-19,-0.3979820568874999,0,0
2021-09-20,-3.6909749754281247,0,0
2021-09-21,-2.1526118202156246,0,0
2021-09-22,-1.563921296640626,0,0
2021-09-23,-1.2400169336953133,2,0
2021-09-24,-0.7294379710968759,0,0
2021-09-25,0.4844058056171867,2,0
2021-09-26,-0.561586681157813,0,0
2021-09-27,4.77715948000625,0,0
2021-09-28,-1.6138336529312503,0,0
2021-09-29,-0.5651624999999997,0,0
2021-09-30,5.67277975,0,0
2021-10-01,2.9759066374999996,1,0
2021-10-02,-2.29755852375,0,0
