,decaporg/decap-cms,strapi/strapi,TryGhost/Ghost
2020-05-25,6,24,11.0
2020-05-26,2,19,25.9
2020-05-27,3,6,6.804999999999997
2020-05-28,1,17,31.471499999999995
2020-05-29,0,21,-1.8467875000000031
2020-05-30,0,3,-2.850171749999999
2020-05-31,0,2,-1.890559387499998
2020-06-01,5,10,9.573402503750003
2020-06-02,1,11,26.75364163307813
2020-06-03,4,0,2.647472533182812
2020-06-04,1,0,13.942376141373437
2020-06-05,0,14,9.488620243359374
2020-06-06,0,0,4.644737324731251
2020-06-07,3,0,-2.6515019451078112
2020-06-08,0,5,27.301691228750002
2020-06-09,4,5,18.810300028078125
2020-06-10,0,0,15.348903708401563
2020-06-11,0,3,27.339322086598436
2020-06-12,0,0,29.174320059732814
2020-06-13,0,0,-6.808541382314063
2020-06-14,0,2,-3.838365199592185
2020-06-15,5,21,16.327330700962506
2020-06-16,0,4,10.06520015879688
2020-06-17,1,3,4.07421750209844
2020-06-18,7,7,31.82829141386094
2020-06-19,0,3,28.48597006403125
2020-06-20,0,0,-6.402147486696876
2020-06-21,5,1,-2.4624725762578112
2020-06-22,0,0,5.683830096250004
2020-06-23,1,5,21.445982955203128
2020-06-24,1,7,17.82057591209844
2020-06-25,2,3,8.441419266621875
2020-06-26,0,1,-1.9346841983343745
2020-06-27,0,0,-2.6692784937890597
2020-06-28,0,0,-1.7038277824718713
2020-06-29,1,3,18.90561281698438
2020-06-30,0,3,20.108398908339062
2020-07-01,3,2,20.055768687337498
2020-07-02,0,2,10.412382576543749
2020-07-03,0,1,10.01989978250625
2020-07-04,0,0,-3.6848942089984362
2020-07-05,0,0,-2.204123205071872
2020-07-06,4,3,23.379660287500002
2020-07-07,2,4,12.206564175937501
2020-07-08,0,540,43.197638352421876
2020-07-09,3,6,12.094013260548433
2020-07-10,0,3,7.512028596403125
2020-07-11,0,0,-4.487957920257813
2020-07-12,1,0,-2.8021397480031203
2020-07-13,0,0,10.991490643750005
2020-07-14,2,1,1.089847697109379
2020-07-15,5,13,7.670935967101565
2020-07-16,4,41,13.483521256440627
2020-07-17,0,5,6.846625432264064
2020-07-18,0,7,-2.581134017385937
2020-07-19,0,0,-1.4573832454671865
2020-07-20,0,16,19.026366398750003
2020-07-21,2,2,39.235124020796874
2020-07-22,0,11,23.269845002470312
2020-07-23,3,12,11.201602194699998
2020-07-24,0,8,22.036731503890625
2020-07-25,0,4,-5.711724770731249
2020-07-26,4,3,0.6771552246406296
2020-07-27,4,11,3.2371733000000043
2020-07-28,2,9,8.349127884687505
2020-07-29,0,16,6.965530148875003
2020-07-30,0,4,8.077149942287502
2020-07-31,0,4,-1.7576998435578117
2020-08-01,0,0,-1.6577609945328107
2020-08-02,1,0,-1.0925251284703101
2020-08-03,0,13,12.333427432937501
2020-08-04,1,19,28.157397178012502
2020-08-05,0,8,3.9875195916124984
2020-08-06,1,4,3.156236820698436
2020-08-07,0,21,10.71605383521875
2020-08-08,0,2,-2.729348440910936
2020-08-09,0,0,4.415692484964065
2020-08-10,1,11,28.237512573750003
2020-08-11,0,10,51.802191943296876
2020-08-12,0,18,3.1055261315640585
2020-08-13,1,7,14.834844579796874
2020-08-14,0,7,-0.07639424963124952
2020-08-15,0,1,-3.607855759418745
2020-08-16,2,0,-2.4954331354671826
2020-08-17,1,4,14.139672284406256
2020-08-18,0,1,27.87088086681563
2020-08-19,0,1,2.9263542362968753
2020-08-20,11,2,12.485728827315626
2020-08-21,0,1,13.486677880542187
2020-08-22,0,0,-2.7622241157968737
2020-08-23,0,1,-2.2385057126796855
2020-08-24,0,0,18.425444472500004
2020-08-25,0,7,12.760075808000002
2020-08-26,1,10,8.475011635940625
2020-08-27,3,6,14.755718964760938
2020-08-28,0,11,1.3687113227125005
2020-08-29,0,0,-2.613071658090623
2020-08-30,2,1,-1.6594070561265601
2020-08-31,2,7,15.851309022464065
2020-09-01,2,2,11.379776449687501
2020-09-02,0,7,20.06330561103125
2020-09-03,1,13,6.070802008237498
2020-09-04,0,8,9.886253154037501
2020-09-05,0,2,-3.1677806607249996
2020-09-06,2,0,-1.8366204751796849
2020-09-07,0,1,11.679328738750003
2020-09-08,5,5,15.649520643734377
2020-09-09,3,2,1.7419702359203129
2020-09-10,0,0,6.6998017401375005
2020-09-11,0,1,3.6603127102671884
2020-09-12,0,0,-1.9373193445624983
2020-09-13,2,0,-1.2002052454671857
2020-09-14,0,10,10.181319473750001
2020-09-15,1,4,14.241089585796876
2020-09-16,0,4,15.352958189001562
2020-09-17,0,2,12.788663748024998
2020-09-18,0,2,26.712041242679685
2020-09-19,0,0,-4.873883800917189
2020-09-20,7,0,-2.6309682527156237
2020-09-21,0,3,13.191675641250002
2020-09-22,0,87,23.102590191828128
2020-09-23,0,16,11.585738381354687
2020-09-24,0,13,25.923529210143748
2020-09-25,0,9,-3.408020741396876
2020-09-26,0,0,-3.206407281043748
2020-09-27,0,0,-2.144031263578122
2020-09-28,2,5,20.556639231250006
2020-09-29,1,9,6.6326195022656265
2020-09-30,0,7,12.03064805855469
2020-10-01,0,12,20.692401913315624
2020-10-02,0,32,31.74180657645625
2020-10-03,0,1,-5.939795702109377
2020-10-04,2,3,-2.081466980071874
2020-10-05,0,33,7.760667307500003
2020-10-06,1,14,5.305477963656255
2020-10-07,0,12,-2.621454629696872
2020-10-08,0,22,2.3667431194062525
2020-10-09,0,11,6.39426288458594
2020-10-10,0,3,-1.8656612419249983
2020-10-11,2,2,-1.0480065125437488
2020-10-12,8,25,4.463548624484376
2020-10-13,0,8,12.077401447307814
