,mui/material-ui,ant-design/ant-design,twbs/bootstrap
2015-08-07,5.0,16,0
2015-08-08,0.4999999999999998,3,8
2015-08-09,0.8750000000000002,5,1
2015-08-10,3.8925,15,44
2015-08-11,-0.02981250000000024,8,13
2015-08-12,3.5270737500000005,19,0
2015-08-13,12.7363301875,3,32
2015-08-14,7.454398906249999,14,9
2015-08-15,-2.165286106328124,4,5
2015-08-16,-3.9717423596953116,3,0
2015-08-17,4.855192896253126,31,14
2015-08-18,7.433214479706249,51,37
2015-08-19,1.8743169440546872,43,72
2015-08-20,-1.4839417290437495,41,44
2015-08-21,11.783726673601564,28,43
2015-08-22,-6.367306861445313,16,7
2015-08-23,-2.7646175265890616,11,45
2015-08-24,11.33584669331875,36,25
2015-08-25,-4.074231316109376,30,27
2015-08-26,-1.5830750308015622,12,25
2015-08-27,-0.8451393216703127,25,15
2015-08-28,-1.4136856491765628,10,2
2015-08-29,1.130073258817187,1,10
2015-08-30,5.764214839007812,0,2
2015-08-31,-2.6496081712500006,27,3
2015-09-01,1.867644295796875,39,6
2015-09-02,1.3684757749578123,2,36
2015-09-03,-0.6039954037484374,0,9
2015-09-04,-1.0775636049984372,0,0
2015-09-05,0.3815485017671878,0,14
2015-09-06,0.2663974002187499,0,17
2015-09-07,1.2575303186749998,21,3
2015-09-08,1.9839814486203124,20,9
2015-09-09,-1.337445334046875,14,4
2015-09-10,8.388779586254687,14,10
2015-09-11,-3.068453068964063,30,3
2015-09-12,-0.18074954948281197,4,2
2015-09-13,-1.0060564655156248,8,1
2015-09-14,0.39632023500156255,13,1
2015-09-15,4.270809081985937,18,2
2015-09-16,2.0705127607374996,27,6
2015-09-17,-1.0255859534484375,18,1
2015-09-18,-1.223833813390625,7,0
2015-09-19,0.2852592571546875,2,3
2015-09-20,1.292091170734375,1,3
2015-09-21,0.9870115005171876,2,1
2015-09-22,9.896993214484375,7,5
2015-09-23,11.138760545439062,20,4
2015-09-24,17.96557354302344,8,7
2015-09-25,-2.6627567321968755,4,9
2015-09-26,-3.0928304119828107,0,2
2015-09-27,-4.092713239265624,0,6
2015-09-28,7.519455368235938,0,6
2015-09-29,14.210413291253126,0,5
2015-09-30,2.8765602328624986,0,0
2015-10-01,-4.984669654545312,0,10
2015-10-02,2.9255390953828133,17,2
2015-10-03,-4.518800756196876,0,0
2015-10-04,-2.235994917926562,0,3
2015-10-05,9.503592885301563,1,0
2015-10-06,9.584377143593748,3,2
2015-10-07,14.744374762875,0,7
2015-10-08,-7.058109320845313,1,4
2015-10-09,-0.3936593953421852,14,3
2015-10-10,0.3129984061750002,2,3
2015-10-11,-2.3496693801296873,3,5
2015-10-12,-2.1969123362499996,4,5
2015-10-13,1.5079656705781246,3,11
2015-10-14,18.944612945970313,13,2
2015-10-15,-0.42866033483750154,9,3
2015-10-16,-1.9991779064203117,3,5
2015-10-17,-2.1947711510281245,0,4
2015-10-18,-0.10087104374374967,0,0
2015-10-19,23.071184292803125,32,4
2015-10-20,12.342617403017186,8,3
2015-10-21,15.217977813453127,18,2
2015-10-22,-5.879250045526561,23,1
2015-10-23,8.785455621001564,20,10
2015-10-24,-8.712151791676561,2,14
2015-10-25,-4.341750816464061,3,4
2015-10-26,2.055851946985938,20,7
2015-10-27,2.274869443143749,27,14
2015-10-28,-0.0871374016484392,22,7
2015-10-29,0.7040929604703114,22,9
2015-10-30,1.0840254885859366,22,8
2015-10-31,5.416895802353125,23,3
2015-11-01,2.269289575775,4,0
2015-11-02,-2.3920025437499994,15,5
2015-11-03,10.028218323671876,32,9
2015-11-04,1.1656890882421873,35,2
2015-11-05,3.0878031085406255,24,1
2015-11-06,-0.04240051499374964,11,1
2015-11-07,-0.2128541349937496,0,0
2015-11-08,2.34751010794375,4,0
2015-11-09,11.98528576979375,5,0
2015-11-10,9.9632585938375,12,0
2015-11-11,-2.3926821944203125,16,7
2015-11-12,15.153441124362502,13,6
2015-11-13,-3.566347929256249,48,44
2015-11-14,-2.317770643442187,19,1
2015-11-15,-1.8372996094781247,6,45
2015-11-16,1.0586620202234376,23,11
2015-11-17,1.8904939898515618,6,0
2015-11-18,1.6737289645078115,24,0
2015-11-19,9.775246266946874,43,9
2015-11-20,-5.492670857726563,47,0
2015-11-21,3.5633211052656257,3,0
2015-11-22,3.8305010360390623,0,0
2015-11-23,0.3345491692703124,17,4
2015-11-24,8.019772375221876,14,3
2015-11-25,0.09137018199062474,21,1
2015-11-26,10.253795791257813,23,5
2015-11-27,3.8378086908828113,15,1
