,getredash/redash,apache/superset,metabase/metabase
2019-10-02,2,2.0,10
2019-10-03,1,-0.6000000000000001,4
2019-10-04,0,5.79,3
2019-10-05,1,-1.9190000000000003,1
2019-10-06,6,2.2896750000000003,0
2019-10-07,2,-1.3164405,9
2019-10-08,0,0.3974632750000002,7
2019-10-09,0,0.30526395250000005,10
2019-10-10,3,2.30307389146875,2
2019-10-11,2,0.7054287810343749,0
2019-10-12,0,-0.17976538809374998,0
2019-10-13,0,-0.896755050646875,0
2019-10-14,1,-0.44511876279687496,0
2019-10-15,5,1.6880258740515623,7
2019-10-16,2,0.1957204219843749,1
2019-10-17,3,2.327386073751563,1
2019-10-18,0,-0.2464089735296877,0
2019-10-19,2,-0.8462859469796875,1
2019-10-20,0,-0.42614654323124995,0
2019-10-21,0,2.7301471117671876,6
2019-10-22,2,0.9094813399999999,0
2019-10-23,3,2.93472645521875,2
2019-10-24,5,1.2883037730187499,0
2019-10-25,1,1.3603416627203124,0
2019-10-26,0,-0.6791127064640623,0
2019-10-27,1,-1.097016500732812,0
2019-10-28,3,4.37369795375,1
2019-10-29,1,0.05218360220312457,0
2019-10-30,1,3.5275013942703124,3
2019-10-31,1,2.745391647721875,8
2019-11-01,0,-1.5269289869781248,0
2019-11-02,1,0.5412360862546877,0
2019-11-03,0,-1.4357842689640625,0
2019-11-04,0,6.2261547430171875,3
2019-11-05,1,4.358533806171875,0
2019-11-06,1,-0.25590643094531274,2
2019-11-07,2,-0.33555814154374985,4
2019-11-08,0,0.17454285125781266,8
2019-11-09,0,-1.5993875804296875,1
2019-11-10,1,1.1341678657359378,0
2019-11-11,4,-1.211319530215625,1
2019-11-12,0,7.336553978890625,2
2019-11-13,4,2.111905043760937,2
2019-11-14,4,-0.6475153154265625,0
2019-11-15,0,7.229141279270313,1
2019-11-16,0,-2.634281984996875,2
2019-11-17,0,-1.8676558739656244,0
2019-11-18,1,1.9125734164687502,3
2019-11-19,0,5.324367671034375,4
2019-11-20,2,10.008993422124998,0
2019-11-21,1,-2.278713449690625,2
2019-11-22,0,-0.09555432594531155,0
2019-11-23,0,-0.5478128011062502,0
2019-11-24,5,-1.0316242733609373,0
2019-11-25,1,0.5712279780171878,4
2019-11-26,2,1.4833694709531249,1
2019-11-27,6,6.192839846692188,3
2019-11-28,0,-1.3617986193328133,0
2019-11-29,0,-1.0561933185734373,0
2019-11-30,0,-1.3155037999953123,0
2019-12-01,0,-0.7724834219796874,0
2019-12-02,1,4.47161232176875,7
2019-12-03,1,11.111941431985937,5
2019-12-04,4,10.2722628582375,1
2019-12-05,3,-0.39145938382343815,2
