,aws/aws-cli,rclone/rclone,iterate-ch/cyberduck
2017-02-18,0,4,0.0
2017-02-19,0,0,0.0
2017-02-20,1,6,45.0
2017-02-21,3,0,9.499999999999996
2017-02-22,3,7,14.574999999999998
2017-02-23,8,1,-3.712500000000003
2017-02-24,5,1,38.8611875
2017-02-25,0,7,-3.6275287500000006
2017-02-26,0,2,1.7651499375000022
2017-02-27,1,2,10.267913993750001
2017-02-28,5,0,10.74803544179688
2017-03-01,0,0,31.458796971164066
2017-03-02,3,4,0.5344979177156244
2017-03-03,0,0,17.444458833103127
2017-03-04,0,4,2.653408961359375
2017-03-05,0,3,-1.3548862237546841
2017-03-06,9,3,32.805313253600005
2017-03-07,3,0,1.8975224831171884
2017-03-08,7,0,27.474517841064063
2017-03-09,3,1,-4.362081581050001
2017-03-10,4,0,19.87360757439844
2017-03-11,0,1,-4.292531337293749
2017-03-12,0,4,-1.5430666743640584
2017-03-13,6,1,28.16587619996719
2017-03-14,4,0,-4.373721171868748
2017-03-15,0,3,-1.4671898761171853
2017-03-16,0,3,5.355107845014064
2017-03-17,2,0,15.093920494620315
2017-03-18,0,4,-1.7686345643953119
2017-03-19,0,2,-0.6842901795765615
2017-03-20,1,0,2.867366549484376
2017-03-21,5,0,0.7538099944953145
2017-03-22,4,0,-1.0583406098281234
2017-03-23,4,0,1.4482423507343758
2017-03-24,1,1,2.3671013576046884
2017-03-25,0,0,0.2584990022328132
2017-03-26,0,0,2.459675947623438
2017-03-27,4,0,0.43950902444843754
2017-03-28,5,0,3.573419502901563
2017-03-29,0,13,5.321431188825
2017-03-30,1,1,5.034924614928125
2017-03-31,6,0,14.88140752271875
2017-04-01,0,0,-2.235849127868751
2017-04-02,0,0,-1.160649971873437
2017-04-03,7,0,16.222478962167187
2017-04-04,4,0,5.714587769376563
2017-04-05,3,0,13.984925642901562
2017-04-06,3,0,-2.8126596657375007
2017-04-07,12,0,-1.5845646333093737
2017-04-08,0,0,8.901229126534377
2017-04-09,0,0,2.182330146925002
2017-04-10,2,2,26.59824306375
2017-04-11,8,0,30.272996908734374
2017-04-12,14,0,40.62254886276406
2017-04-13,0,0,9.607898671462495
2017-04-14,2,0,-4.648018765575001
2017-04-15,0,0,6.506620987500003
2017-04-16,0,0,11.463461234843756
2017-04-17,0,0,29.04847330257813
2017-04-18,3,0,21.16120632791875
2017-04-19,7,0,17.8702034964625
2017-04-20,3,0,1.0459367663093753
2017-04-21,5,0,21.835163890831254
2017-04-22,0,9,7.85054379387344
2017-04-23,0,2,-3.3053860889421838
2017-04-24,1,4,34.09358096565625
2017-04-25,2,4,27.177302533695315
2017-04-26,8,0,49.42496261739219
2017-04-27,2,0,0.7540430204046835
2017-04-28,9,0,35.030777833028125
2017-04-29,0,0,-7.889130419907811
2017-04-30,0,0,-0.6597991438874935
2017-05-01,0,0,25.358770430267192
2017-05-02,4,6,28.446078889635942
2017-05-03,0,0,40.14083426165469
2017-05-04,0,0,-2.6027171375609406
2017-05-05,10,0,10.631460081581253
2017-05-06,0,0,5.091651841000003
2017-05-07,0,1,-3.180533101473432
2017-05-08,0,0,34.30503888168751
2017-05-09,3,1,17.235822752403127
2017-05-10,0,0,-5.627258164823436
2017-05-11,7,3,8.71624392454375
2017-05-12,3,3,6.602595537717191
2017-05-13,0,0,2.0608576515343784
2017-05-14,0,0,5.609161820518752
2017-05-15,3,43,24.635300112875
2017-05-16,8,0,11.779892552135937
2017-05-17,3,0,-1.9962528931890624
2017-05-18,6,16,11.606698161673439
2017-05-19,0,6,16.075611718812503
2017-05-20,0,0,19.290013808162502
2017-05-21,1,0,17.5708530020625
2017-05-22,3,0,18.27332873444531
2017-05-23,5,0,3.906919563290625
2017-05-24,5,9,26.07022665577969
2017-05-25,4,4,-3.444668501606249
2017-05-26,0,3,-3.300566603540622
2017-05-27,0,0,-2.3457489215499963
2017-05-28,0,1,-1.748362752542182
2017-05-29,0,5,19.697882879079692
2017-05-30,3,5,39.9682169036
2017-05-31,4,0,4.116576662032809
2017-06-01,4,7,-3.9183264557921893
2017-06-02,3,0,29.619485297890627
2017-06-03,0,0,-0.7287369550718736
2017-06-04,0,4,-3.0160475124999975
2017-06-05,4,1,36.94789834125
2017-06-06,4,1,24.515216362921876
2017-06-07,3,4,15.947863674573437
2017-06-08,5,1,3.3960148107984365
2017-06-09,4,1,32.95752764464063
2017-06-10,0,4,-5.330989051499999
2017-06-11,0,0,-3.7799325207124954
2017-06-12,4,0,19.498859061106252
2017-06-13,3,3,13.866397379890628
2017-06-14,4,13,8.61589368062969
2017-06-15,0,6,1.1975770588281258
2017-06-16,12,0,11.252906653318753
2017-06-17,0,0,-3.1627044506515603
2017-06-18,1,1,1.0588958681546905
2017-06-19,6,4,11.498793354964064
2017-06-20,3,12,36.61384566865625
2017-06-21,4,0,2.636832996178123
2017-06-22,4,0,1.4972084288999996
2017-06-23,3,1,6.3991988544546885
2017-06-24,0,0,0.4162080676015658
2017-06-25,0,2,15.036675563246877
2017-06-26,0,8,30.990012022203125
2017-06-27,1,2,27.79541886943906
2017-06-28,3,1,3.8415528269234356
2017-06-29,3,3,-4.431641096776562
2017-06-30,3,5,7.378628560884378
2017-07-01,0,0,-2.8999763810703083
2017-07-02,0,0,-1.928873623120308
2017-07-03,0,2,41.554442536126565
2017-07-04,0,1,51.52755976310781
2017-07-05,3,1,2.491580221762497
2017-07-06,11,6,-1.3949653888421896
2017-07-07,3,2,35.397087012140624
2017-07-08,0,3,-5.359965880156247
2017-07-09,0,3,12.23510268714063
2017-07-10,0,1,13.756302098750002
2017-07-11,0,0,14.392635216578128
2017-07-12,6,0,26.103561040314066
2017-07-13,4,0,2.043603939779688
2017-07-14,3,1,15.057230203792189
2017-07-15,0,0,-3.454634514003123
2017-07-16,0,3,-2.8812946769171828
2017-07-17,3,0,1.1373241192140662
2017-07-18,0,4,23.224564608893754
2017-07-19,3,1,29.255941273306252
2017-07-20,5,0,14.678359540832812
2017-07-21,3,0,25.179659326010935
2017-07-22,0,8,1.334504786165624
2017-07-23,0,22,-1.9134137986984352
2017-07-24,8,0,28.314166996214066
2017-07-25,6,0,26.927896242203126
2017-07-26,3,7,7.8261233907515635
2017-07-27,3,4,-0.020102192914062122
2017-07-28,1,0,-0.608244368998434
2017-07-29,0,1,-2.6438255899374954
2017-07-30,0,2,-0.8316645471874955
2017-07-31,6,1,11.64253542246719
2017-08-01,4,2,-1.3402531135562485
2017-08-02,2,1,35.45047749488594
2017-08-03,4,7,16.36616331788125
2017-08-04,3,15,19.72306416066875
2017-08-05,0,3,-2.713541464226566
2017-08-06,1,2,11.13347433364219
2017-08-07,0,9,41.62881937323438
2017-08-08,3,0,29.347773169510937
2017-08-09,3,4,15.742250580267186
2017-08-10,3,8,-6.435290855364062
2017-08-11,3,1,16.97928814784219
2017-08-12,0,2,2.1629252668703174
2017-08-13,1,0,-0.6687518968937449
2017-08-14,7,0,19.292011881459377
2017-08-15,4,0,6.781330126293753
2017-08-16,4,0,7.363848103570315
2017-08-17,13,2,8.804363096846876
2017-08-18,4,0,30.97029943292344
2017-08-19,0,4,-5.153432484578126
2017-08-20,0,0,-1.842771208114061
2017-08-21,3,0,10.029425388201565
2017-08-22,9,2,6.356561759798441
2017-08-23,5,0,2.4135294922875024
2017-08-24,4,0,3.954065898932814
2017-08-25,3,0,19.070040443417188
2017-08-26,0,0,-1.3311343854624997
2017-08-27,0,0,-1.018962082471874
2017-08-28,1,0,25.745790469484376
2017-08-29,3,2,2.3785150625265628
2017-08-30,3,1,10.455381646178125
2017-08-31,3,11,8.141208322098436
2017-09-01,4,2,8.211299962976565
2017-09-02,0,0,-0.8113043435437488
2017-09-03,0,0,-0.9357935630359353
2017-09-04,0,0,25.6548268581625
2017-09-05,3,0,20.28901660604219
2017-09-06,3,4,10.564711664685937
2017-09-07,6,0,5.156010019331248
2017-09-08,6,1,5.8042045401109394
2017-09-09,0,0,9.103459523932814
2017-09-10,0,2,-3.03623153767656
2017-09-11,5,3,0.13400213316250298
2017-09-12,5,9,0.39656454854219025
2017-09-13,8,1,-1.4242728370953093
2017-09-14,4,2,8.096200465153126
2017-09-15,12,4,-1.468210021429687
2017-09-16,3,9,-0.7733873449640618
2017-09-17,0,1,-0.505466954010937
2017-09-18,4,0,2.664739852068751
2017-09-19,3,4,4.51362523146875
2017-09-20,0,0,4.210607556396875
2017-09-21,9,0,17.072859028678124
2017-09-22,1,0,9.684397682859373
2017-09-23,0,0,-2.3797524228234384
2017-09-24,0,5,-0.27638228749999993
2017-09-25,4,1,22.006400098750003
2017-09-26,7,0,-1.0330349827968748
2017-09-27,4,1,9.177676171064064
2017-09-28,0,3,-1.313629010257813
2017-09-29,5,0,2.5092974980390648
2017-09-30,0,19,6.550328635665627
2017-10-01,0,2,-1.6826272141812488
