,ruby/ruby,python/cpython,php/php-src
2012-04-05,2.0,27,0
2012-04-06,5.8,15,4
2012-04-07,7.31,10,3
2012-04-08,7.872999999999999,15,2
2012-04-09,3.527674999999999,27,4
2012-04-10,18.7107915,33,49
2012-04-11,8.230175475,20,4
2012-04-12,4.4414440325,15,8
2012-04-13,6.79564184646875,21,9
2012-04-14,2.6962509843343767,16,2
2012-04-15,0.053284551909376754,28,0
2012-04-16,12.524563881321876,30,33
2012-04-17,13.57863294959844,17,5
2012-04-18,15.017111480757812,29,20
2012-04-19,6.489748769859374,12,21
2012-04-20,-0.9125273977546873,21,9
2012-04-21,3.0540662088578143,9,7
2012-04-22,6.16532019459844,24,13
2012-04-23,16.994238663789066,32,6
2012-04-24,12.829838047709375,35,14
2012-04-25,0.5794703987468748,16,3
2012-04-26,4.648743987643751,9,8
2012-04-27,0.8076185691968769,19,0
2012-04-28,4.370292017359377,6,4
2012-04-29,0.32151492235000156,58,8
2012-04-30,10.695482304445314,21,32
2012-05-01,6.885059292415626,33,8
2012-05-02,5.881494671067188,13,10
2012-05-03,11.0251776961125,20,16
2012-05-04,3.5904897349968747,26,7
2012-05-05,0.027253390701563074,9,8
2012-05-06,4.586411271798439,35,15
2012-05-07,29.420341291253127,18,14
2012-05-08,11.902750422490623,11,25
2012-05-09,1.249217719928124,11,12
2012-05-10,6.364965196801562,17,11
2012-05-11,9.397296908009377,11,10
2012-05-12,-0.8454736785609351,15,3
2012-05-13,7.098205193753127,18,21
2012-05-14,1.7727493830843768,22,3
2012-05-15,8.154679228800003,37,16
2012-05-16,3.7413899693859385,37,22
2012-05-17,13.177793378096876,10,12
2012-05-18,16.429741790179687,25,5
2012-05-19,6.651853065989062,18,10
2012-05-20,8.1599433272875,30,8
2012-05-21,10.2229545677875,10,17
2012-05-22,2.981889287614064,10,9
2012-05-23,1.5953858447000018,7,41
2012-05-24,13.013162915296878,7,35
2012-05-25,6.166785085800002,23,18
2012-05-26,14.414007414664063,24,22
2012-05-27,8.739751350410938,18,9
2012-05-28,1.9916654052187508,23,12
2012-05-29,4.711800575401563,28,20
2012-05-30,7.828286816439064,9,19
2012-05-31,6.647035326471877,24,7
2012-06-01,1.6530689158718763,17,17
2012-06-02,10.126144158570314,17,1
2012-06-03,17.606872338410938,27,18
2012-06-04,14.593667181951563,24,6
2012-06-05,15.372395455740625,7,2
2012-06-06,9.069215471210937,6,3
2012-06-07,0.41838258584218835,8,45
2012-06-08,20.4068177225,10,14
2012-06-09,15.956583470114063,4,5
2012-06-10,24.66896393366875,8,8
2012-06-11,2.5104149892562493,11,13
2012-06-12,4.063202423750002,5,12
2012-06-13,27.699721355806254,6,4
2012-06-14,9.759385160114064,8,4
2012-06-15,13.578460651220315,25,2
2012-06-16,1.4900271029968755,16,1
2012-06-17,3.5814753401109414,28,3
2012-06-18,0.06793945182812822,13,9
2012-06-19,17.783438564832817,7,17
2012-06-20,8.566351404337501,12,5
2012-06-21,8.806031807478126,26,0
2012-06-22,15.832647518651562,38,18
2012-06-23,11.299491062679689,66,10
2012-06-24,2.4069838650093756,95,3
2012-06-25,3.328256354925001,27,19
2012-06-26,3.649196518201565,26,7
2012-06-27,11.83521292707969,16,21
2012-06-28,2.1272743505937513,14,5
2012-06-29,-0.14549190286874847,23,24
2012-06-30,0.42736280352187683,34,4
2012-07-01,6.7328873540828145,14,15
2012-07-02,6.395126081367189,9,5
2012-07-03,15.302457904190625,20,3
2012-07-04,7.309516696690624,3,4
2012-07-05,14.543324496315625,5,8
2012-07-06,-0.14267091808125087,7,0
2012-07-07,3.9811891187890636,26,6
2012-07-08,-1.9300897511031236,33,7
2012-07-09,9.726222008303127,29,11
2012-07-10,6.929077464337501,8,6
2012-07-11,10.868131433446877,11,9
2012-07-12,5.418257002982813,8,7
2012-07-13,-0.22769051037499954,21,5
2012-07-14,13.46820564034219,9,18
2012-07-15,-2.459051823201562,23,23
2012-07-16,17.602300363534376,21,0
2012-07-17,6.126040128078125,17,10
2012-07-18,31.474812653714064,13,21
2012-07-19,11.096697412973436,12,0
2012-07-20,5.8155633329078125,23,11
2012-07-21,4.5660863599312504,20,11
2012-07-22,4.036023612193753,14,16
2012-07-23,8.32120937071094,21,6
2012-07-24,15.163357361453127,9,16
2012-07-25,10.345561612176564,13,2
2012-07-26,-1.5071030803546868,6,11
2012-07-27,3.662008193028127,8,3
2012-07-28,5.950842321768752,11,6
2012-07-29,4.910650459265627,16,11
2012-07-30,8.008924604853126,20,7
2012-07-31,3.7527933815765633,15,6
2012-08-01,2.0422467153234387,16,12
2012-08-02,9.385133304634376,11,22
2012-08-03,11.920978910965626,19,0
2012-08-04,4.450766259334375,17,5
2012-08-05,7.8409338819093755,24,3
2012-08-06,11.670167451103126,9,25
2012-08-07,5.210255424592188,4,6
2012-08-08,5.584172674046876,6,2
2012-08-09,8.726592548971876,16,6
2012-08-10,0.4752648116843763,8,6
2012-08-11,2.1504457411359392,20,3
2012-08-12,0.37749873588750193,27,10
2012-08-13,1.7631955545921896,16,14
2012-08-14,9.844737672421877,25,32
2012-08-15,7.149337602871876,26,3
2012-08-16,4.1084539793375,8,16
2012-08-17,7.328907597790625,12,9
2012-08-18,3.106071123057813,22,5
2012-08-19,-1.5643899896703117,13,25
2012-08-20,13.018678987575,29,19
2012-08-21,19.88884558463125,12,20
2012-08-22,16.61237340797031,7,23
2012-08-23,18.166893764964062,12,19
2012-08-24,4.685072120332811,38,15
2012-08-25,1.6678140863937512,14,8
2012-08-26,0.3924820870984398,1,27
2012-08-27,5.954719714820316,7,2
2012-08-28,4.740711050281253,19,3
2012-08-29,5.766611728153127,10,12
2012-08-30,2.775768303896877,8,8
2012-08-31,12.182716484187502,10,6
2012-09-01,4.507584408318751,15,9
2012-09-02,1.9873743233484382,13,13
2012-09-03,9.402170640773438,10,10
2012-09-04,3.8659462145171886,0,2
2012-09-05,13.131999356103126,7,17
2012-09-06,1.3459576218734375,12,3
2012-09-07,-0.900232720365624,8,0
2012-09-08,3.684986181351564,19,3
2012-09-09,13.560642950887502,21,2
2012-09-10,0.624030796435938,54,9
2012-09-11,0.39453128168437557,20,8
2012-09-12,5.749220000260938,21,13
2012-09-13,7.482524142050002,4,9
2012-09-14,3.1831014511484383,5,10
2012-09-15,7.509762358090626,9,8
2012-09-16,3.179497101135938,0,9
2012-09-17,-1.5914038216640616,6,12
2012-09-18,1.0011275429140638,4,16
2012-09-19,6.150506580110939,6,9
2012-09-20,6.7122075250687505,25,9
2012-09-21,2.4285828713578126,20,10
2012-09-22,0.7100904333484377,8,10
2012-09-23,5.0315514389296885,20,2
2012-09-24,6.768127487098438,20,6
2012-09-25,1.5051002573203127,39,3
2012-09-26,2.86111940021875,5,5
2012-09-27,2.8556179838187505,5,22
2012-09-28,10.866462218123438,29,15
2012-09-29,3.10845496015,59,17
2012-09-30,4.490409436325001,59,5
2012-10-01,0.48343980933437525,43,25
2012-10-02,3.8622142419093763,24,6
2012-10-03,4.7493679056656255,19,3
2012-10-04,10.647652505329688,38,11
2012-10-05,9.97867142029375,27,4
2012-10-06,10.67059827741875,53,2
2012-10-07,0.3719272519906247,36,2
2012-10-08,2.240947904226563,9,5
2012-10-09,5.449178702503127,32,9
2012-10-10,7.283340902350002,24,16
2012-10-11,5.009022104226563,20,3
2012-10-12,9.095056361096876,29,22
2012-10-13,-1.2799145753687498,12,0
