,cacti/cacti,netdata/netdata,grafana/grafana
2017-09-17,4,18,0
2017-09-18,10,1,40
2017-09-19,5,3,8
2017-09-20,0,1,4
2017-09-21,5,3,30
2017-09-22,1,1,16
2017-09-23,6,11,0
2017-09-24,0,2,9
2017-09-25,0,5,1
2017-09-26,0,13,7
2017-09-27,2,1,11
2017-09-28,0,0,15
2017-09-29,1,3,54
2017-09-30,3,6,0
2017-10-01,0,7,4
2017-10-02,1,3,20
2017-10-03,0,12,11
2017-10-04,0,5,14
2017-10-05,1,8,42
2017-10-06,0,4,6
2017-10-07,7,3,3
2017-10-08,0,6,2
2017-10-09,0,8,11
2017-10-10,1,3,17
2017-10-11,10,3,31
2017-10-12,5,4,41
2017-10-13,0,3,16
2017-10-14,2,13,3
2017-10-15,4,27,2
2017-10-16,5,3,18
2017-10-17,0,5,24
2017-10-18,3,4,18
2017-10-19,0,11,6
2017-10-20,0,72,7
2017-10-21,0,7,0
2017-10-22,2,4,14
2017-10-23,3,7,19
2017-10-24,0,7,32
2017-10-25,0,3,12
2017-10-26,0,20,22
2017-10-27,5,4,6
2017-10-28,2,8,5
2017-10-29,5,2,5
2017-10-30,0,2,8
2017-10-31,0,7,30
2017-11-01,0,2,21
2017-11-02,0,18,8
2017-11-03,0,19,8
2017-11-04,9,11,1
2017-11-05,4,16,0
2017-11-06,0,4,3
2017-11-07,0,25,1
2017-11-08,1,4,4
2017-11-09,0,2,4
2017-11-10,0,3,1
2017-11-11,5,3,2
2017-11-12,4,10,0
2017-11-13,10,13,14
2017-11-14,1,20,10
2017-11-15,0,7,41
2017-11-16,4,8,22
2017-11-17,3,4,23
2017-11-18,15,15,0
2017-11-19,8,14,0
2017-11-20,1,2,18
2017-11-21,1,0,24
2017-11-22,6,8,14
2017-11-23,4,5,20
2017-11-24,0,3,8
2017-11-25,2,10,0
2017-11-26,1,1,1
2017-11-27,0,8,18
2017-11-28,0,5,11
2017-11-29,0,6,15
2017-11-30,0,9,15
2017-12-01,2,5,25
2017-12-02,9,2,7
2017-12-03,10,2,5
2017-12-04,0,0,13
2017-12-05,0,4,22
2017-12-06,0,0,20
2017-12-07,0,0,52
2017-12-08,0,9,39
2017-12-09,0,9,8
2017-12-10,0,1,9
2017-12-11,0,3,35
