,JetBrains/kotlin,apple/swift,rust-lang/rust
2022-10-17,49,48,77
2022-10-18,36,29,65
2022-10-19,39,40,93
2022-10-20,39,77,104
2022-10-21,25,67,78
2022-10-22,0,45,64
2022-10-23,0,11,101
2022-10-24,26,42,106
2022-10-25,14,41,92
2022-10-26,31,33,95
2022-10-27,90,60,99
2022-10-28,1,49,74
2022-10-29,0,9,109
2022-10-30,0,26,39
2022-10-31,22,51,70
2022-11-01,25,60,71
2022-11-02,30,68,72
2022-11-03,17,56,52
2022-11-04,37,89,105
2022-11-05,1,25,102
2022-11-06,0,5,69
2022-11-07,27,56,158
2022-11-08,16,59,78
2022-11-09,15,83,122
2022-11-10,54,76,95
2022-11-11,78,64,86
2022-11-12,32,45,85
2022-11-13,2,7,71
2022-11-14,11,57,72
2022-11-15,29,52,102
2022-11-16,15,95,70
2022-11-17,65,64,70
2022-11-18,24,45,97
2022-11-19,1,23,105
2022-11-20,0,0,106
2022-11-21,26,6,130
2022-11-22,76,6,80
2022-11-23,25,7,90
2022-11-24,40,2,86
2022-11-25,22,0,170
2022-11-26,4,3,80
2022-11-27,1,2,88
2022-11-28,27,50,100
2022-11-29,194,116,100
2022-11-30,47,87,65
2022-12-01,38,90,90
2022-12-02,50,68,87
2022-12-03,0,24,75
2022-12-04,4,10,54
2022-12-05,22,32,53
2022-12-06,53,68,106
2022-12-07,32,58,60
2022-12-08,44,55,59
2022-12-09,50,58,83
2022-12-10,0,27,60
2022-12-11,6,7,68
2022-12-12,50,71,68
2022-12-13,40,90,110
2022-12-14,22,84,112
2022-12-15,27,109,88
2022-12-16,31,60,70
2022-12-17,1,19,79
2022-12-18,5,14,53
2022-12-19,9,55,53
2022-12-20,57,70,91
2022-12-21,29,68,59
2022-12-22,18,39,74
2022-12-23,4,1,60
2022-12-24,0,1,42
2022-12-25,0,1,44
2022-12-26,11,1,22
2022-12-27,30,1,67
2022-12-28,15,12,110
2022-12-29,18,7,67
2022-12-30,1,5,52
2022-12-31,0,2,54
2023-01-01,0,3,39
2023-01-02,52,8,87
2023-01-03,11,78,66
2023-01-04,46,60,80
2023-01-05,10,60,56
2023-01-06,29,49,62
2023-01-07,2,57,53
2023-01-08,1,29,37
2023-01-09,37,63,172
2023-01-10,84,30,52
2023-01-11,57,54,133
2023-01-12,52,57,131
2023-01-13,76,58,106
2023-01-14,3,18,131
2023-01-15,8,18,49
2023-01-16,51,54,65
