,cfengine/core,ansible/ansible,saltstack/salt
2016-05-05,0,12,32
2016-05-06,0,10,24
2016-05-07,0,2,1
2016-05-08,0,0,0
2016-05-09,4,9,20
2016-05-10,2,14,24
2016-05-11,7,11,12
2016-05-12,3,33,27
2016-05-13,0,22,24
2016-05-14,0,8,0
2016-05-15,0,1,3
2016-05-16,1,19,32
2016-05-17,0,11,26
2016-05-18,2,25,11
2016-05-19,0,13,41
2016-05-20,0,8,27
2016-05-21,0,3,0
2016-05-22,0,1,0
2016-05-23,1,11,75
2016-05-24,2,14,40
2016-05-25,17,12,53
2016-05-26,2,10,50
2016-05-27,0,8,49
2016-05-28,0,2,8
2016-05-29,0,0,15
2016-05-30,1,0,19
2016-05-31,0,15,53
2016-06-01,1,32,63
2016-06-02,2,27,76
2016-06-03,1,13,60
2016-06-04,0,13,5
2016-06-05,0,1,12
2016-06-06,2,21,50
2016-06-07,0,14,32
2016-06-08,8,8,46
2016-06-09,0,9,47
2016-06-10,11,9,29
2016-06-11,1,0,8
2016-06-12,0,0,6
2016-06-13,4,11,54
2016-06-14,1,20,62
2016-06-15,0,18,43
2016-06-16,2,7,28
2016-06-17,0,15,33
2016-06-18,0,4,4
2016-06-19,0,1,0
2016-06-20,0,11,34
2016-06-21,0,4,47
2016-06-22,0,10,43
2016-06-23,6,14,34
2016-06-24,6,9,41
2016-06-25,0,1,11
2016-06-26,0,0,0
2016-06-27,1,9,29
2016-06-28,4,15,46
2016-06-29,5,8,31
2016-06-30,0,8,39
2016-07-01,1,10,14
2016-07-02,0,5,4
2016-07-03,0,3,0
2016-07-04,6,4,3
2016-07-05,3,21,37
2016-07-06,4,21,131
2016-07-07,1,19,49
2016-07-08,9,10,39
2016-07-09,0,10,6
2016-07-10,0,3,2
2016-07-11,2,9,40
2016-07-12,5,7,37
2016-07-13,4,2,49
2016-07-14,2,10,46
2016-07-15,3,12,42
2016-07-16,0,0,25
2016-07-17,0,0,12
2016-07-18,1,3,64
2016-07-19,0,1,44
2016-07-20,2,5,103
2016-07-21,0,7,50
2016-07-22,5,3,56
2016-07-23,0,8,5
2016-07-24,0,4,20
2016-07-25,0,8,49
2016-07-26,5,6,71
2016-07-27,4,1,75
2016-07-28,0,4,52
2016-07-29,0,7,39
2016-07-30,1,1,15
2016-07-31,0,1,7
2016-08-01,0,3,67
2016-08-02,0,4,99
2016-08-03,0,2,33
2016-08-04,0,21,25
2016-08-05,2,8,44
2016-08-06,0,2,51
2016-08-07,0,0,10
2016-08-08,4,20,34
2016-08-09,0,9,72
2016-08-10,0,7,59
2016-08-11,0,12,54
2016-08-12,0,10,31
2016-08-13,1,2,1
2016-08-14,0,0,3
2016-08-15,0,13,35
2016-08-16,0,10,59
2016-08-17,0,11,66
2016-08-18,0,12,49
2016-08-19,1,12,22
2016-08-20,0,17,40
2016-08-21,0,2,18
2016-08-22,0,8,72
2016-08-23,0,23,75
2016-08-24,0,28,36
2016-08-25,0,22,24
2016-08-26,0,22,29
2016-08-27,0,4,5
2016-08-28,0,0,2
2016-08-29,0,12,94
2016-08-30,0,12,59
2016-08-31,0,40,56
2016-09-01,0,13,53
2016-09-02,2,11,40
2016-09-03,0,8,24
2016-09-04,0,8,3
2016-09-05,0,3,2
2016-09-06,0,22,54
2016-09-07,1,22,40
2016-09-08,0,12,86
2016-09-09,6,23,34
2016-09-10,0,4,11
2016-09-11,0,4,11
2016-09-12,7,40,47
2016-09-13,1,19,37
2016-09-14,11,18,49
2016-09-15,2,17,55
2016-09-16,6,18,31
2016-09-17,0,12,15
2016-09-18,0,0,9
2016-09-19,0,26,58
2016-09-20,3,24,42
2016-09-21,2,11,46
2016-09-22,5,14,43
2016-09-23,8,21,43
2016-09-24,0,3,6
2016-09-25,2,1,5
2016-09-26,7,4,33
2016-09-27,3,11,53
2016-09-28,1,19,73
2016-09-29,22,9,65
2016-09-30,1,20,43
2016-10-01,0,2,11
2016-10-02,0,8,2
2016-10-03,3,20,26
2016-10-04,17,8,23
2016-10-05,3,8,41
2016-10-06,26,9,28
2016-10-07,22,3,37
2016-10-08,0,2,11
2016-10-09,0,2,5
2016-10-10,6,4,24
2016-10-11,9,4,31
2016-10-12,0,5,43
2016-10-13,0,110,34
2016-10-14,0,11,31
2016-10-15,0,8,3
2016-10-16,0,1,3
2016-10-17,0,11,42
2016-10-18,1,10,42
2016-10-19,0,11,31
2016-10-20,0,11,59
2016-10-21,3,16,57
2016-10-22,3,3,14
2016-10-23,0,10,9
2016-10-24,0,19,65
2016-10-25,0,14,73
2016-10-26,5,11,29
2016-10-27,0,14,45
2016-10-28,5,11,28
2016-10-29,1,5,10
2016-10-30,0,7,22
2016-10-31,3,14,49
2016-11-01,0,18,38
2016-11-02,0,9,68
2016-11-03,0,17,48
2016-11-04,0,13,76
2016-11-05,0,0,13
2016-11-06,0,4,30
2016-11-07,0,22,47
2016-11-08,0,19,36
2016-11-09,0,3,25
2016-11-10,0,13,41
2016-11-11,4,16,62
2016-11-12,0,0,10
2016-11-13,0,1,7
2016-11-14,4,9,15
2016-11-15,3,7,34
2016-11-16,2,6,36
2016-11-17,1,15,18
2016-11-18,0,29,22
2016-11-19,1,8,4
2016-11-20,0,2,3
2016-11-21,33,13,49
2016-11-22,1,11,27
2016-11-23,4,10,35
2016-11-24,0,5,18
2016-11-25,0,1,4
2016-11-26,0,1,5
2016-11-27,0,2,9
2016-11-28,5,16,62
2016-11-29,5,15,46
2016-11-30,10,8,44
2016-12-01,2,12,29
2016-12-02,6,11,35
2016-12-03,0,0,4
2016-12-04,6,4,6
2016-12-05,0,12,30
2016-12-06,0,6,26
2016-12-07,0,1,40
2016-12-08,0,5956,33
2016-12-09,1,32,45
2016-12-10,0,22,7
2016-12-11,0,7,1
2016-12-12,0,13,22
2016-12-13,0,26,20
2016-12-14,0,19,16
2016-12-15,9,32,59
2016-12-16,6,9,50
2016-12-17,0,3,2
2016-12-18,0,0,17
2016-12-19,3,25,46
2016-12-20,0,15,40
2016-12-21,0,12,22
2016-12-22,0,20,47
2016-12-23,0,8,8
2016-12-24,0,1,2
2016-12-25,0,0,1
2016-12-26,0,3,2
2016-12-27,0,2,22
2016-12-28,0,0,24
2016-12-29,1,5,20
2016-12-30,1,16,17
2016-12-31,0,1,2
2017-01-01,0,0,12
2017-01-02,0,4,3
2017-01-03,3,29,13
2017-01-04,1,29,44
2017-01-05,1,50,57
2017-01-06,1,33,79
