,gcc-mirror/gcc,golang/go,llvm/llvm-project
2008-06-03,12,0,27.0
2008-06-04,11,7,32.2
2008-06-05,6,5,25.560000000000002
2008-06-06,19,18,6.712000000000003
2008-06-07,13,15,-6.1952
2008-06-08,12,3,11.218495999999998
2008-06-09,13,15,22.4104576
2008-06-10,8,2,1.1435852800000035
2008-06-11,19,7,11.072490496
2008-06-12,17,14,-3.7235460095999997
2008-06-13,17,5,-2.8210566143999998
2008-06-14,9,2,-10.6252653568
2008-06-15,12,1,1.1845192703999992
2008-06-16,8,6,55.8469251072
2008-06-17,16,6,13.171520614400006
2008-06-18,27,13,-0.5986116607999961
2008-06-19,15,5,10.312968499200004
2008-06-20,12,1,24.555569254399998
2008-06-21,7,3,7.4971051008000025
2008-06-22,5,1,-18.0835968
2008-06-23,9,2,22.2693270528
2008-06-24,16,8,13.802406912000002
2008-06-25,14,9,6.916211200000003
2008-06-26,23,17,21.6294350848
2008-06-27,23,12,3.7677198336000046
2008-06-28,19,8,-1.5871688703999993
2008-06-29,16,1,-13.2279855104
2008-06-30,13,6,31.7253679104
2008-07-01,12,3,13.606440652800003
2008-07-02,37,2,30.776401305600004
2008-07-03,18,9,15.999052185600007
2008-07-04,16,5,-26.724463206399996
2008-07-05,7,2,-3.1316927488000026
2008-07-06,9,2,-14.1457127424
2008-07-07,29,5,34.5340945408
2008-07-08,15,11,22.185453465600006
2008-07-09,17,13,69.621664256
2008-07-10,14,4,-1.8552020991999854
2008-07-11,11,4,11.523888742400004
2008-07-12,5,10,-20.754084864
2008-07-13,5,4,-8.642595225600004
2008-07-14,20,6,19.944248012799996
2008-07-15,17,14,25.4853046272
2008-07-16,18,9,5.5198462976000044
2008-07-17,11,10,3.7889152000000053
2008-07-18,20,7,4.417923174400002
2008-07-19,13,7,-3.3272454143999965
2008-07-20,8,2,-12.627701043199998
2008-07-21,18,3,51.623708672
2008-07-22,7,5,13.098232217600003
2008-07-23,11,4,-3.320410521599996
2008-07-24,11,6,-0.5580631039999986
2008-07-25,13,8,52.9105926144
2008-07-26,6,4,-5.8163787775999936
2008-07-27,7,5,-11.147003904000002
2008-07-28,11,8,-4.735090688
2008-07-29,27,5,3.6440236031999973
2008-07-30,41,5,6.040254361599999
2008-07-31,80,6,-6.33957376
2008-08-01,69,5,-6.3661520896
2008-08-02,5,2,-5.870607462399999
2008-08-03,6,3,-2.2709914623999996
2008-08-04,62,12,12.0946953216
2008-08-05,65,9,37.6084588544
2008-08-06,54,2,13.429283328000004
2008-08-07,16,3,24.671344128000005
2008-08-08,31,7,18.404808601600003
2008-08-09,16,3,0.8129375232000022
2008-08-10,7,5,-2.0194567168000006
2008-08-11,8,8,4.131940761599999
2008-08-12,30,15,8.519724748800002
2008-08-13,19,4,18.2157103104
2008-08-14,13,0,0.6233974784000011
2008-08-15,7,0,-9.2363378688
2008-08-16,11,0,8.345368678399998
2008-08-17,8,0,34.2362883072
2008-08-18,25,0,0.021038592000003575
2008-08-19,11,0,24.8748109824
2008-08-20,73,3,29.2147652608
2008-08-21,21,2,23.854889881600002
2008-08-22,59,2,1.0978710528000022
2008-08-23,13,0,29.7058772992
2008-08-24,14,0,-14.758571417599995
2008-08-25,10,0,10.731439001599998
2008-08-26,14,0,19.7540841472
2008-08-27,14,0,12.627283865599999
2008-08-28,36,2,20.586555494400002
2008-08-29,40,7,-6.683735142399996
2008-08-30,15,2,-5.962908979199998
2008-08-31,24,0,-8.295854387200002
2008-09-01,21,1,2.944991027199997
2008-09-02,27,5,20.919096012799997
2008-09-03,32,11,31.101061222400006
2008-09-04,31,8,15.638316953600004
2008-09-05,21,3,15.778080768000002
2008-09-06,16,1,-24.8064093184
2008-09-07,9,0,-2.1671585792000023
2008-09-08,17,5,35.3149274112
2008-09-09,38,8,35.1349979136
2008-09-10,22,9,0.3298490367999989
2008-09-11,28,11,17.4133090304
2008-09-12,9,19,-12.1989056512
2008-09-13,19,6,-9.890310553600003
2008-09-14,9,1,-13.7471271936
2008-09-15,10,4,2.7495993343999956
2008-09-16,11,8,14.0083125248
2008-09-17,21,12,8.980061184
2008-09-18,28,9,6.099650457600003
2008-09-19,9,12,13.812076134400002
2008-09-20,7,5,-5.930424729599999
2008-09-21,12,1,10.1890688
2008-09-22,19,11,40.6359839744
2008-09-23,29,9,-1.1697048575999958
2008-09-24,12,11,40.6487517184
2008-09-25,10,7,-5.300441599999999
2008-09-26,27,19,30.111330304000003
2008-09-27,3,7,-15.390111846399996
2008-09-28,8,2,-9.988887040000002
2008-09-29,10,7,14.0143456256
2008-09-30,14,18,32.0117052416
2008-10-01,14,5,-0.02300999679999549
2008-10-02,9,7,2.1014977536000004
2008-10-03,9,7,27.754568601600003
2008-10-04,5,4,6.815376384000004
2008-10-05,8,3,29.680945971200003
2008-10-06,13,4,33.31508807680001
2008-10-07,18,7,-0.5904521215999949
2008-10-08,15,11,-16.621491199999994
2008-10-09,11,2,-14.343718502400002
2008-10-10,11,13,17.025822515199994
2008-10-11,10,2,-6.6822849536
2008-10-12,7,0,19.903479296
2008-10-13,10,1,10.381919334400003
2008-10-14,13,6,21.0455332864
2008-10-15,17,9,34.5658720256
2008-10-16,18,20,-1.8030384127999923
