,laravel/framework,codeigniter4/CodeIgniter4,chriskacerguis/codeigniter-restserver
2015-11-27,9,0,0
2015-11-28,12,9,0
2015-11-29,4,6,0
2015-11-30,16,7,0
2015-12-01,59,14,0
2015-12-02,38,2,2
2015-12-03,28,4,0
2015-12-04,17,3,0
2015-12-05,36,0,0
2015-12-06,17,0,0
2015-12-07,47,3,0
2015-12-08,43,8,0
2015-12-09,26,6,0
2015-12-10,15,0,0
2015-12-11,24,0,1
2015-12-12,8,0,0
2015-12-13,7,0,0
2015-12-14,18,2,0
2015-12-15,28,0,0
2015-12-16,16,0,1
2015-12-17,28,1,0
2015-12-18,12,8,0
2015-12-19,30,7,0
2015-12-20,20,0,0
2015-12-21,10,6,7
2015-12-22,23,2,4
2015-12-23,6,1,0
2015-12-24,22,0,0
2015-12-25,4,0,0
2015-12-26,11,0,0
2015-12-27,9,0,0
2015-12-28,23,0,0
2015-12-29,24,0,0
2015-12-30,29,0,0
2015-12-31,12,0,0
2016-01-01,7,0,0
2016-01-02,6,0,0
2016-01-03,6,0,0
2016-01-04,13,1,0
2016-01-05,16,3,0
2016-01-06,17,4,1
2016-01-07,42,0,0
2016-01-08,17,0,1
2016-01-09,1,0,0
2016-01-10,12,2,0
2016-01-11,1,2,0
2016-01-12,8,0,0
2016-01-13,28,1,0
2016-01-14,12,2,0
2016-01-15,28,5,0
2016-01-16,4,0,0
2016-01-17,9,0,0
2016-01-18,6,0,0
2016-01-19,7,1,0
2016-01-20,5,0,0
2016-01-21,8,1,0
2016-01-22,18,0,0
2016-01-23,9,5,0
2016-01-24,8,0,1
2016-01-25,7,0,0
2016-01-26,12,0,0
2016-01-27,11,1,0
2016-01-28,1,0,0
2016-01-29,34,8,0
2016-01-30,1,2,9
2016-01-31,4,3,0
2016-02-01,12,4,0
2016-02-02,18,14,0
2016-02-03,18,5,0
2016-02-04,10,0,0
2016-02-05,8,7,0
2016-02-06,0,6,1
2016-02-07,5,0,0
2016-02-08,13,13,0
2016-02-09,15,7,0
2016-02-10,35,0,0
2016-02-11,37,0,0
2016-02-12,10,15,4
2016-02-13,5,0,0
2016-02-14,15,0,0
2016-02-15,23,0,0
2016-02-16,31,0,0
2016-02-17,31,3,0
2016-02-18,17,8,2
2016-02-19,33,4,0
2016-02-20,20,2,0
2016-02-21,5,0,2
2016-02-22,14,0,0
2016-02-23,7,10,0
2016-02-24,33,0,0
2016-02-25,24,5,0
2016-02-26,25,1,0
2016-02-27,9,0,0
2016-02-28,13,0,0
2016-02-29,17,5,0
2016-03-01,25,0,0
2016-03-02,46,1,0
2016-03-03,13,2,0
2016-03-04,12,0,0
2016-03-05,8,3,0
2016-03-06,6,0,0
2016-03-07,20,0,0
2016-03-08,5,8,0
2016-03-09,23,4,0
2016-03-10,0,2,0
2016-03-11,6,4,0
2016-03-12,7,0,0
2016-03-13,5,0,0
2016-03-14,1,0,0
2016-03-15,7,7,0
2016-03-16,9,12,0
2016-03-17,10,7,0
2016-03-18,18,5,0
2016-03-19,27,22,0
2016-03-20,1,2,2
2016-03-21,20,5,0
2016-03-22,8,2,0
2016-03-23,19,1,0
2016-03-24,5,10,0
2016-03-25,29,6,0
2016-03-26,5,11,0
2016-03-27,6,1,0
2016-03-28,41,4,0
2016-03-29,29,14,0
2016-03-30,19,24,0
2016-03-31,13,13,0
2016-04-01,48,18,0
2016-04-02,7,3,0
2016-04-03,7,5,11
2016-04-04,4,12,0
2016-04-05,23,4,0
2016-04-06,25,0,2
2016-04-07,19,1,1
2016-04-08,15,1,0
2016-04-09,5,3,0
2016-04-10,0,0,0
2016-04-11,9,0,0
2016-04-12,7,5,1
2016-04-13,11,0,0
2016-04-14,17,0,7
2016-04-15,2,3,0
2016-04-16,11,0,0
2016-04-17,0,0,2
2016-04-18,19,5,0
2016-04-19,7,10,0
2016-04-20,12,7,0
2016-04-21,10,3,0
2016-04-22,7,0,0
2016-04-23,4,0,0
2016-04-24,2,0,0
2016-04-25,22,3,0
2016-04-26,0,0,0
2016-04-27,19,3,0
2016-04-28,10,0,0
2016-04-29,20,7,0
2016-04-30,5,11,0
2016-05-01,5,5,0
2016-05-02,9,0,0
2016-05-03,6,5,0
2016-05-04,15,1,0
2016-05-05,8,1,1
2016-05-06,8,5,0
2016-05-07,7,3,0
2016-05-08,1,0,0
2016-05-09,15,10,0
2016-05-10,8,1,0
2016-05-11,9,0,0
2016-05-12,8,5,0
2016-05-13,4,2,0
2016-05-14,4,2,0
2016-05-15,9,11,1
2016-05-16,9,5,0
2016-05-17,15,0,0
2016-05-18,21,3,0
2016-05-19,12,3,0
2016-05-20,6,7,0
2016-05-21,4,3,0
2016-05-22,4,2,0
2016-05-23,8,1,0
2016-05-24,15,12,0
2016-05-25,41,3,0
2016-05-26,41,0,0
2016-05-27,11,9,0
2016-05-28,7,10,4
2016-05-29,5,3,4
2016-05-30,21,4,0
2016-05-31,27,9,0
2016-06-01,38,6,0
2016-06-02,7,14,0
2016-06-03,38,14,0
2016-06-04,5,9,0
2016-06-05,4,6,0
2016-06-06,52,11,0
2016-06-07,7,12,0
2016-06-08,12,0,0
2016-06-09,5,0,0
2016-06-10,17,0,0
2016-06-11,12,2,0
2016-06-12,6,0,0
2016-06-13,3,0,0
2016-06-14,33,0,0
2016-06-15,3,6,0
2016-06-16,9,3,0
