,jashkenas/underscore,lodash/lodash,ramda/ramda
2014-07-14,7,7,-3.7103271484375
2014-07-15,4,0,-4.2787933349609375
2014-07-16,0,15,-2.46612548828125
2014-07-17,0,3,-5.1319580078125
2014-07-18,2,3,-1.588165283203125
2014-07-19,0,2,-0.25701904296875
2014-07-20,0,6,-0.39410400390625
2014-07-21,5,7,3.8396148681640625
2014-07-22,2,8,-2.8581390380859375
2014-07-23,0,2,21.291427612304688
2014-07-24,0,2,-8.260238647460938
2014-07-25,0,9,9.67266845703125
2014-07-26,0,0,-7.726959228515625
2014-07-27,0,0,-3.2431488037109375
2014-07-28,0,11,1.362152099609375
2014-07-29,0,5,-1.533477783203125
2014-07-30,0,2,-1.58197021484375
2014-07-31,7,0,0.2221527099609375
2014-08-01,1,4,2.9803924560546875
2014-08-02,8,1,-3.292755126953125
2014-08-03,0,4,-1.1317291259765625
2014-08-04,6,2,-0.558349609375
2014-08-05,2,0,-0.3660125732421875
2014-08-06,0,0,3.736328125
2014-08-07,0,1,-2.169677734375
2014-08-08,0,3,-0.6176605224609375
2014-08-09,0,2,19.6627197265625
2014-08-10,0,0,6.7891998291015625
2014-08-11,0,3,-7.109375
2014-08-12,0,2,-5.45703125
2014-08-13,0,0,2.591796875
2014-08-14,0,0,-2.0133056640625
2014-08-15,0,5,-0.69989013671875
2014-08-16,0,0,-0.3427734375
2014-08-17,0,0,-2.1881103515625
2014-08-18,0,10,3.904937744140625
2014-08-19,1,0,-0.0981903076171875
2014-08-20,0,3,9.57696533203125
2014-08-21,0,8,6.119110107421875
2014-08-22,1,1,-3.5367889404296875
2014-08-23,0,4,1.790863037109375
2014-08-24,0,6,7.361175537109375
2014-08-25,0,8,-0.687347412109375
2014-08-26,10,5,-0.973175048828125
2014-08-27,21,5,-3.7764434814453125
2014-08-28,2,1,1.5489349365234375
2014-08-29,3,0,-1.318206787109375
2014-08-30,3,0,3.7101898193359375
2014-08-31,1,0,34.05058288574219
2014-09-01,2,2,-7.3110198974609375
2014-09-02,11,12,7.0493316650390625
2014-09-03,14,1,-8.84356689453125
2014-09-04,0,2,-2.323577880859375
2014-09-05,0,4,5.1075439453125
2014-09-06,0,4,-2.2954864501953125
2014-09-07,0,1,-0.1961517333984375
2014-09-08,3,3,-6.7461395263671875
2014-09-09,3,2,3.0005950927734375
2014-09-10,0,2,-2.673370361328125
2014-09-11,3,1,1.1456298828125
2014-09-12,0,6,0.702667236328125
2014-09-13,0,2,0.661712646484375
2014-09-14,0,1,2.672454833984375
2014-09-15,2,7,1.7480010986328125
2014-09-16,2,3,7.5203094482421875
2014-09-17,1,7,0.41656494140625
2014-09-18,0,3,1.543121337890625
2014-09-19,5,3,-5.369110107421875
2014-09-20,3,6,5.08367919921875
