,apache/mxnet,tensorflow/tensorflow,pytorch/pytorch
2020-12-25,0,6,1.0
2020-12-26,0,2,-0.10000000000000009
2020-12-27,0,6,-0.04500000000000003
2020-12-28,0,48,6.9715
2020-12-29,0,42,7.2793375
2020-12-30,1,54,11.86888325
2020-12-31,1,20,3.1273379874999985
2021-01-01,1,5,-0.4687311962500005
2021-01-02,0,7,-0.9831855630156245
2021-01-03,0,7,0.31442055996406404
2021-01-04,1,27,20.375717776250003
2021-01-05,2,86,37.42691982639062
2021-01-06,0,85,40.66501666437343
2021-01-07,0,79,20.72062811675937
2021-01-08,0,91,36.371850405704684
2021-01-09,0,15,-0.10067633819531352
2021-01-10,0,8,-1.4240398112859332
2021-01-11,0,82,23.92556306573438
2021-01-12,1,112,37.19370964913594
2021-01-13,0,107,25.029724948620313
2021-01-14,0,74,19.10272946734375
2021-01-15,2,73,15.709897980159376
2021-01-16,1,21,4.416740549321878
2021-01-17,0,8,-4.129991048170307
2021-01-18,0,28,3.677705645150006
2021-01-19,0,62,26.818226724168756
2021-01-20,2,100,38.69045560557188
2021-01-21,0,95,20.573392175189063
2021-01-22,0,104,38.26880201364219
2021-01-23,0,24,4.671274860920311
2021-01-24,0,17,-3.917305335248434
2021-01-25,0,98,16.070341060339068
2021-01-26,0,75,25.171102018854693
2021-01-27,0,109,28.84663340677969
2021-01-28,1,90,41.753271843734375
2021-01-29,1,73,27.91673173023125
2021-01-30,0,44,0.319005967040626
2021-01-31,1,4,-2.9559540758203084
2021-02-01,0,74,18.918895241001568
2021-02-02,1,100,55.75262145961563
2021-02-03,3,86,34.5089733275625
2021-02-04,0,95,58.375019639624995
2021-02-05,2,78,24.66618019972656
2021-02-06,0,27,2.45000159041094
2021-02-07,2,6,-4.528151487220308
2021-02-08,1,72,19.7839806118797
2021-02-09,0,79,21.63293672178282
2021-02-10,0,93,29.964587562720318
2021-02-11,0,71,33.88129316512031
2021-02-12,0,82,8.17031952960625
2021-02-13,0,38,4.265177607228127
2021-02-14,0,4,6.924741485717192
2021-02-15,2,48,-1.4274135282640579
2021-02-16,3,54,6.756311659501568
2021-02-17,0,92,36.58057238591407
2021-02-18,2,68,40.76038084241563
2021-02-19,1,41,38.91360983576406
2021-02-20,0,38,2.9946368134749957
2021-02-21,2,15,-3.062809828782811
2021-02-22,1,91,24.832584152167193
2021-02-23,0,113,24.12746661802188
2021-02-24,2,99,19.42082062473594
2021-02-25,0,114,33.361372142765624
2021-02-26,1,115,24.862424563078125
2021-02-27,1,33,0.05467207657656381
2021-02-28,0,11,0.6297272233734414
2021-03-01,2,66,34.00789576427188
2021-03-02,0,77,67.39776665243906
