,ngrx/platform,ngneat/elf,datorama/akita
2021-07-04,0,3.0,0
2021-07-05,0,-0.30000000000000027,0
2021-07-06,2,-0.1350000000000001,0
2021-07-07,3,0.9145,0
2021-07-08,0,0.8380125000000002,0
2021-07-09,0,2.80664975,0
2021-07-10,0,0.5870139624999998,0
2021-07-11,0,-0.31744358875,2
2021-07-12,2,0.8040158109531251,0
2021-07-13,0,-0.24496282010781223,0
2021-07-14,0,-0.13826845874999974,0
2021-07-15,0,-0.10476479676562479,0
2021-07-16,1,-0.08507276680156226,0
2021-07-17,0,-0.06431423783281232,0
2021-07-18,0,-0.04792688312343737,0
2021-07-19,0,-0.019492548785937445,0
2021-07-20,1,-0.009568313015624975,0
2021-07-21,1,-0.008398852535937478,0
2021-07-22,1,0.0,0
2021-07-23,0,0.0,0
2021-07-24,0,0.0,0
2021-07-25,0,0.0,0
2021-07-26,0,0.0,0
2021-07-27,0,0.0,0
2021-07-28,1,0.0,0
2021-07-29,0,0.0,0
2021-07-30,0,0.0,0
2021-07-31,0,0.0,0
2021-08-01,0,0.0,0
2021-08-02,0,0.0,0
2021-08-03,0,0.0,1
2021-08-04,2,0.0,0
2021-08-05,0,0.0,1
2021-08-06,0,0.0,0
2021-08-07,0,2.0,0
2021-08-08,0,-0.20000000000000018,0
2021-08-09,0,-0.09000000000000007,1
2021-08-10,0,2.943,0
2021-08-11,2,0.6586749999999999,0
2021-08-12,0,-0.26723350000000007,0
2021-08-13,1,-0.156824025,0
2021-08-14,0,-0.11267489249999973,0
2021-08-15,1,-0.08814937603124973,0
2021-08-16,0,-0.07240049257187478,0
2021-08-17,0,-0.04644310124999986,0
2021-08-18,0,0.9602013647031251,1
2021-08-19,0,-0.1347648706234375,0
2021-08-20,0,0.9466011474640625,0
2021-08-21,0,-0.12850000000000011,0
2021-08-22,0,-0.06566249999999996,0
2021-08-23,0,4.95538325,0
2021-08-24,0,2.4661754874999997,0
2021-08-25,0,3.44778955375,1
2021-08-26,2,0.2997696744843745,0
2021-08-27,0,7.5116949512140625,0
2021-08-28,1,2.8888604369843747,0
2021-08-29,2,2.0062908349640622,0
2021-08-30,0,6.11191598125,0
2021-08-31,0,-0.2641874538281248,0
2021-09-01,0,-0.8403199992265618,1
2021-09-02,0,0.44918589407968834,0
2021-09-03,0,11.493950906840626,1
2021-09-04,1,0.45271407083906245,0
2021-09-05,0,-1.0154959985999998,0
2021-09-06,0,0.39421926455937517,0
2021-09-07,0,-0.5243351949671864,0
2021-09-08,0,1.6387517067328135,0
2021-09-09,1,8.561829801214063,0
2021-09-10,0,37.82032080698438,1
2021-09-11,0,-2.5235227512234406,0
2021-09-12,0,1.614090131037499,0
2021-09-13,0,-0.8475874013218754,0
