,JetBrains/kotlin,apple/swift,rust-lang/rust
2014-10-17,14.0,14,21
2014-10-18,9.599999999999998,7,17
2014-10-19,-1.7300000000000013,3,16
2014-10-20,22.105999999999998,24,15
2014-10-21,18.097224999999998,15,23
2014-10-22,71.412078,8,20
2014-10-23,-8.462052425000007,22,21
2014-10-24,6.151168615,29,19
2014-10-25,-4.343084790968749,8,26
2014-10-26,-2.937200916174992,12,21
2014-10-27,7.833136595854693,20,53
2014-10-28,5.31640599189063,20,41
2014-10-29,3.333418337095315,17,24
2014-10-30,41.70512478682344,9,45
2014-10-31,30.13386208803906,19,37
2014-11-01,-4.191117795707816,14,18
2014-11-02,-2.5509165028953134,14,30
2014-11-03,-2.438083562499996,18,76
2014-11-04,-1.8183917751562442,14,24
2014-11-05,31.54374624301563,15,34
2014-11-06,10.56054821661875,20,69
2014-11-07,60.10178727209688,25,40
2014-11-08,-0.7648581851437548,16,18
2014-11-09,-5.121951513575,15,31
2014-11-10,16.9478437319125,13,18
2014-11-11,27.765103484964065,40,18
2014-11-12,59.13970583625,35,32
2014-11-13,28.036537426734373,18,20
2014-11-14,19.713770511079687,29,20
2014-11-15,-8.273139391039061,16,14
2014-11-16,-5.124111816424993,6,42
2014-11-17,42.63048710471251,29,62
2014-11-18,6.786455647187504,27,42
2014-11-19,7.367204451531253,33,73
2014-11-20,19.065037552834376,38,38
2014-11-21,42.434286499320315,47,55
2014-11-22,-7.877782973818751,17,18
2014-11-23,-4.187266298542186,4,46
2014-11-24,58.232004047500006,11,25
2014-11-25,31.754837691281253,2,36
2014-11-26,10.500986049878126,2,33
2014-11-27,20.42150268529375,0,45
2014-11-28,36.17326548465782,4,11
2014-11-29,-8.526973235612498,0,7
2014-11-30,-4.947785184224995,1,16
2014-12-01,64.70719827875,12,12
2014-12-02,3.598867068546877,22,18
2014-12-03,62.48576265843282,39,33
2014-12-04,-9.806248384984379,28,41
2014-12-05,5.124498411645318,46,60
2014-12-06,-5.114257978142184,15,17
2014-12-07,-3.414897759045304,2,51
2014-12-08,38.62830424250001,19,27
2014-12-09,-3.046446448812498,18,42
2014-12-10,22.203578654603128,15,20
2014-12-11,20.171225485204687,20,17
2014-12-12,68.68621770325468,28,24
2014-12-13,-10.102424545707818,16,122
2014-12-14,-4.260105140395312,11,79
2014-12-15,51.361074416250005,19,47
2014-12-16,43.75526200260938,15,37
2014-12-17,-6.886683808020312,31,63
2014-12-18,48.24653347273594,24,41
2014-12-19,2.5519342361750024,26,103
2014-12-20,-2.6075597390546816,17,45
2014-12-21,31.26442202859063,3,57
2014-12-22,-2.59027150676562,19,62
2014-12-23,45.596731189104695,42,26
2014-12-24,29.814430069960938,15,22
2014-12-25,2.805233981584376,0,35
2014-12-26,23.37448913454844,3,30
2014-12-27,-5.662157028128123,3,27
2014-12-28,-3.9005930974937444,2,35
2014-12-29,45.20824591129376,0,63
2014-12-30,-5.000469980856248,0,126
2014-12-31,15.073598094075003,0,42
2015-01-01,-4.661384292640625,4,49
2015-01-02,12.336912956712505,1,70
2015-01-03,12.762608848401564,0,61
2015-01-04,-3.5847326365578107,2,60
2015-01-05,8.979061452464064,15,127
2015-01-06,2.402517845250002,25,136
2015-01-07,-1.2004130265062471,12,78
2015-01-08,5.7076061601312515,35,109
2015-01-09,2.348636658067189,43,43
2015-01-10,11.654879414765626,18,33
2015-01-11,9.795395816210938,10,48
2015-01-12,32.618023388175,10,86
2015-01-13,11.220150813078122,27,32
2015-01-14,23.906463773276563,22,34
2015-01-15,3.843165750554686,28,91
2015-01-16,0.17655350885468968,28,50
2015-01-17,-2.8969136710640595,7,44
2015-01-18,-2.02469627184687,2,46
2015-01-19,15.425892092095317,34,43
2015-01-20,14.090586574021877,35,72
2015-01-21,32.59439854549219,34,96
2015-01-22,20.595714278737496,40,51
2015-01-23,-5.421419973146877,33,28
2015-01-24,-2.9351101748859367,16,43
2015-01-25,-2.016184372643746,9,22
2015-01-26,2.470224951250005,12,31
2015-01-27,2.3558778924843784,24,66
2015-01-28,14.37297279562344,41,44
2015-01-29,35.330324135826565,27,40
2015-01-30,17.732215170299998,27,65
2015-01-31,-4.831487165934378,18,28
2015-02-01,-2.56571505,7,36
2015-02-02,11.204434165000004,17,51
2015-02-03,5.319085762937504,18,43
2015-02-04,10.494790472793753,51,21
2015-02-05,10.058524836606251,37,49
2015-02-06,30.86525495108125,33,71
2015-02-07,-5.269545345725001,16,35
2015-02-08,-2.6623262708265614,0,18
2015-02-09,35.30335559875,15,21
2015-02-10,23.003713448296878,42,66
2015-02-11,34.485974699157815,58,75
2015-02-12,20.902194634259374,48,39
2015-02-13,15.226728675329689,31,46
2015-02-14,-6.209377475498436,11,25
2015-02-15,-3.8383244487218695,7,71
2015-02-16,66.37077688875,21,71
2015-02-17,-3.9969755765781247,23,86
2015-02-18,29.649476991732815,25,123
2015-02-19,25.090411838368748,18,36
2015-02-20,28.808859316625004,32,17
2015-02-21,-6.69853900735,30,53
