,sinatra/sinatra,rails/rails,django/django
2019-12-08,0,3,0.0
2019-12-09,0,20,6.0
2019-12-10,0,11,4.800000000000001
2019-12-11,0,7,3.32
2019-12-12,0,8,7.231999999999999
2019-12-13,2,16,-1.6896000000000004
2019-12-14,0,8,0.48518399999999917
2019-12-15,0,9,-1.3557888000000005
2019-12-16,0,11,2.1377868799999993
2019-12-17,0,36,-0.24945459199999975
2019-12-18,0,44,6.037628825600001
2019-12-19,0,19,3.0054040576000007
2019-12-20,0,23,1.0415795200000004
2019-12-21,0,9,-0.6066733056000002
2019-12-22,0,9,-1.0432671744000004
2019-12-23,0,10,5.3331003392
2019-12-24,0,5,-1.6795714559999997
2019-12-25,0,10,-0.8626348032000004
2019-12-26,0,4,-0.5726393343999998
2019-12-27,0,22,4.567967027200001
2019-12-28,0,7,-1.2756526079999995
2019-12-29,0,5,-0.5743685632000002
2019-12-30,2,1,5.6459703296
2019-12-31,0,9,4.545673728000001
2020-01-01,7,1,-1.8824961024
2020-01-02,0,14,3.1298559999999993
2020-01-03,0,10,3.6257664
2020-01-04,0,11,-0.7467545599999998
2020-01-05,0,6,-1.1301355520000005
2020-01-06,0,11,2.3214668799999996
2020-01-07,0,19,2.8939694080000002
2020-01-08,0,14,3.5558624256000004
2020-01-09,0,12,8.2657970176
2020-01-10,0,14,1.144586752
2020-01-11,0,6,-0.18975068160000053
2020-01-12,0,3,-1.6081648640000006
2020-01-13,0,8,1.0393552895999996
2020-01-14,0,10,0.9012259839999999
2020-01-15,0,13,5.886775500800001
2020-01-16,0,6,3.9201296384000006
2020-01-17,0,8,3.7620116480000005
2020-01-18,0,0,-1.350369792
2020-01-19,0,10,-1.3737824256000004
2020-01-20,0,8,5.151998259199999
2020-01-21,0,12,3.1915535360000002
2020-01-22,0,3,3.0384100351999996
2020-01-23,0,16,0.9366781951999998
2020-01-24,0,9,2.2627991551999997
2020-01-25,0,2,-1.7792850943999998
2020-01-26,0,6,-0.9714566144000003
