,llvm/llvm-project,gcc-mirror/gcc,golang/go
2008-06-03,27,12,0
2008-06-04,43,11,7
2008-06-05,46,6,5
2008-06-06,32,19,18
2008-06-07,16,13,15
2008-06-08,27,12,3
2008-06-09,41,13,15
2008-06-10,26,8,2
2008-06-11,32,19,7
2008-06-12,19,17,14
2008-06-13,15,17,5
2008-06-14,4,9,2
2008-06-15,10,12,1
2008-06-16,65,8,6
2008-06-17,44,16,6
2008-06-18,28,27,13
2008-06-19,33,15,5
2008-06-20,48,12,1
2008-06-21,37,7,3
2008-06-22,9,5,1
2008-06-23,38,9,2
2008-06-24,38,16,8
2008-06-25,33,14,9
2008-06-26,46,23,17
2008-06-27,33,23,12
2008-06-28,24,19,8
2008-06-29,8,16,1
2008-06-30,45,13,6
2008-07-01,39,12,3
2008-07-02,57,37,2
2008-07-03,50,18,9
2008-07-04,7,16,5
2008-07-05,14,7,2
2008-07-06,1,9,2
2008-07-07,43,29,5
2008-07-08,45,15,11
2008-07-09,97,17,13
2008-07-10,48,14,4
2008-07-11,49,11,4
2008-07-12,15,5,10
2008-07-13,13,5,4
2008-07-14,37,20,6
2008-07-15,50,17,14
2008-07-16,37,18,9
2008-07-17,32,11,10
2008-07-18,30,20,7
2008-07-19,20,13,7
2008-07-20,6,8,2
2008-07-21,63,18,3
2008-07-22,45,7,5
2008-07-23,27,11,4
2008-07-24,23,11,6
2008-07-25,73,13,8
2008-07-26,33,6,4
2008-07-27,17,7,5
2008-07-28,15,11,8
2008-07-29,20,27,5
2008-07-30,23,41,5
2008-07-31,11,80,6
2008-08-01,6,69,5
2008-08-02,3,5,2
2008-08-03,4,6,3
2008-08-04,17,62,12
2008-08-05,47,65,9
2008-08-06,36,54,2
2008-08-07,47,16,3
2008-08-08,46,31,7
2008-08-09,30,16,3
2008-08-10,22,7,5
2008-08-11,24,8,8
2008-08-12,28,30,15
2008-08-13,39,19,4
2008-08-14,26,13,0
2008-08-15,12,7,0
2008-08-16,23,11,0
2008-08-17,51,8,0
2008-08-18,28,25,0
2008-08-19,47,11,0
2008-08-20,58,73,3
2008-08-21,59,21,2
2008-08-22,39,59,2
2008-08-23,61,13,0
2008-08-24,24,14,0
2008-08-25,37,10,0
2008-08-26,48,14,0
2008-08-27,45,14,0
2008-08-28,53,36,2
2008-08-29,29,40,7
2008-08-30,21,15,2
2008-08-31,13,24,0
2008-09-01,19,21,1
2008-09-02,37,27,5
2008-09-03,54,32,11
2008-09-04,47,31,8
2008-09-05,47,21,3
2008-09-06,7,16,1
2008-09-07,14,9,0
2008-09-08,50,17,5
2008-09-09,63,38,8
2008-09-10,37,22,9
2008-09-11,47,28,11
2008-09-12,20,9,19
2008-09-13,12,19,6
2008-09-14,2,9,1
2008-09-15,12,10,4
2008-09-16,25,11,8
2008-09-17,25,21,12
2008-09-18,23,28,9
2008-09-19,30,9,12
2008-09-20,13,7,5
2008-09-21,23,12,1
2008-09-22,56,19,11
2008-09-23,28,29,9
2008-09-24,63,12,11
2008-09-25,30,10,7
2008-09-26,56,27,19
2008-09-27,19,3,7
2008-09-28,12,8,2
2008-09-29,30,10,7
2008-09-30,53,14,18
2008-10-01,31,14,5
2008-10-02,27,9,7
2008-10-03,50,9,7
2008-10-04,37,5,4
2008-10-05,57,8,3
2008-10-06,68,13,4
2008-10-07,41,18,7
2008-10-08,17,15,11
2008-10-09,8,11,2
2008-10-10,32,11,13
2008-10-11,15,10,2
2008-10-12,36,7,0
2008-10-13,33,10,1
2008-10-14,44,13,6
2008-10-15,62,17,9
2008-10-16,34,18,20
2008-10-17,64,7,10
2008-10-18,18,7,6
2008-10-19,8,9,1
2008-10-20,47,10,13
2008-10-21,56,14,11
2008-10-22,50,13,10
2008-10-23,28,7,7
2008-10-24,63,16,14
2008-10-25,22,3,8
2008-10-26,28,2,4
2008-10-27,62,11,3
2008-10-28,43,7,2
2008-10-29,49,19,22
2008-10-30,53,9,14
2008-10-31,52,14,11
2008-11-01,6,17,4
2008-11-02,21,6,3
2008-11-03,45,23,12
2008-11-04,60,11,10
2008-11-05,44,22,15
2008-11-06,33,17,15
2008-11-07,48,21,8
2008-11-08,47,1,4
2008-11-09,17,5,0
2008-11-10,52,17,6
2008-11-11,71,11,5
2008-11-12,79,25,8
2008-11-13,68,16,8
2008-11-14,35,20,8
