,pytorch/pytorch,apache/mxnet,tensorflow/tensorflow
2020-12-25,1,0.0,6
2020-12-26,0,0.0,2
2020-12-27,0,0.0,6
2020-12-28,7,0.0,48
2020-12-29,8,0.0,42
2020-12-30,13,1.0,54
2020-12-31,5,0.8,20
2021-01-01,1,0.72,5
2021-01-02,0,-0.32800000000000007,7
2021-01-03,1,-0.16160000000000013,7
2021-01-04,21,0.8928639999999999,27
2021-01-05,40,1.7204352,86
2021-01-06,46,-0.54289152,85
2021-01-07,28,-0.25974323200000016,79
2021-01-08,43,-0.17338378240000002,91
2021-01-09,8,-0.11959306239999994,15
2021-01-10,4,-0.0839701504,8
2021-01-11,28,-0.05778432000000003,82
2021-01-12,43,0.951758848,112
2021-01-13,33,-0.2412447743999998,107
2021-01-14,27,-0.1049387008,74
2021-01-15,23,1.952,73
2021-01-16,11,0.5664,21
2021-01-17,1,-0.3855360000000001,8
2021-01-18,7,-0.19642880000000015,28
2021-01-19,30,-0.13212672000000006,62
2021-01-20,44,1.9009402880000001,100
2021-01-21,28,-0.47886295039999993,95
2021-01-22,45,-0.21428224000000018,104
2021-01-23,13,-0.14170214399999997,24
2021-01-24,2,-0.10652641279999989,17
2021-01-25,20,-0.06354135039999999,98
2021-01-26,30,-0.04085760000000002,75
2021-01-27,35,-0.03385344000000002,109
2021-01-28,49,0.9712245760000001,90
2021-01-29,37,0.7750612992000001,73
2021-01-30,9,-0.28,44
2021-01-31,3,0.8719999999999999,4
2021-02-01,23,-0.2816,74
2021-02-02,61,0.8608639999999999,100
2021-02-03,44,2.7060352,86
2021-02-04,68,-0.75095552,95
2021-02-05,37,1.6551495679999997,78
2021-02-06,13,-0.6248858624,27
2021-02-07,3,1.6842679295999998,6
2021-02-08,25,0.3925754880000001,72
2021-02-09,28,-0.5178824704000001,79
2021-02-10,37,-0.2922398720000001,93
2021-02-11,42,-0.21169008639999987,71
2021-02-12,17,-0.15593349119999997,82
2021-02-13,11,-0.09516902399999992,38
2021-02-14,12,-0.07922094079999996,4
2021-02-15,3,1.9542978560000002,48
2021-02-16,10,2.5606735872,54
2021-02-17,40,-0.7724693504,92
2021-02-18,47,1.6639999999999997,68
2021-02-19,47,0.38880000000000003,41
2021-02-20,12,-0.5118720000000001,38
2021-02-21,3,1.7065343999999998,15
2021-02-22,29,0.38966016000000003,91
2021-02-23,30,-0.524227584,113
2021-02-24,26,1.6895045632,99
2021-02-25,40,-0.6068902911999999,114
2021-02-26,33,0.7096258559999999,115
2021-02-27,8,0.5982799872000001,33
2021-02-28,6,-0.41395159040000007,11
2021-03-01,38,1.775225856,66
2021-03-02,74,-0.5617840127999999,77
2021-03-03,59,-0.26545879040000014,98
2021-03-04,31,-0.170740224,98
2021-03-05,48,-0.12949422079999998,133
2021-03-06,7,0.917613568,23
2021-03-07,3,-0.26771466239999986,12
2021-03-08,28,-0.12632279040000005,60
2021-03-09,44,1.9232245760000002,79
2021-03-10,48,0.5414612992000001,116
2021-03-11,47,0.6144639999999999,93
2021-03-12,73,3.6035711999999998,105
2021-03-13,10,-1.01212672,43
2021-03-14,7,0.5329402879999997,22
2021-03-15,30,1.4955370495999998,75
2021-03-16,27,1.30578176,135
2021-03-17,35,-0.7762749440000001,89
2021-03-18,41,0.5724316671999998,107
2021-03-19,28,0.5167000576,132
2021-03-20,7,-0.48872099839999983,41
2021-03-21,3,1.7132662784,17
2021-03-22,28,0.429301248,71
2021-03-23,43,-0.4942342144,113
2021-03-24,31,2.7243210751999998,89
2021-03-25,30,-0.7774942207999999,91
2021-03-26,33,2.6440135679999996,33
2021-03-27,29,-0.8372506623999999,6
2021-03-28,6,-0.4075515904000002,8
2021-03-29,46,-0.266310144,62
