,angular/angular,facebook/react,sveltejs/svelte
2021-02-16,33.0,3.0,0
2021-02-17,14.0,1.6999999999999997,2
2021-02-18,6.0,1.6649999999999996,0
2021-02-19,25.0,-0.37550000000000033,0
2021-02-20,0.0,-0.20898749999999988,0
2021-02-21,0.0,-0.14667524999999976,0
2021-02-22,11.0,2.8869554625000005,0
2021-02-23,14.0,2.60816138625,0
2021-02-24,25.0,0.48778364345312486,0
2021-02-25,0.0,2.6129794238609376,6
2021-02-26,27.0,2.471578168896875,1
2021-02-27,0.0,-0.590635455071875,1
2021-02-28,0.0,0.6710012125000002,0
2021-03-01,13.0,0.6636286237500004,4
2021-03-02,1.0,1.6695142097031255,0
2021-03-03,20.0,-0.42633148040468727,0
2021-03-04,15.0,-0.2466944968734372,0
2021-03-05,6.0,0.8358358696671877,1
2021-03-06,3.0,-0.22450525915468722,0
2021-03-07,2.0,3.8733142336421875,0
2021-03-08,24.0,8.524513965734375,0
2021-03-09,20.0,-0.1408170580515633,0
2021-03-10,6.0,5.337347771432812,0
2021-03-11,9.0,1.9858902824281246,0
2021-03-12,15.0,0.13997680375000043,0
2021-03-13,0.0,1.3660703869843753,0
2021-03-14,2.0,-0.6418235000359368,0
2021-03-15,12.0,3.571533469187501,0
2021-03-16,11.0,5.264211251465626,0
2021-03-17,12.0,2.9713520491609375,0
2021-03-18,13.0,1.0715146681203123,0
2021-03-19,9.0,4.2498342244875005,0
2021-03-20,1.0,-0.9493942631234373,0
2021-03-21,0.0,-0.5415340285671869,0
2021-03-22,12.0,7.611563434928126,0
2021-03-23,17.0,1.9069705204375003,4
2021-03-24,6.0,6.0977121517625,9
2021-03-25,0.0,6.760336177721875,0
2021-03-26,0.0,4.525999482575,0
2021-03-27,0.0,0.5849392298499998,0
2021-03-28,0.0,4.961721887320313,1
2021-03-29,8.0,-0.26735285749999926,1
2021-03-30,17.0,6.118129319625001,8
2021-03-31,1.0,1.6671267669156253,3
2021-04-01,25.0,8.940395106282814,1
2021-04-02,10.0,-1.6800876743765625,0
2021-04-03,0.0,-0.9220144158812492,0
2021-04-04,0.0,-0.6090586812468741,0
2021-04-05,9.0,0.5675893830843765,0
2021-04-06,15.0,3.561729160518751,0
2021-04-07,26.0,4.3147217426046875,0
2021-04-08,4.0,5.093066130701563,1
2021-04-09,6.0,8.919457812235937,1
2021-04-10,0.0,-0.5952552753593756,0
2021-04-11,0.0,1.0980584875000001,1
2021-04-12,21.0,2.2016995037500005,3
2021-04-13,34.0,1.158421339484376,0
2021-04-14,41.0,11.245057339151563,0
2021-04-15,13.0,6.2874389722781245,0
2021-04-16,17.0,2.2852758842265626,1
2021-04-17,6.0,-1.3751692166218752,0
2021-04-18,0.0,-0.8434137683749989,0
2021-04-19,41.0,2.440158407682814,1
2021-04-20,18.0,6.262781813381251,0
2021-04-21,11.0,1.8177793613609379,3
2021-04-22,19.0,2.0264849187406253,1
2021-04-23,9.0,2.08180498044375,0
2021-04-24,1.0,0.18104817765000047,1
2021-04-25,2.0,-0.5683861976437494,0
2021-04-26,38.0,2.633747073750001,0
2021-04-27,19.0,8.415315399703125,0
2021-04-28,17.0,12.731045375032812,0
2021-04-29,18.0,-1.0668807830484388,0
2021-04-30,16.0,-0.14883209790468777,18
2021-05-01,1.0,0.1566920570953131,3
2021-05-02,0.0,-0.6820766581234359,0
2021-05-03,26.0,7.520064946214064,4
2021-05-04,9.0,4.821904369703125,0
2021-05-05,22.0,3.723435615251563,0
2021-05-06,21.0,0.7520814862078122,0
2021-05-07,16.0,5.08729204273125,0
2021-05-08,0.0,-0.11446986180156227,0
2021-05-09,2.0,-0.7502762655515618,0
2021-05-10,24.0,-0.5140292475359367,0
2021-05-11,11.0,0.6063727558750012,0
2021-05-12,5.0,2.5762437953687507,0
2021-05-13,10.0,0.43948910220625037,0
2021-05-14,9.0,1.5956449212890627,0
2021-05-15,0.0,-0.436463779415625,0
2021-05-16,0.0,-0.25656567823124965,2
2021-05-17,5.0,0.8524263849640628,0
2021-05-18,21.0,6.79197851625,1
2021-05-19,16.0,3.1667550857343745,1
2021-05-20,9.0,6.1819784871671875,1
2021-05-21,11.0,-0.1571147631234382,0
2021-05-22,0.0,-0.7172897285671873,0
2021-05-23,6.0,-0.46992696757187447,0
2021-05-24,17.0,0.659167716250001,0
2021-05-25,47.0,4.626648013234376,0
2021-05-26,25.0,1.2269973338546878,2
2021-05-27,27.0,2.3586168939359378,1
2021-05-28,4.0,-0.6648297975031251,0
2021-05-29,0.0,-0.379789530767187,6
2021-05-30,0.0,-0.2289696150359371,2
2021-05-31,0.0,0.8288752412500006,0
2021-06-01,19.0,3.7602889307343754,1
2021-06-02,16.0,3.4370861523859375,1
2021-06-03,29.0,10.297088022539063,0
2021-06-04,8.0,3.539834855881249,0
2021-06-05,0.0,0.767036692392187,0
2021-06-06,0.0,-0.8987790125,0
2021-06-07,16.0,2.412003753750001,0
2021-06-08,29.0,4.255812101984376,0
2021-06-09,9.0,0.007262222901563087,0
2021-06-10,8.0,1.2975571165437505,0
2021-06-11,2.0,7.329873140434375,0
2021-06-12,0.0,-1.2325790854734373,0
2021-06-13,0.0,-0.6188631762109371,1
2021-06-14,18.0,6.598669393678126,0
2021-06-15,1.0,6.005131067203125,3
2021-06-16,20.0,0.7456101560640624,0
2021-06-17,8.0,1.1064539318046875,0
2021-06-18,15.0,-0.750422548567187,0
2021-06-19,0.0,-0.497798959196874,2
2021-06-20,0.0,-0.37046715778749906,0
2021-06-21,13.0,-0.24334846124999926,0
2021-06-22,7.0,2.7968084101406254,18
2021-06-23,2.0,2.525718423639063,0
2021-06-24,18.0,4.464884013717187,1
2021-06-25,3.0,1.2435656688968746,1
2021-06-26,0.0,0.4107147949281249,13
2021-06-27,0.0,-0.4428377499999999,8
2021-06-28,11.0,-0.2931487874999994,10
2021-06-29,6.0,0.7768241237500007,12
2021-06-30,10.0,3.7193079097031254,1
2021-07-01,4.0,4.4031892470953125,1
2021-07-02,10.0,-0.8168875276859378,6
2021-07-03,1.0,-0.43188708496093753,1
2021-07-04,0.0,-0.2676327680874997,0
2021-07-05,0.0,-0.18934036503593685,2
2021-07-06,0.0,-0.14432549624999955,1
2021-07-07,10.0,4.880246839484375,1
2021-07-08,20.0,11.397859414151561,9
2021-07-09,12.0,0.49356302477812397,1
2021-07-10,0.0,1.075505737320312,6
2021-07-11,0.0,-0.7353125000000001,1
2021-07-12,41.0,1.524466250000001,7
2021-07-13,5.0,8.442463937500001,1
2021-07-14,5.0,2.72302886875,8
2021-07-15,12.0,1.898476554921875,0
2021-07-16,9.0,5.016849563632812,0
2021-07-17,0.0,-1.2093062489624997,2
2021-07-18,0.0,-0.6454591061031243,0
2021-07-19,0.0,2.545102289928126,0
2021-07-20,21.0,1.3560468077187509,0
2021-07-21,8.0,1.3815261552875007,23
2021-07-22,7.0,1.3983839113640628,6
2021-07-23,9.0,-0.5378500266906248,11
2021-07-24,1.0,-0.3192816857015621,0
2021-07-25,0.0,-0.22043765271562454,0
2021-07-26,5.0,4.86683638625,14
2021-07-27,5.0,4.390550143453125,8
2021-07-28,9.0,2.182155398860937,0
2021-07-29,1.0,0.2743782763968746,0
2021-07-30,4.0,2.483253168896875,0
2021-07-31,0.0,-0.6311939550718747,0
2021-08-01,0.0,-0.37188131249999945,0
2021-08-02,19.0,5.724208706250001,1
2021-08-03,15.0,3.179099666171875,6
2021-08-04,6.0,1.1453708209921873,8
2021-08-05,2.0,1.3277210645234374,0
2021-08-06,2.0,1.4039790406265629,0
2021-08-07,0.0,-0.563454291582812,0
2021-08-08,0.0,0.643039367392188,1
2021-08-09,5.0,1.6502312725000006,0
2021-08-10,15.0,1.5533328119062504,0
2021-08-11,3.0,5.512088715221875,0
2021-08-12,5.0,2.131094046325,0
2021-08-13,2.0,1.2574365263968748,1
2021-08-14,0.0,0.37134515639687504,0
2021-08-15,0.0,0.5140760736781255,4
2021-08-16,21.0,3.5812322694843757,2
2021-08-17,8.0,1.3081298039328129,1
2021-08-18,7.0,6.396621453896875,0
2021-08-19,8.0,-0.07459194691562532,0
2021-08-20,1.0,5.3147857907375,12
2021-08-21,0.0,-1.0188808923890627,0
2021-08-22,0.0,2.434521235662501,0
2021-08-23,3.0,2.3068542744484377,0
2021-08-24,0.0,4.263914665401563,6
2021-08-25,12.0,1.0392495775750001,1
2021-08-26,14.0,2.2536708325687504,0
2021-08-27,0.0,-0.7777602082671872,8
2021-08-28,0.0,0.5510424818703131,1
2021-08-29,0.0,-0.4305689914656244,0
2021-08-30,3.0,3.7329829097031255,0
2021-08-31,0.0,-0.6125442529046874,0
2021-09-01,4.0,4.664625947314063,2
2021-09-02,14.0,0.27547127253906223,2
2021-09-03,0.0,-0.4663146566187498,0
2021-09-04,0.0,-0.2882572538578123,0
2021-09-05,0.0,-0.19402886301562444,0
2021-09-06,0.0,10.845980112464064,0
2021-09-07,11.0,9.779799935437499,0
2021-09-08,4.0,1.302774096106249,0
2021-09-09,25.0,4.832564738671874,0
2021-09-10,9.0,1.6726499243046877,8
2021-09-11,0.0,-0.06847060253593673,0
2021-09-12,0.0,0.20994611250000095,0
2021-09-13,10.0,1.330361953750001,0
2021-09-14,17.0,2.301043860578126,0
2021-09-15,20.0,3.202595265182813,5
2021-09-16,11.0,-0.8559197819421873,0
2021-09-17,13.0,5.5480087130484375,0
2021-09-18,0.0,-0.9115747630125,0
2021-09-19,1.0,-0.473182841873437,0
