,flutter/flutter,facebook/react-native,NativeScript/NativeScript
2015-01-30,0.0,2,0
2015-01-31,0.0,1,0
2015-02-01,0.0,0,0
2015-02-02,1.0,0,0
2015-02-03,-0.30000000000000004,0,0
2015-02-04,0.895,3,0
2015-02-05,-0.35950000000000004,0,0
2015-02-06,-0.14516249999999992,2,0
2015-02-07,-0.08922024999999997,2,0
2015-02-08,-0.06344336249999999,3,0
2015-02-09,-0.04867752375,0,0
2015-02-10,-0.03915757926562504,0,0
2015-02-11,-0.032540686982812525,2,0
2015-02-12,0.9841232832343749,8,0
2015-02-13,0.6864165867671874,4,0
2015-02-14,-0.40499999999999997,2,0
2015-02-15,-0.1644999999999999,0,0
2015-02-16,-0.09966249999999996,0,0
2015-02-17,-0.06988275,0,0
2015-02-18,-0.05300111249999999,0,0
2015-02-19,1.95776186375,7,0
2015-02-20,2.365166009484375,4,0
2015-02-21,0.8605398700015625,4,0
2015-02-22,-1.0475834132328123,5,0
2015-02-23,6.531175,1,0
2015-02-24,7.601071999999999,5,0
2015-02-25,-2.9510474749999998,6,0
2015-02-26,-0.933697634999999,4,0
2015-02-27,0.58367552021875,8,0
2015-02-28,-0.4868782742625002,2,0
2015-03-01,-1.1423347107296875,3,2
2015-03-02,1.313440882284375,11,0
2015-03-03,4.906464132640624,15,1
2015-03-04,0.5943078034640616,8,10
2015-03-05,10.10404990215625,10,34
2015-03-06,0.5570194600015625,5,8
2015-03-07,-3.303209620514062,5,0
2015-03-08,-1.6274142682312494,1,0
2015-03-09,1.9402061142671876,17,8
2015-03-10,5.32720483646875,16,14
2015-03-11,5.9777294516906245,13,1
2015-03-12,-1.0865222271937496,11,20
2015-03-13,2.2919552903640623,12,4
2015-03-14,-2.963182792621875,13,0
2015-03-15,-0.410763903664062,2,0
2015-03-16,1.7946923912500001,24,10
2015-03-17,4.315167920953125,19,15
2015-03-18,2.284553441692187,21,6
2015-03-19,0.2400870227296874,17,9
2015-03-20,3.8031250118578126,16,10
2015-03-21,-2.8860504360265624,12,1
2015-03-22,-1.344350927414062,8,0
2015-03-23,3.1614775369843753,31,12
2015-03-24,1.1785027314703123,23,38
2015-03-25,2.2010390034578124,44,5
2015-03-26,2.8895589405249997,138,12
2015-03-27,-1.4884408589609377,42,6
2015-03-28,-1.4383790402921874,12,0
2015-03-29,-0.8269346793968748,21,0
2015-03-30,-0.5248651824999999,28,14
2015-03-31,-0.40226588831250015,50,10
2015-04-01,0.6760825392718748,51,4
2015-04-02,-0.5223243380109378,30,3
2015-04-03,-0.2576745105093753,33,11
2015-04-04,-0.14329378292968764,12,0
2015-04-05,-0.05374591323281252,2,0
2015-04-06,0.97027975,9,6
2015-04-07,1.6767191375,19,2
2015-04-08,-0.72395727375,35,12
2015-04-09,1.714623283234375,19,7
2015-04-10,0.2272540867671875,20,0
2015-04-11,-0.6200452499999999,11,1
2015-04-12,-0.30672136249999987,3,0
2015-04-13,-0.20534399874999995,7,1
2015-04-14,2.846605735734375,11,6
2015-04-15,-0.021618821764062712,12,2
2015-04-16,-0.7033622364656249,12,7
2015-04-17,-0.3342107072812499,16,5
2015-04-18,-0.22303104323125006,8,0
2015-04-19,-0.1429066632328125,6,0
2015-04-20,0.9004371625,14,36
2015-04-21,2.61984731625,30,2
2015-04-22,-1.0715874240468752,24,18
2015-04-23,-0.43112695646406235,23,5
2015-04-24,-0.23224591323281243,17,17
2015-04-25,-0.15020775,5,0
2015-04-26,-0.11244161249999998,5,0
2015-04-27,1.91120013875,9,3
