,electron/electron,AvaloniaUI/Avalonia,nwjs/nw.js
2013-12-05,22,1,7
2013-12-06,8,0,1
2013-12-07,0,0,0
2013-12-08,0,0,0
2013-12-09,7,0,1
2013-12-10,4,0,0
2013-12-11,8,3,4
2013-12-12,9,0,0
2013-12-13,2,2,0
2013-12-14,0,0,0
2013-12-15,15,0,0
2013-12-16,8,0,1
2013-12-17,10,0,0
2013-12-18,0,0,2
2013-12-19,13,0,2
2013-12-20,2,1,3
2013-12-21,0,0,2
2013-12-22,0,0,1
2013-12-23,4,0,3
2013-12-24,1,0,0
2013-12-25,1,0,1
2013-12-26,1,0,5
2013-12-27,12,0,1
2013-12-28,0,0,0
2013-12-29,4,0,1
2013-12-30,2,0,1
2013-12-31,12,0,0
2014-01-01,2,0,0
2014-01-02,4,0,2
2014-01-03,0,0,0
2014-01-04,0,0,1
2014-01-05,0,0,0
2014-01-06,1,0,0
2014-01-07,14,0,0
2014-01-08,2,0,2
2014-01-09,7,0,2
2014-01-10,8,0,0
2014-01-11,0,0,0
2014-01-12,0,0,0
2014-01-13,6,0,1
2014-01-14,5,0,3
2014-01-15,7,0,2
2014-01-16,4,0,1
2014-01-17,0,0,0
2014-01-18,3,0,0
2014-01-19,0,0,0
2014-01-20,0,0,0
2014-01-21,10,0,2
2014-01-22,1,0,0
2014-01-23,2,0,0
2014-01-24,1,0,2
2014-01-25,0,0,0
2014-01-26,0,0,0
2014-01-27,5,0,1
2014-01-28,1,0,1
2014-01-29,1,0,0
2014-01-30,13,0,3
2014-01-31,18,0,2
2014-02-01,5,7,1
2014-02-02,3,9,0
2014-02-03,3,4,0
2014-02-04,1,12,0
2014-02-05,1,6,0
2014-02-06,2,1,0
2014-02-07,0,0,6
2014-02-08,0,0,3
2014-02-09,0,0,0
2014-02-10,1,0,3
2014-02-11,0,0,1
2014-02-12,2,0,0
2014-02-13,1,0,2
2014-02-14,8,0,1
2014-02-15,0,0,0
2014-02-16,0,0,0
2014-02-17,9,0,0
2014-02-18,0,0,1
2014-02-19,7,0,5
2014-02-20,8,0,4
2014-02-21,8,0,2
2014-02-22,0,0,0
2014-02-23,0,0,2
2014-02-24,13,0,0
2014-02-25,5,0,0
2014-02-26,13,3,2
2014-02-27,5,5,3
2014-02-28,2,0,3
2014-03-01,10,0,0
2014-03-02,1,0,0
2014-03-03,13,0,3
2014-03-04,18,0,0
2014-03-05,3,0,0
2014-03-06,5,0,3
2014-03-07,0,0,0
2014-03-08,0,0,0
2014-03-09,0,0,0
2014-03-10,7,0,0
2014-03-11,2,0,0
2014-03-12,8,1,1
2014-03-13,12,3,2
2014-03-14,6,0,0
2014-03-15,12,0,0
2014-03-16,15,0,0
2014-03-17,0,0,1
2014-03-18,2,0,0
2014-03-19,0,0,0
2014-03-20,4,0,1
2014-03-21,1,0,2
2014-03-22,0,0,0
2014-03-23,0,0,0
2014-03-24,0,0,1
2014-03-25,4,2,1
2014-03-26,4,1,1
2014-03-27,3,2,0
2014-03-28,6,9,0
2014-03-29,3,0,0
2014-03-30,0,0,0
2014-03-31,0,3,0
2014-04-01,0,0,0
2014-04-02,4,0,1
2014-04-03,2,4,1
2014-04-04,5,5,0
2014-04-05,8,6,0
2014-04-06,1,0,0
2014-04-07,4,0,0
2014-04-08,5,0,0
2014-04-09,0,0,0
2014-04-10,4,0,0
2014-04-11,6,0,0
2014-04-12,0,0,0
2014-04-13,0,0,0
2014-04-14,3,0,0
2014-04-15,14,0,1
2014-04-16,15,0,0
2014-04-17,7,0,0
2014-04-18,5,0,1
2014-04-19,0,0,0
2014-04-20,0,0,0
2014-04-21,3,0,0
2014-04-22,5,0,0
2014-04-23,17,0,0
2014-04-24,10,0,1
2014-04-25,17,0,2
2014-04-26,1,0,0
2014-04-27,0,0,2
2014-04-28,6,0,0
2014-04-29,14,0,1
2014-04-30,4,0,1
2014-05-01,0,0,0
2014-05-02,0,0,0
2014-05-03,0,0,0
2014-05-04,5,0,2
2014-05-05,22,0,0
2014-05-06,14,0,1
2014-05-07,20,0,2
2014-05-08,5,0,0
2014-05-09,10,0,0
2014-05-10,9,0,4
2014-05-11,0,0,0
2014-05-12,3,0,0
2014-05-13,5,0,0
2014-05-14,9,0,1
2014-05-15,17,0,2
2014-05-16,1,0,1
2014-05-17,0,0,2
2014-05-18,20,0,0
2014-05-19,2,0,0
2014-05-20,2,0,9
2014-05-21,5,0,14
2014-05-22,8,0,4
