,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-07-07,2,5.625359359999998,0
2014-07-08,0,4.681353216000001,2
2014-07-09,0,12.4698222592,0
2014-07-10,0,14.019814809600001,0
2014-07-11,0,9.8715272192,0
2014-07-12,4,-6.9968559104,2
2014-07-13,0,-0.6386781184000014,10
2014-07-14,0,7.079341567999999,1
2014-07-15,1,12.048960512,0
2014-07-16,1,12.4838441984,2
2014-07-17,0,10.4965607424,0
2014-07-18,2,-2.8080954368000004,0
2014-07-19,0,-2.3722245120000007,0
2014-07-20,1,-1.0164231168000009,1
2014-07-21,1,9.677860864,0
2014-07-22,18,4.9556569088,2
2014-07-23,4,16.967788544,3
2014-07-24,26,1.5577701376000013,0
2014-07-25,24,7.2561241088,2
2014-07-26,15,-1.0010728448000004,3
2014-07-27,3,2.562924134399999,4
2014-07-28,4,11.658250035199998,6
2014-07-29,0,16.9415754752,6
2014-07-30,1,13.8731548672,1
2014-07-31,1,18.2213305344,2
2014-08-01,5,-0.25500989440000055,1
2014-08-02,1,-4.472927027200002,1
2014-08-03,0,2.749432627199999,7
2014-08-04,4,7.7586059264,4
2014-08-05,1,-3.1143604224,2
2014-08-06,2,10.61679616,0
2014-08-07,7,1.9773064192000014,1
2014-08-08,2,-4.027086950399998,0
2014-08-09,3,3.7638204416000005,2
2014-08-10,3,0.43789578240000004,1
2014-08-11,1,25.957665075199998,4
2014-08-12,0,0.11345336320000143,2
2014-08-13,1,27.4560166912,7
2014-08-14,10,-3.902869708799999,5
2014-08-15,2,13.688734310399997,1
2014-08-16,2,-3.9363401728000005,1
2014-08-17,0,0.6769351679999982,2
2014-08-18,0,10.127919001599999,0
2014-08-19,0,6.6774473728000014,0
2014-08-20,1,13.5603611648,1
2014-08-21,0,15.302918963200002,1
2014-08-22,0,9.0520681472,2
2014-08-23,5,14.678658559999999,1
2014-08-24,3,-3.4115495936,4
2014-08-25,7,9.608149708799997,1
2014-08-26,4,17.55596544,0
2014-08-27,2,17.468423270400002,0
2014-08-28,2,12.287531827199999,0
2014-08-29,8,20.4456848384,0
2014-08-30,10,-5.1908886528,0
2014-08-31,29,-2.0620382208000017,4
2014-09-01,4,29.586407731199998,1
2014-09-02,16,14.526655488000001,2
2014-09-03,9,6.570446336,0
2014-09-04,5,11.9401872384,2
2014-09-05,8,5.665212825600001,0
2014-09-06,0,-0.13942138879999888,0
2014-09-07,5,-3.277648384000001,0
2014-09-08,5,43.6503781376,0
2014-09-09,7,13.399369728000003,1
2014-09-10,3,10.651280896,1
2014-09-11,0,13.692694015999999,0
2014-09-12,4,18.571139891199998,1
2014-09-13,4,-9.5497001984,1
2014-09-14,3,4.391359487999997,3
2014-09-15,3,7.393258700799999,4
2014-09-16,12,1.019189452800001,0
2014-09-17,10,6.108967628800001,0
2014-09-18,3,8.2279187456,0
2014-09-19,1,18.9533407232,4
2014-09-20,3,-0.2973822975999987,2
2014-09-21,5,2.257928294399999,0
2014-09-22,9,31.199559987199997,9
2014-09-23,15,13.859345817600001,8
2014-09-24,3,17.2500035584,4
2014-09-25,6,24.458810572799997,3
2014-09-26,9,13.336453427199999,0
2014-09-27,4,-5.854803865600001,3
2014-09-28,18,-1.7777500160000024,4
2014-09-29,10,31.892018380799996,6
2014-09-30,3,34.2891086848,2
2014-10-01,5,16.6402328576,0
2014-10-02,0,27.929867366399996,0
2014-10-03,3,16.9990740992,2
2014-10-04,9,-10.046608896000002,2
2014-10-05,6,-0.19424010240000378,15
2014-10-06,4,23.2435654656,4
2014-10-07,1,18.604788121600002,1
2014-10-08,5,11.541977292800002,0
2014-10-09,4,1.4628504576,1
2014-10-10,6,11.1045471232,0
2014-10-11,7,-8.258616012799997,2
2014-10-12,5,5.734459596799998,3
2014-10-13,10,20.38090752,0
2014-10-14,6,20.311695974400003,0
2014-10-15,4,19.557683097600002,0
2014-10-16,0,1.68885504,2
2014-10-17,0,6.6082361343999985,0
2014-10-18,2,9.1901646848,4
2014-10-19,6,-2.953661440000002,2
2014-10-20,2,21.513855897599996,0
2014-10-21,1,44.9330497536,0
2014-10-22,2,4.330937241600003,0
2014-10-23,0,10.462166118399999,0
2014-10-24,3,8.210808832,0
2014-10-25,1,-6.791687475200002,0
2014-10-26,0,-5.294786560000001,0
2014-10-27,1,20.5539858432,0
2014-10-28,2,16.802374144,0
2014-10-29,0,14.464439091200003,1
2014-10-30,1,26.168157798400003,0
2014-10-31,1,-0.13434675199999901,5
2014-11-01,2,-4.529301196800002,0
2014-11-02,5,-1.7405275136000018,7
2014-11-03,0,4.4958522367999985,1
2014-11-04,10,5.0798826496,1
2014-11-05,0,24.834063360000002,0
2014-11-06,1,1.0199096320000027,1
2014-11-07,6,-1.386601881599999,1
2014-11-08,0,-2.5767952384,3
2014-11-09,0,-0.0021091328000006904,0
2014-11-10,2,6.4338632704,1
2014-11-11,2,13.4791419904,3
2014-11-12,1,11.5729291264,0
2014-11-13,3,1.828391936000001,0
2014-11-14,3,9.201543168,0
2014-11-15,0,-3.348795904,1
2014-11-16,2,-1.2350735360000016,2
2014-11-17,10,3.4973560831999992,1
2014-11-18,2,14.0673707008,1
2014-11-19,6,1.7912961024000005,0
2014-11-20,2,7.955740979200001,0
