,golang/go,llvm/llvm-project,gcc-mirror/gcc
2020-03-03,19,143,16
2020-03-04,12,119,33
2020-03-05,12,110,19
2020-03-06,9,83,25
2020-03-07,2,37,1
2020-03-08,1,16,4
2020-03-09,9,110,15
2020-03-10,20,118,16
2020-03-11,22,93,21
2020-03-12,15,150,16
2020-03-13,20,121,20
2020-03-14,2,31,8
2020-03-15,11,33,5
2020-03-16,8,102,19
2020-03-17,9,119,30
2020-03-18,14,110,39
2020-03-19,10,123,12
2020-03-20,16,113,27
2020-03-21,5,47,11
2020-03-22,6,40,4
2020-03-23,23,117,22
2020-03-24,20,106,16
2020-03-25,22,92,27
2020-03-26,11,111,15
2020-03-27,19,107,31
2020-03-28,6,60,12
2020-03-29,4,48,7
2020-03-30,17,117,12
2020-03-31,20,146,21
2020-04-01,17,131,18
2020-04-02,14,133,22
2020-04-03,13,138,21
2020-04-04,2,57,12
2020-04-05,4,52,6
2020-04-06,12,166,12
2020-04-07,9,129,31
2020-04-08,30,127,35
2020-04-09,20,127,26
2020-04-10,18,104,13
2020-04-11,7,74,5
2020-04-12,7,37,3
2020-04-13,28,104,16
2020-04-14,23,127,21
2020-04-15,11,152,15
2020-04-16,17,133,19
2020-04-17,13,118,22
2020-04-18,5,54,7
2020-04-19,6,59,17
2020-04-20,33,112,28
2020-04-21,31,136,24
2020-04-22,26,134,44
2020-04-23,26,129,31
2020-04-24,43,143,18
2020-04-25,11,49,12
2020-04-26,2,47,8
2020-04-27,48,126,29
2020-04-28,30,123,20
2020-04-29,35,135,36
2020-04-30,35,125,26
2020-05-01,30,86,15
2020-05-02,3,54,6
2020-05-03,1,40,4
2020-05-04,15,89,25
2020-05-05,15,122,67
2020-05-06,13,107,32
2020-05-07,26,137,35
2020-05-08,28,91,21
2020-05-09,3,41,41
2020-05-10,2,55,5
2020-05-11,7,114,43
2020-05-12,6,106,41
2020-05-13,9,110,33
2020-05-14,14,104,31
2020-05-15,1,126,29
2020-05-16,0,33,3
2020-05-17,0,39,11
2020-05-18,10,71,26
2020-05-19,10,141,32
2020-05-20,7,122,32
2020-05-21,12,97,20
2020-05-22,1,82,22
2020-05-23,1,42,12
2020-05-24,3,36,2
2020-05-25,1,57,25
2020-05-26,16,108,28
2020-05-27,5,136,28
2020-05-28,6,153,31
2020-05-29,9,152,30
2020-05-30,1,46,8
2020-05-31,5,38,15
2020-06-01,7,75,18
2020-06-02,8,124,62
2020-06-03,18,143,52
2020-06-04,15,141,69
2020-06-05,13,161,52
2020-06-06,0,39,4
2020-06-07,2,49,12
2020-06-08,13,125,47
2020-06-09,9,149,62
2020-06-10,7,112,49
2020-06-11,7,119,57
2020-06-12,4,93,45
2020-06-13,1,34,4
2020-06-14,2,31,7
2020-06-15,7,145,44
2020-06-16,5,144,65
2020-06-17,12,128,59
2020-06-18,8,151,53
2020-06-19,6,117,43
2020-06-20,1,62,9
2020-06-21,0,29,4
2020-06-22,1,102,16
2020-06-23,5,132,24
2020-06-24,9,136,27
2020-06-25,9,154,25
2020-06-26,8,142,12
2020-06-27,1,48,8
2020-06-28,1,27,11
2020-06-29,7,116,24
2020-06-30,7,140,20
2020-07-01,4,142,30
2020-07-02,1,109,24
2020-07-03,1,92,13
2020-07-04,0,42,2
2020-07-05,3,21,4
2020-07-06,6,103,44
2020-07-07,11,127,47
2020-07-08,9,138,44
2020-07-09,4,131,25
2020-07-10,4,120,55
2020-07-11,0,52,8
2020-07-12,0,25,2
2020-07-13,2,124,32
2020-07-14,3,131,26
2020-07-15,1,120,41
2020-07-16,7,142,45
2020-07-17,3,114,19
2020-07-18,0,52,7
2020-07-19,0,28,6
2020-07-20,3,123,23
2020-07-21,5,118,19
2020-07-22,1,163,21
2020-07-23,6,125,19
2020-07-24,3,100,20
2020-07-25,2,45,5
2020-07-26,0,45,7
2020-07-27,2,108,43
2020-07-28,2,136,17
2020-07-29,0,166,24
2020-07-30,11,129,28
2020-07-31,7,104,33
2020-08-01,2,34,9
2020-08-02,1,36,6
2020-08-03,8,112,33
2020-08-04,1,138,38
2020-08-05,1,170,21
2020-08-06,2,148,18
2020-08-07,2,136,10
2020-08-08,0,48,5
2020-08-09,0,38,5
2020-08-10,10,103,21
2020-08-11,6,165,16
2020-08-12,13,99,21
2020-08-13,7,143,16
2020-08-14,11,98,15
2020-08-15,11,34,1
2020-08-16,6,29,3
2020-08-17,41,131,12
2020-08-18,27,112,25
2020-08-19,13,116,23
2020-08-20,7,90,16
2020-08-21,7,107,12
2020-08-22,3,44,5
2020-08-23,3,18,5
2020-08-24,22,100,15
2020-08-25,17,109,25
2020-08-26,14,133,42
2020-08-27,19,157,20
2020-08-28,13,94,16
2020-08-29,2,55,3
2020-08-30,1,34,8
2020-08-31,3,53,17
2020-09-01,13,94,15
2020-09-02,6,85,15
2020-09-03,10,101,15
2020-09-04,0,76,12
2020-09-05,4,35,1
2020-09-06,3,22,4
2020-09-07,4,102,22
2020-09-08,5,102,19
2020-09-09,19,105,31
2020-09-10,6,102,36
2020-09-11,13,111,42
2020-09-12,4,47,8
2020-09-13,5,22,2
2020-09-14,11,116,17
2020-09-15,12,153,15
2020-09-16,18,158,35
2020-09-17,15,139,25
2020-09-18,21,102,20
2020-09-19,4,43,14
2020-09-20,1,29,6
2020-09-21,8,121,30
2020-09-22,17,133,32
2020-09-23,14,137,36
2020-09-24,12,145,37
2020-09-25,6,97,22
2020-09-26,6,34,15
2020-09-27,2,25,6
2020-09-28,11,100,24
2020-09-29,17,130,26
2020-09-30,13,121,32
2020-10-01,19,112,35
2020-10-02,8,106,31
2020-10-03,3,46,6
2020-10-04,0,40,2
2020-10-05,14,96,18
2020-10-06,19,102,24
2020-10-07,11,91,23
2020-10-08,7,94,28
2020-10-09,10,117,21
2020-10-10,2,36,19
2020-10-11,1,30,26
2020-10-12,26,110,35
2020-10-13,24,122,17
2020-10-14,15,121,44
2020-10-15,15,116,63
2020-10-16,22,107,56
2020-10-17,9,28,5
2020-10-18,3,32,4
2020-10-19,21,157,51
2020-10-20,39,133,62
2020-10-21,23,122,55
2020-10-22,21,124,77
2020-10-23,33,135,57
2020-10-24,11,51,7
2020-10-25,3,25,3
2020-10-26,42,129,60
2020-10-27,41,146,61
2020-10-28,29,151,45
2020-10-29,34,120,47
2020-10-30,30,150,29
2020-10-31,7,52,6
2020-11-01,4,15,8
2020-11-02,15,127,37
2020-11-03,9,166,67
2020-11-04,11,132,28
2020-11-05,22,119,30
2020-11-06,7,94,51
2020-11-07,9,46,10
2020-11-08,1,30,5
2020-11-09,23,129,35
2020-11-10,12,138,32
2020-11-11,9,151,36
2020-11-12,11,109,30
2020-11-13,5,133,64
2020-11-14,2,37,9
2020-11-15,0,20,13
2020-11-16,9,101,22
2020-11-17,7,134,48
2020-11-18,15,133,38
2020-11-19,13,106,34
2020-11-20,17,99,31
2020-11-21,4,43,17
2020-11-22,0,33,7
2020-11-23,2,90,24
2020-11-24,34,110,61
2020-11-25,35,98,67
2020-11-26,2,86,61
2020-11-27,3,63,54
2020-11-28,3,20,6
2020-11-29,0,21,12
2020-11-30,36,105,67
2020-12-01,37,140,39
2020-12-02,23,126,54
2020-12-03,30,116,48
2020-12-04,45,119,19
2020-12-05,2,50,47
2020-12-06,4,40,7
2020-12-07,29,103,25
2020-12-08,13,147,38
2020-12-09,19,123,21
2020-12-10,16,137,32
2020-12-11,6,85,31
2020-12-12,1,44,6
2020-12-13,0,33,20
2020-12-14,34,122,51
2020-12-15,23,154,73
2020-12-16,13,109,65
2020-12-17,29,129,73
2020-12-18,12,115,25
2020-12-19,1,38,4
2020-12-20,1,24,6
2020-12-21,19,74,18
2020-12-22,25,86,17
2020-12-23,53,84,17
2020-12-24,2,28,4
2020-12-25,7,20,5
2020-12-26,1,13,5
2020-12-27,1,21,6
2020-12-28,24,50,6
2020-12-29,25,60,10
2020-12-30,11,73,6
2020-12-31,5,52,11
2021-01-01,15,41,26
2021-01-02,2,35,10
2021-01-03,9,20,4
2021-01-04,6,67,28
2021-01-05,16,104,42
2021-01-06,8,121,18
2021-01-07,10,136,23
2021-01-08,27,113,26
2021-01-09,0,46,12
2021-01-10,4,27,2
2021-01-11,12,122,28
2021-01-12,17,114,21
2021-01-13,7,102,35
2021-01-14,18,106,45
2021-01-15,17,101,42
2021-01-16,4,47,9
2021-01-17,10,29,6
2021-01-18,6,78,22
2021-01-19,18,133,25
2021-01-20,15,118,20
2021-01-21,23,92,19
2021-01-22,18,162,30
2021-01-23,14,74,6
2021-01-24,1,34,1
2021-01-25,25,132,19
2021-01-26,13,132,19
2021-01-27,13,114,24
2021-01-28,8,133,21
2021-01-29,3,88,25
2021-01-30,2,31,9
2021-01-31,0,24,3
2021-02-01,6,103,23
2021-02-02,6,174,22
2021-02-03,10,100,46
2021-02-04,10,115,20
2021-02-05,11,118,15
2021-02-06,0,37,1
2021-02-07,2,21,1
2021-02-08,12,101,9
2021-02-09,12,114,19
2021-02-10,13,121,22
2021-02-11,6,136,20
2021-02-12,18,139,31
2021-02-13,4,54,6
2021-02-14,0,35,3
2021-02-15,2,71,10
2021-02-16,20,100,11
2021-02-17,5,116,11
2021-02-18,24,144,13
2021-02-19,65,125,22
2021-02-20,8,66,5
2021-02-21,2,31,3
2021-02-22,8,101,18
2021-02-23,48,123,18
2021-02-24,30,130,28
2021-02-25,22,109,28
2021-02-26,12,97,17
2021-02-27,4,58,6
2021-02-28,0,25,7
2021-03-01,9,119,6
2021-03-02,13,123,23
2021-03-03,13,111,30
2021-03-04,36,162,20
2021-03-05,31,125,20
2021-03-06,0,69,10
2021-03-07,2,33,2
2021-03-08,8,106,19
2021-03-09,22,135,22
2021-03-10,25,129,26
2021-03-11,20,124,26
2021-03-12,14,115,10
2021-03-13,16,38,7
2021-03-14,5,27,3
2021-03-15,22,127,21
2021-03-16,21,109,16
2021-03-17,16,90,11
2021-03-18,27,122,17
2021-03-19,15,117,20
2021-03-20,1,53,5
2021-03-21,0,40,2
2021-03-22,11,129,17
2021-03-23,19,162,37
2021-03-24,16,146,11
2021-03-25,29,106,23
2021-03-26,3,80,30
2021-03-27,2,31,2
2021-03-28,1,32,11
2021-03-29,19,86,18
2021-03-30,23,125,16
2021-03-31,16,98,23
2021-04-01,8,116,14
2021-04-02,17,105,8
2021-04-03,9,27,15
2021-04-04,3,33,2
2021-04-05,32,60,15
2021-04-06,22,137,25
2021-04-07,17,94,15
2021-04-08,31,111,38
2021-04-09,30,94,28
2021-04-10,8,26,17
2021-04-11,3,31,5
2021-04-12,31,116,17
2021-04-13,25,140,22
2021-04-14,36,134,22
2021-04-15,20,105,21
2021-04-16,39,118,23
2021-04-17,1,36,7
2021-04-18,1,25,2
2021-04-19,15,106,15
2021-04-20,22,160,18
2021-04-21,28,133,39
2021-04-22,24,162,23
2021-04-23,34,125,22
2021-04-24,1,42,11
2021-04-25,0,36,2
2021-04-26,12,103,26
2021-04-27,37,134,40
2021-04-28,32,126,66
2021-04-29,30,110,64
2021-04-30,37,121,30
2021-05-01,5,38,4
2021-05-02,7,26,5
2021-05-03,21,107,50
2021-05-04,30,125,55
2021-05-05,18,128,75
2021-05-06,14,106,55
2021-05-07,14,107,53
2021-05-08,6,37,4
2021-05-09,9,16,1
2021-05-10,11,118,61
2021-05-11,6,118,31
2021-05-12,10,121,27
2021-05-13,12,135,27
2021-05-14,10,179,22
2021-05-15,1,45,8
2021-05-16,0,30,5
2021-05-17,7,116,33
2021-05-18,13,116,40
2021-05-19,20,116,38
2021-05-20,15,104,26
2021-05-21,28,105,37
2021-05-22,1,38,5
2021-05-23,0,25,8
2021-05-24,21,96,16
2021-05-25,5,150,31
2021-05-26,23,121,30
2021-05-27,25,113,18
2021-05-28,7,78,15
2021-05-29,2,23,6
2021-05-30,2,18,3
2021-05-31,1,57,7
2021-06-01,14,88,21
2021-06-02,33,113,15
2021-06-03,20,108,31
2021-06-04,29,100,29
2021-06-05,9,45,12
2021-06-06,1,33,10
2021-06-07,20,95,18
2021-06-08,26,129,44
2021-06-09,13,109,39
2021-06-10,3,110,23
2021-06-11,15,132,26
2021-06-12,7,23,6
2021-06-13,4,46,7
2021-06-14,10,107,28
2021-06-15,12,107,50
2021-06-16,13,110,53
2021-06-17,40,97,59
2021-06-18,11,98,53
2021-06-19,1,40,4
2021-06-20,2,27,5
2021-06-21,17,100,38
2021-06-22,12,117,33
2021-06-23,16,126,26
2021-06-24,15,122,36
2021-06-25,17,95,23
2021-06-26,6,29,8
2021-06-27,4,27,3
2021-06-28,12,126,30
2021-06-29,8,131,58
2021-06-30,13,114,23
2021-07-01,20,117,25
2021-07-02,10,107,25
2021-07-03,5,11,4
2021-07-04,2,11,2
2021-07-05,0,54,43
2021-07-06,1,66,52
2021-07-07,21,93,39
2021-07-08,7,85,45
2021-07-09,4,110,53
2021-07-10,3,54,4
2021-07-11,1,29,1
2021-07-12,3,118,26
2021-07-13,5,135,26
2021-07-14,15,109,23
2021-07-15,5,140,30
2021-07-16,20,125,38
2021-07-17,3,44,3
2021-07-18,2,32,5
2021-07-19,29,121,15
2021-07-20,6,167,24
2021-07-21,12,131,34
2021-07-22,18,142,17
2021-07-23,6,139,23
2021-07-24,5,42,2
2021-07-25,1,41,2
2021-07-26,13,135,15
2021-07-27,11,167,28
2021-07-28,11,128,36
2021-07-29,13,126,21
2021-07-30,16,129,42
2021-07-31,3,43,8
2021-08-01,0,10,2
2021-08-02,6,108,22
2021-08-03,8,92,37
2021-08-04,16,120,34
2021-08-05,8,114,25
2021-08-06,18,115,19
2021-08-07,2,27,4
2021-08-08,1,10,5
2021-08-09,6,79,24
2021-08-10,10,107,15
2021-08-11,7,91,25
2021-08-12,13,98,26
2021-08-13,12,78,13
2021-08-14,8,28,5
2021-08-15,4,35,5
2021-08-16,55,85,20
2021-08-17,16,101,44
2021-08-18,13,125,30
2021-08-19,8,120,26
2021-08-20,15,114,15
2021-08-21,6,20,6
2021-08-22,9,30,4
2021-08-23,20,66,41
2021-08-24,14,101,30
2021-08-25,20,108,21
2021-08-26,14,109,23
2021-08-27,19,90,18
2021-08-28,10,22,9
2021-08-29,1,19,14
2021-08-30,17,79,21
2021-08-31,27,97,37
2021-09-01,22,116,30
2021-09-02,32,121,17
2021-09-03,8,100,32
2021-09-04,10,46,1
2021-09-05,2,17,6
2021-09-06,6,46,12
2021-09-07,17,110,30
2021-09-08,34,113,21
2021-09-09,30,107,10
2021-09-10,16,115,25
2021-09-11,2,31,4
2021-09-12,2,21,3
2021-09-13,11,95,35
2021-09-14,14,86,33
2021-09-15,21,93,26
2021-09-16,13,101,40
2021-09-17,19,97,41
2021-09-18,1,28,16
2021-09-19,3,25,18
2021-09-20,24,105,44
2021-09-21,25,115,46
2021-09-22,26,129,61
2021-09-23,14,124,46
2021-09-24,20,136,14
2021-09-25,3,37,2
2021-09-26,0,27,3
2021-09-27,35,127,16
2021-09-28,21,138,45
2021-09-29,21,117,21
2021-09-30,13,111,27
2021-10-01,13,124,89
2021-10-02,7,41,8
2021-10-03,0,58,8
2021-10-04,20,101,44
2021-10-05,33,134,52
2021-10-06,29,151,17
2021-10-07,19,132,21
2021-10-08,20,145,30
2021-10-09,4,49,6
2021-10-10,1,25,4
2021-10-11,17,113,53
2021-10-12,16,154,31
2021-10-13,14,111,21
2021-10-14,19,103,39
2021-10-15,16,94,33
2021-10-16,2,46,4
2021-10-17,2,27,3
2021-10-18,16,127,24
2021-10-19,25,88,35
2021-10-20,16,93,63
2021-10-21,13,126,39
2021-10-22,6,106,13
2021-10-23,9,23,6
2021-10-24,0,16,5
2021-10-25,24,156,48
2021-10-26,21,114,33
2021-10-27,26,148,26
2021-10-28,29,121,24
2021-10-29,27,156,20
2021-10-30,5,33,11
2021-10-31,6,28,6
2021-11-01,12,68,19
2021-11-02,51,125,20
2021-11-03,20,106,21
2021-11-04,45,91,53
2021-11-05,54,115,39
2021-11-06,8,36,8
2021-11-07,2,28,8
2021-11-08,15,107,27
2021-11-09,35,162,66
2021-11-10,20,146,63
2021-11-11,27,133,47
2021-11-12,22,130,33
2021-11-13,15,44,20
2021-11-14,2,40,9
2021-11-15,18,123,40
2021-11-16,23,144,39
2021-11-17,25,120,32
2021-11-18,19,114,29
2021-11-19,10,90,39
2021-11-20,4,27,8
2021-11-21,0,15,8
2021-11-22,24,102,14
2021-11-23,6,91,28
2021-11-24,20,98,23
2021-11-25,4,80,26
2021-11-26,4,85,20
2021-11-27,5,20,7
2021-11-28,0,25,6
2021-11-29,16,86,19
2021-11-30,7,143,62
2021-12-01,10,132,54
2021-12-02,22,155,60
2021-12-03,13,105,23
2021-12-04,7,55,10
2021-12-05,1,35,3
2021-12-06,15,97,18
2021-12-07,18,134,14
2021-12-08,20,128,20
2021-12-09,8,118,33
2021-12-10,3,130,22
2021-12-11,0,33,8
2021-12-12,7,32,6
2021-12-13,16,120,26
2021-12-14,14,117,37
2021-12-15,13,133,27
2021-12-16,10,143,18
2021-12-17,9,118,26
2021-12-18,0,25,7
2021-12-19,1,21,10
2021-12-20,6,75,13
2021-12-21,10,97,9
2021-12-22,5,79,10
2021-12-23,4,105,6
2021-12-24,0,46,6
2021-12-25,0,19,2
2021-12-26,0,18,3
2021-12-27,0,51,8
2021-12-28,0,48,12
2021-12-29,4,63,9
2021-12-30,0,56,9
2021-12-31,0,25,4
2022-01-01,0,33,5
2022-01-02,2,49,8
2022-01-03,2,96,22
2022-01-04,3,128,21
