,ant-design/ant-design,twbs/bootstrap,mui/material-ui
2019-05-07,20.0,1,4
2019-05-08,4.999999999999998,9,12
2019-05-09,10.399999999999999,5,4
2019-05-10,4.914999999999998,2,5
2019-05-11,0.14725000000000055,0,2
2019-05-12,2.676027500000001,0,5
2019-05-13,9.686492500000002,0,2
2019-05-14,4.0109534875,8,3
2019-05-15,2.209891465937501,0,8
2019-05-16,14.441402815671875,8,4
2019-05-17,6.479653877310938,0,1
2019-05-18,-2.277859114040625,1,4
2019-05-19,-1.3074360162828118,0,8
2019-05-20,11.092359309115627,1,8
2019-05-21,11.098112419184377,0,4
2019-05-22,9.610185009010937,0,6
2019-05-23,-1.5116236197781259,1,15
2019-05-24,4.45501831535625,2,18
2019-05-25,3.330490042284376,0,15
2019-05-26,14.510498427176564,1,12
2019-05-27,16.4857059825,1,7
2019-05-28,1.6804262925624993,2,6
2019-05-29,4.6175263328656255,3,7
2019-05-30,4.808245639595313,2,10
2019-05-31,0.9493177165531268,0,11
2019-06-01,14.444099838120314,0,7
2019-06-02,3.314466692206251,0,10
2019-06-03,6.865367687820314,3,14
2019-06-04,9.735413093378126,5,9
2019-06-05,17.467840025489064,1,11
2019-06-06,-0.4044573650390628,4,3
2019-06-07,8.805693552389062,1,8
2019-06-08,0.4580311282015632,0,10
2019-06-09,-1.85046085585781,0,12
2019-06-10,8.717598565081252,0,8
2019-06-11,10.105989712643751,0,11
2019-06-12,7.658958858489063,0,9
2019-06-13,0.6564340330062501,1,15
2019-06-14,9.343176313984376,0,8
2019-06-15,3.907153410470313,0,2
2019-06-16,8.166761558057814,0,10
2019-06-17,4.899267329892188,1,6
2019-06-18,0.0429346398437509,3,6
2019-06-19,5.5495094684531265,1,11
2019-06-20,6.332641913162501,0,1
2019-06-21,17.208498801843753,0,8
2019-06-22,3.057727446720312,2,6
2019-06-23,0.7872606940109375,0,5
2019-06-24,7.360326605878126,2,10
2019-06-25,2.0071903035312513,2,7
2019-06-26,16.41842618246719,3,3
2019-06-27,15.18220829631875,0,5
2019-06-28,17.616596474373438,0,10
2019-06-29,-1.0057377325843762,0,7
2019-06-30,6.436880722473439,0,4
2019-07-01,4.472884129487502,0,0
2019-07-02,5.692883615251565,2,4
2019-07-03,6.677595067614065,0,5
2019-07-04,3.6242734105750016,0,4
2019-07-05,-0.11855088867812347,0,7
2019-07-06,3.491529629775002,0,4
2019-07-07,4.527045303948439,0,3
2019-07-08,5.554710901501563,1,6
2019-07-09,7.399698953567188,2,14
2019-07-10,3.1643001868734375,2,18
2019-07-11,15.444749410071875,0,2
2019-07-12,-0.6438350059171878,4,8
2019-07-13,4.389749952503125,1,3
2019-07-14,-1.6461987851499995,5,7
2019-07-15,21.945635622976564,4,14
2019-07-16,15.930665614925,1,3
2019-07-17,28.484662021357813,23,4
2019-07-18,-0.14554859915156548,1,7
2019-07-19,16.73744744855469,6,15
2019-07-20,3.8712479533578126,2,9
2019-07-21,-1.186852120665622,1,2
2019-07-22,16.69532513353438,33,13
2019-07-23,13.436130421890628,25,11
2019-07-24,13.104585101876564,8,14
2019-07-25,3.0387680540671878,16,6
2019-07-26,-3.018095871228123,3,5
2019-07-27,-1.8054148679921846,1,7
2019-07-28,-1.3415364348437466,3,11
2019-07-29,5.060515862431253,9,4
2019-07-30,26.67624004888125,2,7
2019-07-31,15.327033556801561,2,11
2019-08-01,4.285902311873436,5,3
2019-08-02,13.213266315779688,4,4
2019-08-03,-1.235542467751562,3,3
2019-08-04,8.929171425000003,7,12
2019-08-05,12.447383222500001,1,9
2019-08-06,20.870354389406252,1,4
2019-08-07,8.677924791596876,2,2
2019-08-08,9.216671411696876,5,3
2019-08-09,18.50383038269219,1,8
2019-08-10,-2.2804046085374985,0,4
2019-08-11,-1.6888936128562477,0,2
2019-08-12,16.10052685800625,2,0
2019-08-13,2.760640304370315,1,6
2019-08-14,15.49465998583594,2,4
2019-08-15,7.604361143684375,0,2
2019-08-16,34.02699975532969,5,4
2019-08-17,13.52288612568906,4,7
2019-08-18,-2.7990468030718745,9,0
2019-08-19,6.068086374412501,1,1
2019-08-20,1.0425963606828161,0,6
2019-08-21,1.5960348562593794,0,12
2019-08-22,9.984308879253128,6,5
2019-08-23,12.370828212431253,7,9
2019-08-24,-2.0652199632234365,0,6
2019-08-25,1.1026820038734388,1,1
2019-08-26,8.58387685953594,2,6
2019-08-27,12.133226142787501,9,1
2019-08-28,10.485904390114062,1,7
2019-08-29,10.30447254529375,5,2
2019-08-30,5.13304212741875,10,4
2019-08-31,1.499166840584376,1,4
2019-09-01,-1.925199314804686,0,4
2019-09-02,32.78156082091719,5,8
2019-09-03,12.663884652235936,1,13
2019-09-04,3.0251468786718747,0,8
2019-09-05,20.01004684404375,2,9
2019-09-06,12.823004227829689,9,7
2019-09-07,0.9361616279078131,1,3
2019-09-08,13.107905252650001,0,3
2019-09-09,3.467909954856252,0,1
2019-09-10,-0.8904973162812468,0,5
2019-09-11,2.823098281262503,0,4
2019-09-12,6.11064833952969,0,0
2019-09-13,2.9822284341390644,2,7
2019-09-14,9.221462139157815,0,4
2019-09-15,-2.1488012856890624,2,4
2019-09-16,8.817549080320314,7,3
2019-09-17,13.164896213315625,0,6
2019-09-18,13.503435574967188,0,4
2019-09-19,5.043516847349999,0,3
2019-09-20,3.5270836144453126,0,4
2019-09-21,0.8758319558843759,0,4
2019-09-22,-1.6492170808515603,0,12
2019-09-23,11.87007747210469,0,6
2019-09-24,4.888910226093751,5,1
2019-09-25,18.04600353940625,0,7
2019-09-26,6.819352308710936,1,3
2019-09-27,1.3149111403,3,2
2019-09-28,23.06796296286875,0,3
2019-09-29,5.2587285332375,0,2
2019-09-30,-0.9295086963578116,0,2
2019-10-01,-0.026601692953123646,1,8
2019-10-02,-1.6571868240765595,7,7
2019-10-03,-1.1496244905640594,6,9
2019-10-04,-0.8804610283749976,0,8
2019-10-05,6.408379203828127,0,1
2019-10-06,1.8687959732156256,0,1
2019-10-07,4.040402451960938,1,3
2019-10-08,4.048586308645312,3,7
2019-10-09,5.008928168896875,1,8
2019-10-10,3.840897544928125,1,5
2019-10-11,7.843703162500001,0,6
2019-10-12,6.4029618387500005,4,2
2019-10-13,-1.718128092359375,0,1
2019-10-14,9.974711549451563,1,12
2019-10-15,14.197975071064063,0,4
2019-10-16,12.372441182242188,2,3
2019-10-17,4.064235265476562,2,4
2019-10-18,7.63833845345625,3,8
2019-10-19,2.5327571001796887,0,5
2019-10-20,5.985776185551565,1,6
2019-10-21,3.9037975709625012,0,4
2019-10-22,3.0978769793281264,6,6
2019-10-23,8.233500082604689,0,3
2019-10-24,0.8709339154406259,0,8
2019-10-25,3.4848829958515637,3,4
2019-10-26,2.5647473208421885,1,2
2019-10-27,5.702739514562501,1,6
2019-10-28,3.503431993195313,3,3
2019-10-29,2.6076479453687504,0,12
2019-10-30,1.7636085697062507,0,6
2019-10-31,-0.0683730440859367,7,4
2019-11-01,1.214060254343751,1,7
2019-11-02,0.29671925481406347,0,2
2019-11-03,2.4313120490078135,0,6
2019-11-04,15.320297117496875,7,7
2019-11-05,0.9885638946703117,0,6
2019-11-06,9.714893384007812,0,2
2019-11-07,1.1311776795593742,6,9
2019-11-08,3.6704354743765633,1,6
2019-11-09,3.653529287682813,0,3
2019-11-10,3.643622943162501,0,4
2019-11-11,3.6391392809171883,0,6
2019-11-12,2.6244844578921884,2,9
2019-11-13,5.724000474128125,0,5
2019-11-14,1.564064597970313,0,6
2019-11-15,8.844732889307814,1,7
2019-11-16,2.3079495835640627,0,10
2019-11-17,0.6442811284921881,0,2
2019-11-18,7.962242890992188,1,7
2019-11-19,8.414680049742188,0,3
2019-11-20,9.096773074007812,0,5
2019-11-21,5.8222331849968745,1,3
2019-11-22,3.9507220807015626,1,8
2019-11-23,3.1832457522359383,0,2
2019-11-24,5.350637717578127,3,1
2019-11-25,17.277220322575,5,11
2019-11-26,0.03095937778750013,2,4
2019-11-27,3.0468874382703133,1,2
2019-11-28,3.2413171364687505,4,2
2019-11-29,34.38278912797969,0,6
2019-11-30,-1.6079090171312513,0,0
2019-12-01,16.35986845845625,1,7
2019-12-02,9.395865029960937,0,4
2019-12-03,17.595385183701566,0,3
2019-12-04,13.821747819020313,1,3
2019-12-05,4.841223196064064,0,2
2019-12-06,11.58797431974219,2,4
2019-12-07,1.2687568925078145,0,5
2019-12-08,-2.8548267715906217,1,3
2019-12-09,9.243821181345314,1,7
2019-12-10,4.548661636364065,0,6
2019-12-11,6.83167194870469,1,4
2019-12-12,3.7450372587140635,0,6
2019-12-13,3.098702830962501,2,5
2019-12-14,0.3769954006921885,5,4
2019-12-15,0.786613759382814,2,5
2019-12-16,3.042315241070314,0,3
2019-12-17,5.951621570578126,0,12
