,facebook/react-native,flutter/flutter,NativeScript/NativeScript
2015-01-30,2,0.0,0
2015-01-31,1,0.0,0
2015-02-01,0,0.0,0
2015-02-02,0,1.0,0
2015-02-03,0,-0.30000000000000004,0
2015-02-04,3,0.895,0
2015-02-05,0,-0.35950000000000004,0
2015-02-06,2,-0.14516249999999992,0
2015-02-07,2,-0.08922024999999997,0
2015-02-08,3,-0.06344336249999999,0
2015-02-09,0,-0.04867752375,0
2015-02-10,0,-0.03915757926562504,0
2015-02-11,2,-0.032540686982812525,0
2015-02-12,8,0.9841232832343749,0
2015-02-13,4,0.6864165867671874,0
2015-02-14,2,-0.40499999999999997,0
2015-02-15,0,-0.1644999999999999,0
2015-02-16,0,-0.09966249999999996,0
2015-02-17,0,-0.06988275,0
2015-02-18,0,-0.05300111249999999,0
2015-02-19,7,1.95776186375,0
2015-02-20,4,2.365166009484375,0
2015-02-21,4,0.8605398700015625,0
2015-02-22,5,-1.0475834132328123,0
2015-02-23,1,6.531175,0
2015-02-24,5,7.601071999999999,0
2015-02-25,6,-2.9510474749999998,0
2015-02-26,4,-0.933697634999999,0
2015-02-27,8,0.58367552021875,0
2015-02-28,2,-0.4868782742625002,0
2015-03-01,3,-1.1423347107296875,2
2015-03-02,11,1.313440882284375,0
2015-03-03,15,4.906464132640624,1
2015-03-04,8,0.5943078034640616,10
2015-03-05,10,10.10404990215625,34
2015-03-06,5,0.5570194600015625,8
2015-03-07,5,-3.303209620514062,0
2015-03-08,1,-1.6274142682312494,0
2015-03-09,17,1.9402061142671876,8
2015-03-10,16,5.32720483646875,14
2015-03-11,13,5.9777294516906245,1
2015-03-12,11,-1.0865222271937496,20
2015-03-13,12,2.2919552903640623,4
2015-03-14,13,-2.963182792621875,0
2015-03-15,2,-0.410763903664062,0
2015-03-16,24,1.7946923912500001,10
2015-03-17,19,4.315167920953125,15
2015-03-18,21,2.284553441692187,6
2015-03-19,17,0.2400870227296874,9
2015-03-20,16,3.8031250118578126,10
2015-03-21,12,-2.8860504360265624,1
2015-03-22,8,-1.344350927414062,0
2015-03-23,31,3.1614775369843753,12
2015-03-24,23,1.1785027314703123,38
2015-03-25,44,2.2010390034578124,5
2015-03-26,138,2.8895589405249997,12
2015-03-27,42,-1.4884408589609377,6
2015-03-28,12,-1.4383790402921874,0
2015-03-29,21,-0.8269346793968748,0
2015-03-30,28,-0.5248651824999999,14
2015-03-31,50,-0.40226588831250015,10
2015-04-01,51,0.6760825392718748,4
2015-04-02,30,-0.5223243380109378,3
2015-04-03,33,-0.2576745105093753,11
2015-04-04,12,-0.14329378292968764,0
2015-04-05,2,-0.05374591323281252,0
2015-04-06,9,0.97027975,6
2015-04-07,19,1.6767191375,2
2015-04-08,35,-0.72395727375,12
2015-04-09,19,1.714623283234375,7
2015-04-10,20,0.2272540867671875,0
2015-04-11,11,-0.6200452499999999,1
2015-04-12,3,-0.30672136249999987,0
2015-04-13,7,-0.20534399874999995,1
2015-04-14,11,2.846605735734375,6
2015-04-15,12,-0.021618821764062712,2
2015-04-16,12,-0.7033622364656249,7
2015-04-17,16,-0.3342107072812499,5
2015-04-18,8,-0.22303104323125006,0
2015-04-19,6,-0.1429066632328125,0
2015-04-20,14,0.9004371625,36
2015-04-21,30,2.61984731625,2
2015-04-22,24,-1.0715874240468752,18
2015-04-23,23,-0.43112695646406235,5
2015-04-24,17,-0.23224591323281243,17
2015-04-25,5,-0.15020775,0
2015-04-26,5,-0.11244161249999998,0
2015-04-27,9,1.91120013875,3
2015-04-28,17,3.3272514619843747,7
2015-04-29,12,-1.4712135635296877,7
2015-04-30,18,-0.5797502396984372,3
2015-05-01,5,-0.31832499999999986,0
2015-05-02,12,-0.22009049999999997,0
2015-05-03,5,-0.16544272499999998,0
2015-05-04,8,0.8689620025,5
2015-05-05,19,-0.40758252853125015,7
2015-05-06,15,-0.19567369352812514,0
2015-05-07,25,-0.11383365293125006,2
2015-05-08,13,-0.0401625,6
2015-05-09,0,-0.029720249999999997,0
2015-05-10,3,-0.023280862499999996,0
2015-05-11,4,-0.018957273750000003,11
2015-05-12,0,0.9841232832343749,4
2015-05-13,50,2.686416586767187,8
2015-05-14,36,2.995,8
2015-05-15,21,-0.5745,11
2015-05-16,5,-0.9386624999999996,0
2015-05-17,2,-0.4932077499999998,0
