,facebook/react,emberjs/ember.js,angular/angular
2018-11-18,0.0,0,0.0
2018-11-19,5.0,4,3.0
2018-11-20,1.0000000000000002,1,11.0
2018-11-21,-0.8000000000000003,3,9.0
2018-11-22,4.6,4,0.0
2018-11-23,1.7360000000000002,3,0.0
2018-11-24,-0.1948800000000004,0,0.0
2018-11-25,-0.8332160000000004,0,0.0
2018-11-26,1.4825087999999997,5,10.0
2018-11-27,3.217728,0,23.0
2018-11-28,0.7365258240000001,9,9.0
2018-11-29,-0.012394700800000269,2,2.0
2018-11-30,2.23765248,2,56.0
2018-12-01,-0.08390860799999977,0,1.0
2018-12-02,1.2500026368,0,0.0
2018-12-03,2.1632900096,0,14.0
2018-12-04,0.9283240959999999,22,12.0
2018-12-05,1.0170202112,39,52.0
2018-12-06,1.0463980544,56,31.0
2018-12-07,1.0815926272,35,16.0
2018-12-08,-0.9132248064,32,0.0
2018-12-09,-0.5212076032000001,30,0.0
2018-12-10,-0.34715453440000005,16,6.0
2018-12-11,-0.26108487679999987,12,12.0
2018-12-12,1.8080334848000001,32,10.0
2018-12-13,1.4715748352000002,0,16.0
2018-12-14,1.3524324352000001,10,26.0
2018-12-15,-0.7097141248,5,0.0
2018-12-16,-0.34813870080000014,0,0.0
2018-12-17,-0.21427200000000013,5,14.0
2018-12-18,2.8408704,4,26.0
2018-12-19,-0.7257830399999999,18,7.0
2018-12-20,2.656513536,5,13.0
2018-12-21,-0.8315675647999998,5,8.0
2018-12-22,-0.39451412480000003,4,0.0
2018-12-23,-0.24554670080000007,2,0.0
2018-12-24,-0.16208640000000007,3,0.0
2018-12-25,0.8726118399999999,0,0.0
2018-12-26,-0.3044495359999998,1,8.0
2018-12-27,-0.1681882112,1,0.0
2018-12-28,-0.09116313599999985,1,0.0
2018-12-29,-0.0710080511999999,0,0.0
2018-12-30,-0.025536000000000014,0,0.0
2018-12-31,-0.02042880000000001,0,0.0
2019-01-01,-0.01692672000000001,0,0.0
2019-01-02,0.9856122880000001,7,0.0
2019-01-03,-0.21246935039999992,0,16.0
2019-01-04,-0.08000000000000007,7,14.0
2019-01-05,-0.048000000000000036,4,3.0
2019-01-06,-0.03360000000000001,0,3.0
2019-01-07,0.974464,3,31.0
2019-01-08,1.7795712,3,16.0
2019-01-09,0.50307328,9,34.0
2019-01-10,1.5776122879999999,1,22.0
2019-01-11,-0.6220693504,1,36.0
2019-01-12,0.6992639999999998,3,5.0
2019-01-13,-0.4011008000000001,1,0.0
2019-01-14,1.7694796799999999,2,27.0
2019-01-15,4.432258048,2,22.0
2019-01-16,0.7073709056000002,7,8.0
2019-01-17,4.005284147199999,5,14.0
2019-01-18,8.4711264256,2,10.0
2019-01-19,-1.7569374208,0,0.0
2019-01-20,-1.4901253120000009,0,0.0
2019-01-21,9.0724612096,2,0.0
2019-01-22,0.33405337599999996,9,43.0
2019-01-23,9.0781652992,6,20.0
2019-01-24,0.6744202240000003,2,8.0
2019-01-25,-0.4465732608000006,1,19.0
2019-01-26,-1.827310592,3,0.0
2019-01-27,1.8584227839999998,2,0.0
2019-01-28,0.6456810495999998,1,21.0
2019-01-29,1.7712819200000003,1,26.0
2019-01-30,7.60916224,0,17.0
2019-01-31,5.458962636800001,4,8.0
2019-02-01,0.16362485760000034,4,6.0
2019-02-02,-0.9638112256000007,8,3.0
2019-02-03,-1.3195844608000005,3,0.0
2019-02-04,4.139073024,2,19.0
2019-02-05,8.3460891648,3,22.0
2019-02-06,11.1059192832,1,32.0
2019-02-07,-2.2291336191999997,1,18.0
