,seaweedfs/seaweedfs,ceph/ceph,minio/minio
2022-12-31,0,2.0,1.0
2023-01-01,3,2.0,0.7
2023-01-02,0,4.0,1.595
2023-01-03,5,11.0,2.2355
2023-01-04,3,10.0,3.7903375
2023-01-05,3,12.0,-0.003882749999999824
2023-01-06,2,13.0,1.5631738875000003
2023-01-07,0,4.0,-1.62966613625
2023-01-08,0,5.0,0.19463103448437535
2023-01-09,4,23.0,-0.8446435149984375
2023-01-10,10,14.0,1.4964590194859375
2023-01-11,1,29.0,0.0351941794874997
2023-01-12,0,32.0,6.221946541473438
2023-01-13,2,31.0,1.4897374290546868
2023-01-14,2,0.0,-2.1729028392624996
2023-01-15,0,4.0,-0.995810513448437
2023-01-16,7,10.0,3.388703808234375
2023-01-17,4,16.0,-0.6434705732328125
2023-01-18,0,7.0,0.9474422552187503
2023-01-19,0,20.0,2.78813209051875
2023-01-20,1,13.0,2.1693004744078124
2023-01-21,0,4.0,1.9433657403078124
2023-01-22,0,10.0,-2.1155023529312498
2023-01-23,1,23.0,3.0227995425000005
2023-01-24,0,17.0,2.1534431341874996
2023-01-25,0,32.0,3.899220632803125
2023-01-26,0,16.0,2.2088296082359378
2023-01-27,0,8.0,1.211723761471875
2023-01-28,1,8.0,-2.55520061499375
2023-01-29,1,7.0,-1.2883199699937498
2023-01-30,3,15.0,1.15957980206875
2023-01-31,1,10.0,2.8117276129374997
2023-02-01,5,15.0,0.12313052500624977
2023-02-02,1,15.0,1.523496227725
2023-02-03,0,3.0,0.33496184177499977
2023-02-04,0,0.0,-0.38551443322656276
2023-02-05,0,2.0,0.011398622068750086
2023-02-06,3,5.0,6.1650340025000006
2023-02-07,6,21.0,2.4118699964687496
2023-02-08,0,50.0,5.407466171471875
2023-02-09,2,15.0,2.3990966172875
2023-02-10,7,8.0,3.6156498632375005
2023-02-11,0,1.0,-2.7295960594796873
2023-02-12,0,8.0,-2.0868681044812494
2023-02-13,0,25.0,5.721197641251562
2023-02-14,0,43.0,0.9752873006578118
2023-02-15,1,22.0,-0.6490150914578123
2023-02-16,0,26.0,3.0621392697109373
2023-02-17,3,20.0,4.41095311479375
2023-02-18,4,9.0,-1.3242865205062504
2023-02-19,2,7.0,-2.105632646895312
2023-02-20,2,31.0,1.8738392205171879
2023-02-21,3,15.0,-0.6822665873593754
2023-02-22,5,41.0,10.783723630307811
2023-02-23,0,33.0,-3.2867799927125008
2023-02-24,0,12.0,0.9741994484562504
2023-02-25,1,19.0,2.9347081189765625
2023-02-26,0,6.0,-1.5828501636609378
2023-02-27,0,33.0,7.492374989784375
2023-02-28,3,84.0,-1.5986655240468748
2023-03-01,0,30.0,-1.2018683539640622
2023-03-02,3,25.0,0.4728323743296874
2023-03-03,0,19.0,1.4326634406906247
2023-03-04,0,2.0,0.3034119552203123
2023-03-05,0,4.0,-0.4822218597765626
2023-03-06,0,22.0,1.9004837783203126
2023-03-07,1,53.0,1.478402725876562
2023-03-08,4,33.0,1.3364910986234373
2023-03-09,1,19.0,1.35609632176875
2023-03-10,0,27.0,0.3075218569859375
2023-03-11,0,8.0,-0.4391406367624999
2023-03-12,0,13.0,-0.05945178447968735
2023-03-13,2,32.0,2.09659379801875
2023-03-14,1,22.0,-0.4219137222796876
2023-03-15,4,32.0,4.010802201254688
2023-03-16,2,12.0,0.9548033137546872
2023-03-17,1,10.0,1.2157164500046875
2023-03-18,0,0.0,-0.7565650594796873
2023-03-19,0,4.0,-1.1558761544812497
2023-03-20,7,3.0,6.337798436251562
2023-03-21,1,17.0,2.434276600220312
2023-03-22,1,18.0,1.4144208372859377
2023-03-23,0,16.0,1.6090983441890625
2023-03-24,0,18.0,0.6056625997890626
2023-03-25,1,3.0,-1.0741919137453122
2023-03-26,4,2.0,-0.38184424396406214
2023-03-27,0,20.0,0.8742803580171876
2023-03-28,0,12.0,-0.30291533610937527
2023-03-29,1,40.0,1.9577567285421873
2023-03-30,0,44.0,3.529021634273437
2023-03-31,1,27.0,3.81746154625625
2023-04-01,0,1.0,-2.7473049394781253
2023-04-02,0,2.0,-1.1998537052140619
2023-04-03,2,17.0,0.2623712100015627
