,apache/zookeeper,hashicorp/consul,etcd-io/etcd
2018-01-04,0,6,7.0
2018-01-05,0,11,0.6000000000000003
2018-01-06,0,0,0.03999999999999959
2018-01-07,0,0,0.3039999999999996
2018-01-08,0,2,4.3888
2018-01-09,0,3,13.626048
2018-01-10,0,9,-3.6756735999999997
2018-01-11,0,2,4.341519359999998
2018-01-12,0,4,6.731467776000001
2018-01-13,0,0,-3.0650963968
2018-01-14,0,0,2.450562867199999
2018-01-15,0,0,-0.8515226624000003
2018-01-16,0,1,1.6860752895999997
2018-01-17,0,0,12.497440768
2018-01-18,2,2,4.3051402240000005
2018-01-19,1,10,3.7615892479999995
2018-01-20,0,4,-0.12435671039999985
2018-01-21,0,0,-2.2913678336000007
2018-01-22,0,6,12.661932032
2018-01-23,0,5,15.2154635264
2018-01-24,0,11,28.3444110336
2018-01-25,0,4,30.414140620799998
2018-01-26,0,4,4.428153958399999
2018-01-27,0,0,-7.479152947200003
2018-01-28,0,3,-5.724035788800004
2018-01-29,0,1,5.149246668799998
2018-01-30,2,0,5.293745152
2018-01-31,0,0,-0.0619099135999992
2018-02-01,1,1,0.9664697344000013
2018-02-02,0,1,0.4895217664000029
2018-02-03,0,4,-2.7830425599999984
2018-02-04,0,0,-1.4079735808
2018-02-05,0,9,12.1307528192
2018-02-06,0,11,5.7370193920000006
2018-02-07,1,16,-1.3850228735999996
2018-02-08,0,8,7.8930191359999995
2018-02-09,0,11,2.769207808
2018-02-10,0,1,-1.8502656000000002
2018-02-11,0,5,-1.7724758016000008
2018-02-12,0,2,8.841021439999999
2018-02-13,0,3,3.1148016640000007
2018-02-14,1,1,3.2834515968000004
2018-02-15,0,3,-0.6183755776000002
2018-02-16,0,0,-1.7948049408000002
2018-02-17,0,0,-0.13290649599999993
2018-02-18,0,4,1.0556921855999999
2018-02-19,0,9,3.9952746496
2018-02-20,1,11,1.3729177600000004
2018-02-21,0,12,4.516962304
2018-02-22,0,6,0.03226818560000044
2018-02-23,1,3,1.6329076735999997
2018-02-24,0,1,-1.3592030208000003
2018-02-25,0,0,1.2354068479999996
2018-02-26,0,0,16.0484192256
2018-02-27,0,2,32.0178977792
2018-02-28,0,1,-3.980535807999999
2018-03-01,0,1,8.017925836799996
2018-03-02,1,8,2.4953563135999985
2018-03-03,0,1,-4.632671436800001
2018-03-04,0,0,-2.7698470912000017
2018-03-05,1,0,9.999553535999999
2018-03-06,0,5,0.01819627520000111
2018-03-07,0,6,9.955567411200002
2018-03-08,0,2,6.599687065600001
2018-03-09,0,5,-1.2200007679999993
2018-03-10,0,0,-2.8220352512
2018-03-11,0,0,3.3481555967999994
2018-03-12,0,0,-2.1304038400000005
2018-03-13,0,5,1.7123701759999999
2018-03-14,0,3,5.4314447872
2018-03-15,0,6,10.7076020224
2018-03-16,0,3,0.19717345280000087
2018-03-17,0,0,1.4407300095999993
2018-03-18,0,0,-2.1778496512000007
2018-03-19,0,10,11.739223039999999
2018-03-20,0,0,15.485503487999999
2018-03-21,0,1,-0.5037685760000006
2018-03-22,0,6,11.313971404799998
2018-03-23,0,0,-4.172547788799999
2018-03-24,0,0,3.102272716799999
2018-03-25,0,0,-3.0261866496000005
2018-03-26,3,4,3.182248038399999
2018-03-27,0,16,20.684568064
2018-03-28,0,6,-1.0536696831999972
2018-03-29,0,11,4.183598182399999
2018-03-30,0,6,24.310338048
2018-03-31,0,2,-6.683468287999999
