,hyperledger/besu,NethermindEth/nethermind,ethereum/go-ethereum
2018-12-09,0.0,1,0
2018-12-10,7.0,0,17
2018-12-11,0.8999999999999995,0,7
2018-12-12,2.365,0,2
2018-12-13,2.0685000000000002,9,3
2018-12-14,1.9203625000000004,10,7
2018-12-15,-2.1865292499999995,2,0
2018-12-16,-0.0707767874999995,0,0
2018-12-17,3.97992549625,14,3
2018-12-18,1.8543367113906246,0,4
2018-12-19,3.7849524120734372,0,0
2018-12-20,4.169127848239063,0,2
2018-12-21,0.60779763500625,0,3
2018-12-22,-2.7423726324937494,0,4
2018-12-23,-1.3860512391812496,0,1
2018-12-24,-0.9012455355156249,0,0
2018-12-25,-0.6771730170609376,0,0
2018-12-26,-0.5270146132265628,0,0
2018-12-27,0.6245816802249996,0,0
2018-12-28,-0.5684665917562506,0,1
2018-12-29,-0.26359075969218776,0,2
2018-12-30,-0.11383365293125006,6,0
2018-12-31,0.9598375,5,0
2019-01-01,-0.32972025000000005,2,0
2019-01-02,0.8717191375000001,8,2
2019-01-03,0.62154272625,4,6
2019-01-04,2.538960783234375,7,5
2019-01-05,-0.10780366323281254,10,2
2019-01-06,0.2620566375000002,3,1
2019-01-07,6.3276599762500005,2,6
2019-01-08,2.5461346707343746,0,1
2019-01-09,3.520355200517188,0,1
2019-01-10,1.0839406719843754,1,4
2019-01-11,3.452029436251563,0,5
2019-01-12,-2.0893059497796873,0,0
2019-01-13,-0.796126517714062,0,0
2019-01-14,13.620463141251562,3,0
2019-01-15,7.616452025657812,15,7
2019-01-16,1.865681431042188,1,4
2019-01-17,4.893925613242188,0,7
2019-01-18,-3.5276896014593753,2,3
2019-01-19,-2.2857483397749996,0,1
2019-01-20,1.7217893425875,0,0
2019-01-21,6.320142551251562,0,2
2019-01-22,6.758546876532812,0,2
2019-01-23,4.622781668554687,0,4
2019-01-24,1.5793971813484369,4,14
2019-01-25,1.38652661648125,14,2
2019-01-26,-2.1189380396093753,5,2
2019-01-27,-2.703448150731249,0,1
2019-01-28,4.350864768454688,1,2
2019-01-29,19.993420509928125,3,8
2019-01-30,11.56192012148281,0,7
2019-01-31,9.587988695532813,4,1
2019-02-01,1.1832484828125,0,2
2019-02-02,-7.815317740723437,8,0
2019-02-03,-1.0252548379281237,0,1
2019-02-04,9.411637193534375,0,7
2019-02-05,1.7816329031562503,6,4
2019-02-06,5.461430422493749,0,5
2019-02-07,2.7197819715828118,5,17
2019-02-08,3.2758708555468745,2,6
2019-02-09,-4.5097345733453125,6,0
2019-02-10,-0.9689900793109372,5,0
2019-02-11,7.590793140953124,7,0
2019-02-12,7.446660014848437,7,10
2019-02-13,4.201699370098437,0,3
2019-02-14,2.371500333465625,0,13
2019-02-15,-0.11126982270156205,0,2
2019-02-16,-4.044812668735937,0,1
2019-02-17,-2.168118608360937,0,1
2019-02-18,12.569717565735937,9,15
2019-02-19,21.71519559587812,0,15
2019-02-20,8.579224378984375,0,6
2019-02-21,1.0421693710500008,1,7
2019-02-22,-4.821409235203124,0,3
2019-02-23,-2.874021889690624,1,1
2019-02-24,-2.528883391164062,0,2
2019-02-25,7.41104263,0,5
2019-02-26,15.152132936531249,6,9
2019-02-27,1.4858974233187485,0,4
2019-02-28,3.258614625417187,0,9
2019-03-01,-4.207507532095313,14,6
2019-03-02,-2.603695605857812,0,2
2019-03-03,-1.4252995719796875,1,0
2019-03-04,13.07893896926875,2,4
2019-03-05,7.173667819110936,7,2
2019-03-06,-0.5098528301406251,3,4
2019-03-07,0.2060473551875006,8,11
2019-03-08,-1.8914544599843754,0,6
2019-03-09,-2.659741952109375,0,0
2019-03-10,0.4539479955187504,1,0
2019-03-11,0.28539555125156246,3,1
2019-03-12,5.323209851532812,2,6
2019-03-13,1.8712630285546865,6,4
2019-03-14,4.152482233629687,1,7
2019-03-15,-1.3800641107250002,0,4
2019-03-16,-2.119310224695312,1,1
2019-03-17,-1.1469973489656247,15,0
2019-03-18,6.21862723146875,9,6
2019-03-19,8.303607761253124,12,0
2019-03-20,5.509503249924999,2,3
2019-03-21,6.074769882292188,2,2
2019-03-22,0.49739386897656246,2,4
2019-03-23,-3.326666576160937,24,0
2019-03-24,-2.5031806139656245,10,0
2019-03-25,1.4102195962500004,0,7
2019-03-26,4.920126596390625,2,3
2019-03-27,8.651125997948437,5,7
2019-03-28,-0.1996201494671883,0,2
2019-03-29,-0.7444900217499999,11,2
2019-03-30,-2.7729333699046874,1,0
2019-03-31,0.5302884663375003,1,0
2019-04-01,5.430623228017188,10,5
2019-04-02,2.9612098334531245,5,9
2019-04-03,-0.2389396045578125,7,1
2019-04-04,7.5229415499328125,0,7
2019-04-05,2.688165636128124,0,7
2019-04-06,-3.9396256914609378,9,1
2019-04-07,2.129560175301563,16,0
2019-04-08,0.5885747252187499,12,47
2019-04-09,3.7797699261749997,11,9
2019-04-10,6.958933610526563,4,8
2019-04-11,3.5491805953062503,27,4
2019-04-12,1.6214131763953121,12,3
2019-04-13,-2.9052303496875003,5,0
2019-04-14,-1.2267020751296869,2,0
2019-04-15,6.3594336366875,6,2
2019-04-16,2.5082469292718743,8,6
2019-04-17,8.570185822207812,20,4
2019-04-18,-4.3074937620531255,12,2
2019-04-19,-2.6678926214531247,15,1
2019-04-20,-0.5439027427062499,5,0
2019-04-21,-0.3223528699125,12,0
2019-04-22,0.8773910050015625,0,0
2019-04-23,5.672068610142187,14,1
2019-04-24,4.135641746043749,20,0
2019-04-25,-1.3148611043343754,10,6
2019-04-26,2.9362962119406255,8,2
2019-04-27,0.47710045051718764,14,0
2019-04-28,1.885425034484375,46,0
2019-04-29,12.668792535001563,15,0
2019-04-30,-1.6997568005140629,8,5
2019-05-01,3.4003447649250007,7,0
2019-05-02,4.9771494800109375,3,2
2019-05-03,-0.6857847824109378,0,0
2019-05-04,-3.4244994315437496,0,1
2019-05-05,-1.8961077489609373,24,0
2019-05-06,1.7107560869890626,8,0
2019-05-07,2.1405882130843743,5,5
2019-05-08,11.756632255695312,7,7
2019-05-09,-0.22770958404062647,11,0
2019-05-10,0.35770906147968784,8,16
2019-05-11,-2.9935683361578125,1,1
2019-05-12,-0.5228322404312495,0,0
2019-05-13,6.69510872875,18,11
2019-05-14,1.7363574297031246,0,2
2019-05-15,-0.004444251760937767,1,5
2019-05-16,1.5943199935999997,0,15
2019-05-17,4.491099285912499,0,4
2019-05-18,-2.291779295726563,0,0
2019-05-19,-0.8016265766812494,0,0
2019-05-20,3.644750030734375,0,2
2019-05-21,2.630255396392187,4,1
2019-05-22,9.329249589059375,0,0
2019-05-23,-0.8467250989609383,106,0
2019-05-24,-0.24827163551093712,11,0
2019-05-25,-2.5911225565406246,12,3
2019-05-26,0.5701265543546878,0,2
2019-05-27,0.46355618875156246,7,13
2019-05-28,4.4835077841890625,10,4
2019-05-29,1.3139278650078121,10,0
2019-05-30,-0.43343434985156293,10,2
2019-05-31,3.19985485289375,10,3
2019-06-01,-1.3969410282281252,15,0
2019-06-02,-1.4081980121984372,31,0
2019-06-03,2.18894084396875,4,4
2019-06-04,0.5144596475031249,9,5
2019-06-05,0.6514183029406249,6,5
2019-06-06,9.682453543540625,14,4
2019-06-07,-0.9536418177125006,1,7
2019-06-08,-1.4689934340437496,2,1
2019-06-09,-1.562901870429687,3,0
2019-06-10,5.098255040517188,27,1
2019-06-11,5.560983327203124,15,5
2019-06-12,-0.5258309582296876,14,8
2019-06-13,1.5359868912531258,9,3
2019-06-14,3.4860616053625,12,0
2019-06-15,-3.114126469607813,6,0
2019-06-16,-1.422561631464062,0,0
2019-06-17,0.07961529426718772,5,2
2019-06-18,3.02338292190625,9,4
2019-06-19,2.1581690152281245,12,2
2019-06-20,7.948688273840625,3,5
2019-06-21,1.0838367507390623,20,2
2019-06-22,-3.127964203525,4,0
2019-06-23,-1.5043123418968745,3,0
