,dropwizard/dropwizard,apache/tomee,spring-projects/spring-boot
2016-12-21,0,0.0,36
2016-12-22,0,1.0,31
2016-12-23,1,-0.6000000000000001,5
2016-12-24,1,-0.12,6
2016-12-25,0,-0.055999999999999994,5
2016-12-26,0,-0.03359999999999997,4
2016-12-27,0,-0.022848000000000004,34
2016-12-28,7,0.9832448,19
2016-12-29,2,-0.61292544,12
2016-12-30,0,0.8696596480000001,38
2016-12-31,0,-0.6645020672,1
2017-01-01,0,-0.15359999999999996,0
2017-01-02,0,1.921152,0
2017-01-03,0,1.7496447999999998,57
2017-01-04,0,-2.0757734400000003,30
2017-01-05,0,-0.499095552,33
2017-01-06,0,0.7433724928000001,28
2017-01-07,0,0.243163648,0
2017-01-08,0,-0.8305564672000001,7
2017-01-09,0,-0.25211648000000003,3
2017-01-10,1,0.850942976,15
2017-01-11,1,1.2955268095999999,0
2017-01-12,0,-1.3851094016000003,8
2017-01-13,14,-0.32568063999999997,22
2017-01-14,0,-0.16886579199999996,4
2017-01-15,0,-0.10889041919999996,4
2017-01-16,1,0.9290467327999999,34
2017-01-17,3,-0.6464358400000001,46
2017-01-18,0,-0.156191232,22
2017-01-19,0,-0.08518277120000002,45
2017-01-20,0,0.9493958656,33
2017-01-21,0,-0.6228480000000001,0
2017-01-22,0,-0.1367552,6
2017-01-23,6,-0.06892544,15
2017-01-24,1,-0.04394035199999998,70
2017-01-25,0,0.9686499328,27
2017-01-26,0,5.3832448,40
2017-01-27,5,-2.7329254400000007,3
2017-01-28,0,-1.386340352,6
2017-01-29,0,-0.49810206719999994,0
2017-01-30,4,0.7195520000000002,20
2017-01-31,0,1.2125568,3
2017-02-01,3,-1.4563046400000004,13
2017-02-02,6,1.599351808,6
2017-02-03,0,-1.4290696192000003,2
2017-02-04,0,-0.3914007552,0
2017-02-05,0,-0.18295326720000002,6
2017-02-06,3,-0.11363583999999996,21
2017-02-07,3,-0.08188723200000003,23
2017-02-08,1,1.9373068288,34
2017-02-09,2,-0.24285501440000012,15
2017-02-10,2,1.139319296,2
2017-02-11,2,-1.4490041344000002,0
2017-02-12,0,-0.3631999999999999,6
2017-02-13,4,0.8087040000000001,10
2017-02-14,3,0.27644159999999995,16
2017-02-15,0,-0.8083020800000001,11
2017-02-16,0,-0.24311654400000005,4
2017-02-17,0,-0.1427953664,4
2017-02-18,1,-0.08563077120000001,0
2017-02-19,0,-0.05660733440000003,3
2017-02-20,1,0.97031936,9
2017-02-21,1,0.3767342079999999,8
2017-02-22,0,-0.7388424192,44
2017-02-23,0,-0.1845020672,0
2017-02-24,2,-0.08959999999999996,15
2017-02-25,0,-0.05644799999999997,0
2017-02-26,0,-0.03960320000000001,2
2017-02-27,3,-0.029680640000000015,8
2017-02-28,0,-0.023265792000000018,20
2017-03-01,0,0.9811575807999999,43
2017-03-02,0,0.3914979327999999,53
2017-03-03,0,1.2799999999999998,27
2017-03-04,0,-1.3760000000000001,0
2017-03-05,0,-0.32959999999999995,0
2017-03-06,2,-0.16844799999999996,16
2017-03-07,3,0.8931968,11
2017-03-08,8,0.3246233599999999,6
2017-03-09,0,4.223223808,12
2017-03-10,0,-3.2206932992000006,21
2017-03-11,0,0.2812172288,2
2017-03-12,1,-0.9534521344,3
2017-03-13,1,0.6723968000000001,12
2017-03-14,3,0.20007935999999993,12
2017-03-15,4,-0.8606417920000001,21
2017-03-16,0,-0.28231761920000004,10
2017-03-17,0,3.8334409728,11
2017-03-18,0,-1.5118837760000003,3
2017-03-19,0,-1.129943552,0
2017-03-20,2,-0.3821827072,0
2017-03-21,5,-0.21366579199999988,0
2017-03-22,1,-0.1438344192,4
2017-03-23,2,-0.09837086720000005,8
2017-03-24,2,-0.06845696000000004,43
2017-03-25,0,-0.05428684800000005,13
2017-03-26,0,-0.04434862080000005,6
2017-03-27,13,-0.00850206720000001,1
2017-03-28,1,0.0,18
2017-03-29,1,2.0,4
2017-03-30,0,2.8,0
2017-03-31,0,-2.6400000000000006,7
2017-04-01,0,-0.592,2
2017-04-02,0,-0.2911999999999999,3
2017-04-03,1,-0.1800959999999999,5
2017-04-04,0,-0.12490240000000002,59
2017-04-05,0,-0.09287168000000005,8
2017-04-06,0,-0.07238246400000005,15
2017-04-07,2,0.9416344576,31
2017-04-08,0,-0.6340082688000002,3
2017-04-09,0,-0.12,0
2017-04-10,0,0.944,35
2017-04-11,2,-0.6336,22
2017-04-12,2,-0.142848,31
2017-04-13,0,-0.0727552,6
2017-04-14,2,-0.04652543999999998,13
2017-04-15,0,-0.03318835200000001,0
2017-04-16,0,-0.025257267200000016,0
2017-04-17,0,-0.012925440000000009,7
2017-04-18,2,0.989659648,17
2017-04-19,0,0.3914979327999999,32
2017-04-20,0,-0.7200000000000001,31
2017-04-21,1,-0.176,7
2017-04-22,12,-0.08959999999999996,0
2017-04-23,0,-0.05644799999999997,0
2017-04-24,1,0.9603967999999999,13
2017-04-25,2,-0.6296806400000001,11
2017-04-26,2,-0.143265792,7
2017-04-27,6,-0.07484241920000001,47
2017-04-28,8,-0.04210206719999998,34
2017-04-29,0,-0.022848000000000004,2
2017-04-30,0,-0.01675520000000001,0
2017-05-01,0,1.98707456,0
2017-05-02,1,0.7896596479999998,24
2017-05-03,2,7.5514979328,45
2017-05-04,0,-2.7520000000000007,31
2017-05-05,0,-3.0592,9
2017-05-06,0,-0.9768959999999999,4
2017-05-07,0,-0.5496063999999997,2
2017-05-08,0,0.63420672,1
2017-05-09,1,0.13412761599999978,11
2017-05-10,3,0.07572060159999983,14
2017-05-11,0,-0.9248436224000002,16
2017-05-12,0,-0.31713966080000006,68
2017-05-13,0,-0.1379542016,0
2017-05-14,0,-0.07320319999999998,7
2017-05-15,1,-0.052528640000000015,25
2017-05-16,0,-0.040020992000000026,5
2017-05-17,0,-0.031767859200000026,3
2017-05-18,2,-0.01884241920000002,5
2017-05-19,1,-0.00850206720000001,4
2017-05-20,0,0.0,0
2017-05-21,0,0.0,1
2017-05-22,0,0.0,12
2017-05-23,0,0.0,36
2017-05-24,0,0.0,20
2017-05-25,1,0.0,0
2017-05-26,1,0.0,1
2017-05-27,0,0.0,0
2017-05-28,0,0.0,4
2017-05-29,0,0.0,14
2017-05-30,0,1.0,17
2017-05-31,0,-0.6000000000000001,30
2017-06-01,0,2.88,15
2017-06-02,0,4.144,32
2017-06-03,0,-3.9936000000000007,11
2017-06-04,0,-0.910848,0
2017-06-05,0,0.5464448000000002,6
2017-06-06,1,0.11693056000000013,17
2017-06-07,0,-0.9176939520000001,32
2017-06-08,4,2.6761904128,20
2017-06-09,0,-0.9981736960000003,9
2017-06-10,0,0.8960036863999998,0
2017-06-11,0,-1.5786156032000003,5
2017-06-12,0,2.57351936,31
2017-06-13,0,0.962590208,6
2017-06-14,0,0.6808439807999997,19
2017-06-15,0,2.5622704128,17
2017-06-16,0,-2.706256896,13
2017-06-17,0,-0.5990414336000001,3
2017-06-18,0,-1.2487923712,0
2017-06-19,1,2.4814099456000003,5
2017-06-20,1,-0.12390297600000011,8
2017-06-21,0,3.2044724224,8
2017-06-22,0,1.4312423423999996,15
2017-06-23,0,-2.9196886016000003,12
2017-06-24,0,-1.681520128,0
2017-06-25,0,-0.6828040191999999,0
2017-06-26,1,2.5809712128,19
2017-06-27,0,0.9115120639999996,17
2017-06-28,1,4.6225618943999995,4
2017-06-29,0,-2.8780882944000012,20
2017-06-30,0,-2.4159375360000004,9
2017-07-01,0,-0.854194688,3
2017-07-02,0,-0.4745116671999998,10
2017-07-03,0,1.68382208,3
2017-07-04,5,-0.4327797760000003,1
2017-07-05,1,0.9794842623999997,0
2017-07-06,0,-1.5557395456000003,6
2017-07-07,0,1.5566048256,6
2017-07-08,0,-1.4083001344000001,12
2017-07-09,0,0.6364416,2
2017-07-10,0,4.19969792,2
2017-07-11,0,12.745683456,5
2017-07-12,0,3.645108633599998,3
2017-07-13,0,-9.696293171200002,19
2017-07-14,1,1.5902969856000002,3
2017-07-15,0,-4.593275904,0
2017-07-16,0,-1.6056735744,0
2017-07-17,0,-0.9765227520000002,9
2017-07-18,0,-0.6924316672000002,9
2017-07-19,0,5.480092672,26
2017-07-20,0,7.022500556799999,16
2017-07-21,0,-7.513996492800001,32
2017-07-22,0,-1.7162038271999998,11
2017-07-23,0,-0.8601103359999998,0
2017-07-24,0,1.4933120000000004,34
2017-07-25,0,-0.5518592000000002,34
2017-07-26,0,0.8981401599999999,17
2017-07-27,1,-0.6362219520000003,24
2017-07-28,0,-0.1279562752000003,28
2017-07-29,0,-1.0048187392,1
2017-07-30,2,-0.29955839999999995,2
2017-07-31,5,-0.17790208,6
2017-08-01,0,0.876435456,14
2017-08-02,3,4.3072014335999995,0
2017-08-03,0,0.8211365887999995,14
2017-08-04,2,-2.0962699264000006,5
2017-08-05,0,-1.4124424192,0
2017-08-06,0,0.4566499328000002,0
2017-08-07,0,-0.9213952000000001,0
2017-08-08,0,-0.34169344,2
2017-08-09,0,0.7791636479999999,17
2017-08-10,0,-0.7622607872000001,2
2017-08-11,0,-0.2396451840000001,13
2017-08-12,0,-0.11710382080000005,0
2017-08-13,0,-0.05502750719999999,0
2017-08-14,0,-0.03318835200000001,10
2017-08-15,0,5.9747427328,0
2017-08-16,0,-1.6129254400000006,12
2017-08-17,0,2.069659648,12
2017-08-18,3,-0.9845020672000002,13
2017-08-19,0,0.006399999999999961,0
2017-08-20,0,-1.8682880000000002,1
2017-08-21,1,-0.6326272,4
2017-08-22,0,-0.38165504,7
2017-08-23,0,-0.26780979200000005,7
2017-08-24,6,-0.20260126720000016,3
2017-08-25,1,-0.1177268224000001,22
2017-08-26,0,-0.08053985280000008,1
2017-08-27,0,0.9623151616,4
2017-08-28,0,-0.6170041344000001,13
2017-08-29,0,-0.12,19
2017-08-30,0,-0.055999999999999994,8
2017-08-31,0,-0.03359999999999997,1
2017-09-01,1,-0.022848000000000004,3
2017-09-02,0,-0.01675520000000001,0
2017-09-03,2,-0.012925440000000009,0
2017-09-04,0,-0.01034035200000001,10
2017-09-05,4,-0.00850206720000001,13
2017-09-06,0,0.0,13
2017-09-07,0,0.0,46
2017-09-08,2,0.0,12
2017-09-09,0,0.0,0
2017-09-10,0,0.0,3
2017-09-11,0,0.0,29
2017-09-12,0,0.0,20
2017-09-13,1,11.0,9
2017-09-14,1,-3.6000000000000014,28
2017-09-15,0,-1.12,8
2017-09-16,0,-2.176,4
2017-09-17,0,-0.7775999999999996,3
2017-09-18,1,-0.464128,17
2017-09-19,4,-0.32005120000000004,28
2017-09-20,0,-0.23814144000000012,24
2017-09-21,0,0.8139694079999998,18
2017-09-22,1,0.24960532479999975,5
2017-09-23,0,-0.7661869056000001,3
2017-09-24,0,-0.19300413440000003,26
2017-09-25,0,0.9104000000000001,37
2017-09-26,0,1.3435519999999999,17
2017-09-27,0,-0.35960320000000023,10
2017-09-28,0,-0.92568064,19
2017-09-29,0,-0.28886579199999995,23
2017-09-30,0,-0.16489041919999997,6
2017-10-01,0,-0.1045532672,0
2017-10-02,0,0.93071616,56
2017-10-03,0,-0.6529464320000001,15
2017-10-04,0,-0.16210821120000002,29
2017-10-05,2,0.9166555136,14
2017-10-06,12,-0.6421020672000001,9
2017-10-07,0,-0.142848,2
2017-10-08,0,-0.0727552,9
2017-10-09,1,-0.04652543999999998,4
2017-10-10,0,1.966811648,30
2017-10-11,0,-1.2252572672000002,14
2017-10-12,0,-0.25292544,11
2017-10-13,0,-0.122340352,16
2017-10-14,0,-0.07570206719999995,0
2017-10-15,0,-0.04569600000000001,0
2017-10-16,0,-0.03351040000000002,9
2017-10-17,2,-0.025850880000000017,24
2017-10-18,2,-0.02068070400000002,11
2017-10-19,7,-0.01700413440000002,9
2017-10-20,1,0.0,13
2017-10-21,0,0.0,16
2017-10-22,0,0.0,0
2017-10-23,0,2.0,6
2017-10-24,1,5.8,13
2017-10-25,1,-2.4400000000000013,14
2017-10-26,5,-2.152,4
2017-10-27,0,6.300800000000001,21
2017-10-28,0,-3.5928960000000005,15
2017-10-29,0,-1.7006464000000001,11
2017-10-30,1,1.29916672,28
2017-10-31,0,-1.6358691840000001,18
2017-11-01,0,1.4512265216,14
2017-11-02,0,-1.5323295744000003,42
2017-11-03,0,-0.43143741440000005,38
2017-11-04,0,-0.24300390400000008,7
2017-11-05,0,-0.17056522240000005,5
2017-11-06,0,-0.08004894720000003,14
2017-11-07,0,-0.05419110400000003,6
