,vercel/next.js,gatsbyjs/gatsby,phenomic/phenomic
2016-11-05,7,0.0,0
2016-11-06,6,0.0,0
2016-11-07,1,3.0,0
2016-11-08,0,-1.5,7
2016-11-09,1,2.625,6
2016-11-10,0,-0.6875,0
2016-11-11,0,0.0078125,2
2016-11-12,0,1.10546875,0
2016-11-13,1,1.6337890625,8
2016-11-14,4,2.01806640625,7
2016-11-15,0,-1.667205810546875,9
2016-11-16,3,-0.3945465087890625,2
2016-11-17,3,5.877227783203125,5
2016-11-18,2,0.9712677001953125,0
2016-11-19,0,-3.7036895751953125,2
2016-11-20,0,-1.2963714599609375,0
2016-11-21,2,3.24066162109375,8
2016-11-22,5,-2.5084381103515625,12
2016-11-23,3,-0.853118896484375,2
2016-11-24,1,-0.4893341064453125,2
2016-11-25,0,0.6606292724609375,3
2016-11-26,0,-0.7512054443359375,0
2016-11-27,0,-0.2615814208984375,0
2016-11-28,3,6.873046875,1
2016-11-29,0,-3.5914306640625,1
2016-11-30,0,1.05401611328125,13
2016-12-01,9,7.5419921875,4
2016-12-02,16,-5.03955078125,0
2016-12-03,4,-1.454498291015625,0
2016-12-04,0,-0.7950897216796875,0
2016-12-05,3,-0.51904296875,0
2016-12-06,6,6.621246337890625,0
2016-12-07,0,-2.7931671142578125,0
2016-12-08,1,-0.54620361328125,2
2016-12-09,6,8.7978515625,0
2016-12-10,0,-1.5591278076171875,0
2016-12-11,2,-3.54296875,0
2016-12-12,1,0.6650390625,0
2016-12-13,1,-1.80126953125,0
2016-12-14,0,0.192047119140625,0
2016-12-15,5,-1.0450286865234375,0
2016-12-16,7,0.5297088623046875,5
2016-12-17,12,-0.8234710693359375,0
2016-12-18,2,-0.366546630859375,0
2016-12-19,16,7.83428955078125,5
2016-12-20,30,-4.08575439453125,0
2016-12-21,10,-1.065277099609375,0
2016-12-22,20,-0.533599853515625,0
2016-12-23,7,-0.3395233154296875,0
2016-12-24,9,-0.231842041015625,0
2016-12-25,2,-0.1749725341796875,0
2016-12-26,9,-0.12890625,0
2016-12-27,8,9.895263671875,0
2016-12-28,9,-2.0872802734375,0
2016-12-29,6,-1.75,0
2016-12-30,6,-0.5,0
2016-12-31,11,-1.203125,0
2017-01-01,9,-0.578125,0
2017-01-02,6,7.611328125,1
2017-01-03,5,4.7109375,0
2017-01-04,0,-5.72711181640625,0
2017-01-05,12,1.19000244140625,0
2017-01-06,6,-0.4369354248046875,0
2017-01-07,4,-1.9693145751953125,0
2017-01-08,5,-0.8585662841796875,0
2017-01-09,4,5.4443359375,0
2017-01-10,5,-3.409912109375,4
2017-01-11,2,5.928680419921875,0
2017-01-12,10,5.9374542236328125,3
2017-01-13,3,0.819122314453125,0
2017-01-14,1,-5.4104766845703125,0
2017-01-15,5,-1.918304443359375,0
2017-01-16,15,-1.1162109375,3
2017-01-17,4,0.23101806640625,0
2017-01-18,2,1.925262451171875,0
2017-01-19,3,3.978668212890625,0
2017-01-20,12,0.2424163818359375,0
2017-01-21,4,-3.17730712890625,0
2017-01-22,5,-0.0959014892578125,0
2017-01-23,2,-1.0869140625,0
2017-01-24,2,14.47705078125,0
2017-01-25,2,-2.856353759765625,0
2017-01-26,7,-4.6429595947265625,5
2017-01-27,3,0.2344207763671875,4
2017-01-28,3,0.963226318359375,6
2017-01-29,3,-2.41522216796875,0
2017-01-30,1,-0.957427978515625,0
2017-01-31,3,-0.6207733154296875,0
2017-02-01,2,0.551177978515625,0
2017-02-02,11,1.1478424072265625,0
2017-02-03,5,1.7266998291015625,0
2017-02-04,1,6.11297607421875,0
2017-02-05,4,-4.60015869140625,1
2017-02-06,2,14.674301147460938,0
2017-02-07,1,6.3076171875,0
2017-02-08,6,-3.95166015625,0
2017-02-09,14,6.799407958984375,0
2017-02-10,2,-8.061996459960938,0
2017-02-11,2,-3.71343994140625,0
2017-02-12,8,-2.0476226806640625,0
2017-02-13,3,-1.3870849609375,0
2017-02-14,8,1.03125,0
2017-02-15,16,-1.761566162109375,0
2017-02-16,14,-0.7221832275390625,0
2017-02-17,8,1.62322998046875,0
2017-02-18,5,-1.2330474853515625,0
2017-02-19,2,-0.3155975341796875,0
