,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-10-05,1.0,0,0
2019-10-06,0.6000000000000001,0,1
2019-10-07,4.48,2,0
2019-10-08,6.816000000000001,1,0
2019-10-09,-2.305599999999999,0,0
2019-10-10,0.7284480000000002,2,0
2019-10-11,2.7230848,0,2
2019-10-12,-2.05349376,0,0
2019-10-13,1.3068897279999998,0,0
2019-10-14,6.8488205311999995,1,0
2019-10-15,-2.6216941567999994,1,0
2019-10-16,1.430617088,0,0
2019-10-17,1.1138254848000004,2,0
2019-10-18,0.1418645503999998,0,0
2019-10-19,-1.4902011903999997,0,0
2019-10-20,1.416769024,0,2
2019-10-21,3.9322652672,0,0
2019-10-22,-0.3719977983999998,0,0
2019-10-23,3.4457141248000003,0,0
2019-10-24,-1.5273430015999994,0,0
2019-10-25,6.7586536448,4,0
2019-10-26,1.2875680768000004,0,0
2019-10-27,-2.1938970623999996,0,0
2019-10-28,1.4037097471999997,5,0
2019-10-29,0.019476377600000205,6,0
2019-10-30,1.3944261632,1,2
2019-10-31,0.14834933760000002,5,0
2019-11-01,4.4914813952,0,1
2019-11-02,-2.9787554815999995,0,1
2019-11-03,-1.0229676032000001,0,0
2019-11-04,3.5379197952,0,0
2019-11-05,3.2017603584,0,0
2019-11-06,-1.5542956031999995,0,0
2019-11-07,-0.2264233983999997,5,1
2019-11-08,5.0898311168,2,0
2019-11-09,-3.7531782143999997,0,0
2019-11-10,1.5311586303999998,0,0
2019-11-11,1.9513101312,0,0
2019-11-12,0.44416952320000025,5,0
2019-11-13,0.6807434240000001,2,0
2019-11-14,6.7546161152,2,0
2019-11-15,1.407242342400001,2,0
2019-11-16,0.8828161024000005,0,0
2019-11-17,-3.7472075776,0,0
2019-11-18,3.3639050239999997,5,0
2019-11-19,-1.0621865983999998,0,1
2019-11-20,2.8538477568,0,1
2019-11-21,10.9032641536,16,0
2019-11-22,-0.9358352383999993,9,1
2019-11-23,-0.9309304831999992,0,0
2019-11-24,1.2487124991999998,0,1
2019-11-25,3.2020700159999995,4,0
2019-11-26,5.447736320000001,3,1
2019-11-27,-0.013751807999999421,1,1
2019-11-28,1.1278500864000005,11,1
2019-11-29,-2.6792069119999997,0,0
2019-11-30,0.011929292799999658,0,0
2019-12-01,0.23687301120000015,2,0
2019-12-02,3.3974908928,7,1
2019-12-03,5.2935224320000005,0,0
2019-12-04,-2.185850777599999,0,1
2019-12-05,2.7462784,27,1
2019-12-06,6.0511900672,2,0
2019-12-07,-0.6972136447999997,0,0
2019-12-08,-4.2423223296,0,0
2019-12-09,2.0197902335999998,0,0
2019-12-10,2.1207346176,0,0
2019-12-11,7.6063987712,0,1
2019-12-12,1.093734092800002,0,1
2019-12-13,4.9657496576,0,0
2019-12-14,-4.192006860799999,0,0
2019-12-15,4.649027072,0,0
2019-12-16,1.0470389760000005,0,1
2019-12-17,10.481265151999999,5,0
2019-12-18,-1.104509747199998,3,1
2019-12-19,6.0343664640000005,5,1
2019-12-20,0.4342822912000006,4,0
2019-12-21,-2.3533029375999996,0,0
2019-12-22,-2.511516672,2,0
2019-12-23,0.8976226303999995,0,0
2019-12-24,0.5821556736,1,0
2019-12-25,-0.32229294080000015,0,0
2019-12-26,6.158777344000001,0,0
2019-12-27,4.0474230784000005,0,0
2019-12-28,1.4475597824000008,0,0
2019-12-29,-2.9922100224,0,0
2019-12-30,4.0729049088,1,1
2019-12-31,0.6394409983999996,0,0
2020-01-01,1.0976360448000002,0,0
2020-01-02,3.1904723968,0,1
2020-01-03,7.4280226816,0,0
2020-01-04,-3.803769139199999,0,1
2020-01-05,-1.8645169151999998,0,0
2020-01-06,8.2677315584,0,0
2020-01-07,2.120780902400001,2,0
2020-01-08,2.4498151424000003,2,0
2020-01-09,-0.5809776639999988,0,0
2020-01-10,-1.4489210880000005,0,0
2020-01-11,-0.3467657216000002,0,0
2020-01-12,-2.9407973376000003,0,1
2020-01-13,4.545896345599999,0,0
2020-01-14,-0.38953922559999965,0,0
2020-01-15,2.3415380992,2,2
2020-01-16,3.7817706496000003,0,0
2020-01-17,8.856234905600001,0,0
2020-01-18,-0.8290815999999994,0,0
2020-01-19,-0.9274968063999998,0,0
2020-01-20,2.1895325696,8,0
2020-01-21,4.724674048,0,0
2020-01-22,-4.5898272767999995,6,1
2020-01-23,5.2485994496,2,0
2020-01-24,-2.812085248,0,0
2020-01-25,0.13320048639999982,0,0
2020-01-26,0.26826024959999994,0,0
2020-01-27,2.4949440512,5,0
2020-01-28,0.7947588608000005,2,0
2020-01-29,2.0080294912000003,0,0
2020-01-30,3.6621139968000005,0,0
2020-01-31,5.806469427200001,6,1
2020-02-01,-0.7328579583999995,0,1
2020-02-02,-0.21679912960000003,0,0
2020-02-03,4.4514727936,9,2
2020-02-04,4.0718647296,1,0
2020-02-05,0.29927116800000064,1,0
2020-02-06,-2.7933571072000003,0,0
2020-02-07,-1.0172103680000002,0,0
2020-02-08,0.5371341824,0,1
2020-02-09,-0.5481159680000003,0,0
2020-02-10,9.970841088,0,0
2020-02-11,4.149343436800001,7,0
2020-02-12,2.8523595776000015,3,0
2020-02-13,-0.029841203199999278,1,0
2020-02-14,-0.8918350848000003,7,0
2020-02-15,-1.8283698176000005,0,0
2020-02-16,1.2787170303999997,0,0
2020-02-17,2.8660473856,0,0
2020-02-18,1.0480487424000002,0,0
2020-02-19,2.2127427584000006,0,0
2020-02-20,5.923236864,0,0
2020-02-21,0.2650656768000008,1,0
2020-02-22,0.36228229120000055,0,0
2020-02-23,-2.0521254912,0,0
2020-02-24,4.309029478399999,0,0
2020-02-25,4.719121100800001,0,1
2020-02-26,0.5518651392000002,0,0
2020-02-27,8.362630144,0,1
2020-02-28,3.6995105792,0,1
2020-02-29,-6.284759039999999,0,0
2020-03-01,-1.4212190208000002,0,0
2020-03-02,3.2259230719999996,0,0
2020-03-03,9.0142234624,0,0
2020-03-04,7.946194534400001,0,0
2020-03-05,-6.754682163199998,0,0
2020-03-06,0.7596434431999999,0,1
2020-03-07,-1.3178978303999997,0,1
2020-03-08,-0.2718317568000006,0,0
2020-03-09,7.1356654592,2,0
2020-03-10,2.4803001344,7,1
2020-03-11,5.538142003200001,3,0
