,microsoft/vscode,neovim/neovim,pulsar-edit/pulsar
2023-12-13,41.0,12,3
2023-12-14,22.600000000000005,14,0
2023-12-15,46.480000000000004,8,1
2023-12-16,-26.103999999999992,18,19
2023-12-17,-10.441600000000001,6,0
2023-12-18,37.901568,12,4
2023-12-19,37.7911808,14,8
2023-12-20,2.731658240000005,7,0
2023-12-21,-25.155986431999995,11,0
2023-12-22,-12.8688903168,19,0
2023-12-23,-8.546837299200003,9,0
2023-12-24,-5.536584601600003,7,0
2023-12-25,-4.4592082944000015,8,0
2023-12-26,-3.20841984,7,0
2023-12-27,-2.5245594623999987,8,0
2023-12-28,-1.5731615743999996,18,0
2023-12-29,1.3633908736000002,3,1
2023-12-30,6.0771621888,9,1
2023-12-31,-2.0991225855999995,1,2
2024-01-01,-1.3959538688,8,0
2024-01-02,1.3360018432,21,0
2024-01-03,15.784896,7,16
2024-01-04,18.662809600000003,9,0
2024-01-05,20.204564480000002,9,0
2024-01-06,-16.673068543999996,5,1
2024-01-07,-5.941160857600002,2,24
2024-01-08,50.6265467904,4,0
2024-01-09,8.2245343232,9,3
2024-01-10,14.166329856000004,2,1
2024-01-11,16.529784422400006,5,62
2024-01-12,11.009239142400002,14,5
2024-01-13,-20.798384332799998,10,5
2024-01-14,-3.204857446400002,9,1
2024-01-15,19.493607731199997,7,1
2024-01-16,15.0634540032,17,12
2024-01-17,19.939870720000002,23,1
2024-01-18,34.017834393600005,14,20
2024-01-19,-1.6666088447999954,9,4
2024-01-20,-22.825084416,5,20
2024-01-21,-12.610443161600001,8,13
2024-01-22,53.688231935999994,23,5
2024-01-23,-2.532782079999997,12,2
2024-01-24,16.079791411200002,17,1
2024-01-25,-1.0211044351999945,11,7
2024-01-26,7.773901414400001,8,1
2024-01-27,-18.482297344000003,11,10
2024-01-28,-10.666106982400002,15,6
2024-01-29,47.7275793408,16,12
2024-01-30,20.890407219200004,1,8
2024-01-31,32.2182145024,4,0
2024-02-01,11.33952604160001,12,1
2024-02-02,18.1459432448,7,5
2024-02-03,-30.331189248,12,3
2024-02-04,-15.329970483200007,4,3
2024-02-05,13.964052889599996,10,1
2024-02-06,12.412076031999998,13,2
2024-02-07,35.1587545088,5,0
2024-02-08,10.262040678400005,23,0
2024-02-09,31.593890611200003,11,5
2024-02-10,-26.83614812159999,14,7
2024-02-11,-14.863424204800001,13,3
2024-02-12,50.3538654208,15,0
2024-02-13,58.7677105152,9,0
2024-02-14,-13.382063411199994,2,0
2024-02-15,26.565936332800007,14,6
2024-02-16,23.178358784000004,17,13
2024-02-17,-38.359363788799996,6,1
2024-02-18,-12.927837696000001,11,2
2024-02-19,34.4213372928,9,0
2024-02-20,-4.878323302399998,9,1
2024-02-21,28.5316759552,9,0
2024-02-22,4.638678528000003,16,0
2024-02-23,25.801501184000003,5,0
2024-02-24,-27.4821322752,13,0
2024-02-25,-14.300305817600004,9,0
2024-02-26,35.179130777599994,9,0
2024-02-27,20.373534003200003,8,0
2024-02-28,16.605363097600005,14,0
2024-02-29,2.2234407936000053,10,0
2024-03-01,-5.596794879999997,12,2
2024-03-02,-14.635136511999999,6,1
2024-03-03,-6.782322073600003,9,8
2024-03-04,39.198680064,5,1
2024-03-05,-8.753246924799999,3,1
2024-03-06,24.6183779328,11,0
2024-03-07,41.670033612800005,8,4
2024-03-08,4.6911525888000085,26,0
2024-03-09,-26.2417804288,14,2
2024-03-10,-13.729820467200003,14,2
2024-03-11,30.858240204799998,19,0
2024-03-12,45.6395225088,13,0
2024-03-13,31.140840550400007,9,0
2024-03-14,10.663328768000007,17,0
2024-03-15,22.348840448000004,12,0
2024-03-16,-35.456548352,17,4
2024-03-17,-12.190942208000003,6,0
2024-03-18,49.922235289599996,12,5
2024-03-19,7.481613312,22,1
2024-03-20,46.8059204608,7,4
2024-03-21,56.713955430400006,15,4
2024-03-22,11.129354342400006,3,2
2024-03-23,-37.998730444799996,10,6
2024-03-24,-15.347851059200003,7,0
2024-03-25,-9.004867379200004,13,2
2024-03-26,50.463489843199994,9,1
2024-03-27,-1.0313723903999943,17,0
2024-03-28,41.491374387200004,20,0
2024-03-29,-13.228784025599992,14,1
