,tryghost/ghost,getgrav/grav,WordPress/WordPress
2022-09-02,24,3,4.0
2022-09-03,0,0,0.5999999999999996
2022-09-04,0,0,0.7199999999999998
2022-09-05,9,1,9.741
2022-09-06,32,0,13.84385
2022-09-07,8,0,4.936370499999999
2022-09-08,17,3,10.2505727
2022-09-09,50,0,5.7772214525
2022-09-10,4,0,-1.0731339608124992
2022-09-11,0,0,11.625733705590626
2022-09-12,9,0,5.739898434448438
2022-09-13,29,1,7.865177486057814
2022-09-14,15,0,18.65679025565625
2022-09-15,18,0,11.505889315851562
2022-09-16,22,0,2.619658943560937
2022-09-17,2,0,2.431408406693751
2022-09-18,0,0,-0.11885328455312294
2022-09-19,26,0,31.40245413326094
2022-09-20,20,0,33.52870293790781
2022-09-21,16,0,9.864715240806248
2022-09-22,18,3,-1.9027093674375015
2022-09-23,11,0,6.7306311615109395
2022-09-24,9,0,-2.1732129223828087
2022-09-25,1,0,2.8666950147062544
2022-09-26,45,0,12.922765160039067
2022-09-27,55,0,19.026820057912502
2022-09-28,28,0,5.942926794220313
2022-09-29,37,0,6.825920131634375
2022-09-30,3,0,-0.7547068046218746
2022-10-01,0,0,0.1708903034859397
2022-10-02,0,0,-0.48264900712499736
2022-10-03,24,0,2.8729973636359403
2022-10-04,12,4,20.73430709958594
2022-10-05,36,12,0.9388987381171874
2022-10-06,25,0,2.0253851265531253
2022-10-07,43,0,18.466050176984375
2022-10-08,0,0,0.048483443609375065
2022-10-09,0,0,4.149105422646876
2022-10-10,14,1,11.187577921912501
2022-10-11,18,0,34.52340152790156
2022-10-12,17,0,-2.181443631487502
2022-10-13,19,0,1.9615117071468755
2022-10-14,11,0,-0.3880416247062488
2022-10-15,0,0,-0.8217450842062459
2022-10-16,1,0,-0.42515757976562196
2022-10-17,13,0,9.93251830054844
2022-10-18,15,0,12.079857266831251
2022-10-19,36,0,2.4613001842046875
2022-10-20,36,0,3.0984657608734376
2022-10-21,42,0,2.524208222314063
2022-10-22,0,0,1.6805541525390637
2022-10-23,0,0,-0.1336888518374988
2022-10-24,16,0,6.142837750698439
2022-10-25,17,2,4.671494144292188
2022-10-26,21,2,0.5824231961359381
2022-10-27,47,0,3.9879452181687505
2022-10-28,4,0,1.904549099742188
2022-10-29,0,0,5.054497134007813
2022-10-30,10,0,2.8189463670593753
2022-10-31,15,0,4.917561180626563
2022-11-01,15,0,2.7381655038546877
2022-11-02,17,0,0.8394754491546879
2022-11-03,17,0,0.10516524000312566
2022-11-04,12,0,2.330665566100001
2022-11-05,2,0,0.22874007077343828
2022-11-06,0,0,2.4247547042984383
2022-11-07,19,0,4.308727405221875
2022-11-08,9,0,1.0966916517625003
2022-11-09,6,0,7.296471477721875
2022-11-10,5,0,8.786083980075
2022-11-11,11,0,11.3585281306625
2022-11-12,0,0,-1.1875922753328134
2022-11-13,0,0,1.698610478126563
2022-11-14,10,0,4.830044702167188
2022-11-15,8,0,0.606198384814064
2022-11-16,2,0,3.9328191662890637
2022-11-17,38,0,1.7855084158031258
2022-11-18,18,0,0.925420735806251
2022-11-19,0,0,0.1255181716875008
2022-11-20,0,0,0.3579474402671884
2022-11-21,6,0,0.5254387559171882
2022-11-22,6,0,4.566220859298438
2022-11-23,15,0,3.2091197400031253
2022-11-24,14,0,4.1854763661
2022-11-25,3,0,0.03467214327343726
2022-11-26,0,0,7.372981857610938
2022-11-27,0,0,-0.2013554768375001
2022-11-28,13,0,1.2488495756984381
2022-11-29,10,0,9.299670053198438
2022-11-30,13,0,5.533657984885938
2022-12-01,30,1,5.494505491507812
2022-12-02,28,1,0.44473147852812467
2022-12-03,0,0,-0.10683265819531162
2022-12-04,0,0,2.1823319220890633
2022-12-05,12,0,2.109978599196876
2022-12-06,13,0,9.151751221432812
2022-12-07,29,0,1.4443332035218748
2022-12-08,41,0,1.8314491347812503
2022-12-09,14,0,2.0085426861390627
2022-12-10,0,0,0.09601642246718833
2022-12-11,0,0,0.3572118556625008
2022-12-12,11,0,3.4571572446671883
2022-12-13,7,0,4.211837753345313
2022-12-14,23,0,6.028840435985938
2022-12-15,8,0,2.73876015934375
2022-12-16,5,0,0.9433886520953125
2022-12-17,0,0,1.1745632945953128
2022-12-18,0,0,1.2722721331265632
2022-12-19,0,0,3.3293807369484383
2022-12-20,2,0,1.152933326651563
2022-12-21,0,0,0.27770060102812555
2022-12-22,0,0,1.442770236210938
2022-12-23,1,0,0.43753986268593803
2022-12-24,0,0,0.5744645463250004
2022-12-25,0,0,0.6343342263968754
2022-12-26,0,0,0.6624251088968753
2022-12-27,0,0,0.6831836378656253
2022-12-28,0,0,0.6995709925750002
2022-12-29,0,0,0.7280053269125002
2022-12-30,1,0,1.7379295626828126
2022-12-31,0,0,0.6390990231625
2023-01-01,0,1,0.7024978756984376
2023-01-02,4,6,1.7189978756984376
2023-01-03,10,0,0.6268353756984376
2023-01-04,17,0,0.6863811256984376
2023-01-05,8,0,4.705835863198438
2023-01-06,17,0,1.3157416794484373
2023-01-07,0,0,0.4418128126828125
2023-01-08,0,0,0.5669370106625
2023-01-09,3,0,3.625254179448438
2023-01-10,11,0,5.352800062682813
2023-01-11,20,2,6.0353342231625
2023-01-12,6,0,3.779461078198437
2023-01-13,10,0,4.823643427385937
2023-01-14,0,0,1.7016714025390625
2023-01-15,0,0,5.956054235662501
2023-01-16,3,0,3.6365562244484377
2023-01-17,11,0,0.6895728804015631
2023-01-18,17,0,8.982340775512501
2023-01-19,15,0,9.322700387425
2023-01-20,22,0,3.9641885021703125
2023-01-21,0,0,0.2732719329765625
2023-01-22,0,0,1.7550775094875009
2023-01-23,16,0,4.876577745032813
2023-01-24,10,0,13.646299699670314
2023-01-25,19,0,4.689624511289062
2023-01-26,7,0,4.046295431021875
2023-01-27,1,0,6.20304857896875
2023-01-28,0,0,1.1123913140109385
2023-01-29,0,0,-0.3991716549968738
2023-01-30,25,0,1.9907127408812513
2023-01-31,9,0,6.966353533048439
2023-02-01,9,0,12.495032740800001
2023-02-02,16,0,11.720667993351562
2023-02-03,12,0,16.419458296654685
2023-02-04,0,0,2.6839670294093736
2023-02-05,0,0,-1.4186844930843745
2023-02-06,1,0,14.400248440626564
2023-02-07,5,0,50.25565646341719
2023-02-08,4,0,-0.9200162342328149
2023-02-09,15,0,-2.16490018750625
2023-02-10,4,1,-0.8685093714718737
2023-02-11,0,0,0.8069134272000058
2023-02-12,0,0,-0.8638367225265584
2023-02-13,24,0,15.634927269268754
2023-02-14,2,0,15.267511662964065
2023-02-15,10,1,3.5778905670968753
2023-02-16,9,0,2.385426770001563
2023-02-17,22,1,3.173417578753126
2023-02-18,0,0,0.3472128176468767
2023-02-19,0,14,-0.2825895528687481
2023-02-20,21,8,1.9910963181265644
2023-02-21,25,5,10.951222956198439
2023-02-22,28,5,6.056115186357813
2023-02-23,26,0,6.18216791949375
2023-02-24,1,2,2.231469710920312
2023-02-25,0,0,0.5905145172421882
2023-02-26,0,0,-0.07841162246093658
2023-02-27,21,0,3.1841747431625014
2023-02-28,14,0,6.010891753417189
2023-03-01,24,0,16.651646016204687
2023-03-02,30,0,-0.6006263545562511
2023-03-03,16,0,1.4772971155875
2023-03-04,0,0,-0.25291797734999966
2023-03-05,0,0,0.10678396757500175
2023-03-06,7,6,6.275198609412501
2023-03-07,12,2,10.771034796651563
2023-03-08,11,0,5.060903091246875
2023-03-09,7,0,8.231025717967187
2023-03-10,14,0,6.965486677071874
2023-03-11,0,0,-0.9800256028687497
2023-03-12,1,0,-0.2660311543734366
2023-03-13,9,0,1.0254905606984392
2023-03-14,18,0,5.078734513854689
2023-03-15,31,0,1.7328990273109386
2023-03-16,21,0,0.9390612534593759
2023-03-17,38,1,1.169077873342188
2023-03-18,0,0,2.273932448750001
2023-03-19,0,0,1.271736292910938
2023-03-20,9,0,3.3991981169484378
2023-03-21,15,0,7.217357806432813
2023-03-22,29,7,0.7349663030843749
2023-03-23,17,0,1.1087152782375
2023-03-24,25,0,3.261109886360938
2023-03-25,0,0,0.12769355514687564
2023-03-26,0,0,0.37240291338125064
2023-03-27,10,0,1.4734374313609382
2023-03-28,26,0,4.441471947865626
2023-03-29,7,0,2.13771716823125
2023-03-30,26,0,2.22005786118125
2023-03-31,2,0,0.271587121396875
2023-04-01,1,0,0.4646273341156255
2023-04-02,6,0,0.5463473055906256
2023-04-03,13,0,0.610197629448438
2023-04-04,15,0,9.634997252682814
2023-04-05,18,0,-0.24768564640000035
2023-04-06,25,1,1.2675784470234375
2023-04-07,24,0,0.3550635445953124
