,apple/swift,JetBrains/kotlin,rust-lang/rust
2022-08-17,42,34,88
2022-08-18,47,13,104
2022-08-19,49,38,89
2022-08-20,22,3,79
2022-08-21,20,2,117
2022-08-22,81,30,133
2022-08-23,64,10,134
2022-08-24,58,16,87
2022-08-25,48,18,67
2022-08-26,104,17,112
2022-08-27,16,0,92
2022-08-28,6,0,80
2022-08-29,26,18,87
2022-08-30,57,23,100
2022-08-31,72,13,124
2022-09-01,71,20,94
2022-09-02,60,8,87
2022-09-03,7,0,53
2022-09-04,9,0,60
2022-09-05,7,17,82
2022-09-06,41,14,75
2022-09-07,44,22,74
2022-09-08,59,22,96
2022-09-09,39,29,88
2022-09-10,29,1,72
2022-09-11,7,10,54
2022-09-12,50,39,126
2022-09-13,56,28,115
2022-09-14,47,14,103
2022-09-15,107,73,75
2022-09-16,42,54,94
2022-09-17,17,27,58
2022-09-18,24,10,46
2022-09-19,51,53,70
2022-09-20,75,12,82
2022-09-21,40,60,86
2022-09-22,49,20,103
2022-09-23,47,7,99
2022-09-24,13,0,93
2022-09-25,4,0,68
2022-09-26,37,11,101
2022-09-27,51,35,140
2022-09-28,49,16,64
2022-09-29,52,22,77
2022-09-30,60,33,82
2022-10-01,13,0,104
2022-10-02,1,8,91
2022-10-03,39,17,83
2022-10-04,66,19,65
2022-10-05,49,40,65
2022-10-06,25,16,78
2022-10-07,83,55,116
2022-10-08,21,2,60
2022-10-09,13,0,83
2022-10-10,52,13,108
2022-10-11,10,21,64
2022-10-12,21,34,74
2022-10-13,24,29,68
2022-10-14,43,24,87
2022-10-15,18,0,68
2022-10-16,4,0,70
2022-10-17,48,49,77
2022-10-18,29,36,65
2022-10-19,40,39,93
2022-10-20,77,39,104
2022-10-21,67,25,78
2022-10-22,45,0,64
2022-10-23,11,0,101
2022-10-24,42,26,106
2022-10-25,41,14,92
2022-10-26,33,31,95
2022-10-27,60,90,99
2022-10-28,49,1,74
2022-10-29,9,0,109
2022-10-30,26,0,39
2022-10-31,51,22,70
2022-11-01,60,25,71
2022-11-02,68,30,72
2022-11-03,56,17,52
2022-11-04,89,37,105
2022-11-05,25,1,102
2022-11-06,5,0,69
2022-11-07,56,27,158
2022-11-08,59,16,78
2022-11-09,83,15,122
2022-11-10,76,54,95
2022-11-11,64,78,86
2022-11-12,45,32,85
2022-11-13,7,2,71
2022-11-14,57,11,72
2022-11-15,52,29,102
2022-11-16,95,15,70
2022-11-17,64,65,70
2022-11-18,45,24,97
2022-11-19,23,1,105
2022-11-20,0,0,106
2022-11-21,6,26,130
2022-11-22,6,76,80
2022-11-23,7,25,90
2022-11-24,2,40,86
2022-11-25,0,22,170
2022-11-26,3,4,80
2022-11-27,2,1,88
2022-11-28,50,27,100
2022-11-29,116,194,100
2022-11-30,87,47,65
2022-12-01,90,38,90
2022-12-02,68,50,87
2022-12-03,24,0,75
2022-12-04,10,4,54
2022-12-05,32,22,53
2022-12-06,68,53,106
2022-12-07,58,32,60
2022-12-08,55,44,59
2022-12-09,58,50,83
2022-12-10,27,0,60
2022-12-11,7,6,68
2022-12-12,71,50,68
2022-12-13,90,40,110
2022-12-14,84,22,112
2022-12-15,109,27,88
2022-12-16,60,31,70
2022-12-17,19,1,79
2022-12-18,14,5,53
2022-12-19,55,9,53
2022-12-20,70,57,91
2022-12-21,68,29,59
2022-12-22,39,18,74
2022-12-23,1,4,60
2022-12-24,1,0,42
2022-12-25,1,0,44
2022-12-26,1,11,22
2022-12-27,1,30,67
2022-12-28,12,15,110
2022-12-29,7,18,67
2022-12-30,5,1,52
2022-12-31,2,0,54
2023-01-01,3,0,39
2023-01-02,8,52,87
2023-01-03,78,11,66
2023-01-04,60,46,80
2023-01-05,60,10,56
2023-01-06,49,29,62
2023-01-07,57,2,53
2023-01-08,29,1,37
2023-01-09,63,37,172
2023-01-10,30,84,52
2023-01-11,54,57,133
2023-01-12,57,52,131
2023-01-13,58,76,106
2023-01-14,18,3,131
2023-01-15,18,8,49
2023-01-16,54,51,65
2023-01-17,42,124,100
2023-01-18,51,45,72
2023-01-19,64,38,76
2023-01-20,60,83,84
2023-01-21,22,7,83
2023-01-22,9,1,54
2023-01-23,28,29,100
2023-01-24,56,66,50
2023-01-25,68,39,64
2023-01-26,115,65,81
2023-01-27,56,34,151
2023-01-28,39,1,77
2023-01-29,32,1,57
2023-01-30,37,55,91
2023-01-31,54,47,95
2023-02-01,81,41,72
2023-02-02,151,27,73
2023-02-03,61,150,80
2023-02-04,25,0,30
2023-02-05,11,1,61
