,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2019-05-20,2.0,1,2
2019-05-21,16.8,0,3
2019-05-22,10.209999999999999,0,2
2019-05-23,-0.022000000000001574,3,0
2019-05-24,2.734174999999999,2,0
2019-05-25,-0.21549599999999924,0,0
2019-05-26,-0.8852587749999985,0,0
2019-05-27,0.36033239500000147,2,2
2019-05-28,2.3909428877187513,5,3
2019-05-29,7.230963093662501,0,3
2019-05-30,-1.3120524417984374,2,3
2019-05-31,0.3563778460375002,2,4
2019-06-01,0.5277310966156252,0,2
2019-06-02,-0.4149759856593742,0,0
2019-06-03,1.7385874137140631,1,11
2019-06-04,4.602691998234375,1,3
2019-06-05,12.247367388417187,0,5
2019-06-06,-1.7130218242328135,0,4
2019-06-07,-0.8602715290375001,2,0
2019-06-08,4.473291990734375,0,0
2019-06-09,-0.8934874405515616,0,0
2019-06-10,0.4690859424640633,4,2
2019-06-11,1.5117887302187505,1,1
2019-06-12,3.442830178600001,0,0
2019-06-13,0.2345339181171877,6,7
2019-06-14,2.467342354532813,0,3
2019-06-15,-0.57191023125,0,0
2019-06-16,-0.3393870775781246,0,5
2019-06-17,5.749958516070313,2,6
2019-06-18,3.237491994484375,0,0
2019-06-19,8.196577473932813,0,3
2019-06-20,0.6433493091156244,0,12
2019-06-21,1.0805801880906252,0,2
2019-06-22,-0.7629542915828122,0,0
2019-06-23,-0.5015981326078114,0,1
2019-06-24,4.637414022500001,0,7
2019-06-25,8.206198724406251,0,0
2019-06-26,2.627932841471875,1,1
2019-06-27,2.8842783552156246,0,4
2019-06-28,2.9432738086453125,2,3
2019-06-29,8.003519418896875,0,1
2019-06-30,2.495691482428125,0,0
2019-07-01,2.7599564062500006,1,12
2019-07-02,2.8160501186718756,10,0
2019-07-03,3.8304385851796887,0,8
2019-07-04,-1.232586509885937,3,25
2019-07-05,-0.7208185597062491,10,0
2019-07-06,-0.5139769784562489,0,0
2019-07-07,-0.3845125622843738,0,0
2019-07-08,1.7085304901140632,0,12
2019-07-09,12.61794649029375,1,12
2019-07-10,1.4826628565437492,4,5
2019-07-11,0.9765630247781245,3,10
2019-07-12,5.211180737320312,1,10
2019-07-13,-1.0763459999999996,0,9
2019-07-14,-0.6248292749999993,0,0
2019-07-15,3.5460311950000007,0,0
2019-07-16,4.240950785218751,1,6
2019-07-17,7.022508611975001,5,8
2019-07-18,4.621950510485937,1,6
2019-07-19,-0.29604536113906277,0,2
2019-07-20,-0.8399870831656246,0,6
2019-07-21,-0.564924915215624,0,1
2019-07-22,3.608406152500001,2,2
2019-07-23,4.283599166687501,0,0
2019-07-24,0.0547246297781252,1,3
2019-07-25,3.362735043195313,2,0
2019-07-26,5.19415560536875,1,4
2019-07-27,-1.03624092823125,0,2
2019-07-28,-0.5462931525359372,0,0
2019-07-29,11.6200484025,1,0
2019-07-30,2.5046542541875,2,0
2019-07-31,-0.18187922147187496,2,0
2019-08-01,6.203090564304688,4,13
2019-08-02,0.779815717901563,0,6
2019-08-03,-0.9105562882374992,0,13
2019-08-04,0.4170332347843757,0,0
2019-08-05,7.496473345000001,0,5
2019-08-06,1.8285011963125002,11,0
2019-08-07,1.0369792337562502,3,0
2019-08-08,0.269193878090625,4,14
2019-08-09,1.4455188138546882,1,1
2019-08-10,-0.5840121062828119,0,0
2019-08-11,-0.34136275132187444,0,0
2019-08-12,-0.24769992051562445,0,0
2019-08-13,0.7980077795890631,0,9
2019-08-14,-0.2634786643343746,1,0
2019-08-15,-0.1267509048890623,4,0
2019-08-16,-0.07705341058749988,2,0
2019-08-17,-0.048197978567187355,0,0
2019-08-18,-0.032914455071874904,0,1
2019-08-19,-0.01316201249999996,5,2
2019-08-20,-0.011093696249999967,1,0
2019-08-21,0.990431686984375,1,0
2019-08-22,0.8916011474640624,1,2
2019-08-23,-0.14500000000000013,0,0
2019-08-24,-0.07350000000000005,0,9
2019-08-25,-0.04916249999999994,0,0
2019-08-26,1.96322075,0,4
2019-08-27,-0.2292787625000001,5,12
2019-08-28,-0.11425570874999999,3,6
2019-08-29,1.922337990734375,2,0
2019-08-30,-0.2592921655515625,0,2
2019-08-31,-0.13063235253593744,0,1
2019-09-01,-0.08332402499999997,0,0
2019-09-02,-0.06351239249999978,4,1
2019-09-03,0.9486298739687502,2,5
2019-09-04,-0.14312173007187495,2,13
2019-09-05,-0.06718739249999997,4,8
2019-09-06,-0.047636626031249976,2,4
2019-09-07,-0.03746020507187488,0,0
2019-09-08,-0.016116749999999947,0,2
2019-09-09,6.9868379875,2,6
2019-09-10,2.2889063037499993,3,7
2019-09-11,-0.6245683130156254,4,5
2019-09-12,0.6571011474640622,7,0
2019-09-13,-0.33013749999999964,1,0
2019-09-14,-0.21980474999999944,0,0
2019-09-15,-0.16898433749999958,0,11
2019-09-16,-0.13780441124999956,4,6
2019-09-17,4.883623970140626,1,2
2019-09-18,-0.6006589192984377,4,6
2019-09-19,0.7387097461421874,0,6
2019-09-20,1.7479316869843748,0,2
2019-09-21,-0.35671135253593733,0,8
2019-09-22,-0.19908374999999984,0,0
2019-09-23,1.8565274375000003,3,1
2019-09-24,3.68708976875,2,5
2019-09-25,8.416762922421874,1,14
2019-09-26,6.783588016070311,1,6
2019-09-27,2.607919294484374,0,3
2019-09-28,-1.1589189785671878,0,8
2019-09-29,7.298448769928125,0,12
2019-09-30,0.7008138075000006,0,2
2019-10-01,1.0464464764687509,0,13
2019-10-02,2.1573226766156255,3,5
2019-10-03,1.126592152715626,0,7
2019-10-04,0.2412300380515633,0,7
2019-10-05,-0.5598186723499994,0,5
2019-10-06,-0.3448900051437493,0,2
2019-10-07,2.7567668283750004,0,7
2019-10-08,-0.5008968763187497,2,1
2019-10-09,3.753343805146875,3,1
2019-10-10,3.43364795088125,3,2
2019-10-11,9.302585620110937,0,5
2019-10-12,0.6312837319124991,5,6
2019-10-13,-0.8945348900359377,0,0
2019-10-14,-0.5553980887499996,1,4
2019-10-15,1.5905550109531261,1,16
2019-10-16,3.4752881073921884,4,3
2019-10-17,4.2634983379375,3,9
2019-10-18,0.05387035029374998,2,4
2019-10-19,-0.6317909327999998,0,2
2019-10-20,-0.4055086513906245,0,0
