,python/cpython,ruby/ruby,php/php-src
2000-02-05,4,0,19
2000-02-06,0,0,9
2000-02-07,3,0,7
2000-02-08,9,3,10
2000-02-09,5,0,11
2000-02-10,16,0,36
2000-02-11,5,0,14
2000-02-12,1,0,11
2000-02-13,0,0,17
2000-02-14,12,0,9
2000-02-15,23,0,12
2000-02-16,8,0,20
2000-02-17,14,2,15
2000-02-18,11,1,13
2000-02-19,1,0,20
2000-02-20,0,0,10
2000-02-21,6,2,15
2000-02-22,2,0,17
2000-02-23,10,3,30
2000-02-24,7,0,33
2000-02-25,10,1,14
2000-02-26,4,1,28
2000-02-27,3,0,15
2000-02-28,10,0,11
2000-02-29,8,1,11
2000-03-01,10,0,14
2000-03-02,8,0,14
2000-03-03,11,0,15
2000-03-04,0,0,10
2000-03-05,0,1,13
2000-03-06,20,2,26
2000-03-07,17,1,23
2000-03-08,2,2,5
2000-03-09,3,1,13
2000-03-10,38,0,17
2000-03-11,1,0,14
2000-03-12,0,0,15
2000-03-13,9,1,18
2000-03-14,2,0,11
2000-03-15,1,2,15
2000-03-16,4,0,19
2000-03-17,5,1,5
2000-03-18,9,0,13
2000-03-19,0,0,15
2000-03-20,2,0,5
2000-03-21,3,0,6
2000-03-22,13,0,4
2000-03-23,4,1,5
2000-03-24,6,0,4
2000-03-25,1,0,13
2000-03-26,7,2,22
2000-03-27,4,1,14
2000-03-28,21,0,7
2000-03-29,29,0,15
2000-03-30,20,0,28
2000-03-31,77,1,14
2000-04-01,1,0,22
2000-04-02,2,0,6
2000-04-03,11,0,9
2000-04-04,16,0,16
2000-04-05,12,0,22
2000-04-06,25,0,10
2000-04-07,14,0,19
2000-04-08,3,0,3
2000-04-09,17,0,3
2000-04-10,50,3,11
2000-04-11,19,0,10
2000-04-12,5,1,8
2000-04-13,13,0,9
2000-04-14,8,1,7
2000-04-15,2,0,22
2000-04-16,0,0,9
2000-04-17,2,1,10
2000-04-18,1,2,9
2000-04-19,12,0,23
2000-04-20,0,0,33
2000-04-21,23,1,15
2000-04-22,14,1,5
2000-04-23,5,0,8
2000-04-24,16,0,15
2000-04-25,12,1,5
2000-04-26,13,0,3
2000-04-27,12,0,12
2000-04-28,14,0,13
2000-04-29,0,0,14
2000-04-30,0,0,20
2000-05-01,12,1,35
2000-05-02,19,0,46
2000-05-03,14,0,12
2000-05-04,7,0,24
2000-05-05,10,1,11
2000-05-06,6,0,18
2000-05-07,10,0,8
2000-05-08,13,0,14
2000-05-09,29,2,2
2000-05-10,8,1,9
2000-05-11,9,0,12
2000-05-12,19,1,14
2000-05-13,20,2,4
2000-05-14,1,1,7
2000-05-15,2,2,13
2000-05-16,1,2,10
2000-05-17,1,3,32
2000-05-18,2,3,21
2000-05-19,1,1,9
2000-05-20,7,0,3
2000-05-21,1,2,11
2000-05-22,1,4,17
2000-05-23,15,1,58
2000-05-24,2,4,20
2000-05-25,17,1,21
2000-05-26,16,0,11
2000-05-27,8,0,9
2000-05-28,6,0,16
2000-05-29,0,1,19
2000-05-30,9,2,8
2000-05-31,9,2,14
2000-06-01,14,1,14
2000-06-02,18,0,10
2000-06-03,7,2,14
2000-06-04,13,2,17
2000-06-05,1,1,21
2000-06-06,6,1,29
2000-06-07,19,1,13
2000-06-08,14,0,15
2000-06-09,5,2,43
2000-06-10,10,0,29
2000-06-11,1,0,19
2000-06-12,0,5,34
2000-06-13,6,6,25
2000-06-14,3,5,21
2000-06-15,4,0,24
2000-06-16,4,3,29
2000-06-17,10,2,23
2000-06-18,15,0,21
2000-06-19,3,3,12
2000-06-20,13,1,5
2000-06-21,14,0,7
2000-06-22,0,3,11
2000-06-23,7,1,21
2000-06-24,12,3,19
2000-06-25,12,0,26
2000-06-26,6,2,30
2000-06-27,16,2,17
2000-06-28,68,3,11
2000-06-29,57,1,15
2000-06-30,91,0,18
2000-07-01,49,4,9
2000-07-02,8,1,18
2000-07-03,20,9,15
2000-07-04,11,4,7
2000-07-05,19,2,17
2000-07-06,28,3,20
2000-07-07,26,1,7
2000-07-08,26,0,8
2000-07-09,43,0,17
2000-07-10,39,3,17
2000-07-11,29,1,20
2000-07-12,26,6,8
2000-07-13,13,0,10
2000-07-14,16,3,11
2000-07-15,9,2,13
2000-07-16,11,0,7
2000-07-17,6,1,12
2000-07-18,5,3,13
2000-07-19,9,2,5
2000-07-20,0,0,6
2000-07-21,4,1,12
2000-07-22,15,0,13
2000-07-23,11,0,11
2000-07-24,27,2,19
2000-07-25,8,4,20
2000-07-26,7,2,25
2000-07-27,13,1,12
2000-07-28,5,0,11
2000-07-29,5,1,13
2000-07-30,15,0,8
2000-07-31,19,4,4
2000-08-01,19,2,10
2000-08-02,18,3,7
2000-08-03,27,2,6
2000-08-04,25,0,18
2000-08-05,7,2,9
2000-08-06,4,0,20
2000-08-07,11,2,17
2000-08-08,8,1,14
2000-08-09,13,6,15
2000-08-10,4,1,17
2000-08-11,18,0,11
2000-08-12,14,0,4
2000-08-13,12,0,8
2000-08-14,14,0,15
2000-08-15,31,4,14
2000-08-16,15,1,6
2000-08-17,23,1,13
2000-08-18,28,1,11
2000-08-19,8,0,18
2000-08-20,17,0,31
2000-08-21,18,0,21
2000-08-22,14,0,29
2000-08-23,20,0,18
2000-08-24,26,2,25
2000-08-25,43,1,17
2000-08-26,9,0,13
2000-08-27,11,0,29
2000-08-28,1,2,8
2000-08-29,14,2,12
2000-08-30,19,4,14
2000-08-31,48,5,18
2000-09-01,58,4,11
2000-09-02,7,0,16
2000-09-03,9,0,29
2000-09-04,13,3,20
2000-09-05,28,0,25
2000-09-06,9,0,20
2000-09-07,19,1,12
2000-09-08,20,0,18
2000-09-09,16,0,19
2000-09-10,9,0,17
2000-09-11,11,3,26
2000-09-12,19,6,21
2000-09-13,9,0,13
2000-09-14,26,0,8
2000-09-15,41,1,4
2000-09-16,38,0,4
2000-09-17,6,0,5
2000-09-18,17,3,5
2000-09-19,27,5,23
2000-09-20,9,1,14
2000-09-21,34,6,2
2000-09-22,35,9,4
2000-09-23,13,1,0
2000-09-24,35,1,0
2000-09-25,31,8,2
2000-09-26,29,3,15
2000-09-27,16,5,6
2000-09-28,18,0,17
2000-09-29,14,0,6
2000-09-30,21,1,18
2000-10-01,5,0,7
2000-10-02,22,2,15
2000-10-03,23,1,13
2000-10-04,11,0,5
2000-10-05,25,1,12
2000-10-06,38,1,5
2000-10-07,14,0,3
2000-10-08,4,0,5
2000-10-09,40,0,9
2000-10-10,14,4,3
2000-10-11,16,5,36
2000-10-12,32,1,10
2000-10-13,14,3,10
2000-10-14,26,2,9
2000-10-15,1,2,9
2000-10-16,16,3,8
2000-10-17,2,2,19
2000-10-18,5,0,17
2000-10-19,18,0,13
2000-10-20,9,1,21
2000-10-21,0,0,18
2000-10-22,7,0,21
2000-10-23,13,0,12
2000-10-24,10,0,0
2000-10-25,18,5,8
2000-10-26,14,1,23
2000-10-27,2,1,27
2000-10-28,2,0,7
2000-10-29,6,0,31
2000-10-30,5,1,18
