,mermaid-js/mermaid,yuzutech/kroki,plantuml/plantuml
2019-02-10,0.0,0,0
2019-02-11,0.0,0,0
2019-02-12,4.0,1,0
2019-02-13,-1.2000000000000002,0,0
2019-02-14,-0.4199999999999997,0,0
2019-02-15,-0.23799999999999988,0,0
2019-02-16,-0.16065,1,0
2019-02-17,-0.11888099999999999,0,0
2019-02-18,-0.09312344999999998,0,0
2019-02-19,-0.07582909500000001,0,0
2019-02-20,-0.06350686706250018,1,0
2019-02-21,0.9456663470687499,0,0
2019-02-22,-0.30000000000000004,0,0
2019-02-23,-0.10499999999999993,0,0
2019-02-24,-0.05949999999999997,0,0
2019-02-25,-0.0401625,3,0
2019-02-26,-0.029720249999999997,3,0
2019-02-27,-0.023280862499999996,2,0
2019-02-28,-0.018957273750000003,7,0
2019-03-01,-0.015876716765625045,0,1
2019-03-02,-0.013583413232812524,0,0
2019-03-03,0.0,0,0
2019-03-04,0.0,0,0
2019-03-05,0.0,0,0
2019-03-06,0.0,0,0
2019-03-07,4.0,5,0
2019-03-08,-1.2000000000000002,5,0
2019-03-09,9.58,0,0
2019-03-10,4.762,0,0
2019-03-11,-3.6106499999999997,0,0
2019-03-12,-1.5538809999999992,0,0
2019-03-13,-0.9707484499999997,0,0
2019-03-14,-0.694331595,0,0
2019-03-15,0.4659225079374999,0,0
2019-03-16,-0.7301532904312501,0,0
2019-03-17,-0.4154253576562504,0,0
2019-03-18,0.6776521335468744,0,0
2019-03-19,-0.4488298058625002,0,0
2019-03-20,-0.13472024999999993,0,0
2019-03-21,-0.08278086249999997,1,0
2019-03-22,-0.05911977375,0,0
2019-03-23,-0.04559696676562504,0,0
2019-03-24,-0.03686427573281252,0,0
2019-03-25,-0.018957273750000003,0,0
2019-03-26,-0.015876716765625045,1,0
2019-03-27,-0.013583413232812524,0,0
2019-03-28,0.0,3,0
2019-03-29,0.0,0,1
2019-03-30,0.0,2,0
2019-03-31,0.0,0,0
2019-04-01,0.0,0,0
2019-04-02,0.0,0,0
2019-04-03,0.0,0,0
2019-04-04,0.0,0,0
2019-04-05,0.0,0,0
2019-04-06,0.0,0,0
2019-04-07,0.0,0,0
2019-04-08,0.0,0,0
2019-04-09,0.0,1,0
2019-04-10,0.0,0,0
2019-04-11,0.0,0,0
2019-04-12,0.0,0,0
2019-04-13,0.0,0,0
2019-04-14,0.0,0,0
2019-04-15,0.0,0,0
2019-04-16,0.0,0,0
2019-04-17,0.0,0,0
2019-04-18,2.0,0,0
2019-04-19,-0.6000000000000001,0,0
2019-04-20,-0.20999999999999985,0,0
2019-04-21,-0.11899999999999994,0,1
2019-04-22,-0.080325,0,0
2019-04-23,-0.05944049999999999,0,0
2019-04-24,0.953438275,1,0
2019-04-25,-0.33791454750000005,1,0
2019-04-26,1.8632465664687499,0,0
2019-04-27,-0.686666826465625,0,0
2019-04-28,-0.25016249999999984,0,0
2019-04-29,-0.14872024999999994,0,0
2019-04-30,-0.10360586249999999,0,2
2019-05-01,-0.07839777375,0,0
2019-05-02,0.9375615582343749,0,0
2019-05-03,-0.3514979607328126,0,0
2019-05-04,-0.13675343353125002,0,0
2019-05-05,-0.08666682646562501,0,0
2019-05-06,-0.0401625,0,0
2019-05-07,0.97027975,0,0
2019-05-08,-0.32328086250000004,0,0
2019-05-09,-0.12395727374999993,0,0
2019-05-10,-0.07537671676562502,0,0
2019-05-11,-0.05374591323281252,0,0
2019-05-12,-0.029720249999999997,0,0
2019-05-13,-0.023280862499999996,0,0
2019-05-14,0.98104272625,0,0
2019-05-15,-0.31587671676562507,0,0
2019-05-16,-0.11858341323281245,0,0
2019-05-17,-0.05949999999999997,0,0
2019-05-18,-0.0401625,0,0
2019-05-19,-0.029720249999999997,0,0
2019-05-20,-0.023280862499999996,0,0
2019-05-21,-0.018957273750000003,0,0
2019-05-22,-0.015876716765625045,0,0
2019-05-23,-0.013583413232812524,0,0
2019-05-24,1.0,0,1
2019-05-25,-0.30000000000000004,0,2
2019-05-26,-0.10499999999999993,0,0
2019-05-27,-0.05949999999999997,0,0
2019-05-28,5.9598375,0,0
2019-05-29,-1.8297202500000003,0,0
2019-05-30,1.3467191375000005,0,0
2019-05-31,1.02404272625,0,0
2019-06-01,0.9331482832343752,0,0
2019-06-02,-1.1209049132328124,0,0
2019-06-03,-0.5490101749999998,0,0
2019-06-04,4.6274908575,0,0
2019-06-05,-1.7815875255937503,0,0
2019-06-06,-0.7504172518968748,0,0
2019-06-07,0.5862702939687501,0,0
2019-06-08,1.4023526925031249,0,0
2019-06-09,8.087478490003125,0,0
2019-06-10,-2.113071138965625,0,0
2019-06-11,5.501051131250001,0,0
2019-06-12,-2.9299288338281255,0,0
2019-06-13,-0.3066009286640621,0,0
2019-06-14,1.9103362512500002,0,0
2019-06-15,1.420823223234375,0,0
2019-06-16,-0.7217749230140624,0,0
2019-06-17,-1.1856430886062501,0,0
2019-06-18,-0.7045361021109375,0,0
2019-06-19,-0.41714954309218777,0,0
