,rust-lang/rust,nim-lang/Nim,golang/go
2022-07-16,68,6,0
2022-07-17,77,2,0
2022-07-18,108,7,4
2022-07-19,94,0,17
2022-07-20,171,0,4
2022-07-21,111,1,3
2022-07-22,81,1,3
2022-07-23,63,0,0
2022-07-24,109,0,2
2022-07-25,112,1,9
2022-07-26,114,4,4
2022-07-27,97,2,3
2022-07-28,115,2,11
2022-07-29,97,0,1
2022-07-30,85,0,2
2022-07-31,77,2,0
2022-08-01,85,6,6
2022-08-02,96,1,21
2022-08-03,103,4,4
2022-08-04,134,6,16
2022-08-05,65,2,6
2022-08-06,72,0,2
2022-08-07,63,2,0
2022-08-08,72,1,45
2022-08-09,111,5,32
2022-08-10,97,0,15
2022-08-11,76,3,26
2022-08-12,109,3,31
2022-08-13,61,1,0
2022-08-14,57,1,5
2022-08-15,80,4,18
2022-08-16,106,0,14
2022-08-17,88,2,37
2022-08-18,104,0,41
2022-08-19,89,5,41
2022-08-20,79,1,2
2022-08-21,117,4,0
2022-08-22,133,2,18
2022-08-23,134,15,35
2022-08-24,87,8,17
2022-08-25,67,2,14
2022-08-26,112,2,29
2022-08-27,92,2,4
2022-08-28,80,1,1
2022-08-29,87,3,21
2022-08-30,100,1,12
2022-08-31,124,4,32
2022-09-01,94,5,23
2022-09-02,87,2,51
2022-09-03,53,2,7
2022-09-04,60,3,1
2022-09-05,82,2,14
2022-09-06,75,5,39
2022-09-07,74,0,46
2022-09-08,96,4,27
2022-09-09,88,2,19
2022-09-10,72,1,0
2022-09-11,54,8,0
2022-09-12,126,1,0
2022-09-13,115,1,16
2022-09-14,103,5,9
2022-09-15,75,4,21
2022-09-16,94,4,22
2022-09-17,58,0,4
2022-09-18,46,0,1
2022-09-19,70,7,24
2022-09-20,82,4,10
2022-09-21,86,5,10
2022-09-22,103,4,5
2022-09-23,99,3,11
2022-09-24,93,1,1
2022-09-25,68,1,1
2022-09-26,101,7,23
2022-09-27,140,6,38
2022-09-28,64,12,31
2022-09-29,77,4,54
2022-09-30,82,3,24
2022-10-01,104,6,10
2022-10-02,91,3,4
2022-10-03,83,4,7
2022-10-04,65,4,15
2022-10-05,65,8,14
2022-10-06,78,7,10
2022-10-07,116,4,14
2022-10-08,60,1,4
2022-10-09,83,5,0
2022-10-10,108,9,13
2022-10-11,64,4,12
2022-10-12,74,3,17
2022-10-13,68,5,11
2022-10-14,87,4,17
2022-10-15,68,3,1
2022-10-16,70,3,0
2022-10-17,77,4,19
2022-10-18,65,4,13
2022-10-19,93,1,8
2022-10-20,104,5,9
2022-10-21,78,8,11
2022-10-22,64,3,0
2022-10-23,101,2,1
2022-10-24,106,13,15
2022-10-25,92,8,13
2022-10-26,95,1,16
2022-10-27,99,8,6
2022-10-28,74,3,8
2022-10-29,109,6,4
2022-10-30,39,0,0
2022-10-31,70,9,19
2022-11-01,71,8,19
2022-11-02,72,4,12
2022-11-03,52,6,24
2022-11-04,105,5,21
2022-11-05,102,8,1
2022-11-06,69,6,0
2022-11-07,158,4,17
2022-11-08,78,3,23
2022-11-09,122,8,25
2022-11-10,95,6,32
2022-11-11,86,6,14
2022-11-12,85,7,0
2022-11-13,71,2,0
2022-11-14,72,7,18
2022-11-15,102,1,45
2022-11-16,70,3,32
2022-11-17,70,3,25
2022-11-18,97,1,24
2022-11-19,105,0,13
2022-11-20,106,0,0
2022-11-21,130,5,20
2022-11-22,80,9,18
2022-11-23,90,1,14
2022-11-24,86,4,3
2022-11-25,170,3,0
2022-11-26,80,6,0
2022-11-27,88,2,0
2022-11-28,100,4,11
2022-11-29,100,10,5
2022-11-30,65,3,7
2022-12-01,90,8,18
2022-12-02,87,2,14
2022-12-03,75,1,1
2022-12-04,54,2,0
2022-12-05,53,8,8
2022-12-06,106,8,9
2022-12-07,60,1,11
2022-12-08,59,8,8
2022-12-09,83,4,3
2022-12-10,60,5,1
2022-12-11,68,3,1
2022-12-12,68,9,6
2022-12-13,110,6,3
2022-12-14,112,0,6
2022-12-15,88,4,2
2022-12-16,70,7,4
2022-12-17,79,4,1
2022-12-18,53,1,0
2022-12-19,53,2,1
2022-12-20,91,4,0
2022-12-21,59,2,6
2022-12-22,74,9,6
2022-12-23,60,6,2
2022-12-24,42,1,0
2022-12-25,44,0,0
2022-12-26,22,2,0
2022-12-27,67,4,1
2022-12-28,110,7,1
2022-12-29,67,4,2
2022-12-30,52,1,0
2022-12-31,54,0,0
2023-01-01,39,2,0
2023-01-02,87,3,0
2023-01-03,66,1,3
2023-01-04,80,2,4
2023-01-05,56,0,2
2023-01-06,62,1,3
2023-01-07,53,0,0
2023-01-08,37,4,0
2023-01-09,172,1,7
2023-01-10,52,0,3
2023-01-11,133,2,3
2023-01-12,131,1,0
2023-01-13,106,1,3
2023-01-14,131,1,0
2023-01-15,49,0,0
2023-01-16,65,0,1
2023-01-17,100,2,42
2023-01-18,72,8,7
2023-01-19,76,1,19
2023-01-20,84,2,38
2023-01-21,83,1,3
2023-01-22,54,0,0
2023-01-23,100,0,12
2023-01-24,50,3,20
2023-01-25,64,2,16
2023-01-26,81,3,22
2023-01-27,151,3,14
2023-01-28,77,0,6
2023-01-29,57,1,1
2023-01-30,91,0,25
2023-01-31,95,2,31
2023-02-01,72,4,14
2023-02-02,73,2,17
2023-02-03,80,0,7
2023-02-04,30,0,9
2023-02-05,61,0,0
2023-02-06,65,0,15
2023-02-07,72,1,8
2023-02-08,52,2,10
2023-02-09,84,3,13
2023-02-10,89,0,20
2023-02-11,53,0,2
2023-02-12,56,1,0
2023-02-13,90,0,8
2023-02-14,139,5,8
2023-02-15,86,2,7
2023-02-16,95,4,8
2023-02-17,75,2,10
2023-02-18,98,0,1
2023-02-19,73,1,1
2023-02-20,93,1,1
2023-02-21,91,9,8
2023-02-22,83,5,14
2023-02-23,66,0,18
2023-02-24,42,4,12
2023-02-25,79,1,3
2023-02-26,82,4,0
2023-02-27,64,0,34
2023-02-28,79,2,26
2023-03-01,126,6,23
2023-03-02,66,7,10
2023-03-03,93,3,5
2023-03-04,80,3,1
2023-03-05,84,2,0
2023-03-06,75,4,13
2023-03-07,60,2,12
2023-03-08,98,1,5
2023-03-09,97,1,13
2023-03-10,104,3,25
2023-03-11,75,0,1
2023-03-12,78,3,0
2023-03-13,76,2,16
2023-03-14,87,0,11
2023-03-15,87,0,24
2023-03-16,86,3,17
2023-03-17,88,2,12
2023-03-18,47,0,4
2023-03-19,59,1,0
2023-03-20,70,11,8
2023-03-21,92,2,20
2023-03-22,91,1,21
2023-03-23,79,1,5
2023-03-24,75,0,20
2023-03-25,63,0,2
2023-03-26,61,0,0
2023-03-27,84,2,12
2023-03-28,81,5,16
2023-03-29,99,2,24
2023-03-30,105,4,12
2023-03-31,50,2,18
2023-04-01,33,2,0
2023-04-02,34,1,0
2023-04-03,105,2,7
2023-04-04,115,2,21
2023-04-05,91,0,16
2023-04-06,112,3,16
2023-04-07,70,1,20
2023-04-08,48,2,3
2023-04-09,85,0,0
2023-04-10,64,1,17
2023-04-11,101,7,30
2023-04-12,108,1,16
2023-04-13,99,4,16
2023-04-14,104,4,19
2023-04-15,47,0,0
2023-04-16,111,0,0
2023-04-17,90,10,11
2023-04-18,60,2,22
2023-04-19,83,5,12
2023-04-20,104,1,18
2023-04-21,94,7,24
2023-04-22,101,1,1
2023-04-23,70,3,0
2023-04-24,90,4,14
2023-04-25,93,1,9
2023-04-26,101,4,8
2023-04-27,109,0,8
2023-04-28,92,3,18
2023-04-29,95,3,0
2023-04-30,56,0,2
2023-05-01,64,1,7
2023-05-02,150,6,17
2023-05-03,68,4,20
2023-05-04,67,6,23
2023-05-05,120,4,23
2023-05-06,118,8,0
2023-05-07,64,2,0
2023-05-08,83,5,11
2023-05-09,70,4,16
2023-05-10,67,2,26
2023-05-11,72,12,28
2023-05-12,74,6,39
