,facebook/react,jquery/jquery,angular/angular
2014-10-18,1,0,2.0
2014-10-19,1,2,-0.7999999999999998
2014-10-20,6,0,-0.24
2014-10-21,5,0,-0.128
2014-10-22,7,1,-0.0832000000000001
2014-10-23,15,0,-0.059904000000000034
2014-10-24,6,0,-0.04592640000000001
2014-10-25,0,0,-0.03674111999999999
2014-10-26,2,0,-0.030311423999999986
2014-10-27,7,0,6.9744036864
2014-10-28,30,0,5.200000000000001
2014-10-29,5,0,2.960000000000001
2014-10-30,9,3,-1.2079999999999993
2014-10-31,5,0,-1.8432
2014-11-01,1,1,-1.7504640000000005
2014-11-02,0,0,-1.0035584000000006
2014-11-03,2,4,-0.7107635200000002
2014-11-04,7,1,5.454747136
2014-11-05,5,0,7.1617316864000005
2014-11-06,10,1,3.993449881600001
2014-11-07,5,0,-2.3374247935999986
2014-11-08,5,1,-1.2231501824
2014-11-09,0,0,-2.3445101568
2014-11-10,0,1,-0.24369920000000067
2014-11-11,3,0,0.7377766399999999
2014-11-12,1,0,2.4256353280000003
2014-11-13,4,0,-2.4264747007999996
2014-11-14,0,0,18.984978944
2014-11-15,6,0,-7.566543667199998
2014-11-16,4,1,-3.1179730944
2014-11-17,19,0,-0.6097012736000003
2014-11-18,15,0,5.560250367999999
2014-11-19,9,0,-0.6772318207999999
2014-11-20,2,0,2.3205648384
2014-11-21,7,0,-3.2911670271999993
2014-11-22,0,0,-0.43463680000000027
2014-11-23,0,0,-0.348546048
2014-11-24,5,0,0.9902328831999998
2014-11-25,13,0,8.653600768
2014-11-26,9,0,1.3655841792000007
2014-11-27,4,0,-4.026459033599999
2014-11-28,1,0,-1.6102882304000001
2014-11-29,0,0,-0.9652285440000005
2014-11-30,2,0,-0.6285726720000004
2014-12-01,8,0,2.5259610111999997
2014-12-02,8,1,2.4354056192000004
2014-12-03,8,4,5.752623206400001
2014-12-04,2,2,1.9090841600000008
2014-12-05,3,2,0.18241105920000056
2014-12-06,1,2,2.911744
2014-12-07,3,0,-3.7854976
2014-12-08,5,4,14.387819519999999
2014-12-09,1,8,-6.432766975999999
2014-12-10,4,2,-1.0731689984000004
2014-12-11,1,1,1.5017735168000002
2014-12-12,4,0,3.0258190335999995
2014-12-13,3,1,-0.7764671487999997
2014-12-14,11,0,-2.7986900992
2014-12-15,4,2,-1.3639851008
2014-12-16,5,0,-0.8681963520000002
2014-12-17,4,4,2.3469678592
2014-12-18,19,0,3.4557729792000003
2014-12-19,5,0,-2.6253321215999996
2014-12-20,2,0,-0.9892385791999999
2014-12-21,2,0,-0.5670560768000001
2014-12-22,4,0,-0.3362504704000003
2014-12-23,7,6,-0.2186496000000001
2014-12-24,1,0,0.83007232
2014-12-25,2,3,-0.5373199359999998
2014-12-26,0,1,-0.23417303039999995
2014-12-27,0,0,-0.12799078399999997
2014-12-28,0,0,-0.04160000000000005
2014-12-29,5,0,5.970048
2014-12-30,3,0,1.5770368000000006
2014-12-31,2,0,-2.3383705599999995
2015-01-01,1,0,-0.879155712
2015-01-02,2,0,-0.5183981568000002
2015-01-03,0,2,-0.3461120000000003
2015-01-04,0,0,-0.2575872000000001
2015-01-05,12,1,-0.20207616
2015-01-06,1,0,4.835583488
2015-01-07,6,4,8.8625882112
2015-01-08,2,0,0.948807372800001
2015-01-09,2,1,5.960000000000001
2015-01-10,1,0,-5.632
2015-01-11,1,6,-2.1913600000000004
2015-01-12,3,3,1.6661119999999996
2015-01-13,17,3,2.8598399999999997
2015-01-14,4,1,-0.07515391999999954
2015-01-15,7,0,4.437441024
2015-01-16,11,0,-1.0202195967999987
2015-01-17,3,0,-1.7582020608
2015-01-18,1,0,-1.6794311680000003
2015-01-19,1,2,-0.8629836800000005
2015-01-20,5,0,10.395326464
2015-01-21,12,0,0.13851688960000175
2015-01-22,18,0,10.34310656
2015-01-23,12,0,-0.12655933439999867
2015-01-24,2,0,-4.411024793599999
2015-01-25,2,1,-2.7270221824000003
2015-01-26,5,1,-0.5655533568000011
2015-01-27,41,0,7.5085798399999995
2015-01-28,10,0,0.44868556800000103
2015-01-29,0,5,-0.8084405247999995
2015-01-30,6,3,-0.8453278719999999
2015-01-31,11,0,-2.1879867392000003
2015-02-01,1,0,-1.0372740096000004
2015-02-02,20,0,-0.6403975168000003
2015-02-03,11,0,-0.4683627520000001
2015-02-04,12,1,-0.3698459647999999
2015-02-05,11,2,21.7079999488
2015-02-06,14,0,9.053800960000004
2015-02-07,2,0,-5.908705894399997
2015-02-08,1,0,-5.1935963136
2015-02-09,12,0,-0.547200000000001
2015-02-10,8,1,6.536255999999999
2015-02-11,9,2,0.9492735999999997
2015-02-12,13,0,-1.5452979199999994
2015-02-13,10,0,3.6648514560000005
2015-02-14,8,6,-1.6061485055999993
2015-02-15,1,0,-0.08808407039999988
2015-02-16,2,0,-0.6071145472000001
2015-02-17,19,1,12.933518335999999
2015-02-18,9,0,7.892425318400002
2015-02-19,20,3,1.4353722368000028
2015-02-20,20,0,-0.25279559679999863
2015-02-21,2,0,3.0876102656000004
2015-02-22,12,0,-6.3893723136
2015-02-23,3,0,1.1416692735999994
2015-02-24,10,0,2.5445677055999996
2015-02-25,2,0,8.7778136064
2015-02-26,8,0,18.790675968000002
2015-02-27,5,0,-7.189192191999998
2015-02-28,3,0,-4.120814591999999
2015-03-01,3,0,-4.622353305600001
2015-03-02,10,0,7.458579148799998
2015-03-03,14,0,2.3102801920000005
2015-03-04,3,2,-3.6824993791999994
2015-03-05,8,1,-2.3790829567999996
2015-03-06,9,0,-1.3075375104000004
2015-03-07,1,0,0.24088197119999943
2015-03-08,2,2,-1.6587040767999999
2015-03-09,7,2,3.1886903296
2015-03-10,46,0,3.8560000000000003
2015-03-11,69,0,4.697916416
2015-03-12,3,0,3.5900655616000012
2015-03-13,5,0,14.1845510144
2015-03-14,12,0,-4.506102988799999
2015-03-15,0,0,-5.4394743808
2015-03-16,21,3,-0.6252737536000006
2015-03-17,13,2,9.495432191999999
2015-03-18,2,0,8.7101150208
2015-03-19,7,0,6.5009400832000015
2015-03-20,7,1,-7.3386875903999975
2015-03-21,2,0,9.3986994176
2015-03-22,1,0,-6.1482939391999984
2015-03-23,10,1,-0.057570304000000405
2015-03-24,13,1,10.136313856000001
2015-03-25,25,2,-3.6777752575999996
2015-03-26,21,1,13.2590736384
2015-03-27,10,0,3.4201620480000017
2015-03-28,6,1,-3.843606015999999
2015-03-29,3,0,-5.6640982016
2015-03-30,15,4,-0.9050606592000006
2015-03-31,5,0,8.364804198399998
2015-04-01,14,0,5.012431564800001
2015-04-02,14,0,11.133251276800001
2015-04-03,2,0,0.015171276800002076
2015-04-04,1,0,-4.9007478784
2015-04-05,7,0,-4.6271529984
2015-04-06,0,0,5.568400895999999
2015-04-07,8,0,1.1678812159999996
2015-04-08,19,0,3.4079570944000004
2015-04-09,18,0,-0.389650636799999
2015-04-10,7,0,29.657022259199998
2015-04-11,1,0,-9.638251622399999
2015-04-12,0,0,-6.669666304000001
2015-04-13,8,3,19.9332458496
2015-04-14,4,0,4.916665344
2015-04-15,2,0,-1.4670680064
2015-04-16,3,0,17.1320517632
2015-04-17,7,0,3.3431059456000014
2015-04-18,8,0,-7.098519551999999
2015-04-19,2,0,-8.2447429632
2015-04-20,8,1,10.8236675072
2015-04-21,3,0,7.169981235200002
2015-04-22,11,1,-8.334287667199998
2015-04-23,2,0,1.8801900544000008
2015-04-24,5,0,-0.678479359999999
2015-04-25,2,0,-2.798658252800001
2015-04-26,4,0,-3.0761810944000003
2015-04-27,8,3,27.3691374592
2015-04-28,6,0,11.287144960000003
2015-04-29,11,1,0.05509273600000242
2015-04-30,3,2,-2.8743958527999993
2015-05-01,5,0,6.1081345023999996
2015-05-02,3,0,-9.525114777599999
2015-05-03,2,6,-4.253483008000002
2015-05-04,6,4,5.242412646399999
2015-05-05,9,10,1.7760901120000003
2015-05-06,1,0,12.6448949248
2015-05-07,7,1,11.4602149888
2015-05-08,7,0,20.1015922688
2015-05-09,0,0,-15.317381222399998
2015-05-10,2,0,-5.305343795200001
2015-05-11,6,2,10.191557119999999
2015-05-12,3,7,19.008630783999998
2015-05-13,13,1,2.808963481600003
2015-05-14,7,0,-1.1460980735999975
2015-05-15,2,0,-1.6183250943999994
2015-05-16,12,0,-6.642491596800001
2015-05-17,1,0,-5.056497561600001
2015-05-18,4,0,21.1712282624
2015-05-19,6,3,31.3575307264
2015-05-20,10,0,6.344671232000003
2015-05-21,7,0,-9.014170726399996
2015-05-22,16,0,21.2661031936
2015-05-23,0,0,-14.0263684096
2015-05-24,1,0,-9.749347635200001
2015-05-25,0,0,-5.4205633536
2015-05-26,3,0,4.211039231999999
2015-05-27,7,0,11.9007249408
2015-05-28,6,0,9.774068121600003
2015-05-29,3,3,12.097050009600002
2015-05-30,1,0,-7.204772863999999
2015-05-31,2,0,-8.4465337344
2015-06-01,8,4,6.005167615999999
2015-06-02,12,0,26.39425792
2015-06-03,4,0,3.678772224000003
2015-06-04,27,0,3.8966199296000017
2015-06-05,8,1,4.736883097600002
2015-06-06,2,0,-11.060614144
2015-06-07,2,0,-5.575293747200002
2015-06-08,15,0,9.829081702399998
2015-06-09,7,0,15.6470144
2015-06-10,11,0,4.624795136000003
2015-06-11,13,1,10.453034905600003
2015-06-12,8,0,13.586285568000001
2015-06-13,5,7,-11.0926019584
2015-06-14,1,0,-3.3001816064000007
2015-06-15,11,0,8.7430073344
2015-06-16,13,6,10.5630948352
2015-06-17,16,2,0.8060090368000008
2015-06-18,11,0,-0.2187630592000005
2015-06-19,4,1,7.4995849216
2015-06-20,2,0,-5.335552102399999
2015-06-21,2,0,-6.2823092224
2015-06-22,13,1,2.971192627199999
2015-06-23,3,1,0.6327811071999996
2015-06-24,15,0,9.9043924992
2015-06-25,8,1,1.537296179200002
2015-06-26,10,0,8.6988822528
2015-06-27,7,3,-9.550877388799998
2015-06-28,1,0,-3.8513278976000005
2015-06-29,8,0,19.7524022272
2015-06-30,5,0,-2.338679500799998
2015-07-01,4,1,12.995056230400001
2015-07-02,17,0,-7.223241420799997
2015-07-03,8,0,2.935341568
2015-07-04,8,0,-6.72221696
2015-07-05,8,0,-3.117576908800001
2015-07-06,6,1,5.070702079999999
2015-07-07,6,1,11.766137856
2015-07-08,10,3,19.628362854400002
2015-07-09,23,0,-1.2536505343999984
2015-07-10,11,0,-1.3571210239999996
2015-07-11,8,1,-4.0148580352
2015-07-12,5,1,-1.431957811200002
2015-07-13,13,1,4.468538879999999
2015-07-14,5,1,3.8572354560000006
2015-07-15,9,0,8.0830562304
2015-07-16,4,0,8.863175475200002
2015-07-17,14,0,5.053231513600002
2015-07-18,2,0,-10.673680486399999
2015-07-19,2,0,-4.4514772992000005
2015-07-20,9,2,4.271137484799999
2015-07-21,14,0,2.279516364799999
2015-07-22,8,0,5.9251314688
2015-07-23,13,0,8.258601472000002
2015-07-24,8,0,10.182095872000001
2015-07-25,4,0,-7.077722214399998
2015-07-26,1,0,-5.8727769088
2015-07-27,11,3,10.061191679999999
2015-07-28,7,2,10.817040896
2015-07-29,5,0,1.7623107584000017
2015-07-30,6,2,3.120032870400001
2015-07-31,7,0,15.2581911552
2015-08-01,5,0,-13.49958912
2015-08-02,1,0,-5.2886454272000005
2015-08-03,6,2,6.9020284927999995
2015-08-04,3,0,7.838923264
2015-08-05,3,0,-6.454031974399999
2015-08-06,11,0,0.6962011135999999
2015-08-07,5,0,9.6716601344
2015-08-08,5,0,-5.7272349696
2015-08-09,1,0,-1.8393157632000001
2015-08-10,6,1,7.290905599999999
2015-08-11,14,0,1.4451686400000003
2015-08-12,11,0,7.877753344
2015-08-13,8,0,5.5540727808
2015-08-14,13,0,-2.0883931135999987
2015-08-15,2,0,-2.741558272
2015-08-16,0,2,-2.9783227392000007
2015-08-17,7,0,4.5254682623999996
2015-08-18,2,0,11.6447550464
2015-08-19,16,0,15.620077568000001
2015-08-20,12,0,2.237336166400002
2015-08-21,6,0,0.2323347456000011
2015-08-22,13,0,-6.946649190399999
2015-08-23,0,0,5.140998963199999
2015-08-24,3,0,4.1635966976
2015-08-25,5,0,5.401186099200001
2015-08-26,1,0,-5.690091929599999
2015-08-27,1,0,4.9634348032
2015-08-28,9,0,4.268385996800001
2015-08-29,4,0,-7.287330303999999
2015-08-30,1,0,-3.0815679488
2015-08-31,5,0,22.1123928064
2015-09-01,18,0,-0.9595212799999988
2015-09-02,4,0,-3.8320196607999986
2015-09-03,7,0,8.015856025600002
2015-09-04,9,0,7.2895722496
2015-09-05,3,0,3.754457600000002
2015-09-06,0,0,-8.9898165248
2015-09-07,0,12,-3.8511334400000004
2015-09-08,5,15,3.515328511999999
2015-09-09,26,0,7.7792032768
2015-09-10,15,0,2.3187543040000005
2015-09-11,1,2,30.7537031168
2015-09-12,3,0,-10.530128998399999
2015-09-13,2,0,-6.883908607999999
2015-09-14,11,4,7.9540207616
2015-09-15,6,0,22.91745024
2015-09-16,10,0,-1.0054737919999965
2015-09-17,2,0,4.8815050752000015
2015-09-18,4,0,-6.315136409599999
2015-09-19,4,0,-6.929441075200001
2015-09-20,3,0,-1.6753965056000002
2015-09-21,0,0,9.0689449984
2015-09-22,13,0,5.480660070400001
2015-09-23,11,0,9.5245520896
2015-09-24,19,0,1.1790907392000012
2015-09-25,15,0,6.994537984000001
2015-09-26,12,0,-10.3179390976
2015-09-27,4,0,-3.271753932800001
2015-09-28,7,0,-0.057940172800000855
2015-09-29,1,0,6.767402393599999
2015-09-30,12,0,-2.8728607743999994
2015-10-01,21,0,6.3393632256000005
2015-10-02,5,0,16.139083673600002
2015-10-03,2,0,9.883111526400002
2015-10-04,0,0,-12.396350668799998
2015-10-05,3,0,5.266244607999999
2015-10-06,9,0,11.1304195072
2015-10-07,30,0,8.5927607296
2015-10-08,16,0,6.108663296000001
2015-10-09,22,2,0.8756688896
2015-10-10,5,0,-3.4715089920000004
2015-10-11,4,0,0.3290025983999989
2015-10-12,14,12,-1.0556924928000004
2015-10-13,15,1,16.193536
2015-10-14,11,0,-5.875738623999997
2015-10-15,9,0,11.886018969600002
2015-10-16,12,0,-9.132743475199998
2015-10-17,2,3,-5.2986025984000005
