,chartjs/chart.js,d3/d3,highcharts/highcharts
2017-04-17,1,0,0.0
2017-04-18,1,0,10.0
2017-04-19,0,0,-1.9999999999999996
2017-04-20,0,0,13.2
2017-04-21,0,0,4.720000000000001
2017-04-22,3,0,-3.056000000000001
2017-04-23,1,0,-1.5673600000000012
2017-04-24,0,0,11.941312
2017-04-25,0,0,3.6044288
2017-04-26,1,0,20.92583168
2017-04-27,0,0,-1.5090979840000003
2017-04-28,0,0,-0.02964172800000142
2017-04-29,2,0,-3.2088406016000004
2017-04-30,0,0,-1.9104812032000007
2017-05-01,0,0,-1.3359129600000008
2017-05-02,1,0,11.942101504
2017-05-03,0,0,9.5266551808
2017-05-04,0,0,0.7610606592000009
2017-05-05,0,0,1.8970901503999995
2017-05-06,0,0,-2.5806976000000006
2017-05-07,1,0,-1.4586454016000008
2017-05-08,1,0,5.9944576
2017-05-09,0,0,19.81869824
2017-05-10,0,0,-0.5969116159999981
2017-05-11,0,0,5.3680805888
2017-05-12,0,0,8.1901262848
2017-05-13,7,0,-4.412237312
2017-05-14,0,0,0.6728596479999984
2017-05-15,0,2,5.825999359999999
2017-05-16,0,2,2.951730176
2017-05-17,0,0,-0.962739916799999
2017-05-18,0,0,5.8914496512
2017-05-19,3,0,17.2116352
2017-05-20,0,0,-5.488051097599999
2017-05-21,0,0,-2.5682587648000013
2017-05-22,0,0,2.418978303999999
2017-05-23,0,0,7.028784332800001
2017-05-24,0,0,17.9859150848
2017-05-25,3,0,-3.7595812863999996
2017-05-26,1,0,5.875025203199998
2017-05-27,2,0,-3.7600530431999992
2017-05-28,2,0,-2.0825262080000004
2017-05-29,1,0,2.7129779199999993
2017-05-30,0,0,-1.7923681280000001
2017-05-31,0,0,-1.1255095296
2017-06-01,0,0,0.17592125440000128
2017-06-02,0,0,1.2226277376000008
2017-06-03,0,0,-0.7365721087999995
2017-06-04,5,0,-0.4019393535999999
2017-06-05,1,0,-0.19730688000000013
2017-06-06,0,0,-0.1502868479999998
2017-06-07,2,0,0.8786217984000001
2017-06-08,1,0,4.74221568
2017-06-09,1,0,4.871758848000001
2017-06-10,1,0,-1.6892447744
2017-06-11,1,0,-0.7785387008000005
2017-06-12,1,0,0.5184639999999997
2017-06-13,0,0,7.4502912
2017-06-14,0,0,1.0477132800000002
2017-06-15,1,0,4.490405888
2017-06-16,1,0,2.9564317696
2017-06-17,0,0,-2.067009024
2017-06-18,0,0,-1.0883329024000006
2017-06-19,2,0,25.30143488
2017-06-20,0,0,-1.7323038719999992
2017-06-21,0,0,5.691395993599999
2017-06-22,1,0,5.2853777408
2017-06-23,5,0,5.2060320768
2017-06-24,3,0,-3.8970906624
2017-06-25,6,0,-2.1500395520000013
2017-06-26,0,0,10.51396608
2017-06-27,0,0,-3.5578705919999982
2017-06-28,0,0,-1.9077776384
2017-06-29,1,0,-0.09156648959999991
2017-06-30,0,0,-0.9972540415999993
2017-07-01,4,0,-0.6281455615999993
2017-07-02,0,0,-0.4053697535999998
2017-07-03,0,0,0.7632793599999999
2017-07-04,4,0,-0.39818854399999926
2017-07-05,1,0,-0.25006100479999965
2017-07-06,0,0,-0.06492672000000005
2017-07-07,0,0,-0.04798771199999995
2017-07-08,2,0,-0.03800535039999998
2017-07-09,1,0,-0.02042880000000001
2017-07-10,0,0,-0.01692672000000001
2017-07-11,0,0,-0.01438771199999994
2017-07-12,0,0,-0.012469350399999964
2017-07-13,0,0,9.0
2017-07-14,0,2,-1.7999999999999996
2017-07-15,3,0,-0.7200000000000006
2017-07-16,2,0,-0.43200000000000033
2017-07-17,0,0,12.6976
2017-07-18,1,0,7.170176
2017-07-19,2,0,-1.2238592000000006
2017-07-20,1,0,-1.976340480000001
2017-07-21,3,0,-1.2062894080000002
2017-07-22,4,0,-0.8761921536000001
2017-07-23,1,0,-0.5881344000000003
2017-07-24,1,0,2.52459264
2017-07-25,1,0,5.002834944000001
2017-07-26,2,0,-1.7798321151999987
2017-07-27,1,0,9.222531072
2017-07-28,1,0,7.5862612992
2017-07-29,2,0,-3.0782080000000005
2017-07-30,1,0,-1.4945024000000011
2017-07-31,0,0,5.010647039999999
2017-08-01,1,0,6.063916544
2017-08-02,4,0,9.3366176768
2017-08-03,1,0,9.223628697599999
2017-08-04,0,0,6.54125568
2017-08-05,1,0,-3.5065866239999997
2017-08-06,0,0,-2.5587543040000016
2017-08-07,1,0,11.383777279999999
2017-08-08,1,0,9.183546368
2017-08-09,0,0,0.3868911615999995
2017-08-10,0,0,5.5932924928
2017-08-11,0,0,0.1959048192000008
2017-08-12,0,0,-2.8660611071999997
