,tensorflow/models,pytorch/vision,huggingface/transformers
2022-11-29,3.0,2,9
2022-11-30,4.4,5,20
2022-12-01,-1.24,2,12
2022-12-02,4.4559999999999995,1,4
2022-12-03,-1.3408,0,0
2022-12-04,-0.6446080000000004,0,0
2022-12-05,0.5710335999999998,3,29
2022-12-06,3.4790758399999997,2,16
2022-12-07,3.8645232640000002,2,12
2022-12-08,2.4205093888,2,15
2022-12-09,4.427419648,1,7
2022-12-10,-1.9918745599999998,0,0
2022-12-11,-1.0249195520000005,0,0
2022-12-12,2.3512780799999997,3,18
2022-12-13,3.912017408,1,8
2022-12-14,1.3704150016,0,8
2022-12-15,-0.45609564160000016,0,9
2022-12-16,8.99774208,0,6
2022-12-17,-2.6048116735999995,0,0
2022-12-18,-0.21258250240000054,0,0
2022-12-19,5.05686784,2,6
2022-12-20,1.1693808640000003,1,10
2022-12-21,-0.5639155712000001,3,13
2022-12-22,-0.0883246080000002,0,3
2022-12-23,1.1278010367999998,0,6
2022-12-24,-0.9587912703999995,0,1
2022-12-25,0.41759897600000007,0,0
2022-12-26,-0.5323704320000001,0,2
2022-12-27,0.6572594176000002,0,3
2022-12-28,1.5455932416000004,0,2
2022-12-29,0.37681991680000015,0,4
2022-12-30,-0.49424650240000007,0,3
2022-12-31,-0.2712735744,0,4
2023-01-01,-0.18260142080000002,0,0
2023-01-02,0.880511488,0,1
2023-01-03,3.7042103296,0,15
2023-01-04,4.0513300480000005,2,18
2023-01-05,0.5738285056000001,1,8
2023-01-06,0.9350735871999998,1,4
2023-01-07,1.0275946495999997,0,1
2023-01-08,1.0534271999999998,0,5
2023-01-09,2.0504780799999995,0,2
2023-01-10,2.8414894079999997,2,2
2023-01-11,4.5502166016,2,2
2023-01-12,1.0212009984000003,4,5
2023-01-13,4.4102947839999995,0,3
2023-01-14,-2.0674331648,0,3
2023-01-15,-0.07659796480000036,0,2
2023-01-16,-0.9282254848000002,3,11
2023-01-17,1.3834104832,1,18
2023-01-18,4.1409783808,0,14
2023-01-19,7.4968433664,1,19
2023-01-20,2.4589244416000002,3,17
2023-01-21,-0.1713631231999999,0,1
2023-01-22,-1.5428148224000005,0,0
2023-01-23,2.1146746879999996,1,22
2023-01-24,5.7577092096,1,12
2023-01-25,1.8678517760000002,0,14
2023-01-26,2.0935662591999997,3,10
2023-01-27,5.125872640000001,5,5
2023-01-28,-1.4418241535999998,0,0
2023-01-29,0.5824394239999995,0,0
2023-01-30,6.7287355392,3,12
2023-01-31,-1.388709376,2,10
2023-02-01,1.5641038847999997,5,7
2023-02-02,5.487719219200001,3,12
2023-02-03,-2.2542160896,0,11
2023-02-04,-1.1502637056,0,0
2023-02-05,-0.7612930048,0,0
2023-02-06,4.4911046656,3,13
2023-02-07,3.6029944832000007,4,18
2023-02-08,2.2920757248,5,10
2023-02-09,1.3858804735999999,8,12
2023-02-10,3.5338779648000003,5,20
2023-02-11,0.1850345471999999,0,0
2023-02-12,-1.3082240000000005,0,1
2023-02-13,2.2102783999999995,12,20
2023-02-14,-1.1788953599999998,10,14
2023-02-15,4.301841408,11,10
2023-02-16,2.5321062400000005,8,10
2023-02-17,0.48066826240000005,8,7
2023-02-18,-1.1798080512,0,0
2023-02-19,-0.6724085760000001,0,0
2023-02-20,0.5662011391999998,0,9
2023-02-21,2.485348864,4,8
2023-02-22,3.0651711488,2,12
2023-02-23,0.7314969600000003,5,10
2023-02-24,3.94864896,17,12
2023-02-25,-1.5569888256,0,1
2023-02-26,-0.7523755008000005,0,0
2023-02-27,3.5124428799999996,9,13
2023-02-28,1.834044928,0,17
2023-03-01,3.7881230336,7,19
2023-03-02,1.3370436608,1,23
2023-03-03,-0.44168642560000015,3,16
2023-03-04,-0.9798212608000001,0,5
2023-03-05,-0.6126699520000002,0,0
2023-03-06,0.5945267199999998,0,15
2023-03-07,3.479316992,1,13
2023-03-08,3.8555034624000006,3,13
2023-03-09,1.4514444288000004,2,16
2023-03-10,-0.34803660800000014,4,11
2023-03-11,1.1082682367999999,0,1
2023-03-12,-0.9270421504000002,0,0
2023-03-13,5.46487808,1,25
2023-03-14,1.409553408,2,13
2023-03-15,0.6113238015999998,1,5
2023-03-16,2.8279030784,2,12
2023-03-17,0.5311057920000002,0,13
2023-03-18,-1.1556652032000003,0,0
2023-03-19,-0.6596255744000002,0,0
2023-03-20,2.5307425792,0,12
2023-03-21,1.0526919680000004,0,8
2023-03-22,4.0753801216,3,16
2023-03-23,3.5212520448,4,13
2023-03-24,2.2868570112,3,12
2023-03-25,-0.6624608256000002,0,0
2023-03-26,-1.0652971008000005,0,0
2023-03-27,2.3406822399999996,4,17
2023-03-28,2.910759424,0,3
2023-03-29,-0.4287050751999999,0,14
2023-03-30,4.0472379392,1,10
2023-03-31,1.4047790080000002,2,5
2023-04-01,-1.3958323199999998,0,0
2023-04-02,-0.7412955136000003,0,0
2023-04-03,0.5174992895999998,2,19
2023-04-04,3.4402211840000003,1,14
2023-04-05,3.8293623808,2,13
2023-04-06,5.4218148864,2,13
2023-04-07,0.8392119296000002,2,11
2023-04-08,-0.6654458880000003,0,0
2023-04-09,-1.1039808512000004,0,0
2023-04-10,0.31447807999999966,0,8
2023-04-11,2.2882094079999997,0,7
2023-04-12,3.9121366016000003,0,11
2023-04-13,2.3848745984000006,1,15
2023-04-14,0.38813030400000015,2,12
2023-04-15,-1.2337113088,0,1
2023-04-16,-0.6688325632000003,0,0
2023-04-17,4.5512375296,0,14
2023-04-18,7.663344128,1,10
2023-04-19,0.5269467136000001,0,10
2023-04-20,-0.7779110912000002,0,18
2023-04-21,3.8062489599999996,3,21
2023-04-22,-1.7327328255999999,0,1
2023-04-23,-0.9057067008000005,0,1
2023-04-24,0.3812991999999996,0,19
2023-04-25,-0.6791014399999998,0,9
2023-04-26,1.5292748800000004,0,11
2023-04-27,1.2775419904000005,0,10
2023-04-28,0.2699706368000001,0,10
2023-04-29,0.4340560896000001,0,1
2023-04-30,0.474024448,0,0
2023-05-01,2.5368012799999997,1,7
2023-05-02,2.132082688,6,10
2023-05-03,0.9656836095999999,7,17
2023-05-04,0.07380633599999986,1,12
2023-05-05,-0.7214056448,0,6
2023-05-06,-0.4300899328000001,0,1
2023-05-07,-0.2968781824000001,0,3
2023-05-08,1.7764043776,3,6
2023-05-09,1.4271937536000001,4,13
2023-05-10,0.30514657280000024,4,14
2023-05-11,1.4608898048,5,20
2023-05-12,1.3174735872,1,10
2023-05-13,-0.7387413504000001,1,0
2023-05-14,-0.3815296000000003,0,0
2023-05-15,0.7365529599999998,4,11
2023-05-16,2.598670336,2,20
2023-05-17,2.1574295552000002,1,15
2023-05-18,4.9979625472,2,15
2023-05-19,-1.6926982144,1,13
2023-05-20,0.19594987519999962,1,1
2023-05-21,-0.7107755008000002,0,0
2023-05-22,0.5635788799999998,3,12
2023-05-23,0.47232972799999995,2,14
2023-05-24,-0.5425854464,5,17
2023-05-25,-0.3356675071999999,1,7
2023-05-26,0.7742368768000004,1,7
2023-05-27,0.6491211776000002,1,0
2023-05-28,-0.340352512,0,0
2023-05-29,4.8221751296,0,0
2023-05-30,1.8870855680000003,3,14
2023-05-31,0.9140069376,4,29
2023-06-01,-0.9384341504000003,1,12
2023-06-02,-0.5093555200000003,1,8
2023-06-03,-0.35579443200000016,0,0
2023-06-04,-0.2728090624,0,0
2023-06-05,1.7905386496,1,11
2023-06-06,0.4364236800000003,2,17
