,flutter/flutter,NativeScript/NativeScript,facebook/react-native
2019-02-28,10,3,21.0
2019-03-01,20,5,8.899999999999999
2019-03-02,3,0,6.954999999999998
2019-03-03,1,0,17.0065
2019-03-04,8,2,16.947587499999997
2019-03-05,0,2,17.32276075
2019-03-06,16,0,2.8188509874999994
2019-03-07,9,0,1.8696119912500013
2019-03-08,14,1,3.425608405421878
2019-03-09,15,0,-2.412296350176559
2019-03-10,6,0,-1.5481119237859344
2019-03-11,9,0,1.8572064423796903
2019-03-12,14,3,7.81939508275469
2019-03-13,8,1,22.355921939703126
2019-03-14,10,5,6.731705349385936
2019-03-15,24,6,20.428316789670312
2019-03-16,6,0,1.232283109226561
2019-03-17,2,0,-1.5508299027156238
2019-03-18,11,2,17.27433379875
2019-03-19,13,0,25.831658494703127
2019-03-20,15,6,10.233322040251561
2019-03-21,21,7,10.833361314801563
2019-03-22,7,6,7.971575082731251
2019-03-23,4,0,3.4193790315312524
2019-03-24,2,0,0.05298964284531538
2019-03-25,6,4,8.84727008305469
2019-03-26,12,3,12.36645457141719
2019-03-27,17,0,6.780566593114064
2019-03-28,11,4,2.1252542374734382
2019-03-29,17,5,10.852096324226563
2019-03-30,8,0,0.34483379452343854
2019-03-31,3,0,0.17829610220937675
2019-04-01,6,0,16.623062246951566
2019-04-02,14,2,7.2468301804703135
2019-04-03,11,6,15.448835651870313
2019-04-04,19,0,15.699084188054687
2019-04-05,17,1,2.2853073208124997
2019-04-06,3,0,-0.6907139456328117
2019-04-07,2,0,1.0584138604859397
2019-04-08,9,0,8.38067115886094
2019-04-09,13,0,4.8409262231468775
2019-04-10,16,3,20.929847254196876
2019-04-11,17,0,5.4598085366093745
2019-04-12,2,3,4.18466125455625
2019-04-13,2,0,-2.3449665062765623
2019-04-14,0,0,0.6060142950031275
2019-04-15,12,3,16.795278555881254
2019-04-16,16,0,8.319049900985938
2019-04-17,13,1,9.395602907281251
2019-04-18,18,0,4.279834479139062
2019-04-19,13,0,-0.3146027992171865
2019-04-20,1,0,2.456719111067189
2019-04-21,0,0,-0.4326298352515605
2019-04-22,19,0,2.961356203968752
2019-04-23,15,1,16.817855601896877
2019-04-24,17,0,9.39492726868125
2019-04-25,29,0,13.479683467167186
2019-04-26,17,0,8.005633385959374
2019-04-27,6,0,0.26614260871718765
2019-04-28,1,0,-1.9078642033843738
2019-04-29,21,0,14.703044266840628
2019-04-30,17,0,25.425041712901564
2019-05-01,23,2,6.691186650574999
2019-05-02,22,0,1.5473693706656246
2019-05-03,17,6,20.46100406506875
2019-05-04,9,0,-1.9478321724968737
2019-05-05,0,0,-2.3877410169421855
2019-05-06,16,3,4.40267120239219
2019-05-07,8,11,21.178680109250003
2019-05-08,9,9,16.427854623737502
2019-05-09,13,10,21.063152417071876
2019-05-10,20,6,6.398817018276561
2019-05-11,2,1,-2.651190854539062
2019-05-12,3,0,-1.3827175593578098
2019-05-13,13,2,13.31651632992813
2019-05-14,19,2,8.220488608156252
2019-05-15,14,4,12.177164697925
2019-05-16,13,1,17.734056337610937
2019-05-17,10,2,1.043068202640625
2019-05-18,3,0,1.3189827846796884
2019-05-19,2,0,-2.021201324660936
2019-05-20,20,1,25.67268150319844
2019-05-21,22,6,9.272851355979688
