,rescript-lang/rescript-compiler,microsoft/typescript,google/closure-compiler
2014-08-08,0,24,7
2014-08-09,0,6,0
2014-08-10,0,1,0
2014-08-11,0,9,14
2014-08-12,0,16,13
2014-08-13,0,16,13
2014-08-14,0,42,1
2014-08-15,0,49,7
2014-08-16,0,9,4
2014-08-17,0,2,0
2014-08-18,0,31,4
2014-08-19,0,13,5
2014-08-20,0,12,13
2014-08-21,0,18,18
2014-08-22,0,18,5
2014-08-23,0,4,1
2014-08-24,0,0,0
2014-08-25,0,5,6
2014-08-26,0,10,11
2014-08-27,0,12,12
2014-08-28,0,13,1
2014-08-29,0,17,5
2014-08-30,0,5,1
2014-08-31,0,0,0
2014-09-01,0,0,0
2014-09-02,0,3,11
2014-09-03,0,15,8
2014-09-04,2,22,7
2014-09-05,0,14,8
2014-09-06,1,6,0
2014-09-07,0,3,0
2014-09-08,0,12,5
2014-09-09,0,21,6
2014-09-10,0,31,3
2014-09-11,0,21,9
2014-09-12,0,18,7
2014-09-13,0,3,0
2014-09-14,0,0,1
2014-09-15,0,28,2
2014-09-16,1,21,15
2014-09-17,0,21,12
2014-09-18,12,27,13
2014-09-19,4,22,12
2014-09-20,0,8,2
2014-09-21,0,3,1
2014-09-22,1,46,10
2014-09-23,0,27,7
2014-09-24,0,32,4
2014-09-25,0,33,7
2014-09-26,0,19,14
2014-09-27,0,0,0
2014-09-28,1,0,1
2014-09-29,0,11,6
2014-09-30,0,20,18
2014-10-01,0,40,9
2014-10-02,0,4,1
2014-10-03,0,24,10
2014-10-04,0,11,3
2014-10-05,0,1,3
2014-10-06,0,25,9
2014-10-07,0,29,15
2014-10-08,0,26,7
2014-10-09,0,35,9
2014-10-10,0,19,13
2014-10-11,0,7,1
2014-10-12,0,0,0
2014-10-13,0,21,3
2014-10-14,0,22,9
2014-10-15,0,28,4
2014-10-16,0,14,5
2014-10-17,0,18,4
2014-10-18,0,6,4
2014-10-19,0,6,0
2014-10-20,0,18,4
2014-10-21,0,39,6
2014-10-22,0,18,4
2014-10-23,0,32,17
2014-10-24,1,18,4
2014-10-25,1,5,0
2014-10-26,1,4,0
2014-10-27,2,19,6
2014-10-28,1,26,9
2014-10-29,0,33,9
2014-10-30,3,23,10
2014-10-31,1,13,2
2014-11-01,2,18,0
2014-11-02,0,13,0
2014-11-03,1,24,10
2014-11-04,0,42,6
2014-11-05,0,22,8
2014-11-06,0,39,9
2014-11-07,0,33,9
2014-11-08,4,14,0
2014-11-09,5,11,0
2014-11-10,3,25,8
2014-11-11,4,54,11
2014-11-12,6,31,6
2014-11-13,0,19,3
2014-11-14,5,14,3
2014-11-15,0,15,0
2014-11-16,0,2,1
2014-11-17,2,25,2
2014-11-18,14,27,4
2014-11-19,0,64,5
2014-11-20,0,47,5
2014-11-21,3,39,6
2014-11-22,6,27,3
2014-11-23,15,9,0
2014-11-24,4,8,4
2014-11-25,0,44,5
2014-11-26,0,33,7
2014-11-27,0,12,0
2014-11-28,0,15,0
2014-11-29,0,16,0
2014-11-30,0,19,0
2014-12-01,0,57,2
2014-12-02,6,60,2
2014-12-03,2,34,10
2014-12-04,7,39,6
2014-12-05,0,15,4
2014-12-06,0,13,2
2014-12-07,2,4,3
2014-12-08,1,16,3
2014-12-09,1,24,1
2014-12-10,0,105,4
2014-12-11,2,70,4
2014-12-12,0,91,4
2014-12-13,0,7,1
2014-12-14,0,16,0
2014-12-15,0,27,4
2014-12-16,0,56,0
2014-12-17,0,60,11
2014-12-18,1,9,14
2014-12-19,0,8,17
2014-12-20,1,0,7
2014-12-21,0,0,0
2014-12-22,1,3,8
2014-12-23,0,0,7
2014-12-24,0,0,2
2014-12-25,1,0,0
2014-12-26,0,1,0
