,facebook/docusaurus,mkdocs/mkdocs,docsifyjs/docsify
2021-09-07,0.0,1,0
2021-09-08,2.0,1,0
2021-09-09,0.3999999999999999,0,0
2021-09-10,-0.5099999999999999,1,1
2021-09-11,3.7760000000000002,0,0
2021-09-12,-1.3398250000000003,0,0
2021-09-13,-0.5196029999999997,0,0
2021-09-14,-0.3142819749999999,0,0
2021-09-15,1.77815459,0,1
2021-09-16,0.23040829271874985,0,0
2021-09-17,1.35383300676875,0,1
2021-09-18,-0.9134125082328125,0,0
2021-09-19,2.5866681329375,0,0
2021-09-20,-1.1729366529312502,0,0
2021-09-21,4.528393025000001,0,0
2021-09-22,10.20086409,0,0
2021-09-23,-1.3427599322812505,0,0
2021-09-24,-1.627618840731249,0,0
2021-09-25,-1.644991934264062,0,0
2021-09-26,-0.998089897715625,0,0
2021-09-27,-0.7006649627968751,0,0
2021-09-28,0.4557697915515625,1,0
2021-09-29,1.2935662936718746,0,0
2021-09-30,3.956409648898437,0,0
2021-10-01,1.0009116171593746,0,0
2021-10-02,0.3592105435359376,0,0
2021-10-03,0.6638713367671878,0,1
2021-10-04,-1.2720338624999998,0,0
2021-10-05,1.3363922512500002,0,0
2021-10-06,3.941318673234375,0,1
2021-10-07,4.940268696985937,1,0
2021-10-08,-1.0134244565437505,1,0
2021-10-09,-0.9128484889609372,0,0
2021-10-10,-0.29717122072968727,2,0
2021-10-11,-1.0592207349968752,8,0
2021-10-12,1.3656475635343752,5,1
2021-10-13,0.9513911602187499,2,0
2021-10-14,5.83430419845625,0,0
2021-10-15,3.3010302564765617,0,2
2021-10-16,-0.9034004624109375,0,0
2021-10-17,-1.8482663169812494,0,1
2021-10-18,-0.9835998549984372,0,0
2021-10-19,3.3339235642671876,0,0
2021-10-20,9.30871948146875,0,0
2021-10-21,6.889253148753125,0,0
2021-10-22,-4.991609211325001,0,2
2021-10-23,-2.198408740723437,0,0
2021-10-24,-1.3284224129281248,1,0
2021-10-25,0.11099947353437511,0,0
2021-10-26,0.04115866749999997,2,0
2021-10-27,6.0668736341875,0,0
2021-10-28,2.297992451396874,1,0
2021-10-29,11.341276070017187,0,0
2021-10-30,-0.3608002955609386,0,0
2021-10-31,-1.6016386124999986,0,0
2021-11-01,0.5909076137500007,1,0
2021-11-02,2.683823721984375,0,0
2021-11-03,0.1705386412515626,0,0
2021-11-04,4.622134875657812,1,0
2021-11-05,-0.448701621457813,1,0
2021-11-06,-1.5350124446328124,0,0
2021-11-07,2.3221027459125,3,0
2021-11-08,3.873255116554687,0,0
2021-11-09,0.15254481698749967,0,0
2021-11-10,2.762705067723438,0,0
2021-11-11,-0.6804609702109374,0,0
2021-11-12,4.104604059192187,0,0
2021-11-13,-2.8611037666765626,1,0
2021-11-14,1.6888855235359381,0,0
2021-11-15,4.253397239704688,0,0
2021-11-16,0.2617144127249995,1,0
2021-11-17,-1.15730022344375,0,0
2021-11-18,3.6097789539734375,0,0
2021-11-19,0.6729501078046871,0,1
2021-11-20,2.024421285440625,2,0
2021-11-21,-0.21988072564687489,0,0
2021-11-22,-0.6602491302968749,0,0
2021-11-23,0.7667480259578126,0,0
2021-11-24,2.6616970340562496,0,1
2021-11-25,0.11003808728593745,0,0
2021-11-26,0.5184347316890625,0,0
2021-11-27,2.6040167135390626,0,0
2021-11-28,-1.9145430167609376,1,0
2021-11-29,1.1101879147875002,0,0
2021-11-30,-0.15184704073125,0,0
2021-12-01,0.10218183323593755,0,0
2021-12-02,1.181969033971875,0,0
2021-12-03,2.9380499160374995,0,0
2021-12-04,-0.7038523549968752,0,0
2021-12-05,0.9538818314718751,0,0
2021-12-06,-0.16857431293125003,0,1
2021-12-07,3.13641793021875,0,0
2021-12-08,8.30839395801875,0,1
2021-12-09,-1.7500433774984376,0,5
2021-12-10,3.867950195735938,2,4
2021-12-11,1.0484370577218751,1,0
2021-12-12,-2.6009117796968746,0,0
2021-12-13,-0.31194507051406206,1,0
2021-12-14,-1.1900967632312498,0,0
2021-12-15,0.24280375720468728,0,0
2021-12-16,1.1309184569124993,0,0
2021-12-17,6.880382841640625,0,0
2021-12-18,2.1025235279406242,0,0
2021-12-19,-0.6674507089593749,0,0
2021-12-20,4.21566382331875,0,0
2021-12-21,8.272601920734374,0,1
2021-12-22,1.4333230880171879,0,0
2021-12-23,-0.7809644142656245,0,0
2021-12-24,1.2016851507359378,0,0
2021-12-25,2.212362345659375,0,0
2021-12-26,-0.032048362190625124,0,0
2021-12-27,-0.43131262969531203,0,0
2021-12-28,5.067046936690625,0,0
2021-12-29,0.7520759061812492,0,0
2021-12-30,2.2822381325953125,5,0
2021-12-31,-0.8273497871937501,0,0
2022-01-01,-1.9724640630109374,0,0
2022-01-02,0.8866574669906249,0,0
2022-01-03,-1.3551213014609378,0,0
2022-01-04,-0.7372542894796875,0,3
2022-01-05,4.491022248675,0,0
2022-01-06,8.119736146557813,2,3
2022-01-07,6.243927715740624,0,0
2022-01-08,-2.4937322246953126,1,0
2022-01-09,0.48910612603437587,0,0
2022-01-10,1.71302031646875,0,0
2022-01-11,-1.476398638965625,0,0
2022-01-12,2.3963775062500003,0,0
2022-01-13,3.7753070536718747,0,1
2022-01-14,5.0078705536796875,0,1
2022-01-15,1.1705980650156245,0,0
2022-01-16,2.7950469128906255,0,0
2022-01-17,0.6652370657375002,0,1
2022-01-18,0.15654066948906253,0,0
2022-01-19,6.598700860303126,0,0
2022-01-20,8.980342927204688,0,0
2022-01-21,-3.780127956025,0,0
2022-01-22,3.8171457427281257,0,0
2022-01-23,4.070958767809374,1,1
2022-01-24,-0.3524437992578129,0,1
2022-01-25,1.6654048197906253,1,0
2022-01-26,4.688191520521875,0,1
2022-01-27,8.831011275660938,1,0
2022-01-28,0.034559377951562276,0,0
2022-01-29,3.512020878192188,0,0
2022-01-30,-1.656486733825,0,0
2022-01-31,-0.27120553425468774,0,1
2022-02-01,-0.7715456916749996,0,0
2022-02-02,8.818851860740626,0,1
2022-02-03,0.3721899659609367,0,1
2022-02-04,3.401296583684375,0,1
2022-02-05,2.0576687998796874,0,1
2022-02-06,-3.668956622271875,0,0
2022-02-07,1.1660337475906255,0,0
2022-02-08,-0.06912317499531273,0,0
2022-02-09,0.2385452530203125,0,0
2022-02-10,2.3736153828624995,0,0
2022-02-11,3.849325279360937,0,0
2022-02-12,0.19871652397656225,0,0
2022-02-13,-1.1679522807234375,0,0
2022-02-14,3.622975474353125,0,0
2022-02-15,2.724537577203125,0,0
2022-02-16,2.413149329270312,0,0
2022-02-17,6.273742220003125,0,0
2022-02-18,-2.027292673528125,0,0
2022-02-19,-0.42166038727499977,0,0
2022-02-20,2.04059403405625,0,0
2022-02-21,-0.3068813877140628,0,0
2022-02-22,-0.7909649283109375,0,0
2022-02-23,6.660619718757813,0,0
2022-02-24,1.7914316612578118,0,1
2022-02-25,4.106010210445312,0,0
2022-02-26,-0.4856451501265626,1,0
2022-02-27,0.5351686700031255,0,0
2022-02-28,-1.2219436035281248,0,0
2022-03-01,-0.5145300102124999,0,0
2022-03-02,9.77686470426875,1,0
2022-03-03,5.927502196392187,0,0
2022-03-04,-0.7344176434406249,0,0
2022-03-05,1.719848757726563,0,0
2022-03-06,3.7906255233234374,0,1
2022-03-07,0.2778337237546875,0,0
2022-03-08,1.9779737822859378,0,2
2022-03-09,1.873007733751563,0,0
