,sinatra/sinatra,django/django,rails/rails
2016-01-17,2,0.0,12
2016-01-18,2,1.0,32
2016-01-19,4,3.0,30
2016-01-20,1,2.0,18
2016-01-21,16,5.0,18
2016-01-22,3,10.0,30
2016-01-23,0,12.0,10
2016-01-24,17,1.0,31
2016-01-25,0,9.0,12
2016-01-26,1,5.0,6
2016-01-27,0,2.0,30
2016-01-28,0,11.0,35
2016-01-29,0,9.0,32
2016-01-30,0,3.0,41
2016-01-31,6,0.0,30
2016-02-01,3,11.0,53
2016-02-02,6,6.0,23
2016-02-03,1,2.0,29
2016-02-04,0,6.0,29
2016-02-05,0,5.0,25
2016-02-06,0,4.0,21
2016-02-07,0,0.0,23
2016-02-08,0,7.0,21
2016-02-09,0,5.0,13
2016-02-10,2,2.0,28
2016-02-11,0,13.0,23
2016-02-12,0,6.0,37
2016-02-13,0,1.0,15
2016-02-14,0,0.0,15
2016-02-15,0,6.0,22
2016-02-16,0,4.0,30
2016-02-17,0,7.0,33
2016-02-18,0,3.0,30
2016-02-19,0,7.0,21
2016-02-20,0,1.0,15
2016-02-21,0,0.0,13
2016-02-22,0,5.0,20
2016-02-23,0,10.0,46
2016-02-24,4,5.0,75
2016-02-25,1,8.0,27
2016-02-26,0,13.0,26
2016-02-27,0,3.0,21
2016-02-28,0,2.0,20
2016-02-29,0,2.0,26
2016-03-01,0,11.0,36
2016-03-02,0,9.0,27
2016-03-03,0,7.0,23
2016-03-04,0,5.0,38
2016-03-05,0,9.0,17
2016-03-06,0,1.0,16
2016-03-07,0,3.0,19
2016-03-08,0,10.0,16
2016-03-09,0,6.0,20
2016-03-10,0,4.0,17
2016-03-11,0,2.0,24
2016-03-12,0,6.0,16
2016-03-13,0,1.0,5
2016-03-14,0,8.0,9
2016-03-15,0,8.0,7
2016-03-16,0,1.0,12
2016-03-17,0,2.0,6
2016-03-18,0,4.0,8
2016-03-19,0,4.0,2
2016-03-20,0,0.0,2
2016-03-21,0,6.0,11
2016-03-22,0,4.0,17
2016-03-23,0,9.0,10
2016-03-24,0,2.0,19
2016-03-25,0,6.0,9
2016-03-26,0,1.0,9
2016-03-27,0,1.0,10
2016-03-28,0,6.0,6
2016-03-29,0,10.0,10
2016-03-30,0,3.0,32
2016-03-31,0,5.0,17
2016-04-01,0,3.0,3
2016-04-02,0,7.0,10
2016-04-03,0,8.0,10
2016-04-04,0,9.0,7
2016-04-05,0,3.0,26
2016-04-06,0,8.0,16
2016-04-07,0,5.0,6
2016-04-08,0,6.0,13
2016-04-09,0,8.0,6
2016-04-10,0,1.0,17
2016-04-11,6,2.0,22
2016-04-12,2,5.0,20
2016-04-13,0,5.0,17
2016-04-14,4,1.0,12
2016-04-15,2,4.0,14
2016-04-16,1,8.0,8
2016-04-17,0,1.0,13
2016-04-18,1,3.0,28
2016-04-19,0,7.0,38
2016-04-20,0,4.0,25
2016-04-21,1,8.0,28
2016-04-22,1,10.0,11
2016-04-23,0,4.0,20
2016-04-24,0,1.0,32
2016-04-25,0,5.0,8
2016-04-26,1,4.0,9
2016-04-27,0,8.0,11
2016-04-28,1,5.0,16
2016-04-29,0,8.0,17
2016-04-30,0,6.0,11
2016-05-01,0,1.0,8
2016-05-02,0,7.0,7
2016-05-03,13,10.0,14
2016-05-04,6,5.0,12
2016-05-05,2,0.0,32
2016-05-06,1,7.0,30
2016-05-07,0,9.0,9
2016-05-08,1,6.0,9
2016-05-09,14,2.0,12
2016-05-10,9,5.0,25
2016-05-11,1,5.0,22
2016-05-12,0,3.0,7
2016-05-13,1,14.0,6
2016-05-14,0,6.0,9
2016-05-15,0,2.0,8
2016-05-16,6,9.0,17
2016-05-17,3,8.0,9
2016-05-18,0,8.0,7
2016-05-19,1,7.0,6
2016-05-20,0,6.0,5
2016-05-21,0,4.0,31
2016-05-22,0,0.0,2
2016-05-23,2,1.0,7
2016-05-24,0,1.0,20
2016-05-25,0,2.0,9
2016-05-26,0,1.0,4
2016-05-27,0,7.0,16
2016-05-28,0,5.0,15
2016-05-29,1,3.0,15
2016-05-30,1,6.0,8
2016-05-31,0,8.0,22
2016-06-01,0,7.0,5
2016-06-02,0,10.0,13
2016-06-03,0,12.0,9
2016-06-04,1,12.0,15
2016-06-05,1,1.0,4
2016-06-06,0,10.0,11
2016-06-07,0,6.0,19
2016-06-08,0,5.0,10
2016-06-09,0,8.0,13
2016-06-10,0,4.0,16
2016-06-11,0,1.0,11
2016-06-12,0,3.0,7
2016-06-13,0,6.0,16
2016-06-14,0,3.0,9
2016-06-15,0,2.0,11
2016-06-16,0,4.0,8
2016-06-17,0,4.0,7
2016-06-18,0,8.0,0
2016-06-19,0,1.0,3
2016-06-20,0,5.0,9
2016-06-21,1,9.0,13
2016-06-22,1,4.0,9
2016-06-23,0,2.0,9
2016-06-24,7,4.0,16
2016-06-25,1,1.0,14
2016-06-26,2,0.0,9
2016-06-27,0,8.0,8
2016-06-28,5,10.0,17
2016-06-29,0,8.0,20
2016-06-30,1,3.0,44
2016-07-01,3,3.0,25
2016-07-02,0,3.0,32
2016-07-03,0,2.0,8
2016-07-04,0,1.0,14
2016-07-05,0,0.0,20
2016-07-06,0,7.0,16
2016-07-07,0,7.0,10
2016-07-08,0,9.0,11
2016-07-09,0,3.0,5
2016-07-10,0,0.0,10
2016-07-11,0,2.0,12
2016-07-12,0,4.0,12
2016-07-13,0,4.0,15
2016-07-14,0,10.0,12
2016-07-15,3,5.0,6
2016-07-16,1,3.0,9
2016-07-17,0,1.0,30
2016-07-18,0,3.0,10
2016-07-19,4,2.0,8
2016-07-20,18,2.0,28
2016-07-21,7,9.0,15
2016-07-22,1,3.0,3
2016-07-23,9,0.0,6
2016-07-24,0,3.0,9
2016-07-25,16,5.0,5
2016-07-26,19,0.0,18
2016-07-27,6,4.0,13
2016-07-28,7,5.0,22
2016-07-29,0,3.0,13
2016-07-30,1,2.0,2
2016-07-31,3,2.0,3
2016-08-01,4,9.0,10
2016-08-02,1,5.0,21
2016-08-03,1,5.0,13
2016-08-04,2,6.0,9
2016-08-05,1,8.0,5
2016-08-06,0,4.0,49
2016-08-07,0,1.0,24
2016-08-08,1,13.0,7
2016-08-09,2,14.0,7
2016-08-10,0,11.0,9
2016-08-11,2,12.0,17
2016-08-12,2,11.0,13
2016-08-13,0,4.0,10
2016-08-14,0,0.0,15
2016-08-15,0,7.0,17
2016-08-16,1,10.0,27
2016-08-17,12,5.0,31
2016-08-18,0,7.0,6
2016-08-19,0,17.0,29
2016-08-20,0,2.0,7
2016-08-21,0,0.0,5
2016-08-22,11,0.0,17
2016-08-23,0,6.0,14
2016-08-24,0,12.0,11
2016-08-25,0,5.0,5
2016-08-26,0,7.0,12
2016-08-27,0,0.0,8
2016-08-28,0,0.0,7
2016-08-29,0,7.0,39
2016-08-30,0,3.0,10
2016-08-31,0,14.0,25
2016-09-01,0,13.0,9
2016-09-02,0,5.0,12
2016-09-03,0,7.0,12
2016-09-04,0,0.0,4
2016-09-05,0,0.0,7
2016-09-06,0,2.0,20
2016-09-07,0,7.0,10
2016-09-08,0,4.0,4
2016-09-09,0,8.0,0
2016-09-10,0,6.0,7
2016-09-11,0,0.0,11
2016-09-12,0,7.0,5
2016-09-13,0,10.0,9
2016-09-14,1,2.0,16
2016-09-15,0,3.0,5
2016-09-16,0,7.0,13
2016-09-17,1,6.0,11
2016-09-18,0,1.0,2
2016-09-19,0,2.0,6
2016-09-20,4,4.0,9
2016-09-21,0,8.0,2
2016-09-22,0,6.0,8
2016-09-23,0,6.0,15
2016-09-24,0,2.0,6
2016-09-25,0,1.0,18
2016-09-26,0,9.0,13
2016-09-27,0,10.0,8
2016-09-28,0,5.0,10
2016-09-29,2,3.0,7
2016-09-30,0,8.0,5
2016-10-01,0,5.0,10
2016-10-02,0,1.0,19
2016-10-03,0,1.0,13
2016-10-04,1,11.0,8
2016-10-05,0,4.0,6
2016-10-06,0,5.0,6
2016-10-07,0,5.0,14
